Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Science in Aerospace Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Describe your specific career goals and objectives, the decision to pursue an advanced degree, and other information that may be useful to the admissions committee. [1]",Not Required,,False,True,False,True,False,False,,True,False,False,False,False,True,True,False,False,,,,Daniel Guggenheim School of Aerospace Engineering,"$32,144/Year","$32,144/Year",,,,,,"['aerodynamics and fluid mechanics', 'aeroelasticity and structural dynamics', 'flight mechanics and control', 'propulsion and combustion', 'structural mechanics and materials behavior', 'system design and optimization']","At the graduate-level, the School of Aerospace Engineering offers master's and doctoral degrees. In addition, the School offers a distance learning-based master's degree. The master's degree may be earned by completing 33 semester hours of coursework, which may include 3 credit hours of Special Problems research credit. Alternatively, the candidate may elect to complete twenty-four semester hours of coursework along with nine hours of thesis.",,https://www.gatech.edu/academics/masters-degree-programs,,,"$1,276 for out-of-state students",FALSE,True,,4.0,2.7,,,,,,,,,,,,,,,,,,False,False,,,,80% in each 700-level course,,,7,,,,,90,,,,,,,,,,,,,"Fellowships, Graduate Research Assistantships (GRA), Graduate Teaching Assistantships (GTA), and merit-based scholarships. [39, 42]",FALSE,,,FALSE,FALSE,,,
,Master of Science in Aerospace Engineering – Online Degree,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Well-qualified individuals who have earned an undergraduate degree in aerospace engineering or a related field, are encouraged to apply. [10] Admission decisions are made throughout the year. [10] All applications are processed by Georgia Tech's Office of Graduate Admissions. [10]",Not Required,,False,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The online Master of Science in Aerospace Engineering (MSAE) is a top-ranked program ideal for students and working professionals who want to advance their careers in the global aerospace industry. As a student, you'll be taught by the same world-class faculty who teach on campus and you’ll have the flexibility to customize your graduate degree. You’ll reach a level of expertise in specialties that are important to advanced aerospace system design, development, manufacture, maintenance, and/or operation. You’ll be able to apply your knowledge to solve the toughest problems in the aerospace field.",,https://www.gatech.edu/academics/masters-degree-programs,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Professional Master's in Applied Systems Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"For admission into the applied systems engineering program, all applicants are expected to have:

*   A bachelor's degree in math, hard science (like biology, chemistry, physics, etc.) or engineering from an accredited college or university. [2]
*   GPA of at least 3.0. [2]
*   Five years of technically relevant professional work experience (which may include internships, technically-related summer and/or part-time positions, as well as participation in a cooperative education program). [2]

Applications are submitted electronically and you will need to upload official transcripts from each institution attended. [2] An interview may also be required as part of the application process. [3]",Not Required,,True,False,False,True,False,False,,True,False,False,False,,True,True,False,False,,,,"College of Engineering, Georgia Tech Professional Education (GTPE), and the Georgia Tech Research Institute (GTRI)",,"For the 2024-2025 academic year, the average graduate school tuition & fees are $15,962 for Georgia residents and $32,144 for out-of-state students. [7]",,,,,,"['sensors systems (ASE 6111)', 'information systems (ASE 6121)', 'human systems integration (ASE 6131)']","The P​​rofessional Master's in Applied Systems Engineering (PMASE) is a comprehensive system engineering program designed to give practicing engineers the mathematical, scientific, and engineering foundation to develop, deploy, and evaluate various modeling and analysis strategies. [2] PMASE students explore these skills by engaging in real-world projects and practical examples while engaging with faculty who are practitioners in the field. [2] It is a rigorous graduate degree designed to build deep expertise. [2] PMASE gives engineers an effective blend of business, leadership, and in-depth advanced systems engineering domain knowledge through application-based exercises, labs, case studies and capstone group projects. [2] The degree program's learning outcomes include how to: Develop systems thinking skills that support employing various analytic strategies to develop a holistic perspective of the relationships among systems components and the environment. [2] Develop the capacity to apply modeling and simulation to determine and apply the best modeling and simulation approaches. [2] Apply Model-Based Systems Engineering (MBSE) techniques through system lifecycle. [2] Assess tools and techniques, resources, organizational systems, and decision-making processes for the successful management of projects. [2] Leverage skills and knowledge from PMASE program to learn and incorporate emerging systems engineering methods and technologies. [2] Create a foundation for the SE Professional Certification through the International Council on Systems Engineering (ICSE). [2] The PMASE program is a collaborative effort led by Georgia Tech's College of Engineering, with the Georgia Tech Research Institute, and the Scheller College of Business at Georgia Tech. It is delivered via Georgia Tech Professional Education (GTPE), the Institute's continuing and professional education unit. [2]",,https://www.gatech.edu/academics/masters-degree-programs,"The International Council on Systems Engineering (INCOSE) has approved an equivalency for the PMASE degree based on the determination that the PMASE curriculum provides students the academic equivalency of the INCOSE knowledge exam. Students that graduate with a B grade or higher (scoring 80% or more in ASE 6001 or the Supplemental Assessment, and ASE 6104) can bypass the INCOSE certification exam, apply for INCOSE membership and pursue certification post-graduation. [3]",,"$601 for Georgia residents and $1,276 for out-of-state students for part-time graduate students. [7]",FALSE,True,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,"A minimum grade of 80% in each course (Reading 700, Writing 700, Listening 700, and Speaking 700) is required.",,,,,,,,90,,,,,,,,,,,,,"U.S. citizens and permanent residents may be eligible for education loans. [2] Qualified U.S. veterans may be eligible for financial support through the Post-9/11 GI Bill. [2] Georgia Tech also coordinates numerous student fellowships, which can range from a few hundred dollars to full fellowships covering tuition and fees. [21] Federal Work-Study is also available for graduate students with financial need. [18]",FALSE,,,FALSE,FALSE,,,
,Master of Science in Analytics,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"All applicants for the on-campus Master of Science in Analytics program must hold a four-year bachelor's degree or its equivalent. A foundational background in mathematics and computing is expected, which includes at least one college-level course or equivalent knowledge in Calculus, Probability/Statistics, and Basic Linear Algebra. [2] Additionally, proficiency in a high-level programming language such as C, C++, Java, Python, or FORTRAN is required. [2] The application package must include three letters of recommendation. [2]",Not Required,,False,False,False,,False,False,,True,,,,False,True,True,False,False,,,,"The Master of Science in Analytics is an interdisciplinary program offered by the College of Engineering's Stewart School of Industrial & Systems Engineering, the College of Computing's School of Computational Science and Engineering, and the Scheller College of Business. [8]","The total estimated tuition cost for the 36-credit on-campus program is $41,737 for in-state residents, $55,505 for non-Georgia residents, and $58,519 for out-of-country residents. [5]","The total estimated tuition for the on-campus program is $41,737 for in-state residents, $55,505 for non-Georgia residents, and $58,519 for out-of-country residents, covering the full 36 credits of the program. [5]",,,,,,"['Analytical Tools', 'Business Analytics', 'Computational Data Analytics']","Georgia Tech's Master of Science in Analytics is an interdisciplinary data science and analytics degree program that leverages three of the university's top-ranked colleges: the College of Computing, the College of Engineering, and the Scheller College of Business. [3, 9] The curriculum provides world-class instruction in areas such as machine learning/AI, statistical modeling, data storage, data visualization, optimization, and business analytics. [3] Students are trained by world-class faculty to identify and frame problems, manage and use large streams of data, create and analyze mathematical models, and integrate these skills to execute analytics projects. [9] The program is offered in two formats: a one-year on-campus Master of Science in Analytics (MSA) and a flexible, fully remote Online Master of Science in Analytics (OMSA) that can be completed in two to three years. [9]",,https://www.gatech.edu/academics/masters-degree-programs,,,"The approximate cost per credit hour for the on-campus program is $1,159 for in-state residents, $1,542 for non-Georgia residents, and $1,626 for out-of-country residents.",FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,90,,,,,,,,,,,"The university offers graduate teaching assistantships with an approximate value of more than $12,000 per semester for in-state students and more than $17,750 per semester for all other students. [5]",,"The program offers assistantships and a limited number of fellowships. [5] U.S. citizens and permanent residents may also be eligible for federal financial aid programs, such as student loans. [5]",FALSE,,,FALSE,FALSE,,,
,Master of Science in Analytics — Online Degree,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,"College of Computing, College of Engineering, and Scheller College of Business","Total tuition under $12,000","Total tuition under $12,000",,,,,,"['Analytical Tools', 'Business Analytics', 'Computational Data Analytics']","The Online Master of Science in Analytics (OMS Analytics) is an interdisciplinary data science and analytics program that leverages three of Georgia Tech's top-ranked colleges: College of Computing, College of Engineering, and Scheller College of Business. [2] It offers world-class instruction in machine learning/AI, statistical modeling and learning, data storage and pipelining, data visualization, optimization and simulation, and business analytics/applications. [2] The program is designed to be completed in one to two years and provides flexibility for working professionals. [3] All students are required to take 15 hours of core coursework covering big data analytics, visual analytics, computing, statistics, and operations research essentials. An additional 15 hours of electives allow students to specialize in one of three tracks. [4] The program culminates with a six-hour practicum where students apply their knowledge to a real-world project. [4]",,https://www.gatech.edu/academics/masters-degree-programs,,,327,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.5,,,,,100,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Applied Languages and Intercultural Studies,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,OPTIONAL,"Application requirements for the M.S. in Applied Languages and Intercultural Studies include a Statement of Purpose, two letters of recommendation, and a language proficiency assessment. [4] The statement of purpose should describe the applicant's suitability for the program, reasons for pursuing the degree, relevant abilities or skills, topics of interest for investigation, and how the degree aligns with professional and academic goals, with a maximum of 4000 characters. [4] Two letters of recommendation should be from a teacher, advisor, or employer who can evaluate the applicant's academic potential, motivations, and interests; one letter should be from a language instructor or someone who can directly address the applicant's language skills. [4] After the application is submitted, all applicants will be invited to complete an online video interview for language proficiency assessment. [4] GRE scores are not required. [4]",Optional,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,,,,"School of Modern Languages, Ivan Allen College of Liberal Arts",,,,,,,,"['French', 'German', 'Japanese', 'Spanish']","The Master of Science in Applied Languages and Intercultural Studies (M.S. ALIS) is one of the first professional master's degrees in foreign language and cultural studies in the United States with concentrations in French, German, Japanese, and Spanish. It emphasizes the real-world professional applications of language for a wide range of career paths, from communications and non-profit to business, engineering, and medicine in only 30 credit hours. [1] In addition to rigorous training in advanced-level language and cross-cultural communication, students have the opportunity to go abroad to study, do research, and complete for-credit internships. Students graduate with a professional portfolio in the language of concentration, positioning them to pursue a range of internationally oriented career paths. [1] The M.S. ALIS is also available as a five-year coterminal B.S./M.S. for Georgia Tech B.S. ALIS majors. [1]",,https://www.gatech.edu/academics/masters-degree-programs,,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based scholarships are available through the Ivan Allen College of Liberal Arts. [2],FALSE,,,FALSE,FALSE,,,
,Master of Architecture,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The M.Arch is a STEM-designated professional practice program of architecture that leads to licensure in architecture. Fully accredited by the National Architectural Accrediting Board (NAAB), this degree option provides flexibility for students who have an undergraduate degree with a major in architecture as well as those with a degree in a field other than architecture. The M.Arch. Program requires a minimum of 60 credit hours and a maximum of 102 credit hours of study, full-time and in-person, depending upon the applicant's prior education in architecture and the amount of advanced standing credit granted upon admission to the program. Please note: Successful completion of the Master of Architecture requires a minimum grade of C in all courses. Advanced standing credit is only granted for courses in which the student received a grade of A or B. Normally, a student admitted to the program with maximum advanced standing can expect to complete the program within two academic years (4 semesters) of full-time study. A student admitted to the program with no advanced standing can expect the program to require three years (7 semesters) or full-time study. Graduates from four-year undergraduate programs in architecture similar to that at Georgia Tech can normally expect to complete the program in two academic years, provided they have pursued architecturally related elective coursework during their undergraduate years.",,https://www.gatech.edu/academics/masters-degree-programs,Fully accredited by the National Architectural Accrediting Board (NAAB). [3],,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,92,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biomedical Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,,,"Applicants should have an undergraduate degree in Engineering, Science, Medicine, or Business with a grade-point average (GPA) of at least 3.0 overall. [12] Relevant experience in industry or through internships is considered a plus. [12]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"['Biomechanics', 'Biomedical Imaging', 'Cell, Tissue, and Biomaterials Engineering', 'Neuroengineering']","The Master of Science in Biomedical Engineering merges innovative research, cutting-edge technology, and interdisciplinary learning. Our master's program in biomedical engineering offers a transformative graduate experience that blends cutting-edge research, clinical immersion, and real-world industry collaboration. Students tackle complex biomedical challenges through hands-on learning and innovation. Enter the workforce prepared to make a meaningful impact in healthcare. This master's degree allows students to pursue advanced studies in biomedical engineering in the following areas: biomedical imaging and instrumentation, biomaterials and regenerative technologies, cellular engineering and mechanics, biomedical informatics and systems modeling, neuroengineering, and biomedical robotics. [3, 8]",,https://www.gatech.edu/academics/masters-degree-programs,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Biomedical Innovation and Development,,,,,Graduate,Fall 2026,,,,,Required,Not Required,REQUIRED,"To be competitive, you should have an undergraduate degree in any of the following: Engineering, Science, Medicine or Business. A grade-point average (GPA) of at least 3.0 overall with a 3.25 in your undergraduate major. Relevant experience in industry or through internships will be a plus. [2]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Wallace H. Coulter Department of Biomedical Engineering,,,,,,,,,"The MBID program is a professional, non-thesis master's degree focused on advancing biomedical technologies from concept to clinical application. [2] Students engage in interdisciplinary team-based projects that simulate the product development lifecycle, preparing them to lead in the medical device and healthcare innovation sectors. [2] The program brings together students from a diverse array of educational and professional backgrounds (e.g., engineering, sciences, medicine, nursing, etc.) to learn and work in multi-disciplinary teams on clinically relevant needs for new techniques and products for the medical industry. [3] The faculty, composed of medical device industry leaders, practicing clinicians and GT management professors, have created an industry relevant, real world based multi-disciplinary curriculum and teaching approach to educate graduate students from diverse backgrounds. [3]",,https://www.gatech.edu/academics/masters-degree-programs,,,,FALSE,True,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,100,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Business Administration in Master of Business Administration,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"A complete Full-time MBA online application includes an application fee and required essays, resume demonstrating post-graduate work experience, transcript from each college/university attended, two letters of recommendation, and official GMAT, GMAT Focus, or GRE scores from within the past five years (unless applying without scores under our test-optional admissions policy). [9]",Not Required,,False,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,"['Accounting', 'Entrepreneurship', 'Finance', 'Business Analytics', 'Leadership', 'Information Technology Management', 'Law', 'International Business', 'Marketing', 'Operations Management', 'Organizational Behavior', 'Sustainability', 'Real Estate Strategic Management', 'Leading Innovation']","Georgia Tech's Scheller College of Business offers the MBA for the 21st century, building business leaders who are innovative, entrepreneurially-minded, analytically-skilled, and can leverage technology in a global setting. [2, 19] Highly qualified candidates from all academic and professional backgrounds enter the program, which is designed to foster teamwork, diversity, and a closely knit network. [2, 19] The MBA program is offered in full-time, evening, and weekend executive formats. [2, 19] Some of the primary advantages of the MBA program include a close community that promotes enriched student-faculty relationships; classmates with diverse educational and work experiences; small class sizes that foster networking and a true understanding of the business environment; an innovative curriculum that keeps pace with the rapidly changing environment of business and technology. [2] The full-time and evening MBA programs requires 54 hours; 21 semester hours are core classes. This freedom permits students to customize a curriculum directed toward their own educational and career goals. [2]",,https://www.gatech.edu/academics/masters-degree-programs,The College is accredited by the Association to Advance Collegiate Schools of Business (AACSB) International. [4],,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,,,95,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
