Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"If you are an incoming first-year or undergraduate transfer applicant interested in pursuing one of the management majors, you must first apply and be accepted to the University at Buffalo. You can find all relevant information, including admissions criteria, the online application, dates and deadlines, and standardized test score requirements, by visiting UB Undergraduate Admissions. [9]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Accounting,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,"Admission to the Aerospace Engineering BS program is based on a holistic review of a student's application. Applicants should have a strong background in mathematics and science. Specific high school coursework that is recommended includes four years of mathematics (with calculus strongly recommended), four years of science (including physics and chemistry), and four years of English.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Aerospace Engineering,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,The university's undergraduate admissions page does not specify additional requirements beyond the general application for the Bachelor of Arts in African and African American Studies. Applicants should refer to the general first-year student application process.,Not Required,True,True,False,False,False,,,program,Bachelor of Arts in African and African American Studies,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,"For freshman admission, the State University of New York at Buffalo requires the submission of a completed application. All applicants should report their high school courses and grades. Additional information about activities and work experience can also be included.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in American Studies,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Required,UB accepts the SUNY Application and the Common Application. First-year applicants must submit one personal essay through their chosen application platform.,Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Anthropology,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,"For automatic admission to the architecture major, first-year students must have a 3.0 minimum cumulative GPA for all coursework attempted. [2]",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Architecture,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,"Application requirements for the Bachelor of Arts in Art History follow the general freshman application guidelines for the State University of New York at Buffalo. This includes the submission of an application via the Common Application or ApplySUNY, and a non-refundable application fee. An essay and letters of recommendation are not required for general admission.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Art History,https://www.buffalo.edu/admissions/academics/programs.html,,
,,,,True,True,,False,False,,,institute,Bachelor of Fine Arts in Art,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,"A Bachelor of Arts in Asian Studies major does not appear to be offered at the State University of New York at Buffalo, based on a review of the university's official website and undergraduate catalog. The university offers a minor in Asian Studies. General undergraduate application requirements are not specified for this program.",Not Required,False,False,False,False,False,,,program,Bachelor of Arts in Asian Studies,https://www.buffalo.edu/admissions/academics/programs.html,,
Not Required,Not Required,"Applicants may apply to UB using the Common Application, Coalition Application, or the SUNY Application. [3] A $50 application fee is required with each option. [9] UB requires your high school transcript. [9] UB strongly recommends the submission of at least one letter of recommendation from a school counselor, teacher, community member or employer. [9] The University at Buffalo has adopted a test-optional policy, meaning standardized test scores are not needed for admission. [4]",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biochemistry,https://www.buffalo.edu/admissions/academics/programs.html,,
