Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Not Required,Not Required,"Students may be admitted unconditionally if they have a high school GPA of 2.25 or higher. Required documents for admission include a completed Application for Admission, a $35 Application Fee, and an official High School Transcript. UNA is test optional; ACT/SAT scores are not required for admission.",Not Required,True,False,False,False,False,,,program,Associate of Science in Culinary Arts,https://catalog.una.edu/undergraduate/
,,,,True,False,False,False,False,,,program,Associate of Science in Hospitality and Events Management,https://hospitalityprep.com/hospitality-management-degree-in-alabama/
Not Required,Not Required,"To be considered for admission, applicants must submit an official high school transcript. The University of North Alabama is a test-optional institution for students applying with a 2.5 or higher high school GPA. For students who submit test scores, unconditional admission requires a minimum composite score of 18 on the ACT or a minimum of 940 on the SAT, along with a minimum high school GPA of 2.50. Conditional admission is possible with a minimum composite score of 16 on the ACT or 860 on the SAT and a minimum high school GPA of 2.00.",Not Required,True,True,False,False,False,,,program,Bachelor of Business Administration in Accounting,https://www.una.edu/business/undergraduate/bachelor-of-business-administration-bba/index.html
,,,,False,False,False,False,False,,,program,Bachelor of Science in Applied Health Science,https://publichealth.indiana.edu/undergraduate/degrees-majors/bs-applied-health-sciences/index.html
Not Required,Not Required,"Unconditional admission to the University may be granted to first-time freshmen who are graduates of a regionally accredited high school and meet one of the following criteria:
1. A minimum 2.50 cumulative high school GPA.
2. A minimum 2.00 cumulative high school GPA AND a minimum 18 ACT composite score or a minimum 960 SAT total score.

All students must submit an official high school transcript. The transcript must include the final senior grades, graduation date, and diploma type. Students must have completed the required number of high school courses.",Not Required,True,True,True,False,False,,,program,Bachelor of Arts in Biology,https://www.una.edu/biology/index.html
Not Required,Not Required,"Unconditional Admission may be granted to first-time freshman applicants who meet the following criteria: A minimum composite score of 18 on the ACT (or SAT equivalent of 960), A minimum of a 2.25 high school grade point average (GPA) on a 4.0 scale. First-time freshmen who have a 2.75 or higher high school GPA may be admitted to UNA without an ACT or SAT score.",Not Required,True,False,True,False,False,18.0,960.0,program,Bachelor of Science in Biology,https://catalog.una.edu/undergraduate/
Not Required,Not Required,Students with a 2.50 or higher high school grade point average (GPA) will be admitted without an ACT or SAT test score. Students with a 2.00-2.49 high school GPA must have a minimum 18 ACT or 960 SAT to be admitted. Students with a high school GPA below a 2.00 must submit a complete application for committee review.,Not Required,True,False,True,False,False,18.0,960.0,program,Bachelor of Science in Biology (Cellular & Molecular Biology Option),https://catalog.una.edu/undergraduate/
Not Required,Not Required,"To apply for freshman admission, applicants must complete the online application, pay the $35 application fee, and submit an official high school transcript. For students with a 3.0 GPA or higher, ACT/SAT scores are not required for admission. For students with a 2.99 GPA or lower, a minimum 18 ACT or 960 SAT score is required for regular admission.",Not Required,True,True,False,False,False,18.0,960.0,program,Bachelor of Business Administration in Business Administration (Flex),https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Unconditional Admission may be granted to applicants who are high school graduates, have an official ACT or SAT score, and a minimum 2.0 cumulative high school GPA. Test-Optional Admission may be granted to students with a 2.50 or higher cumulative high school GPA. Required documents include: a completed application, a $35 application fee, an official high school transcript, and official ACT or SAT scores (unless applying for Test-Optional Admission).",Not Required,True,False,True,False,False,,,program,Bachelor of Arts in Chemistry,https://catalog.una.edu/undergraduate/
Not Required,Not Required,"Prospective students must complete the online application for undergraduate admission, pay the non-refundable $35 application fee, and submit an official high school transcript. The University of North Alabama offers test-optional admission to students with a 2.50 or higher high school GPA. For students who do not meet the test-optional criteria, official ACT or SAT scores must be submitted.",Not Required,True,False,True,False,False,16.0,,program,Bachelor of Science in Chemistry,https://www.una.edu/chemistryandphysics/index.html
,,"As there are no specific admission requirements listed for the Bachelor of Fine Arts in Cinematic Arts and Theatre program, the general freshman admission requirements for the university apply. According to the university's freshman requirements page, first-time freshmen are not required to submit an ACT or SAT score for admission. Unconditional admission is granted to students with a 2.25 GPA. Required documents include an official high school transcript. Submission of ACT or SAT scores is optional.",,True,False,False,False,False,,,program,Bachelor of Fine Arts in Cinematic Arts and Theatre,https://catalog.una.edu/undergraduate/colleges-programs/arts-sciences/school-arts/cinematic-arts-theatre/bfa/
Not Required,Not Required,"General undergraduate admission to the University of North Alabama is required. For unconditional admission, applicants must have a minimum of a 2.25 high school GPA and a minimum ACT composite score of 18 (or SAT equivalent of 940). For conditional admission, applicants must have a minimum of a 2.00 high school GPA and a minimum ACT composite score of 16 (or SAT equivalent of 860). A test-optional admission path is available for students with a 2.75 GPA or higher.",Not Required,True,True,False,False,False,16.0,860.0,program,Bachelor of Arts in Communication Arts,https://www.una.edu/communication/Degree%20Program/communications-majors/communication-studies.html
