Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Arts in Applied History and Public Humanities,,,,,Master of Arts,Fall,,,February 15,,,Not Required,Applicants whose native language is not English must submit evidence of English language proficiency.,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Buchtel College of Arts and Sciences,"$11,547/Year (Resident); $17,392.68/Year (Non-Resident)",,,,,,,"The Department of History's Master of Arts in Applied History and Public Humanities is an innovative program that offers graduate training in history within a publicly-engaged framework. The program balances rigorous academic training in history with practical applications in the broad field of public humanities, including public history, museums, archives, digital humanities and civic engagement. In addition to a core curriculum in history and public humanities, students gain professional experience through internships and build an online portfolio of their work. The program is ideal for students who wish to pursue a career in the public humanities or a related field, as well as for those who wish to pursue a Ph.D. in history but also want skills and experience that will prepare them for a wider range of professions.",,https://www.uakron.edu/academics_majors/graduate_programs/,,,$641.50 (Resident); $966.26 (Non-Resident),,,,4.0,3.0,,1201-1400,,,,,,,,,11547,,,,,,,,,,,105.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,Full-tuition scholarship and a stipend,,Graduate Assistantships,,,,,,,
,Certificate in Applied Politics,,,,,Certificate,"Fall, Spring, Summer",,,,,,Not Required,International applicants must demonstrate English language proficiency. Accepted proofs include: TOEFL with a minimum score of 79 iBT or 550 PBT; IELTS with a minimum overall band score of 6.5; PTE Academic with a minimum score of 53; Duolingo English Test with a minimum score of 110; or successful completion of Level 112 of the ELS English for Academic Purposes.,"To be admitted to the certificate program, a student must have a baccalaureate degree from an accredited institution of higher learning. Students must meet the standards for admission to The University of Akron Graduate School (including a 2.75 minimum undergraduate GPA). No GRE scores are required for admission into the certificate program.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Buchtel College of Arts and Sciences,"$9,421.50 for the 15-credit program (based on the Ohio Resident Distance Learning rate of $628.10 per credit hour)",,,,,,,The Certificate in Applied Politics is a valuable credential that gives you the knowledge and skills needed to become a leader in political and civic life. The certificate program will allow you to deepen your knowledge of American politics and gain insights into political behavior and processes. You can use the certificate to work toward a full Master of Applied Politics degree. You can earn the certificate as a stand-alone credential or in addition to another graduate degree.,,https://www.uakron.edu/academics_majors/graduate_programs/,,,628.10,False,False,,4.0,2.75,,,,,,,,,,,9421.5,,,,,,,False,False,,,110.0,,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Arts Administration,,,,,Master of Arts,"Fall, Spring",,,,Required,Required,Not Required,"International applicants are required to provide evidence of English proficiency. The Graduate School's minimum required scores are: TOEFL iBT 79 (or 550 PBT), IELTS 6.5, PTE Academic 53, or Duolingo English Test 110. Completion of ELS Language Centers level 112 is also accepted.","To be considered for admission, you will need to complete the following steps:

- Complete the online application
- Pay the application fee
- Submit transcripts from all colleges and universities attended.
- Three letters of recommendation
- A current resume or curriculum vitae
- A statement of purpose (a two-page essay addressing your interest in the program and your career goals).
- International applicants: please note additional requirements.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,"School of Dance, Theatre, and Arts Administration",,,,,,,,"Our Master of Arts in Arts Administration (MAAA) program is designed to develop the next generation of creative and innovative leaders in the nonprofit arts sector. Courses are taught by a blend of full-time faculty and community-based practitioners, bringing both academic and real-world experience to the classroom. The program focuses on hands-on application of concepts learned in the classroom, offering multiple opportunities for field-based learning. The capstone experience is an immersive internship that launches students into their professional careers. The MAAA degree provides a rich academic curriculum that partners with the College of Business to address critical topics such as management, marketing, fundraising, finance, entrepreneurship, and board development. We also work with other campus partners to offer additional electives in areas such as social media, event planning and higher education administration.",,https://www.uakron.edu/dtaa/artsadmin/,,,$551.20 per credit hour (in-state); $857.00 per credit hour (out-of-state),True,False,,4.0,2.75,,1201-1400,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"Full tuition waiver and a stipend of $10,000 for the academic year.",,Graduate Assistantships,,,,,,,
,Master of Arts in English: Composition,,,,,Master of Arts,Fall,,,February 1,Not Required,Required,Not Required,"Applicants whose native language is not English are required to demonstrate objectivity of English language proficiency. Acceptable evidence includes one of the following: Test of English as a Foreign Language (TOEFL) - minimum score of 79 on the internet-based test (iBT), 550 on the paper-based test (pBT); International English Language Testing System (IELTS) - minimum score of 6.5; Pearson Test of English (PTE) Academic - minimum score of 53; Duolingo English Test - minimum score of 105; Successful completion of Level 112 of the ELS Language Centers intensive program.","To be considered for admission to the Master of Arts in English program, a student must have a bachelor's degree from an accredited college or university. Usually, this is a degree in English, with at least 24 semester credits in English beyond the first-year composition courses. Students who do not have an undergraduate major in English may be considered for admission if their records show evidence of ability to do graduate work in English. Such students may be required to take some undergraduate English courses to provide an adequate background for their graduate studies. The Department of English does not require Graduate Record Examination (GRE) scores for admission to the MA program. The basic requirements for an application are: A completed online application to The University of Akron Graduate School; Transcripts from all colleges and universities attended; Three letters of recommendation; A statement of purpose; A writing sample.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Buchtel College of Arts and Sciences,,,,,,,Composition,"The Master of Arts in English at The University of Akron provides students with a strong foundation in literary study and composition. The M.A. program in English has two concentrations: one in Composition and one in Literature. Students work with distinguished faculty who publish and present their research nationally and internationally and who bring their excitement about literature and writing into the classroom. The M.A. in English at UA offers excellent preparation for students interested in Ph.D. programs and in teaching at the secondary or post-secondary levels. Our graduates have also gone on to successful careers in a variety of fields, including editing, marketing, technical writing, and business.",,https://www.uakron.edu/academics_majors/graduate_programs/,,,"Ohio Resident: $570.10/credit, Non-Resident: $891.98/credit",,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"$12,500 stipend (for 2023-2024)",Full tuition waiver available via assistantship,Graduate Assistantships,,,,,,,
,Master of Arts in English: Literature,,,,,,Fall,,,,,,Not Required,"All applicants whose native language is not English must demonstrate English language proficiency. Accepted tests and minimum scores include: TOEFL iBT (79) or PBT (550), IELTS (6.5), PTE Academic (53), Duolingo (110), or successful completion of ELS level 112.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Buchtel College of Arts and Sciences,,,,,,,Literature,"The Master of Arts in English at The University of Akron provides students with an intellectually stimulating and collegial environment to develop a broad knowledge of literary and cultural traditions, to refine their analytical skills, and to develop their abilities as writers, scholars, and teachers. The M.A. in English has long provided an excellent foundation for students who plan to continue their work at the doctoral level, as well as for those who wish to pursue careers in such fields as teaching, writing, editing, and public relations. Our graduates have pursued doctoral study at institutions such as The Ohio State University, the University of Virginia, the University of Texas-Austin, the University of Southern California, the University of North Carolina, the University of Georgia, Pennsylvania State University, Kent State University, and Case Western Reserve University.",,https://english.osu.edu/,,12000,"Ohio Resident: $552.63, Non-Resident: $854.23",,,,4.0,3.0,,,,,,,,,,,17684.16,,,,,,,,,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"$12,000 stipend plus a full tuition waiver",100%,Graduate Assistantship,,,,,,,
,Master of Science in Geology,,,,,,Fall,,,,,,Not Required,"All international applicants must demonstrate English language proficiency. The Graduate School accepts several standardized tests for this purpose, including TOEFL (minimum 79 iBT or 550 PBT), IELTS (minimum 6.5), PTE Academic (minimum 53), Duolingo English Test (minimum 105), or completion of ELS Level 112.",,,,,,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,Buchtel College of Arts & Sciences,"$11,996.10/Year (Resident), $20,296.26/Year (Non-Resident)",,,,,,,The Master of Science in Geology program is designed to provide graduate education for students who wish to pursue a professional career in geology or continue with a doctoral degree and for those individuals already employed in the geological or environmental fields who desire to expand their knowledge of the geosciences. The program provides an opportunity for students to do independent research in an area of their own choosing under the supervision of a a faculty member. The department offers a thesis and a non-thesis option for the M.S. degree. Students should consult with their advisor on which of the two options is best suited for their academic and career goals.,,https://bulletin.uakron.edu/graduate/colleges-programs/arts-sciences/geosciences/geology-ms/,,"$18,000 stipend plus full tuition waiver","$666.45 (Resident), $1127.57 (Non-Resident)",,,,4.0,3.0,,,,,,,,,,,"$11,996.10/Year (Resident), $20,296.26/Year (Non-Resident)",,,,,,,,,,,105.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"Stipend of approximately $18,000 for the nine-month academic year and a full tuition scholarship.",100% tuition waiver for students with assistantships,Teaching and research assistantships,,,,,,,
,PhD in Integrated Bioscience,,,,,PhD,Fall,,,January 15,Required,Required,Optional,"All international students must submit proof of English language proficiency. A minimum TOEFL score of 79 (Internet-based) or 550 (paper-based), or a minimum IELTS score of 6.5 is required for full admission to the Graduate School. Other accepted tests include the PTE Academic (53), Duolingo English Test (110), or completion of ELS Level 112.","A four-year baccalaureate degree (or its equivalent in other countries) in a science, technology, engineering, or mathematics discipline, from an accredited college or university. A GPA of at least 3.0 out of 4.0. Transcripts. Statement of purpose. Three letters of recommendation. Curriculum vitae (CV) or resume. GRE is optional. TOEFL/IELTS for international students.",,,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,Buchtel College of Arts and Sciences,,,,,,,,"The Integrated Bioscience Ph.D. Program at The University of Akron provides students with a broad background in the life sciences, an intensive research experience in a specialized area, and a curriculum focused on the professional skills required for successful careers. This interdisciplinary program has its administrative home in the Department of Biology but includes faculty from the departments of Biomedical Engineering, Chemistry, Geosciences and Polymer Science. The University of Akron is home to a world-renowned program in polymer science and a rapidly growing program in biomedical engineering. The University's Biomimicry Research and Innovation Center is the only one of its kind in the United States. In addition, the University has partnerships with the Cleveland Clinic Foundation, area hospitals, and is a member of the Northeastern Ohio Medical University (NEOMED). The Integrated Bioscience Program is also part of The University of Akron's new EX[L] Center for Experiential Learning and Civic Engagement. This allows us to provide our graduate students with unique opportunities to integrate research and classroom learning with professional experience through internships and teaching opportunities.",,https://www.uakron.edu/academics_majors/graduate_programs/,,,"$632.30/credit (Ohio Resident), $962.48/credit (Non-Ohio Resident)",False,True,,4.0,3.0,,1201-1400,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,23000,100%,Graduate Assistantships,,,,,,,
,Master of Science in Mathematics: Applied Mathematics,,,,,,"Fall, Spring",,,,,,Not Required,"For international students, proof of English language proficiency is required. Acceptable options include a minimum TOEFL iBT score of 79, TOEFL PBT score of 550, IELTS score of 6.5, PTE Academic score of 53, or Duolingo English Test (DET) score of 110.",,,,,,True,True,False,False,False,True,False,False,False,True,True,True,False,False,,,,Buchtel College of Arts and Sciences,"Ohio Resident (Graduate): approx. $11,126 per year; Non-Ohio Resident (Graduate): approx. $17,163 per year. Based on 2023-24 rates for 9 credits per semester.",,,,,,,,,https://science.indianapolis.iu.edu/academics/degrees-and-programs/_degrees/mathematics-ms-iupui-mathms.html,,,"Ohio Resident: $618.11, Non-Ohio Resident: $953.51",,,,4.0,3.0,,1001-1200,,,,,,,,,,,,,,,,,,,,110.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,Graduate Teaching Assistantships,,,,,,,
,Master of Arts in Political Science: Applied Politics,,,,,Master of Arts,"Fall, Spring",,,,Not Required,Required,Optional,"International applicants must demonstrate English language proficiency by submitting official scores from one of the following examinations: TOEFL iBT (minimum 79), TOEFL PBT (minimum 550), IELTS (minimum 6.5), PTE (minimum 53), Duolingo English Test (minimum 105), or successful completion of ELS Level 112.","To be considered for admission, applicants must have a bachelor’s degree from an accredited institution. A grade point average of 3.0 on a 4.0 scale is required. However, students with a GPA between 2.75 and 3.0 may be considered for conditional admission. In addition, applicants should submit: Three letters of recommendation from college instructors who are familiar with your academic work. A statement of purpose (no more than 500 words) that describes your reasons for seeking a master’s degree in applied politics at The University of Akron. A sample of your written academic work (e.g., a term paper from an upper-division course).",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Buchtel College of Arts and Sciences,"Ohio Resident: $8,480.10/Year; Non-Ohio Resident: $12,917.40/Year",,,,,,Applied Politics,"The M.A. in Applied Politics at The University of Akron focuses on politics in the real world. This degree option can equip students to go on for further graduate work in political science and/or to be better informed and engaged citizens. Most students, however, will be interested in a career in politics. Our applied politics program is specifically designed to prepare students for such careers, as campaign managers, fundraisers, political consultants, lobbyists, legislative staff, and in other positions at the local, state, or federal level. The University of Akron’s location provides students with a variety of opportunities. Summit County and neighboring counties have provided UA students with internships in local political parties, numerous campaigns, government offices in Akron, and the county courthouse. Our proximity to the state capital in Columbus has also led to student internships with the Ohio Legislature and the governor’s office. Some of our students have even interned in Washington, D.C.",,https://www.uakron.edu/academics_majors/graduate_programs/,,,Ohio Resident: $565.34/credit; Non-Ohio Resident: $861.16/credit,True,False,,4.0,3.0,,,,,,,,,,,"Ohio Resident: $8,480.10/Year; Non-Ohio Resident: $12,917.40/Year",,,,,,,False,False,,,105.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,"Graduate assistantships provide a full tuition waiver and a minimum stipend of $12,000 for a 9-month appointment.",,Graduate Assistantships,,,,,,,
,Master of Science in Polymer Engineering,,,,,,"Fall, Spring, Summer",,,,,,Not Required,"Applicants who are not native speakers of English must provide evidence of English proficiency. Accepted tests include: TOEFL (79 Internet-based or 550 paper-based), IELTS (6.5), PTE Academic (53), Duolingo (105), or ELS (Completion of Level 112).",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Polymer Science and Polymer Engineering,"$18,383.40/Year",,,,,,,"The University of Akron's Master of Science (M.S.) in Polymer Engineering program provides students with a thorough understanding of the engineering principles and practices in the polymer industry. The Polymer Engineering M.S. degree is a non-thesis degree that is course-work intensive. Students in this program strengthen their marketability by taking a variety of courses including polymer processing, rheology, composites, thermodynamics, and transport phenomena, among others. The Polymer Engineering M.S. can also be a stepping stone towards a Ph.D. in Polymer Engineering.",,https://www.uakron.edu/polymer/programs/ms-polymer-engineering,,,"$662.30/credit (Resident), $1,021.30/credit (Non-Resident)",,,,4.0,3.0,,801-1000,,,,,,,,,"$18,383.40/Year",,,,,,,,,,,105.0,112.0,,,6.5,,,53.0,,79.0,,,,,,,,,,,,,"Fellowships, Research Assistantships, Teaching Assistantships",,,,,,,
