Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Science in Accounting,,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,All applicants to the School of Graduate Studies whose native language is not English must demonstrate English proficiency through one of the following: Test of English as a Foreign Language (TOEFL) iBT - 79; TOEFL Essentials - 8.5; International English Language Testing System (IELTS) - 6.0; Pearson Test of English (PTE) - 53; Duolingo - 110; Successful completion of the English as a Second Language (ESL) program - Level 112 certificate of completion from an ELS Language Center.,"To be considered for admission to the Master of Science in Accounting (M.S.A.) program, applicants must meet the general requirements for admission to graduate studies at UMKC and meet the following program requirements: Completion of a bachelor's degree from an accredited institution, GMAT/GRE is currently optional, Cumulative undergraduate GPA of 3.0 or higher, Prerequisite course completion. Required documents for all applicants: Completed online application, Official transcripts from all previously attended institutions, Official GMAT or GRE score report (if applicable), Resume, Personal statement. International students have additional requirements.",Not Required,,False,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,Henry W. Bloch School of Management,"Missouri Resident: $19,986 (total for 30 credits); Non-Resident: $37,965 (total for 30 credits)",,,,,,"Financial Accounting/Auditing, Taxation",The Master of Science in Accounting (MSA) program at the Bloch School of Management is designed for students with an undergraduate degree in accounting who want to complete the 150-hour requirement for CPA licensure and gain more specialized knowledge in specific areas of accounting. Our MSA program is for students who have a bachelor’s degree in accounting (or the equivalent coursework).,,https://sgs.umkc.edu/academics/master-programs.html,The Bloch School holds dual accreditation from the Association to Advance Collegiate Schools of Business (AACSB) for both our business and accounting programs.,,"Missouri Resident: $666.20/credit hour; Non-Resident: $1,265.50/credit hour",,False,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"$500 to $5,000",,"Merit-based, Departmental",,,,,,,
,Master of Fine Arts in Acting and Directing,,,,,,Fall,,,,,,Not Required,"Applicants who are not native speakers of English must demonstrate English proficiency. Acceptable forms of documentation include official scores from the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), Pearson Test of English (PTE) or Duolingo.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,Conservatory,31416,,,,,,"['Acting Emphasis', 'Directing Emphasis']","The MFA in Acting and Directing is a three-year, 60-credit hour terminal degree program. In conjunction with our partner, the Kansas City Repertory Theatre (an Equity LORT B theatre), the UMKC Theatre MFA program is dedicated to the training of the total theatre artist. The program provides an environment in which a select company of gifted students receive conservatory training in conjunction with a professional theatre. The successful completion of three years of training will culminate in the Master of Fine Arts degree. This program is designed to develop highly skilled actors and directors who can translate their training into successful careers in the professional theatre. This is primarily accomplished through intensive studio work, a rigorous production schedule, and the unique opportunity to work alongside the professionals at the Kansas City Repertory Theatre.",,https://catalog.umkc.edu/colleges-schools/conservatory/theatre/master-of-fine-arts-acting-directing/,UMKC Theatre is an accredited institutional member of the National Association of Schools of Theatre (NAST). UMKC's Graduate Acting Program is a member of the University/Resident Theatre Association (U/RTA).,"$14,000 stipend per academic year + full tuition waiver","Resident: $665.40/credit hour; Non-Resident: $1,570.80/credit hour",,,2.0,4.0,3.0,,,,,,,,,,,31416,,,,,,,,,,,115.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"$14,000 stipend per academic year + full tuition waiver",100% tuition waiver,Tuition waiver and graduate teaching assistantship,,,,,,,
,Master of Science in Anesthesia,,,,,Masters,,,,,,,Not Required,,,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,School of Medicine,"$40,885.80/Year",,,,,,,"The Master of Science in Anesthesia Program at the University of Missouri-Kansas City School of Medicine is a 28-month graduate program that prepares students for a career as a Certified Anesthesiologist Assistant (CAA). The UMKC MSA Program is fully accredited by the Commission on Accreditation of Allied Health Education Programs (CAAHEP). Certified Anesthesiologist Assistants are highly skilled health professionals who work under the direction of licensed anesthesiologists to implement anesthesia care plans. CAAs work exclusively within the anesthesia care team environment as described by the American Society of Anesthesiologists (ASA). All CAAs must be graduates of a master's level CAAHEP accredited program, and must pass a certifying examination administered by the National Commission for Certification of Anesthesiologist Assistants (NCCAA). The UMKC MSA Program is administered within the School of Medicine, and the clinical instruction is provided by the Department of Anesthesiology. The curriculum provides a strong foundation in the basic and clinical sciences relevant to the practice of anesthesiology, and emphasizes the development of the cognitive, psychomotor, and affective skills necessary for the delivery of safe, effective, and compassionate anesthetic care.",,https://catalog.umkc.edu/colleges-schools/medicine/graduate-programs/master-of-science-anesthesia-program/master-of-science-anesthesia-program.pdf,The UMKC MSA Program is fully accredited by the Commission on Accreditation of Allied Health Education Programs (CAAHEP).,,,,,1.0,4.0,3.0,Approx. 9.6% for the Class of 2025,,,,,,,,,,"$40,885.80/Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Arts in Art History,,,,,,"Fall, Spring",,,,Required,Required,Not Required,"Applicants whose native language is not English must meet UMKC's English language proficiency requirements. Minimum scores for graduate students are: Internet-based TOEFL (iBT) or TOEFL iBT Home Edition score of 80 or higher, Paper-based TOEFL (pBT) score of 550 or higher, IELTS or IELTS Indicator score of 6.0 or higher, Pearson Test of English (PTE) score of 53 or higher, Duolingo English Test score of 105 or higher, or successful completion of the English Language Services (ELS) Level 112.","Admission to the Master of Arts Program in Art History is based on an evaluation of the following materials: A completed UMKC Graduate Application; Official transcripts of all previous college and university work; A minimum grade-point average of 3.0 on a 4.0 scale in all previous college and university work, and a 3.2 in all art history coursework; Three letters of recommendation from former instructors or other qualified persons who can assess the applicant’s capacity for graduate study; A curriculum vitae (CV); A one-to-two-page statement of intent describing the applicant’s past academic training, interests in art history, and professional goals; A writing sample (10-20 pages) that demonstrates the applicant’s research and writing abilities; International students must also submit TOEFL scores of at least 80 (Internet-based) or IELTS scores of 6.0.",Required,,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,College of Arts and Sciences,,,,,,,,"The Master of Arts in Art History program offers a comprehensive curriculum that encompasses a wide variety of historical periods and diverse cultural traditions. The program provides two years of specialized art historical study and is designed for students who desire a strong background in art history, research methodology, and critical theory. Students gain a solid foundation in the history of art and acquire research, writing and critical thinking skills that can be applied to many different professional opportunities. The program prepares graduates for doctoral studies and for careers as curators in museums, galleries, and corporate collections, as well as positions in arts administration, publishing, historic preservation, and education.",,https://sgs.umkc.edu/academics/master-programs.html,,,,,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,"stipend of about $14,000 for the academic year",,"Graduate Teaching Assistantships, Fellowships",,,,,,,
,Master of Arts in Bioinformatics,,,,,,"Fall, Spring, Summer",,,"Fall: June 1 (Domestic), May 1 (International)",Required,Required,Not Required,"International students must meet the English proficiency requirements of the School of Graduate Studies. Accepted tests include TOEFL with a minimum score of 79 (internet-based) or 550 (paper-based), IELTS with a minimum overall score of 6.0, PTE Academic with a minimum score of 53, or Duolingo with a minimum score of 105. Exemptions are available for students who have graduated from institutions in countries where English is the native language.","Applicants must meet all requirements of the School of Graduate Studies. Bachelor’s degree from an accredited institution. Must have completed two semesters of biology, two semesters of general chemistry, and at least one semester of organic chemistry. A cumulative GPA of at least 3.0 (on a 4.0 scale) in the bachelor's degree-conferring institution. Applicants whose native language is not English must demonstrate English proficiency. UMKC’s English proficiency requirements for graduate students can be found here. Official transcripts from all post-secondary institutions. Three letters of recommendation. These should be from professionals or academics who can attest to your academic potential and character. A personal statement addressing your interest in bioinformatics, your career goals, and why you believe you are a good fit for our program. A current resume or curriculum vitae (CV). GRE scores are optional. If you choose to submit them, they will be considered as part of a holistic review of your application.",,,True,True,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,School of Science and Engineering,"$11,331/Year (Resident); $23,486.40/Year (Non-Resident)",,,,,,,,,https://sgs.umkc.edu/academics/master-programs.html,,,"$629.50/credit (Resident); $1,304.80/credit (Non-Resident)",False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.0,,,53.0,,79.0,,,,,,,,,,,"Up to $8,500 for the Chancellor's Non-Resident Award; $1,000 for the School of Graduate Studies Fellowship.",,"Assistantships, Fellowships, Scholarships",,,,,,,
,Master of Arts in Biology,,,,,Master of Arts,"Fall, Spring",,,,,,Not Required,"International applicants must demonstrate English language proficiency to be considered for admission to UMKC. Applicants must submit official scores from one of the following exams, taken within the last two years: Test of English as a Foreign Language (TOEFL) iBT - minimum score 79, International English Language Testing System (IELTS) - minimum score 6.0, Pearson Test of English (PTE) - minimum score 53, Duolingo English Test - minimum score 105.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,School of Science and Engineering,"$6,792.80/Semester (Resident, estimate for 9 credits)",,,,,,,"The Master of Arts in Biology is designed to provide students with a broad background in biology, allowing them to pursue a variety of career objectives. Students may use the degree as a terminal degree, a preparatory step for further professional training (e.g., medicine, dentistry), or a stepping stone for Ph.D. study. The M.A. in biology is offered under two options: thesis and non-thesis. The thesis option involves a significant research experience and provides a better preparation for Ph.D. study. Both thesis and non-thesis options allow coursework to be taken from within the School of Science and Engineering and from the professional schools of Medicine, Dentistry, and Pharmacy.",,https://catalog.umkc.edu/colleges-schools/science-engineering/biology/master-of-arts-biology/,,,"$575.10/credit hour (Resident), $1,249.50/credit hour (Non-Resident)",,,,4.0,3.0,,,,,,,,,,,"$6,792.80/Semester (Resident, estimate for 9 credits)",,,,,,,,,,,105.0,,,,6.0,,,53.0,,79.0,,,,,,,,,,,,,Graduate teaching assistantships,,,,,,,
,Master of Business Administration in Business Administration,,,,,MBA,"Fall, Spring, Summer",,,,Required,Required,Optional,All applicants whose native language is not English must demonstrate English proficiency through one of the following options prior to admission.,A completed online application. Official transcripts from all previously attended colleges and universities. A current resume. A one-page personal statement outlining your professional goals. Official GMAT or GRE score reports.,,,False,False,True,True,False,False,0.0,True,False,False,False,True,True,False,False,False,,,,Henry W. Bloch School of Management,"Missouri Resident: $30,254.40, Non-Resident: $55,454.40",,,,,,"Business Analytics, Entrepreneurship and Innovation, Finance, Leading and Managing People, Marketing, Supply Chain Management, General Management","The UMKC Bloch School Professional Master of Business Administration (PMBA) is Kansas City's premier part-time MBA program, designed to help working professionals advance their careers. It's the only AACSB-accredited program in the region that allows students to choose from seven focus areas and earn a graduate certificate while completing their MBA at no extra cost. In just two years, you can earn your degree and elevate your future. A convenient, flexible schedule helps you balance school, work and life. Classes are offered one night a week in a hybrid format, allowing for both online and in-person instruction.",,https://bloch.umkc.edu/enroll-pmba/,AACSB-accredited,,"Missouri Resident: $840.40, Non-Resident: $1,540.40",False,True,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,120.0,112.0,,,6.0,,,53.0,,80.0,,,,,,,,,,,"Up to $2,000",,Merit-based,,,,,,,
,Master of Science in Cell and Molecular Biology,,,,,,"Fall, Spring",,,,Required,Required,Not Required,"All applicants to the School of Graduate Studies whose native language is not English must demonstrate English proficiency through one of the following: a minimum TOEFL (iBT) score of 80, a minimum IELTS score of 6.0, a minimum PTE score of 53, a minimum Duolingo score of 110, or successful completion of ELS level 112 with a grade of B or better.","Minimum GPA of 3.0. Required Application Materials: Unofficial transcripts from all previously attended institutions, Statement of purpose, Three letters of recommendation, Resume or curriculum vitae, Official GRE scores. The GRE may be waived for applicants with a 3.2 GPA or higher, but is otherwise required for admission. UMKC's institutional code is 6872. Official TOEFL, IELTS, PTE or Duolingo scores (for international students).",Not Required,,False,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,School of Science and Engineering,,,,,,,"['Research-based thesis emphasis', 'Non-thesis coursework-based emphasis']","The Master of Science program in Cell and Molecular Biology offers students the opportunity to choose between two emphases: a research-based thesis emphasis, or a non-thesis coursework-based emphasis. The thesis option provides graduate students with extensive laboratory training that prepares them for future work in an academic or industrial research setting, or for continuing on to Ph.D. or professional programs. The non-thesis option enables students to strengthen their science backgrounds through coursework for various reasons, including to prepare for professional school or for career advancement. All students will work with a faculty advisor in the School of Science and Engineering to tailor their educational program to suit their career interests.",,https://sgs.umkc.edu/academics/master-programs.html,,,,False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,110.0,,,,6.0,,,53.0,,80.0,,,,,,,,,,,,,"Teaching assistantships, research assistantships, graduate fellowships",,,,,,,
,Master of Science in Chemistry (non-thesis),,,,,,"Fall, Spring",,,,,,GRE,"For international applicants, a TOEFL score of 550 (paper-based) or 213 (computer-based) or 79 (Internet-based); or an IELTS score of 6.0.",,,,,,False,False,True,False,1.0,False,False,False,False,False,False,False,False,False,,,,School of Science and Engineering,"Resident: ~$16,611; Non-Resident: ~$38,412. This is an estimated total program tuition based on 30 credit hours and the 2023-2024 per-credit rate.",,,,,,,"The Master of Science in Chemistry provides advanced training in specialized fields of chemistry and is designed to prepare students for professional employment in chemistry, for teaching chemistry at the secondary or community college level or for admission to a Ph.D. program in chemistry or a related discipline.",,https://sgs.umkc.edu/academics/master-programs.html,,,"Resident: $553.70/credit hour; Non-Resident: $1,280.40/credit hour (for Master's programs in the School of Science and Engineering, as of 2023-2024 rates).",,,2.0,4.0,3.0,,,,,,,,,,,"Resident: ~$16,611; Non-Resident: ~$38,412. This is an estimated total program tuition based on 30 credit hours and the 2023-2024 per-credit rate.",,,,,,,,,,,,,,A combined verbal and quantitative score of 300 is desired,6.0,,,,,79.0,,,,,,,,,,,"Varies by award. For example, the Arthur Mag Graduate Fellowship provides a $12,500 stipend and the UMKC Trustees' Scholar Award is for $1,000.",,Merit-based fellowships and scholarships,,,,,,,
,Master of Science in Chemistry (thesis),,,,,Master of Science,"Fall, Spring",,,,Required,Required,Optional,"All applicants to UMKC whose native language is not English must demonstrate English proficiency before admission. This requirement can be satisfied by submitting official scores for one of the following exams: a score of 79 or higher on the Test of English as a Foreign Language (TOEFL) iBT, a score of 550 or higher on the TOEFL pBT, a score of 6.0 or higher on the International English Language Testing System (IELTS), a score of 53 or higher on the Pearson Test of English (PTE), a score of 120 or higher on the Duolingo English Test, or successful completion of Level 112 at an ELS Language Center.","For admission to the M.S. program, a student must have completed the equivalent of an undergraduate major in chemistry at a college or university of recognized standing. This major must have included a year of physical chemistry based on calculus. The undergraduate grade-point average should be at least 3.0 (on a 4.0 scale). Exceptions can be made on the recommendation of the chemistry graduate committee. A student with minor deficiencies in undergraduate training may be admitted, but the deficiencies must be removed without graduate credit.",,,False,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,School of Science and Engineering,,,,,,,,"The Department of Chemistry offers graduate work leading to the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees in chemistry. Major areas of study are analytical, inorganic, organic and physical chemistry. The M.S. program is offered with either a thesis or non-thesis option, and is designed for students seeking positions in industrial research and/or development, government laboratories, and teaching. A thesis M.S. degree is strongly recommended for students who plan to enter a Ph.D. program. The thesis-based M.S. degree requires the satisfactory completion of 30 credit hours. An oral defense of a written thesis describing an original research project is required.",,https://catalog.umkc.edu/colleges-schools/science-engineering/chemistry/master-of-science-thesis-based/,,,"Missouri Resident: $559.50 per credit hour; Non-Resident: $1,240.80 per credit hour (2023-2024 rates)",,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,112.0,,,6.0,,,53.0,,79.0,,,,,,,,,,,"The nine-month stipend for a Graduate Teaching Assistant (GTA) is $17,000, and educational fees are typically waived.",,"Graduate Teaching Assistantships (GTAs), Graduate Research Assistantships (GRAs)",,,,,,,
