Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Doctor of Business Administration,,,,,,,,,,,,Not Required,"Proof of English proficiency is required. This can be met by submitting one of the following: TOEFL score of 80 (iBT), IELTS score of 6.5, PTE score of 53, Duolingo score of 115, a transcript from a high school, college, or university where English is the language of instruction, an official transcript showing completion of an English Composition course with a grade of C or higher from an accredited U.S. college or university, or proof of successful completion of an approved ESL program.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,57000,,,,,,"['Organizational Leadership and Development', 'Strategic Management and Innovation', 'Performance and Talent Management']","The Doctor of Business Administration is designed for seasoned business professionals who hold a master’s degree and want to elevate their strategic leadership to the highest level. The program is 54 credits and takes approximately three years to complete. Students will work one-on-one with a faculty advisor to guide them through their research and dissertation from the first day to their last. The program is ideal for leaders, executives, consultants and university-level educators who want to challenge themselves and contribute to the growth and development of their profession. Graduates will be positioned to use their expertise to influence strategic decisions within their organizations by applying research-based solutions to real-world business challenges. The program prepares students to demonstrate mastery in qualitative and quantitative research design and data collection. Additionally, students will develop skills to analyze, synthesize, and evaluate business principles and practices in a global economy.",,https://post.edu/blog/post-expands-graduate-programs-with-doctor-of-business-administration-degree/,,,950,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,115.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,,,,,,,
,Doctor of Nursing Practice,,,,,Doctoral,,,,,,,Not Required,,,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The American Sentinel College of Nursing & Health Sciences,27000,,,,,,"['Systems Leadership', 'Professional Leadership']","Post University’s online Doctor of Nursing Practice (DNP) degree is the highest level of clinical nursing education available, designed to prepare you with the skills and knowledge to take on leadership roles, influence health policy, and improve patient outcomes. Our program will equip you to contribute to and apply evidence-based research to improve patient care and guide your practice.",,https://post.edu/wp-content/uploads/2023/12/POST_ASC_DNP_Overview_R18-PEM.pdf,The Doctor of Nursing Practice program at Post University is pursuing initial accreditation by the Commission on Collegiate Nursing Education (http://www.ccneaccreditation.org). Applying for accreditation does not guarantee that accreditation will be granted.,,750,,,,4.0,3.0,,,,,,,,,,,27050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Business Administration,,,,,Masters,Multiple start dates throughout the year (8-week terms),,,,,,Not Required,"Applicants whose native language is not English must provide proof of English proficiency. This can be met through one of several options, including a minimum TOEFL score of 550 (paper-based) or 75 (Internet-based), a minimum IELTS score of 6.0, a minimum PTE Academic score of 50, a minimum Duolingo English Test score of 100, or successful completion of ELS Language Centers Level 112.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,24120,,,,,,"['Corporate Innovation', 'Entrepreneurship', 'Finance', 'Healthcare Systems Leadership', 'Leadership', 'Marketing', 'Multidisciplinary', 'Project Management']","Post University’s online Master of Business Administration (MBA) degree program is designed for aspiring business leaders who want to take their careers to the next level. In our fully online or hybrid MBA programs, you will develop the leadership skills and business acumen to successfully manage a business and its unique challenges. From motivating a team to achieving financial goals, our ACBSP-accredited online MBA curriculum covers the essentials of business that apply to a wide variety of fields and industries. And through a choice of in-demand concentrations, you can tailor your studies to your specific interests and professional goals.",,https://post.edu/academics/online-graduate-degrees/,The Malcolm Baldrige School of Business at Post University has received specialized accreditation for its business programs through the Accreditation Council for Business Schools and Programs (ACBSP).,,670,,,1.0,4.0,3.0,,,,,,,,,,,24120,,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,75.0,,,,,,,,,,,,,Alumni Scholarship,,,,,,,
,Master of Business Administration – Healthcare,,,,,Master of Business Administration,,,,,Not Required,Not Required,Not Required,"International graduate applicants must provide proof of English proficiency. Accepted tests and minimum scores are: TOEFL iBT: 80, IELTS: 6.5, PTE: 53, or Duolingo English Test: 115. Applicants may be exempt if they are a citizen of certain English-speaking countries or have completed a degree at an institution in the United States.","To apply, applicants must complete the admissions application and submit an official transcript from the accredited institution that awarded the bachelor’s degree, indicating the date of conferral. MBA applicants need to have successfully completed undergraduate coursework in accounting, finance, and marketing. The Malcolm Baldrige School of Business does not require a GMAT, GRE or any other entrance exam.",Not Required,,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,,,,,,,Healthcare,"Prepare for leadership in today’s complex global business environment with a Master of Business Administration (MBA) from Post University. Our fully online, accredited MBA program is designed for working professionals from all backgrounds. We deliver our curriculum on a flexible, online platform so you can attend class and complete assignments when and where it’s most convenient for you. You can even choose from a number of concentrations to further tailor your education to your career goals. Develop in-demand healthcare leadership skills and knowledge with this concentration. You’ll explore the business side of the healthcare industry, including its structure, operation and financing, along with legal and ethical issues, marketing, and public policy. The curriculum is focused on emerging technologies, continuous quality improvement and other current trends, and it culminates in a capstone project where you will integrate and apply your learning to real-world scenarios.",,https://post.edu/academics/online-graduate-degrees/,The Malcolm Baldrige School of Business at Post University is nationally accredited by the Accreditation Council for Business Schools and Programs (ACBSP) for our Master of Business Administration degree program.,,$730 per credit hour,False,False,,4.0,2.5,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,53.0,,80.0,,,,,,,,,,,,,,,,,,,,
,Master of Education,,,,,Master,Multiple start dates per year,,,,Required,Required,Not Required,"If English is not your first language, you will need to provide proof of your English proficiency through one of the following methods: TOEFL (Test of English as a Foreign Language) with a minimum score of 75 on the Internet-based test (iBT), or 550 on the paper-based test (PBT). IELTS (International English Language Testing System) with a minimum score of 6.0. PTE (Pearson Test of English) with a minimum score of 50. Duolingo English Test with a minimum score of 95. ELS Certificate of Completion of Level 112. Successful completion of an approved ESL program. Graduation from a secondary school (high school), college, or university where English is the language of instruction.",Complete graduate application. Submit official transcripts from all colleges and universities previously attended. Have a minimum 3.0 undergraduate GPA. Possess a baccalaureate degree from an accredited institution. Provide a personal statement. Submit a resume. Provide two letters of recommendation. For Teaching and Learning concentration applicants: Provide a copy of a valid teaching license or certificate.,,,True,False,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The School of Education,,,,,,,"['Instructional Design and Technology', 'Teaching and Learning', 'Higher Education Administration', 'Online Teaching', 'TESOL (Teaching English to Speakers of Other Languages)']","Post University’s Master of Education (M.Ed.) degree program is designed to provide certified teachers and other educational professionals with the skills and credentials they need to become leaders in the education profession. In our M.Ed. program, you will develop the critical thinking, curriculum development, and instructional technology skills you need to foster greater achievements in your students. Our graduate-level education courses are taught by a faculty of experienced educational professionals who will prepare you for a range of career options inside and outside of the classroom. Upon graduation, you will be prepared for a wide variety of leadership roles, including athletic director, lead teacher, and principal, and in areas such as curriculum development or higher education.",,https://post.edu/academics/online-graduate-degrees/,,,570,False,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,95.0,112.0,,,6.0,,,50.0,,75.0,,,,,,,,,,,,,"Alumni, Location-based, Military, Family-based",,,,,,,
,Master of Public Administration,,,,,Master's,Rolling admissions / Multiple starts per year,,,,,,Not Required,"For international students where English is not the first language, proficiency can be demonstrated by submitting one of the following: TOEFL (minimum 75 iBT or 550 PBT), IELTS (minimum 6.0), PTE (minimum 50), Duolingo (minimum 100), successful completion of an approved ESL program, a bachelor's or master's degree from an accredited U.S. institution, or transcripts from an English-speaking country.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The John P. Burke School of Public Service and Education,24120,,,,,,"['Emergency Management and Homeland Security', 'Public Service Leadership', 'Non-Profit Management', 'General']","The Master of Public Administration (MPA) online program at Post University will prepare you to be a confident, effective leader in today’s public sector. Throughout our program, you will gain a strong foundation in the management of government agencies, nonprofit organizations and other institutions that serve the public interest. You will study how policy is made, understand the importance of ethics in leadership, and learn to make sound administrative decisions with public accountability at the forefront. As a graduate, you will be able to pursue a variety of leadership careers in public administration and related fields.",,https://post.edu/academics/online-graduate-degrees/,,,670,,,0.0,4.0,2.5,,,,,,,,,,,,,,,,,,,,,,100.0,,,,6.0,,,50.0,,75.0,,,,,,,,,,,,,,,,,,,,
,Master of Science in Accounting,,,,,Master of Science,Rolling,,,,,,Not Required,"International students must prove they have the required level of English language proficiency for their chosen program. Post University accepts the following as proof of English language proficiency: A minimum TOEFL score of 550 on the paper-based test (PBT) or 79 on the internet-based test (iBT); A minimum IELTS score of 6.5; A minimum PTE score of 58; A minimum Duolingo English Test score of 105; A minimum ELS score of 112; Transcripts from a high school, college or university where the primary language of instruction was English; Successful completion of Post University’s English as a Second Language (ESL) program.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The Malcolm Baldrige School of Business,20100 for 30 credits,,,,,,"['Forensic Accounting', 'Public Accounting']","Post University’s Master of Science in Accounting (MSA) degree program is designed to provide you with the critical-thinking, problem-solving and communication skills you need to become a leader in the accounting profession. Our online and on-campus courses prepare you for the Certified Public Accountant (CPA), Certified Management Accountant (CMA), Certified Internal Auditor (CIA), or Certified Fraud Examiner (CFE) exams. The program is specifically designed to meet the requirements to sit for the CPA exam in most states, including Connecticut and New York. Throughout your studies, you will build a strong accounting foundation in financial reporting, taxation, and auditing, while exploring relevant topics in business law, ethics, and information systems. You can also customize your learning to your career goals by choosing one of two concentrations: Forensic Accounting or Public Accounting.",,https://post.edu/academics/online-graduate-degrees/,"Our Master of Science in Accounting degree is offered through The Malcolm Baldrige School of Business, which is accredited by the Accreditation Council for Business Schools and Programs (ACBSP).",,670,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,105.0,112.0,,,6.5,,,58.0,,79.0,,,,,,,,,,,,,,,,,,,,
,Master of Science in Business Intelligence and Analytics,,,,,Masters,"Fall, Spring, Summer",,,,Not Required,Not Required,Not Required,"If English is not your first language, Post University requires one of the following as proof of English proficiency: TOEFL with a minimum score of 75 on the iBT or 550 on the paper-based test, IELTS with a minimum score of 6.0, PTE Academic with a minimum score of 50, Duolingo English Test with a minimum score of 105, or completion of ELS Language Centers level 112.","To apply for Post University’s on-campus or online master’s degree programs, you will need to submit the following: An official transcript from the accredited institution that granted your baccalaureate degree, Completed application, Application fee, Proof of immunization (for on-campus students)",Not Required,,True,False,True,True,False,False,0.0,True,False,False,False,True,True,True,False,False,,,,The Malcolm Baldrige School of Business,$670 per credit hour,,,,,,,"Big data is a big deal in today’s business world. To put it simply, more data means companies have more opportunities to analyze it for valuable insights that will help them succeed. But this information is only as useful as the person who can understand it. That’s where you come in. As a student in our Master of Science in Business Intelligence and Analytics program, you will gain the knowledge and skills needed to do just that, with a specific focus on the core concepts of business intelligence and analytics. Our career-focused curriculum, which combines rigorous analytics with business fundamentals, will teach you how to analyze and understand big data from a variety of sources to help solve business problems, identify new opportunities, and make better business decisions. You will graduate ready for a career as a database architect, business intelligence analyst, business analyst, and many other data-driven roles.",,https://post.edu/academics/online-graduate-degrees/,The Malcolm Baldrige School of Business at Post University is nationally accredited by the Accreditation Council for Business Schools and Programs (ACBSP) for its Master of Science in Business Intelligence and Analytics program.,,670,False,False,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,50.0,,75.0,,,,,,,,,,,,,,,,,,,,
,Master of Science in Clinical Mental Health Counseling,,,,,Master,,,,,,,Not Required,"For students whose primary language is not English, proof of English proficiency is required. Options include a minimum TOEFL iBT score of 75, IELTS score of 6.0, PTE Academic score of 50, Duolingo English Test score of 100, or successful completion of ELS Language Centers Level 112. Other waivers are available.",,,,,,False,False,False,False,0.0,False,False,False,False,False,False,False,False,False,,,,The American Sentinel College of Nursing & Health Sciences,40200,,,,,,Alcohol and Drug Counseling,"The Master of Science in Clinical Mental Health Counseling at Post University is dedicated to preparing aspiring counselors to become competent and ethical practitioners. This online program provides a strong foundation in counseling theory, research, and practice, emphasizing the development of essential clinical skills. Students will explore a wide range of topics, including psychopathology, multicultural counseling, group counseling, and crisis intervention, while also engaging in supervised clinical experiences. The program is designed to meet the educational requirements for licensure as a professional counselor in many states. Our faculty are experienced clinicians and scholars who are committed to mentoring students and fostering their professional growth. Graduates of this program will be equipped with the knowledge, skills, and values necessary to provide effective and compassionate mental health services to diverse populations, empowering them to make a meaningful difference in the lives of individuals, families, and communities. Students will graduate from the program with the necessary knowledge and skills to pursue a meaningful and rewarding career in the field of mental health counseling.",,https://post.edu/academics/online-graduate-degrees/,"The Master of Science in Clinical Mental Health Counseling at Post University is accredited by the Council for Accreditation of Counseling and Related Educational Programs (CACREP), the national accrediting body for counseling programs.",,670,,,,4.0,3.0,,,,,,,,,,,40200,,,,,,,,,,,100.0,112.0,,,6.0,,,50.0,,75.0,,,,,,,,,,,,,"Merit-based, Affiliation-based",,,,,,,
,Master of Science in Computer Science,,,,,,6 Starts Per Year,,,,Required,,Not Required,"For students whose native language is not English, a minimum TOEFL score of 550 (paper-based), 213 (computer-based), or 79 (internet-based), or IELTS score of 6.5 is required.","To apply for Post University’s Master of Science in Computer Science degree program, you must provide the following: Official transcripts from a bachelor’s degree program that is accredited by an accrediting agency recognized by the Council for Higher Education Accreditation (CHEA) or the U.S. Department of Education or an equivalent foreign institution; Professional resume",,,True,False,False,False,False,False,0.0,True,False,False,False,False,True,True,False,False,,,,The School of Arts & Sciences,20100,,,,,,"['Software Engineering', 'Cybersecurity']","In the Master of Science in Computer Science program at Post University, you will explore advanced topics like cloud computing, machine learning, the Internet of Things (IoT), artificial intelligence, data analytics, blockchain technology, quantum computing, human-computer interaction, and more. Our expert instructors will provide you with a hands-on learning experience that incorporates real-world applications so you can gain the skills needed to design and implement innovative solutions to complex computing problems. Offered 100% online, you can complete your coursework anytime, anywhere, and earn your degree in as little as 12 months. When you graduate, you will be prepared to enter the workforce or continue your education at the doctoral level.",,https://post.edu/academics/online-graduate-degrees/,,,670,False,True,,4.0,3.0,,,,,,,,,,,20100,,,,,,,False,False,,,,,,,6.5,,,,,79.0,,,,,,,,,,,"Up to $1,500",,"Legacy, International, Community-Based",,,,,,,
