Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Required,"Our review process is holistic, and we consider many factors. We look for students who have challenged themselves in high school, both in their coursework and through their extracurricular activities, and who will contribute to Northeastern’s diverse community. The application checklist includes: Common Application or Coalition Application, Northeastern University Questions, Official High School Transcript, Secondary School Report, Counselor Recommendation, Teacher Recommendation, Personal Essay (part of Common Application or Coalition Application), Test Scores (optional), English Language Proficiency (if applicable), Financial Aid Application Materials (if applicable), Fine Arts Supplement (optional).",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Bioengineering,https://catalog.northeastern.edu/undergraduate/engineering/bioengineering/,,
Not Required,Required,"To apply as a first-year student, you will need to submit the following:
*   Common Application or Coalition Application
*   Official High School Transcript
*   Secondary School Report and Counselor Recommendation
*   Teacher Evaluation
*   Northeastern Supplement
*   Early Decision Agreement (if you are applying Early Decision I or Early Decision II)
*   English Proficiency Exam (if applicable)
*   SAT/ACT Scores (optional for the 2024–2025 and 2025–2026 application cycles)",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Chemical Engineering,https://catalog.northeastern.edu/undergraduate/engineering/chemical/chemical-engineering-bsche/,,
Not Required,Required,"Application (Common Application or Coalition Application with Scoir, which includes an essay/personal statement), Application Fee ($75 or fee waiver), Official high school transcripts, Counselor Recommendation and Secondary School Report, One Teacher Recommendation, Standardized Test Scores (Optional), English Language Proficiency (if applicable), Midyear Report (if applicable).",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Civil Engineering,https://admissions.northeastern.edu/academics/areas-of-study/,,
Not Required,Required,"Common Application or Coalition Application with Northeastern Supplement, Official High School Transcript(s), College Report (if applicable), Standardized Test Scores (Optional for Fall 2024, Fall 2025, and Fall 2026), Two Letters of Recommendation from secondary school teachers or a secondary school counselor, Early Decision Agreement (if applicable), English Language Proficiency Test Scores (if applicable).",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Computer Engineering,https://catalog.northeastern.edu/undergraduate/engineering/electrical-computer/computer-engineering-bscompe/,,
Not Required,Not Required,"To apply to Northeastern, you’ll submit the Common Application or Coalition Application, which includes:
* Application
* Application Fee or Fee Waiver
* Secondary School Transcript(s)
* Counselor Recommendation and School Report
* Teacher Recommendation
* Standardized Testing (Optional for Fall 2024, Fall 2025, and Fall 2026 applicants)
* English Language Proficiency (If Applicable)",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Electrical Engineering,https://catalog.northeastern.edu/undergraduate/engineering/electrical-computer/,,
Not Required,Required,"To ensure we can provide an equitable review of all applications, we utilize a holistic review process that evaluates candidates’ academic preparedness, personal qualities, and interest in Northeastern. The information gathered from the materials below helps us consider all aspects of a student’s candidacy.

Required Materials:
* Common Application or Coalition Application
* Secondary School Transcript
* School Report
* Counselor Recommendation
* Teacher Recommendation
* Essay (Personal Statement)
* Application Fee or Fee Waiver
* Official Test Scores (SAT/ACT) - Test-Optional for Fall 2024, Fall 2025, and Fall 2026 applicants.

Optional Materials:
* College of Arts, Media and Design (CAMD) Supplemental Application
* Portfolio
* Resume
* Additional Recommendation
* Supplemental Essay
* Interview",Required,True,True,True,False,False,,,program,Bachelor of Science in Environmental Engineering,https://catalog.northeastern.edu/undergraduate/engineering/civil-environmental/environmental-engineering-bsenve/environmental-engineering-bsenve.pdf,,
,,,,,,,,,,,error,Bachelor of Science in Industrial Engineering,https://catalog.northeastern.edu/undergraduate/engineering/mechanical-industrial/bsie/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"For First-Year applicants to Northeastern University, the application requires: Common Application or Coalition Application, Secondary School Report and Transcript, Counselor Recommendation, Teacher Recommendation, Essay (via Common Application or Coalition Application), and an Activity List or Résumé. SAT/ACT scores are optional for applicants applying for Fall 2024, Fall 2025, and Fall 2026 entry. English Proficiency is required if applicable.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Mechanical Engineering,https://catalog.northeastern.edu/undergraduate/engineering/mechanical-industrial/bsme/,,
Not Required,Required,"Common Application or Coalition Application which includes your Personal Essay, School Report and Counselor Recommendation, Teacher Recommendation, Transcripts, SAT or ACT (optional), English Language Proficiency (if applicable), Fine Arts Portfolio (if applicable), Khoury College of Computer Sciences Program Interest Form (if applicable)",Not Required,True,True,False,False,False,,,program,Bachelor of Arts in Computer Science,https://catalog.northeastern.edu/undergraduate/computer-information-science/computer-science/bacs/,,
Not Required,Not Required,"Required Materials for First-Year Applicants:
*   Common Application or Coalition Application with Northeastern University Questions
*   Official secondary school transcript(s)
*   Secondary school report and counselor recommendation
*   Two teacher recommendations
Optional Materials:
*   Standardized Test Scores (SAT/ACT) – Northeastern is test-optional for students applying for Fall 2024 and beyond.
*   English Language Test Scores (if applicable)
*   Arts and Athletics Portfolios (if applicable)",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Computer Science,https://catalog.northeastern.edu/undergraduate/computer-information-science/computer-science/,,
Required,Required,"Submit an application, including a nonrefundable application fee. Submit official transcripts from all colleges and universities attended. Submit an essay that addresses the topic described in the application. Submit a current résumé highlighting professional work experience. Submit a letter of recommendation from an employer or supervisor. Schedule an interview with an admission counselor. Submit official high school transcripts or a GED (Only required if you have less than 12 transferable college credits). Proof of English proficiency for international applicants. Applicants must have a high school diploma or GED, demonstrated academic success in previous college coursework (if applicable), and at least three years of professional work experience.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Information Science,https://catalog.northeastern.edu/professional-studies/bachelors-postbaccalaureate/lowell-institute-school/information-technology-bs/,,
Not Required,Required,"Submission of either the Common Application or Coalition Application with Scoir, Official Secondary School Transcript(s), Secondary School Report and Counselor Recommendation, Teacher Recommendation, and English Proficiency (if applicable). The Common Application and Coalition Application with Scoir include an essay.",Not Required,True,True,True,False,False,,,program,Applied Physics,https://catalog.northeastern.edu/undergraduate/science/physics/applied-physics-bs/,,
,,,,True,False,True,False,False,,,program,Behavioral Neuroscience,https://cos.northeastern.edu/nucos-department/behavioral-neuroscience/,,
,Not Required,"Applications will be reviewed once all materials are received. Required materials include: Official High School Transcript(s), Counselor Recommendation, Teacher Recommendation. Standardized Test Scores (SAT/ACT) are optional for the 2024–2025 application cycle. TOEFL/IELTS/Duolingo English Test Scores are required for international applicants who have not studied in an English-speaking environment. Optional materials include: Supplemental Essay.",,True,True,True,False,False,,,program,Biochemistry,https://catalog.northeastern.edu/undergraduate/science/interdisciplinary/biochemistry-bs/biochemistry-bs.pdf,,
Required,Required,"Online Application: Complete the online application through the Northeastern Graduate School of Arts and Sciences portal. Transcripts: Unofficial copies of transcripts from all institutions of higher education attended. If accepted, official transcripts will be required. Three Letters of Recommendation: Letters from individuals qualified to evaluate your academic and research abilities. At least two letters should be from faculty members at institutions where you have studied. Statement of Purpose: A brief statement (approximately 500 words) describing your academic background, research experience, and future research interests. Please indicate which faculty member(s) you are interested in working with and how your research interests align with theirs. Resume or CV: A current resume or CV detailing your educational background, work experience, research experience, publications, presentations, and any relevant awards or honors. GRE General Test (Optional): The GRE General Test is optional for applicants to the Biology PhD program. If you choose to submit scores, they will be considered as part of your overall application. Our institution code for GRE is 3669. English Proficiency (International Applicants Only): If your native language is not English, or if you have not received a degree from an institution where English is the primary language of instruction, you must demonstrate English proficiency through one of the following tests: TOEFL (minimum score of 80 (iBT)), IELTS (minimum score of 6.5), or Duolingo English Test (minimum score of 115). Application Fee: $75 non-refundable application fee.",Not Required,True,True,False,False,False,,,program,Biology,https://phd.northeastern.edu/program/biology-2/,,
Not Required,Required,"Required Application Materials: Complete the Common Application or Coalition Application, including the essay. A complete application also includes: Official High School Transcript, Secondary School Report and Counselor Recommendation, Teacher Recommendation, Mid-Year Report, and Application Fee or Fee Waiver. Optional Application Materials: Standardized Tests (SAT/ACT) are not required as Northeastern has a test-optional policy.",Not Required,True,True,True,False,False,,,program,Biomedical Physics,https://catalog.northeastern.edu/undergraduate/science/physics/biomedical-physics-bs/,,
Required,Required,"Required materials for First-Year Applicants include: Application (Common Application or Coalition Application with Scoir, including Northeastern Member Questions), Nonrefundable Application Fee ($75) or Fee Waiver, Secondary School Transcript, College Report or Counselor Recommendation, Teacher Recommendation (one required, two preferred), Early Decision Agreement (if applicable), Official TOEFL, IELTS, or Duolingo English Test Scores (if applicable). Standardized Test Scores (SAT/ACT) are test-optional; applicants indicate on their application if they wish for scores to be considered. Both the Common Application and Coalition Application with Scoir require a personal essay. A Resume/List of Activities is often included in the Common Application or Coalition Application with Scoir, or you may submit a separate resume if you wish.",Not Required,True,True,True,False,False,,,program,Cell and Molecular Biology,https://catalog.northeastern.edu/undergraduate/science/biology/cell-molecular-biology-bs/,,
Not Required,Required,"Completed Common Application or Coalition Application, High School Transcript (required), College Essay (required), One Letter of Recommendation (required), Standardized Test Scores (optional for Fall 2024 and Fall 2025 applicants). We consider your most recent standardized test scores (SAT/ACT) in our review if you opt to submit them. English Language Proficiency (if applicable): Official exam scores (TOEFL, IELTS, Duolingo English Test, PTE Academic, Cambridge English Exam) must be submitted by applicants whose native language is not English. Review our full English proficiency policy for more details. Activities List/Resume (if applicable). The Common Application and Coalition Application allow you to list your activities and engagement outside of academics. We ask for an Activities List to learn about your extracurricular engagement. Portfolios/Supplemental Materials (optional).",Required,True,False,True,False,False,,,program,Chemistry,https://catalog.northeastern.edu/undergraduate/science/chemistry-chemical-biology/chemistry-bs/chemistry-bs.pdf,,
Not Required,,"Required for all first-year applicants: Common Application or Coalition Application, Official High School Transcript, Secondary School Report, Counselor Recommendation, Teacher Recommendation (one required, an additional one is optional), Test Scores (see our Test-Optional Policy for more details), Interview (optional), Portfolio (optional, for certain majors). Optional Supporting Documents: Official College Transcript (if applicable), Resume (Extracurricular activities and work experience can be listed in the Common Application or Coalition Application. A separate resume is optional.), Additional Letters of Recommendation. We encourage you to submit all optional materials that may strengthen your application.",,True,False,True,False,False,,,program,Ecology and Evolutionary Biology,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/ecology-evolutionary-biology-bs/ecology-evolutionary-biology-bs.pdf,,
Not Required,Required,"Application (Common Application or Coalition Application), Application Fee ($75 or waiver), Secondary School Report (including a counselor recommendation), Official Secondary School Transcript, Two Teacher Recommendations, Standardized Test Scores (optional for 2024-2025 application cycle), English Proficiency (required for non-native English speakers), Portfolio (optional for specific programs like Architecture, Art + Design, Music), Interviews (optional), Additional Information (optional).",Required,True,False,False,False,False,,,program,Environmental Studies,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/environmental-studies-ba/,,
Not Required,Required,"Completed Common Application or Coalition Application, Official High School Transcript, Counselor Recommendation, Teacher Recommendation, Midyear Report (if applicable), Standardized Test Scores (optional for fall 2024 first-year applicants), English Language Proficiency (if applicable)",Not Required,True,False,True,False,False,,,program,Environmental and Sustainability Sciences,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/environmental-sustainability-sciences-bs/,,
Not Required,Not Required,Common Application or Coalition Application; High School Transcript(s); Secondary School Report and Counselor Recommendation; Teacher Recommendation; Early Decision Agreement (Early Decision applicants only); English Language Proficiency (if applicable); SAT/ACT (Optional for Fall 2024 and 2025 applicants).,Not Required,True,True,True,False,False,,,program,Linguistics,https://catalog.northeastern.edu/undergraduate/science/interdisciplinary/linguistics-bs/,,
,,,,True,False,True,False,False,,,program,Marine Biology,https://catalog.northeastern.edu/undergraduate/science/marine-environmental/marine-biology-bs/,,
Not Required,Required,"In addition to the general Northeastern University graduate requirements, the Department of Mathematics requires the following application materials for the MS in Mathematics and PhD in Mathematics:
*   Online application
*   Application fee
*   Unofficial transcripts from all institutions attended
*   Statement of purpose
*   Three letters of recommendation
*   Official GRE General Test scores (optional)
*   TOEFL, IELTS, or Duolingo English Test for international applicants
*   Resume/CV (optional for MS and PhD applicants)",Not Required,True,True,True,False,False,,,program,Mathematics,https://catalog.northeastern.edu/graduate/science/mathematics/,,
Not Required,Required,"First-Year Applicants: We encourage students to apply as early as possible to ensure their application is complete by the deadline. Review our application plans to learn more about important deadlines. The following items are required for first-year applicants: Common Application or Coalition Application, Northeastern Questions, Official High School Transcript, Secondary School Report & Counselor Recommendation, Two Teacher Recommendations, Midyear Report (if applicable), English Proficiency Testing (if applicable), Personal Essay, and an Activities List or Resume (to share accomplishments).",Not Required,True,True,True,False,False,,,program,Physics,https://catalog.northeastern.edu/undergraduate/science/physics/,,
Required,Required,"Online application, a non-refundable application fee, official transcripts from all institutions attended, three letters of recommendation, a curriculum vitae (CV) or resume, a statement of purpose (1,000 words maximum), official GRE General Test scores (NU code: 3662), official TOEFL or IELTS scores for international applicants (Minimum TOEFL score: 79 (IBT), Minimum IELTS score: 6.5).",,False,False,False,False,False,,,program,Psychology,https://phd.northeastern.edu/program/psychology-2/,,
Not Required,Required,"1. Common Application (This includes your personal essay.)
2. Secondary School Report (Counselor recommendation and official transcript)
3. Two Teacher Recommendations
4. Test Scores (Optional): Northeastern is test-optional for students applying for Fall 2023 and beyond. If you choose to submit standardized test scores, you may self-report them on your application, and we will verify them after you have been admitted. If you choose not to submit test scores, you will still be considered for admission, and it will not negatively impact your application.
5. English Proficiency (for non-native English speakers)
6. Optional Arts and Athletics Portfolios",Required,True,True,False,False,False,,,program,Business Administration,https://damore-mckim.northeastern.edu/programs/bs-business-administration/,,
