Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"Applicants must fulfill the requirements of both the Graduate College and the W. P. Carey School of Business. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in any field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in the last 60 hours of their first bachelor's degree program, or a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in an applicable master's degree program. Applicants are required to submit: 1. graduate admission application and application fee, 2. official transcripts, 3. GMAT or GRE scores, 4. personal statement, 5. resume, 6. two letters of recommendation, 7. proof of English proficiency.",,False,False,True,True,False,False,,,program,Master of Accountancy in Accountancy and Data Analytics,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Required,Required,"Applicants must fulfill the requirements of both the Graduate College and the W. P. Carey School of Business. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in any field, from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in an applicable master's degree program. Applicants are required to submit: 1. graduate admission application and application fee 2. official transcripts 3. GMAT or GRE scores 4. letters of recommendation 5. personal statement 6. resume or curriculum vitae 7. proof of English proficiency",,False,False,True,False,False,False,,,program,PhD in Accountancy,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Required,,"Applicants must fulfill the requirements of both the Graduate College and the W. P. Carey School of Business. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in any field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in an applicable master's degree program. All applicants must submit: graduate admission application and application fee, official transcripts, resume, and proof of English proficiency.",,True,False,False,False,False,False,,,program,"Graduate Certificate in AI, Analytics and FinTech Innovation",https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Required,Required,"To be eligible for admission to the ABA Certificate program, an applicant must have a bachelor’s degree from an accredited institution and a minimum 3.0 GPA in the last 60 semester (90 quarter) units of study. Applicants must complete prerequisite courses EDP 301 or 302 and EDP 419 (or equivalents). Required application materials include a statement of purpose, a current resume, and three letters of recommendation.",,True,False,True,False,False,False,,,program,Graduate Certificate in Applied Behavior Analysis,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Required,Required,"A bachelor's degree in computer science, computer engineering, or a related field from an accredited institution. A grade point average (GPA) of at least 2.7 in the last 60 semester units (90 quarter units) attempted. Three letters of recommendation. Statement of purpose. Resume.",,True,False,,True,False,False,,,program,Master of Science in Artificial Intelligence Engineering (Computing Sciences),https://www.emerald.com/bij/article/32/6/2330/1252566/Process-supply-chain-integration-construct
Required,Required,"Applicants must have a bachelor’s or master’s degree in Computer Science, Computer Engineering, or a closely related field from an accredited institution. A minimum GPA of 3.0 in the last 60 semester units (or 90 quarter units) is required. Required application materials include official transcripts, a statement of purpose, a CV/resume, and three letters of recommendation. The GRE is not required for admission to this program.",,True,False,,True,False,False,,,program,PhD in Artificial Intelligence,https://www.csulb.edu/sites/default/files/2024/documents/2023_Joint%20PhD%20Handbook.pdf
,,"Applicants must fulfill the requirements of both the Graduate College and the Edson College of Nursing and Health Innovation. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in any field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = ""A"") in an applicable master's degree program. All applicants must submit: 1. graduate admission application and fee 2. official transcripts 3. proof of English proficiency",,True,False,False,False,False,False,,,program,Graduate Certificate in Assessment of Integrative Health Modalities,https://degrees.apps.asu.edu/masters-phd/major/ASU00/PPSWGGRCH/assessment-of-integrative-health-modalities-graduate-certificate?init=false&nopassive=true
Required,Required,"Applicants must fulfill the requirements of both the Graduate College and the College of Global Futures. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in any field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in an applicable master's degree program. All applicants must submit: 1. graduate admission application and fee 2. official transcripts 3. personal statement 4. professional resume 5. three letters of recommendation 6. proof of English proficiency. Graduate Record Examination (GRE) scores are not required for this program.",,True,False,True,True,False,False,,,program,Master of Science in Biomimicry,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
Required,Required,"Applicants must fulfill the requirements of both the Graduate College and the College of Health Solutions. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree in biological sciences, chemistry, bioengineering, nursing, health sciences or a related field from a regionally accredited institution. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in an applicable master's degree program.",,True,False,True,True,False,False,,,program,Master of Science in Biomedical Diagnostics,https://graduation.asu.edu/sites/g/files/litvpz3431/files/fall2014-all-pages-web-030515.pdf
Required,Required,"Applicants must fulfill the requirements of both the Graduate College and the The College of Liberal Arts and Sciences. Applicants are eligible to apply to the program if they have earned a bachelor's or master's degree from a regionally accredited institution in any field. Applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in the last 60 hours of their first bachelor's degree program, or applicants must have a minimum cumulative GPA of 3.00 (scale is 4.00 = 'A') in an applicable master's degree program. All applicants must submit: graduate admission application and application fee, official transcripts, personal statement, resume or CV, three letters of recommendation, and proof of English proficiency.",,True,False,True,True,False,False,,,program,Master of Science in Complex Systems Science,https://degrees.apps.asu.edu/masters-phd?init=false&nopassive=true
