QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,The Malcolm Baldrige School of Business,,4.0,3.0,,,,,,,950,,,,3 years,57000,Doctor of Business Administration,https://post.edu/blog/post-expands-graduate-programs-with-doctor-of-business-administration-degree/
,The American Sentinel College of Nursing & Health Sciences,,4.0,3.0,,,,,27050,,750,,,,24 months,27000,Doctor of Nursing Practice,https://post.edu/wp-content/uploads/2023/12/POST_ASC_DNP_Overview_R18-PEM.pdf
,The Malcolm Baldrige School of Business,1.0,4.0,3.0,,Multiple start dates throughout the year (8-week terms),,,24120,,670,,,Alumni Scholarship,12-24 months,24120,Master of Business Administration,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,2.5,,,,,,,$730 per credit hour,,,,12–24 months,,Master of Business Administration – Healthcare,https://post.edu/academics/online-graduate-degrees/
,The School of Education,,4.0,3.0,,Multiple start dates per year,,,,,570,,,"Alumni, Location-based, Military, Family-based",As few as 15 months,,Master of Education,https://post.edu/academics/online-graduate-degrees/
,The John P. Burke School of Public Service and Education,0.0,4.0,2.5,,Rolling admissions / Multiple starts per year,,,,,670,,,,36 credit hours,24120,Master of Public Administration,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,Rolling,,,,,670,,,,12-24 months,20100 for 30 credits,Master of Science in Accounting,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,2.0,4.0,3.0,,"Fall, Spring, Summer",,,,,670,,,,12 months,$670 per credit hour,Master of Science in Business Intelligence and Analytics,https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,,4.0,3.0,,,,,40200,,670,,,"Merit-based, Affiliation-based",60 credit hours,40200,Master of Science in Clinical Mental Health Counseling,https://post.edu/academics/online-graduate-degrees/
,The School of Arts & Sciences,,4.0,3.0,,6 Starts Per Year,,,20100,,670,"Up to $1,500",,"Legacy, International, Community-Based",,20100,Master of Science in Computer Science,https://post.edu/academics/online-graduate-degrees/
,The School of Arts and Sciences,,4.0,2.5,,"Fall, Spring, Summer",,,,,670,,,"Alumni, Military, First Responders, Corporate Partnership",12-24 months,,Master of Science in Counseling and Human Services,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,Rolling,,,,,670,,,"Alumni Scholarship, First Responders Scholarship, Military Scholarship",,,Master of Science in Gaming and Esports Management,https://post.edu/academics/online-graduate-degrees/
,The John P. Burke School of Public Service and Education,2.0,4.0,3.0,,Multiple (6 start dates per year),,,22110,,670,,15%,"Alumni, Military",As few as 14 months,22110,Master of Science in Higher Education Leadership,https://post.edu/academics/online-graduate-degrees/
,The School of Arts & Sciences,2.0,4.0,3.0,,,,,,,730,,,Grants,18–24 months,,"Master of Science in Nursing, Area of Emphasis: Nursing Education",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,,4.0,3.0,,,,,,,$670 per credit hour,,15%,"Alumni, Military, Partnership",As little as 24 months,,"Master of Science in Nursing, Area of Emphasis: Nursing Informatics",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences at Post University,,4.0,3.0,,"January, March, May, July, September, November",,,,,670,,,"Merit-based, Military",As little as 24 months,24120,"Master of Science in Nursing, Area of Emphasis: Nursing – Case Management",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,,4.0,3.0,,"Term 1, Term 2, Term 3, Term 4, Term 5, Term 6",,,32160,,670,"up to $25,000",10%,"Alumni Scholarship, Salute to Heroes Grant, Connecticut Scholars Award",As Few As 2 Years,32160,"Master of Science in Nursing, Area of Emphasis: Nursing – Family Nurse Practitioner",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,2.0,4.0,3.0,,Multiple start dates,,,,,650,,,"Academic, Military, Alumni, Legacy",as few as 20 months,$650 per credit hour,"Master of Science in Nursing, Area of Emphasis: Nursing – Infection Prevention and Control",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,,,2.5,,,,,,,650,,15% - 20%,"Alumni-based, Location-based, Military, Corporate Partnerships",,23400,"Master of Science in Nursing, Area of Emphasis: Nursing – Organizational Leadership",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences at Post University,,4.0,2.5,,,,,,,670,,,,2-3 years,,"Master of Science in Nursing, Area of Emphasis: Mental Health Nursing",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,,4.0,3.0,,"Rolling admissions, with classes starting every eight weeks",,,23400,,$650 per credit hour,,15,"Alumni, Military",as little as 18 months,23400,"Master of Science in Nursing, Area of Emphasis: Nursing Administration",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences,1.0,4.0,3.0,,"Fall 1, Fall 2, Spring 1, Spring 2, Summer 1, Summer 2",,,"$50 Technology Fee per 8-week term, $350 Nursing Resource Fee per 8-week term",,650,"Up to $5,500",,"Merit-based, Affiliation-based, Alumni",2-3 years,23400,"Master of Science in Nursing, Area of Emphasis: Nursing Science, Education, and Practice",https://post.edu/academics/online-graduate-degrees/
,American Sentinel College of Nursing & Health Sciences,,,2.5,,8-week terms start six times a year,,,,,$670 per credit hour,,,"Alumni Scholarship, Family Grant, Military Scholarship",,31490,"Master of Science in Nursing, Area of Emphasis: Pediatric Nursing",https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing & Health Sciences and The Malcolm Baldrige School of Business,1.0,4.0,2.5,,Multiple start dates throughout the year,,,,,730,,15% for alumni,"Alumni, Corporate Partnership, Military",As little as 24 months,39420,Master of Science in Nursing / Master of Business Administration – Healthcare (Dual Degree),https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,0.0,4.0,3.0,,"Fall, Spring, Summer",,,,,670,,,,As little as 12 months,20100,Master of Science in Project Management,https://post.edu/academics/online-graduate-degrees/
,,,,,,,,,,,,,,,,,"Master's in Parks, Recreation and Leisure Studies",https://post.edu/academics/online-graduate-degrees/
,The School of Education,,4.0,3.0,,Multiple start dates throughout the year,,,,,$670 per credit hour,,,,As few as 18 months,"$26,130 for the entire program (39 credits at $670/credit)",Master's in Teaching,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,1.0,4.0,3.0,,Multiple start dates throughout the year,,,,,670,,,"Alumni Scholarship, Canadian Scholarship, Malcolm Baldrige Scholarship",18 Credit Hours,12060,Graduate Certificate in Accounting (Post-Baccalaureate),https://post.edu/academics/online-graduate-degrees/
,John P. Burke School of Public Service and Education,,4.0,3.0,,Rolling admissions,,,,,670,,,,as few as eight months,,Graduate Certificate in Alcohol and Drug Counseling,https://post.edu/academics/online-graduate-degrees/
,The American Sentinel College of Nursing and Health Sciences,,4.0,2.5,,Multiple start dates,,,8040,,670,,,"Need-based, Legacy, Alumni",12 credit hours,$670 per credit hour,Graduate Certificate in Autism Spectrum Disorders,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,Multiple start dates throughout the year,,,10050,,670,"Up to $25,000",10%,"Academic Merit, Alumni, Legacy, Military",As few as 6 months,10050,Graduate Certificate in Business Analytics,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,Multiple starts per year,,,10050,,670,,15%,Affiliation-based,as few as six months,10050,Graduate Certificate in Corporate Innovation,https://post.edu/academics/online-graduate-degrees/
,The School of Arts and Sciences,,,3.0,,Rolling admissions,,,250,,670,,,"Need-based, Legacy",15 credit hours,10050,Graduate Certificate in Cybersecurity,https://post.edu/academics/online-graduate-degrees/
,The School of Arts & Sciences,0.0,4.0,2.0,,Multiple start dates year-round,,,,,670,,,"Legacy Scholarship, First Responder Scholarship, Alpha Chi Scholarship, Phi Theta Kappa Scholarship, DECA Scholarship",12 credit hours,8040,Graduate Certificate in Data Analytics,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,2.5,,"Fall, Spring, Summer",,,10050,,670,,,"Merit-based, Legacy, Athletic",,"$10,050 for the entire program",Graduate Certificate in Data Science,https://post.edu/academics/online-graduate-degrees/
,American Sentinel College of Nursing & Health Sciences at Post University,,4.0,3.0,,New 8-week courses start six times a year,,,$730 per credit hour,,730,,,"Alumni, Corporate Partner, Military",As few as 2 Years,$730 per credit hour,Graduate Certificate in Family Nurse Practitioner,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,"Multiple start dates year-round (January, March, May, July, September, November)",,,10050,,670,,Up to 20%,"Post University Grant, Legacy Scholarship, Alumni Scholarship, Performance-Based Scholarships, Academic Program Scholarships",15 credit hours,"$670 per credit hour; $10,050 total program cost",Graduate Certificate in Finance,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,,4.0,3.0,,"Fall, Spring, Summer",,,,,670,1200,,"Need-based, Alumni, Legacy, Military",,8040,Graduate Certificate in Forensic Accounting,https://post.edu/academics/online-graduate-degrees/
,School of Arts and Sciences,,4.0,3.0,,"Fall, Spring, Summer",,,8040,,670,,,"Alumni-based, Military-based",,8040,Graduate Certificate in Geographical Information Systems,https://post.edu/academics/online-graduate-degrees/
,John P. Burke School of Public Service and Education,,4.0,3.0,,Six 8-week terms per year,,,6840,,570,,,"Military, Alumni, Corporate Partnership",As few as six months,$570 per credit hour,Graduate Certificate in Gifted Education,https://post.edu/academics/online-graduate-degrees/
,School of Continuing Education,,4.0,3.0,,Multiple 8-week terms per year,,,8040,,670,,Up to 20%,"Affiliation-based (Alumni, Corporate Partner, Military)",12 Credit Hours,,Graduate Certificate in Higher Education Administration,https://post.edu/academics/online-graduate-degrees/
,The Malcolm Baldrige School of Business,2.0,4.0,3.0,82.5%,Multiple start dates year-round,,,,,670,,,"Legacy Scholarship, Partner Grant",15 Credit Hours,$670 per credit hour,Graduate Certificate in Human Resource Management,https://post.edu/academics/online-graduate-degrees/
