Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Advanced Architectural Design,,,,,Graduate,,,,,Required,Required,,,"To be eligible for admission to the Master of Advanced Architectural Design (MAAD) program, applicants must hold a professional degree in architecture (Bachelor of Architecture or Master of Architecture) from an accredited program in the U.S. or an international equivalent. Required application materials include a digital portfolio of design work, a Statement of Purpose, a Personal History Statement, three letters of recommendation, transcripts, and a curriculum vitae (CV) or resume. A minimum grade point average (GPA) of 3.0 is required.",,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Environmental Design,,,,,,,,"Digital Design and Manufacturing; Health and Built Environment; History, Theory and Society; Informal Urbanism; Sustainable Design; Urban Design",The Master of Advanced Architectural Design (MAAD) is a post-professional degree program for students who already hold a professional Bachelor of Architecture (BArch) or Master of Architecture (MArch) degree. The program provides the opportunity for students to pursue specialized research and design in a variety of areas. This two-semester program is intended for individuals who want to develop a specific design or research interest through further study. Successful applicants will have an interest in a particular area of architectural research or design and will have articulated a clear focus for their work. The program is specifically designed to allow students to take advantage of the faculty’s expertise in a wide range of fields.,,https://urbanaffairsassociation.org/2025/07/31/assistant-professor-architectural-design-and-engaged-practice-architecture-university-of-california-berkeley/,The Master of Advanced Architectural Design (MAAD) is a post-professional degree and is not accredited by the National Architectural Accrediting Board (NAAB).,,,True,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master of Advanced Study in Engineering,,,,,Graduate,Fall,,,,Required,Required,Not Required,REQUIRED,"Minimum requirements for admission to graduate study at UC Berkeley: A bachelor’s degree or its equivalent from an accredited institution; A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 (B) on a 4.0 scale; and Enough undergraduate training to do graduate work in your chosen field. In addition to the University’s requirements, applicants must provide: 3 letters of recommendation, Statement of Purpose, Personal History Statement, Resume, Official Transcripts, and Evidence of English language proficiency.",,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,,,,,,,"Aerospace Engineering, Integrated Circuit Design","The Master of Advanced Study (MAS) is a professional master’s degree program for students who have already completed an undergraduate degree in engineering or a related field, and who are looking to advance their careers. These programs provide a deep technical foundation in a specific area of engineering, while also developing leadership and management skills.",,https://grad.berkeley.edu/admissions/our-programs/,,,,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,
,Doctor of Philosophy in African American Studies,,,,,Doctoral,Fall,,,,Required,Required,Not Required,REQUIRED,"To apply for the Ph.D. program in African American Studies, applicants must submit an online application and provide the following materials: an application fee ($135 for US citizens/permanent residents; $155 for all others), Statement of Purpose, Personal History Statement, Curriculum Vitae (CV), a Writing Sample (must be double-spaced and no more than 30 pages), three letters of recommendation, and transcripts from each college or university attended. International applicants must also demonstrate English Language Proficiency via the TOEFL or IELTS. The Graduate Record Examination (GRE) is not required.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Letters & Science,"$20,830/Year","$20,830/Year",,,,,,,"The doctoral program is designed to provide students with the research and teaching skills to examine the experiences of people of African descent and the social and cultural forces that shape those experiences. It is an interdisciplinary program that focuses on the African Diaspora in its historical and contemporary dimensions. Students are expected to master a body of knowledge in African American and African Diaspora Studies and to develop a disciplinary or multi-disciplinary concentration. The program consists of coursework, a qualifying examination, and a dissertation.",,https://africam.berkeley.edu/home/contact-information,,,,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,"Fellowships, Graduate Student Instructorships (GSI), and Graduate Student Researchers (GSR)",,,,,,,
,Master of Arts in African American Studies,,,,,Graduate,Fall,,,,Required,Required,Not Required,REQUIRED,"The Department of African American Studies at UC Berkeley offers a program of study leading to the Ph.D. degree (a terminal Master of Arts is not offered). Application requirements include a statement of purpose, personal statement, three letters of recommendation, a current resume or curriculum vitae, a writing sample (one, maximum of 25 pages), and transcripts. A minimum undergraduate GPA of 3.0 is required. The GRE General Test is not required.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Letters & Science,"$16,144/Year","$16,144/Year",,,,,,,"The Department of African American Studies offers a program of graduate study leading to the MA and PhD degrees. Our graduate program is based on a multidisciplinary and interdisciplinary approach to the study of the history, culture, and society of Black people in the United States, the Caribbean, and the African diaspora. We invite applications from students who have already earned the BA or an equivalent degree. We also welcome applications from students who have already completed the MA in African American Studies or related fields for admission to the PhD program. Students should indicate on the application whether they are applying for the MA or the PhD. Students admitted for the MA may apply for the PhD program at the end of their second year. All students in the MA/PhD program are required to demonstrate competence in a language other than English.",,https://grad.berkeley.edu/admissions/our-programs/,,,,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,"Fellowships, Graduate Student Instructor (GSI) positions, Graduate Student Researcher (GSR) positions",,,,,,,
,Doctor of Philosophy in Agricultural and Resource Economics,,,,,Doctoral,,,,,Required,Required,GRE,REQUIRED,"Applicants must have a bachelor's degree or its equivalent from an accredited institution. A minimum Grade Point Average (GPA) of 3.0 is required. Application requirements include the submission of GRE General Test scores, three letters of recommendation, a Statement of Purpose, a Personal History Statement, and a current resume or curriculum vitae. International applicants whose native language is not English must also fulfill the English Language Proficiency requirement via the TOEFL or IELTS exam.",Not Required,,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"The Department of Agricultural and Resource Economics (ARE) offers a program of academic study leading to the PhD degree. The PhD program is designed to prepare students for careers in research, teaching, and government service. It provides a strong foundation in economic theory and quantitative methods and encourages students to apply these tools to problems in agricultural, environmental, and resource economics, and international development. Students are encouraged to develop their own research interests early in the program and to work closely with faculty members on research projects.",,https://aczx.eu.org/atoz/,,,,True,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,
,Master of Analytics,,,,,Graduate,Fall,,,,Required,Required,Not Required,REQUIRED,"To be eligible for the Master of Analytics, applicants must have a bachelor’s degree or its equivalent from an accredited institution with a minimum GPA of 3.0. Required prerequisites include Linear Algebra, Calculus, Probability and Statistics, and Computer Programming (Python is preferred). The application requires a Resume or CV, Statement of Purpose, Personal History Statement, official transcripts, and three letters of recommendation. GRE/GMAT scores are not required. International applicants must meet English language proficiency requirements (TOEFL or IELTS).",,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,"$64,258/Year","$64,258/Year",,,,,,Analytics,"The Master of Analytics program at UC Berkeley is designed for individuals who want to lead the way in using data to make better decisions. The program provides students with a strong foundation in the mathematical and computational tools of analytics, as well as the practical skills needed to apply these tools to real-world problems. The program is offered by the Department of Industrial Engineering & Operations Research (IEOR) and is designed for students with a strong quantitative background who are looking to pursue careers as data scientists, analysts, or consultants in industry, government, or non-profit sectors.",,https://ieor.berkeley.edu/berkeley-engineering-launches-redesigned-master-of-analytics-website/,,,,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,Merit-based,,,,,,,
,Doctor of Philosophy in Ancient History and Mediterranean Archaeology,,,,,Doctoral,Fall,,,,Required,Required,Not Required,REQUIRED,"The Graduate Group in Ancient History and Mediterranean Archaeology (AHMA) at the University of California, Berkeley offers an interdisciplinary program leading to the PhD degree. It is composed of 30 faculty members from eight different Berkeley departments: Anthropology, Classics, History, History of Art, Near Eastern Studies, Italian Studies, Rhetoric and Philosophy. Applicants are expected to have a strong foundation in at least one of the fields of study represented in the Graduate Group and to have begun the study of the necessary ancient and modern languages. A minimum GPA of 3.0 is required for admission to the University of California, Berkeley.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Graduate Division,"$21,114/Year","$21,114/Year",,,,,,,"Ancient History and Mediterranean Archaeology (AHMA) is an interdepartmental program that offers a course of study leading to the PhD degree. The group is composed of more than thirty faculty members from the following departments: Anthropology, Art History, Classics, History, Middle Eastern Languages and Cultures, and Philosophy. The program provides students with a broad background in the history and archaeology of the ancient Mediterranean and Near Eastern worlds, and offers specialized training in various disciplines and sub-fields.",,https://grad.berkeley.edu/admissions/our-programs/,,,,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,Merit-based,,,,,,,
,Doctor of Philosophy in Anthropology,,,,,Doctoral,Fall,,,,Required,Required,Not Required,REQUIRED,"The minimum graduate admission requirements are: (1) A bachelor’s degree or recognized equivalent from an accredited institution; (2) A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 (B) on a 4.0 scale; and (3) Enough undergraduate training to do graduate work in your chosen field. In addition to the University’s minimum requirements, the department requires: Three letters of recommendation, Personal Statement, Statement of Purpose, Current CV, and a Writing sample (1 required, 2 maximum).",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Letters and Science,21010,"$21,010/Year",,,,,,"Archaeology, Biological Anthropology, Sociocultural Anthropology, Medical Anthropology (joint with UCSF)","The Department of Anthropology offers a doctoral program in the standard subfields of the discipline—archaeology, biological anthropology, and sociocultural anthropology. In addition, there is a joint program with the University of California, San Francisco, in medical anthropology. Students in the Berkeley program have the opportunity to participate in a variety of interdisciplinary concentrations as well as in the programs of several centers and institutes.",,https://grad.berkeley.edu/admissions/our-programs/,,,,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,"Fellowships, Teaching Assistantships, Research Assistantships",,,,,,,
,Doctor of Philosophy in Applied Mathematics,,,,,Doctoral,Fall,,September 2025,"December 15, 2025",Required,Required,Not Required,REQUIRED,"Applicants for the doctoral program should have a bachelor's degree or its equivalent from an accredited institution. A strong background in mathematics is necessary. We normally require at least 15 semester units of upper-division mathematics, including at least one year of analysis (e.g., MATH 104 and MATH 105) and one semester of linear algebra (e.g., MATH 110).",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Letters & Science,"$21,142/Year","$21,142/Year (Resident)",,,,,,,"Applied Mathematics at Berkeley has a long history. Since its beginnings, the Applied Mathematics program has focused on the creation and analysis of mathematical modeling for the physical and biological sciences and for engineering. Today the program encompasses a wide range of research in numerical analysis, scientific computing, partial differential equations, and many others. The PhD in Applied Mathematics is a program of the Department of Mathematics. Many of the requirements for the Applied Mathematics PhD program are the same as those for the Mathematics PhD program. However, the programs also have several significant differences. For example, students in Applied Mathematics must take at least two graduate courses in some field of application (such as physics, engineering, or biology).",,https://grad.berkeley.edu/admissions/our-programs/,,,,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,Full funding (tuition and stipend) is typically provided for PhD students,,"Fellowships, Graduate Student Instructorships (GSI), and Research Assistantships (GSR)",,,,,,,
,Doctor of Philosophy in Applied Science and Technology,,,,,Doctoral,Fall,,,,Required,Required,Not Required,REQUIRED,"Applicants must hold a bachelor’s degree or its equivalent from an accredited institution and have a minimum grade point average (GPA) of 3.0. Required application materials include unofficial transcripts, three letters of recommendation, a Statement of Purpose, a Personal History Statement, and a resume/CV. The GRE General Test is not required and will not be considered for this program.",,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,,,,,,,"Applied Physics, Biophysics, Chemistry and Chemical Biology, Mathematical Sciences, and Nanotechnology","The Applied Science & Technology (AS&T) Graduate Group offers an interdisciplinary program of study and research leading to the doctor of philosophy degree. The program is designed for students with strong backgrounds in physical science, mathematics and engineering who want to pursue research in areas that span multiple disciplines. AS&T research areas include: applied physics; biophysics; chemistry and chemical biology; mathematical sciences; and nanotechnology.",,https://engineering.berkeley.edu/wp-content/uploads/2025/03/2024-Graduate-Brochure-Web_update.pdf,,,,True,True,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,90.0,,,,,,,,,,,,,"Fellowships, Research Assistantships, and Teaching Assistantships",,,,,,,
