Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Aerospace Engineering (Ph.D.),,,,,Graduate,Fall,,,,Required,Required,Not Required,REQUIRED,"Applicants must hold a baccalaureate degree or its equivalent from a college or university of recognized standing. They must also have a strong background in engineering, mathematics, and physics. Required application materials include: a completed application for admission, including statement of purpose, transcripts, and three letters of recommendation. A resume or C.V. is also required.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Engineering,"$29,500/Year",,,,,,,,"The graduate field of aerospace engineering provides a program of instruction and research in the disciplines of fluid dynamics, materials and structures, and dynamics and control, with applications to the host of engineering problems that involve the flight of vehicles in the Earth’s atmosphere and in space.

Current research projects are in such areas as computational fluid dynamics; turbulent flows and their control; space vehicle dynamics; combustion; theoretical and applied mechanics of solids and fluids; advanced composite materials; and aeroacoustics. There is close cooperation between the faculty of aerospace engineering and those in related fields, especially mechanical engineering, theoretical and applied mechanics, and electrical and computer engineering.

Students who earn a Ph.D. in aerospace engineering are prepared for leadership roles at the nation’s foremost industrial and government laboratories and as faculty members in university research and teaching.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,"Speaking 22, Reading 20, Listening 15, Writing 20",,,,,,,,,,,,,"Fellowships, Teaching Assistantships (TAs), or Graduate Research Assistantships (GRAs)",,,,,,,
,Robotics (Ph.D.),,,,,Graduate,Fall,,August 2025,"December 15, 2025",Required,Required,Not Required,REQUIRED,"M.S. or B.S. in engineering, computer science, or a related field. Strong academic record. All applicants must provide a transcript from each college or university attended.",,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Sibley School of Mechanical and Aerospace Engineering,"$29,500/Year",29500,,,,,,,"Robotics is an interdisciplinary field that brings together computer science and engineering to create and study intelligent machines that can perceive and act in the physical world. A Ph.D. in robotics will give you the skills to create the next generation of robotics solutions to the challenges facing our world, from autonomous vehicles and exploration to manufacturing and healthcare.

The graduate field of robotics at Cornell is an interdisciplinary group of researchers working on all aspects of robotics, including perception, control, learning, planning, and human-robot interaction. Faculty and students come from many departments, including computer science, mechanical engineering, electrical and computer engineering, and aerospace engineering. A primary goal of the field is to create an environment where students can focus on robotics research, guided by faculty who are experts in robotics, in a way that is not possible within a traditional departmental structure.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,False,True,,4.3,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,,,,,,,,,,,,"Full funding package including stipend, tuition, and health insurance.",100% of admitted Ph.D. students receive full funding.,"Fellowships, Research Assistantships, Teaching Assistantships",,,,,,,
,Africana Studies (Ph.D.),,,,,Graduate,Fall,,,December 15,Required,Required,Not Required,REQUIRED,All applicants must submit the following items with their application: statement of purpose; CV or résumé; academic transcripts; three letters of recommendation; writing sample (15-20 pages); English Language Proficiency Requirement - for applicants whose native language is not English.,Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Arts and Sciences,"$29,500/Year",29500,,,,,,"['African Studies', 'African-American Studies', 'Caribbean Studies']","The graduate field of Africana studies at Cornell has a long and distinguished history. For over forty years, the faculty has trained students who have become leading scholars in the field. The Ph.D. program in Africana studies is interdisciplinary. It aims to provide students with a firm foundation in the contested history of the field, its seminal texts, and its key concepts, theories and methods. Students will develop an understanding of the scholarly and social-movement origins of Africana studies, as well as the relationships among its diverse intellectual and political traditions. Students will also be expected to achieve depth in a specific area or topic related to the study of the African diaspora.

The field has two required courses, one in theory and method and the other in history of the field. Students can specialize in African, African-American or Caribbean studies. They also can take advantage of faculty specializations in areas such as Africana feminisms, expressive arts and literature, history, and political economy and development.

Students applying to this field are admitted to the Ph.D. program. The field does not admit students for a terminal M.A. degree.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,,False,,,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,,,,,,,,,,,,,,"All students admitted to the Ph.D. program are offered a multi-year funding package, which includes a stipend, full tuition, and health insurance.",,,,,,,
,Agriculture and Life Sciences (Biological and Environmental Engineering) (M.P.S.),,,,,Graduate,Fall,,,,,,Not Required,REQUIRED,,,,,,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,"$43,786/Year","$43,786/Year",,,,,,Biological and Environmental Engineering,"The Master of Professional Studies (M.P.S.) in Agriculture and Life Sciences is a one-year, course-based master’s degree that prepares individuals for the workplace. The M.P.S. degree is for individuals who are interested in in-depth study in a particular academic field, but who do not wish to pursue a traditional, research-based Ph.D. The degree has a strong foundation in a specific sub-discipline, combined with structured professional development coursework and a problem-solving project instead of a thesis. The M.P.S. degree program is designed to be completed in two semesters of full-time study.

Students in the graduate field of biological and environmental engineering are part of an interdisciplinary group that applies basic sciences and engineering to living systems and the environment. Students can specialize in a variety of areas, such as bioprocess engineering, bioenvironmental engineering, sustainable energy systems, industrial biotechnology, synthetic biology, ecosystem and water-resources engineering, engineering for a circular economy, digital agriculture, waste treatment and management, soil and water bio-geochemistry and environmental management.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,,,,4.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,External fellowships,,,,,,,
,American Indian and Indigenous Studies (minor),,,,,Graduate,,,,,,,,,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Graduate School,"$29,500/Year",29500,,,,,,,"The graduate minor in American Indian and Indigenous Studies (AIIS) provides an opportunity for students to engage in the interdisciplinary study of Native American societies and cultures. The graduate minor is open to all Cornell graduate students. The program works closely with students to craft a curriculum that both complements their disciplinary interests and expands their knowledge of Indigenous issues. Coursework must be taken with at least two faculty members of the AIIS graduate field who represent at least two different fields of study. The director of graduate studies (DGS) serves as the minor field member on the student’s special committee. Students pursuing the AIIS minor will be part of a vibrant intellectual community that includes faculty and students from a variety of disciplines and national backgrounds. They will receive regular invitations to lectures, workshops, and other events that address a wide range of topics related to American Indian and Indigenous Studies.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fellowships, Assistantships, Loans",,,,,,,
,American Studies (minor),,,,,Graduate,,,,,,,Not Required,NOT REQUIRED,"The American Studies Program at Cornell University offers a graduate minor for students who are enrolled in a doctoral program in any field at the University. A student who wishes to minor in American Studies should first consult the Director of Graduate Studies (DGS) for American Studies, who will assist the student in selecting a minor member for his or her special committee. No formal application is required.",,,True,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,"The graduate minor in American Studies offers students an opportunity to participate in a field defined by its interdisciplinary and transnational scope and its critical attention to historical and contemporary formations of race, ethnicity, gender, sexuality, class, and empire. In both their coursework and their own research, students in the minor draw on a range of approaches—including literary and visual analysis, ethnography, and archival research—to explore the territory between and across traditional disciplines. The director of graduate studies (DGS) works with each student to devise a course of study that best complements the student’s work in their major field.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,False,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Fellowships, Assistantships, Loans, External Funding",,,,,,,
,Animal Science (M.P.S.),,,,,Graduate,Fall,,September 2025,Rolling admissions,Not Required,Required,Not Required,REQUIRED,"All applicants must submit a statement of purpose, transcripts, and two letters of recommendation. GRE test scores are not required and will not be accepted or reviewed by the admission committee if submitted.",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,"$41,672/Year","$41,672/Year",,,,,,"['Animal Nutrition', 'Animal Physiology and Reproduction', 'Breeding and Genetics', 'Dairy Cattle Management', 'Livestock, Poultry and Companion Animal Biology']","The M.P.S. in animal science is an intensive, one-year, non-thesis master’s program designed for individuals who need more academic preparation for professional school (veterinary, medical, dental), or who wish to expand their knowledge of a specific area of animal science before entering the workforce. M.P.S. students choose a concentration area and, guided by a faculty advisor, take courses from across the College of Agriculture and Life Sciences and the university to develop an individualized program. The M.P.S. degree culminates with a capstone project which applies academic knowledge to solve a real-world problem.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,True,True,,4.3,2.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,7.0,,,,,77,,,,,,,,,,,,,"Fellowships, Assistantships, Loans",,,,,,,
,Animal Science (M.S.),,,,,Graduate,Fall,,,,Required,Required,Not Required,REQUIRED,"An undergraduate degree in animal science is not required, but applicants are expected to have a strong background in the basic biological and physical sciences. Recommended courses include general biology and chemistry, organic chemistry, biochemistry, genetics, and calculus. Courses in nutrition, physiology, and microbiology are also desirable. A minimum undergraduate GPA of 3.0 is strongly recommended.",Not Required,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,"$29,500/Year","$29,500/Year",,,,,,"Animal Breeding and Genetics, Animal and Data Science, Animal Nutrition, Animal Physiology",The graduate field of animal science offers M.S. and Ph.D. degree programs with a concentration in one of the following areas: animal breeding and genetics; animal nutrition; animal physiology; or animal and data science. Course work is designed to give the student a strong background in the basic sciences and in the specialized area of concentration. Students are expected to complete an original research project that contributes new knowledge to the field of animal science. Each student's program is designed by the student and his or her Special Committee.,,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,False,True,,4.3,,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.0,,,,,,,,,,,,,,,,,,"Fellowships, Assistantships, Loans",,,,,,,
,Animal Science (M.S./Ph.D.),,,,,Graduate,Fall,,August 2025,"December 1, 2025",,,Optional,REQUIRED,,,,,,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,"$29,500/Year","$29,500/Year",,,,,,"['animal breeding and genetics', 'animal nutrition', 'animal physiology', 'animal management']","The graduate field of animal science offers M.S. and Ph.D. degree programs with a concentration in one of the following animal sciences: animal breeding and genetics, animal nutrition, animal physiology, or animal management. Within these concentrations, students have a wide range of topic areas from which to choose. For example, animal nutrition includes biochemical, molecular, and applied aspects of the nutrition of a variety of animal species. Animal physiology includes reproductive, lactation, and growth physiology.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,"The standard 9-month stipend rate for 2024-2025 is $43,982.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,"All Ph.D. students receive a full funding package that includes a stipend, full tuition coverage, and health insurance. The standard 9-month stipend rate for 2024-2025 is $43,982.",100%,"Fellowships, Assistantships (Teaching, Research)",,,,,,,
,Animal Science (Ph.D.),,,,,Graduate,Fall,,,December 1,,,Optional,REQUIRED,,,,,,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Agriculture and Life Sciences,"$29,500/Year","$29,500/Year",,,,,,Animal Science,"The graduate field of animal science offers M.S. and Ph.D. degree programs with a concentration in animal science. In this research-based degree program, students work with one of Cornell’s world-class faculty members and have access to state-of-the-art research facilities. Research programs in animal science apply basic and applied sciences to the study of the biology and management of domestic animals, including livestock, companion, and laboratory animals. Specific areas of research include animal genetics and genomics, animal nutrition, animal physiology, and animal welfare and management. The goal of these research programs is to improve animal productivity, health, and well-being.

Most students pursuing an M.S. or Ph.D. in animal science focus their research within one of four general areas: animal breeding and genetics, animal nutrition, animal physiology, or animal welfare and management. Research in animal breeding and genetics covers quantitative, molecular, and computational genetics and genomics and aims to improve the health and productivity of both domestic and non-domesticated species of animals. Research in animal nutrition focuses on the digestion, absorption, metabolism, and excretion of nutrients in order to improve nutrient utilization and efficiency, improve animal health, and reduce the environmental impact of animal agriculture. Research in physiology is aimed at understanding the basic biology of animals with a particular emphasis on the biology of reproduction, lactation, growth, and development. Research in animal management and welfare examines the effects of management and housing systems on animal health, well-being, and productivity, and aims to develop more sustainable animal production systems. Research in all of these areas is conducted at the whole animal, organ system, cellular, and molecular levels. Students are not restricted to one of these areas of study and can take a multi-disciplinary approach by including faculty from other areas of animal science and other graduate fields as part of their special committee.

In addition to the graduate field of animal science, other graduate fields that may be of interest to students include biomedical and biological sciences, food science and technology, and zoology and wildlife conservation.",,https://gradschool.cornell.edu/academic-progress/degrees-fields/cugradfos/,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,Assistantships and Fellowships,,,,,,,
