Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,PhD in African American Studies,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,"The Doctor of Philosophy (PhD) in African American Studies is a combined degree program. Students pursue a joint doctoral degree with another department or program at Yale, such as Film and Media Studies, History, or English. Application requirements are therefore dependent on the partner department chosen by the applicant.",,,False,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,"For PhD students, the full tuition is covered by the university's funding package. [6]",The full cost of tuition is covered by Yale's PhD funding package. [6],,,,,,"Within a chosen field of study, the student will select an area of concentration in consultation with the directors of graduate studies of Black Studies and the joint department or program. An area of concentration in Black American Studiessmaytake a single area study or a comparative area study e.g., Caribbean or African American literature, a comparison of African American literature in a combined degree with the Department of English; an investigation of the significance of the presence of African cultures in the new World, either in the Caribbean or in Latin and/or South America in a combined degree with the Spanish and Portuguese department. [6]","Black Studies offers a combined Ph.D. in conjunction with several other departments and programs. Departments and programs which currently offer a combined Ph.D. with Black Studies are: American Studies, Anthropology, English, Film and Media Studies, French, History, History of Art, Music, Political Science, Psychology, Religious Studies, Sociology, Spanish and Portuguese, and WGSS. Within a chosen field of study, the student will select an area of concentration in consultation with the directors of graduate studies of Black Studies and the joint department or program. [6]",,https://gsas.yale.edu/programs-of-study,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Every PhD student receives a funding package that includes a full tuition fellowship, a stipend for living expenses, and comprehensive health care. [6]",100%,"Fellowships, Assistantships",FALSE,,,FALSE,FALSE,,,
,PhD in African Studies,,,,,Doctoral,Fall 2026,,,,,,,,,,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,https://world.yale.edu/region/africa,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in American Studies,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,"GRE is not accepted. Program-Specific Application Requirements. A writing sample is required by this program. English Language Requirement. TOEFL iBT or IELTS Academic is required of most applicants whose native language is not English. You may be exempt from this requirement if you have received (or will receive) an undergraduate degree from a college or university where English is the primary language of instruction, and if you have studied in residence at that institution for at least three years.",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,Full tuition fellowship provided,"$48,300 for the academic year 2024–2025 (covered by fellowship for all PhD students)",,,,,,"[""American Studies offers a combined PhD in conjunction with several other departments and programs including: Black Studies, Film and Media Studies, and Women's, Gender, and Sexuality Studies. [1]"", 'The MA concentration in Public Humanities is open only to our Ph.D. students. [2]']","Graduate students enter either the Ph.D. program or the one year M.A. program. Students in the Ph.D. program earn the M.A. en route to the doctorate. The MA concentration in Public Humanities is open only to our Ph.D. students. Doctoral students spend their first two years in coursework, completing a total of twelve courses. In the third year, students begin to teach, take their oral examinations, and write their dissertation prospectuses. The fourth year is typically spent teaching, researching, and writing the dissertation. The University Dissertation Fellowship (UDF), awarded to all students, is usually taken in years five or six and allows candidates to dedicate themselves exclusively to the completion of the dissertation. [2]",,https://gsas.yale.edu/programs-of-study,,"Minimum of $48,300 for 2024-2025 (12-month stipend)",,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Full tuition coverage plus a minimum stipend of $48,300 for 2024-2025.",100%,"Fellowship, Stipend, Health Insurance",FALSE,,,FALSE,FALSE,,,
,PhD in Anthropology,,,,,Doctoral,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,,False,False,False,,,,False,False,,,,Yale Graduate School of Arts and Sciences,"$50,900/Year","$50,900 for 2025-2026",,,,,,"['Archaeology', 'Sociocultural and linguistic anthropology', 'Physical anthropology', 'Combined PhD in Anthropology and Black Studies', 'Combined PhD in Anthropology and Environment', ""Combined PhD in Anthropology and Women's, Gender, and Sexuality Studies""]"," The Yale Graduate Program in Anthropology covers three subfields: archaeology, sociocultural and linguistic anthropology, and physical anthropology. [11] Sociocultural anthropology provides a range of courses: classics in ethnography and social theory, religion, myth and ritual, kinship and descent, historical anthropology, culture and political economy, agrarian studies, ecology, environment and social change, medical anthropology, emotions, public health, sexual meanings and gender, postcolonial development, ethnicity, identity politics and diaspora, urban anthropology, global mass culture, and alternate modernity. [11] Linguistic anthropology includes language, nationalism and ideology, structuralism and semiotics, and feminist discourse. [11] Physical anthropology focuses on paleoanthropology, evolutionary theory, human functional anatomy, race and human biological diversity, and primate ecology. [11] Archaeology focuses on ritual complexes and writing, ceramic analysis, warfare, ancient civilizations, origins of agriculture, and museum studies. [11]",,https://gsas.yale.edu/programs-of-study,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Minimum of $50,777 for 2025-2026",,"All PhD students receive a financial award that includes a fellowship that covers the full cost of tuition, a 12-month stipend, comprehensive health insurance, and a family support subsidy for graduate students with children.",FALSE,,,FALSE,FALSE,,,
,PhD in Applied Mathematics,,,,,Doctoral,Fall 2026,,,,Required,Required,GRE,REQUIRED,"All applicants to the Graduate School of Arts and Sciences (GSAS) must submit a completed application form, an application fee, three letters of recommendation, a statement of purpose, and transcripts from each prior institution attended. A CV/resume is also required. Some programs require the submission of a writing sample or other materials as well.",Not Required,,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,All PhD students receive a full funding package which includes a full tuition waiver.,0,,,,,,"['analysis of data in very high-dimensional spaces', 'the geometry of information', 'computational biology', 'mathematical physics (optical and condensed matter physics)', 'randomized algorithms']","The graduate program in Applied & ComputationalMathematics comprises the study and application of mathematics to problems motivated by a wide range of application domains. [2] Areas of concentration include the analysis of data in very high-dimensional spaces, the geometry of information, computational biology, mathematical physics (optical and condensed matter physics), and randomized algorithms. [2]  [4]  The graduate program in Applied Mathematics comprises the study and application of mathematics to problems motivated by a wide range of application domains. [4] Topics covered by the program include classical and modern applied harmonic analysis, linear and nonlinear partial differential equations, inverse problems, quantum optics, imaging, numerical analysis, scientific computing and applications, discrete algorithms, combinatorics and combinatorial optimization, graph algorithms, geometric algorithms, discrete mathematics and applications, cryptography, statistical theory and applications, probability theory and applications, information theory, econometrics, financial mathematics, statistical computing, and applications of mathematical and computational techniques to fluid mechanics, combustion, and other scientific and engineering problems. [2]  [4]",,https://gsas.yale.edu/programs-of-study,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"The minimum annual stipend for Physical Sciences PhD students for the 2025-2026 academic year is $50,777. [21]",100% of tuition is covered.,Fellowship,FALSE,,,FALSE,FALSE,,,
,PhD in Archaeological Studies,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"As there is no distinct Ph.D. in Archaeological Studies, prospective students must apply through a department that participates in the Council on Archaeological Studies, such as Anthropology or Classics. General application requirements for the Yale Graduate School of Arts and Sciences include a statement of purpose, letters of recommendation, transcripts, and an application fee. The GRE is not required for admission to the Anthropology or Classics doctoral programs. A writing sample is required for an application to the Classics Ph.D. program and is strongly recommended for the Anthropology Ph.D. program. [1, 2, 3]",Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,"For PhD students, tuition is fully covered by the university's funding package for the first five years of study.",The tuition for funded PhD students is covered by the university.,,,,,,Archaeology,"The Anthropology Ph.D. program covers three subfields: archaeology; sociocultural and linguistic anthropology; and physical anthropology. Archaeology focuses onritual complexes and writing, ceramic analysis, warfare, ancient civilizations, origins of agriculture, and museum studies. There is strong geographical coverage in Africa, the Caribbean, East Asia (China and Japan), Central Asia, Latin America and South America, Southeast Asia (Indonesia), South Asia and the Indian Ocean, and the Near East, Europe, and the United States. [12]",,https://gsas.yale.edu/programs-of-study,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,Full tuition coverage is provided for the first five years of the PhD program.,100% for the first five years for funded PhD students,"Scholarships, fellowship stipends, research assistantships, and teaching assistantships.",FALSE,,,FALSE,FALSE,,,
,PhD in Architecture,,,,,Doctoral,Fall 2026,,,,,Required,Optional,REQUIRED,The doctoral program in Architecture offers two tracks of study: History and Theory of Architecture and Ecosystems in Architectural Sciences. Both tracks offer rigorous grounding in their respective fields of specialization while giving future scholars and educators a broad awareness of issues currently facing architecture in its relations with society and the world at large. Program-Specific Application Requirements: A writing sample is required. A portfolio is required for the Ecosystems in Architectural Sciences track; a portfolio is optional for the History and Theory of Architecture track.,Required,,True,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,,,,,,,,"['History and Theory of Architecture', 'Ecosystems in Architectural Sciences']","The doctoral program in Architecture currently offers two tracks of study: History and Theory of Architecture, and Ecosystems in Architectural Sciences. Both tracks aim to educate teachers capable of effectively instructing future architects in their own field and its manifold connections with the culture a tlarge. [12] The program forges a unique combination of professional knowledge with a historical and analytical grasp of architecture, deepening awareness of the field's current state and the critical issues it faces. [12] The History and Theory track provides sound training in historical study and historiography, and cultivates understanding of intellectual trends that inform the reception and role of architecture in the world at large. [12] It prepares candidates for careers in university teaching, cultural advocacy and administration, museum curatorship, and publishing, among others. [12] The Ecosystems in Architectural Sciences track provides preparation in interdisciplinary scientific inquiry, qualifying students to incorporate scientific methods into experimental design frameworks in order to research and develop novel material and informational ecosystems. [12] Students in this track engage in research related to the behaviors of living ecosystems, emphasizing their interconnection with the built environment. [12]",,https://gsas.yale.edu/programs-of-study,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,Teaching or research assistantships,FALSE,,,FALSE,FALSE,,,
,PhD in Astronomy,,,,,Doctoral,Fall 2026,,,,,Required,Not Required,REQUIRED,"Applicants are expected to have a strong undergraduate preparation in physics and mathematics. [4] Although some formal training in astronomy is useful, it is by no means a prerequisite for admission. [4] General application requirements include a statement of academic purpose, unofficial transcripts from each prior college or university attended, and three letters of recommendation. [4, 6] A Bachelor's degree (or equivalent) is required before matriculation. [4]",,,True,False,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Graduate School of Arts and Sciences,All PhD students receive a fellowship that covers the full cost of tuition. [24],Full tuition is covered by the university's funding package for all admitted PhD students. [24],,,,,,,"The Yale Astronomy Department welcomes applications for our Ph.D. graduate program. A flew-through highlights of the program are below. For more detail, please peruse our website and feel free to contact our Director of Graduate Admissions. The members of our teaching faculty have international reputations in a broad range of subjects, and collaborations between department members with differing research interests are common. The Department of Astronomy also offers joint programs and opportunities with other departments at Yale and with the Universidad de Chile. With a graduate-student-to-faculty ratio of order unity, close collaboration between faculty and students becomes the norm. Furthermore, Yale students have access to world-class observational and computational facilities which allows them to execute cutting-edge research early on in their careers. The average time for a Yale Astronomy student to finish a PhD is under six years, roughly a year lower than the national average. We attribute this to the close attention given to students, early research experience, and the excellent resources that Yale Astronomy has to offer. Yale Astronomy alumni excel in their careers, often winning prestigious fellowships and continuing on to tenure-track faculty positions. Last, but not least, Yale and its host city of New Haven offers rich opportunities for cultural, gastronomical and extra-curricular activities. Yale Astronomy Graduate students enjoy spending time with each other both in planned activities, such as the weekly Astronomy Happy Hour, group bike rides, running marathons, and cookouts, as well as other more spontaneous get-togethers.",,https://gsas.yale.edu/programs-of-study,,"Doctoral students receive a funding package that, on average, is worth more than $500,000 in tuition fellowships, stipends, and health premium benefits over the course of their enrollment. [24]",,FALSE,True,,,Students must maintain a cumulative grade of Honors (H) to be in good academic standing. [30],,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"Every PhD student receives a fellowship that provides the full cost of tuition, a stipend for living expenses, and paid health coverage. [24]",100%,"University Fellowship, Teaching Fellowship, Training and Research Grant Support, External Fellowships. [24]",FALSE,,,FALSE,FALSE,,,
,PhD in Biological and Biomedical Sciences,,,,,Doctoral,Fall 2026,,,,,Required,Not Required,REQUIRED,"While there are no common courses required of all BBS applicants, successful applicants will typically have completed undergraduate coursework in biology, chemistry (at least through organic chemistry), physics, and calculus. [6] Some tracks may have additional course requirements. [6] There are no specific grade requirements, but a strong performance in science and math courses is carefully examined, and prior laboratory research experience is considered of great importance for admission. [6]",Not Required,,True,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Graduate School of Arts and Sciences,Full tuition coverage,All students in the PhD program receive full tuition coverage. [13],,,,,,,,,https://gsas.yale.edu/programs-of-study,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,100,,,,,,,,,,,"All students receive a financial aid package that includes full tuition coverage, a stipend ($52,321 for 2025-26), and health insurance. [13]",100% of tuition,All admitted students receive a full financial support package. The Gruber Science Fellowship is also available and awarded to the most highly ranked applicants.,FALSE,,,FALSE,FALSE,,,
,PhD in Biomedical Engineering,,,,,Doctoral,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,Yale Graduate School of Arts and Sciences and Yale School of Engineering & Applied Science,"$48,300/Year","$48,300 per year for the 2023-2024 academic year. All PhD students in Biomedical Engineering are admitted with a full funding package that covers the entire cost of tuition.",,,,,,"['Bioimaging and Biosensing', 'Biomechanics and Mechanobiology', 'Computational Modeling and Analysis', 'Biomolecular Engineering', 'Drug Delivery', 'Systems Biology']","Yale's PhD program in Biomedical Engineering offers opportunities in research and education at the forefront of healthcare innovation. Our program is driven by two interconnected missions: decoding the intricacies of human physiology and disease through advanced engineering methods, and pioneering transformative technologies for medical diagnosis, treatment, and prevention. PhD study in BME at Yale offers unique opportunities for students due to our close integration with the Yale School of Medicine–a critical collaboration that bridges the gap between engineering ingenuity and clinical insight. We foster an unparalleled environment where engineering breakthroughs directly inform and enhance medical practice.",,https://gsas.yale.edu/programs-of-study,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,100% of tuition plus a stipend,"Fellowships, Research Assistantships",FALSE,,,FALSE,FALSE,,,
