Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"To be eligible for admission to the Master of Advanced Architectural Design (MAAD) program, applicants must hold a professional degree in architecture (Bachelor of Architecture or Master of Architecture) from an accredited program in the U.S. or an international equivalent. Required application materials include a digital portfolio of design work, a Statement of Purpose, a Personal History Statement, three letters of recommendation, transcripts, and a curriculum vitae (CV) or resume. A minimum grade point average (GPA) of 3.0 is required.",,True,False,True,True,False,False,,,program,Master of Advanced Architectural Design,https://urbanaffairsassociation.org/2025/07/31/assistant-professor-architectural-design-and-engaged-practice-architecture-university-of-california-berkeley/
Required,Required,"Minimum requirements for admission to graduate study at UC Berkeley: A bachelor’s degree or its equivalent from an accredited institution; A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 (B) on a 4.0 scale; and Enough undergraduate training to do graduate work in your chosen field. In addition to the University’s requirements, applicants must provide: 3 letters of recommendation, Statement of Purpose, Personal History Statement, Resume, Official Transcripts, and Evidence of English language proficiency.",,True,False,True,True,False,False,,,program,Master of Advanced Study in Engineering,https://grad.berkeley.edu/admissions/our-programs/
Required,Required,"To apply for the Ph.D. program in African American Studies, applicants must submit an online application and provide the following materials: an application fee ($135 for US citizens/permanent residents; $155 for all others), Statement of Purpose, Personal History Statement, Curriculum Vitae (CV), a Writing Sample (must be double-spaced and no more than 30 pages), three letters of recommendation, and transcripts from each college or university attended. International applicants must also demonstrate English Language Proficiency via the TOEFL or IELTS. The Graduate Record Examination (GRE) is not required.",Required,True,False,True,False,False,False,,,program,Doctor of Philosophy in African American Studies,https://africam.berkeley.edu/home/contact-information
Required,Required,"The Department of African American Studies at UC Berkeley offers a program of study leading to the Ph.D. degree (a terminal Master of Arts is not offered). Application requirements include a statement of purpose, personal statement, three letters of recommendation, a current resume or curriculum vitae, a writing sample (one, maximum of 25 pages), and transcripts. A minimum undergraduate GPA of 3.0 is required. The GRE General Test is not required.",Required,True,False,True,False,False,False,,,program,Master of Arts in African American Studies,https://grad.berkeley.edu/admissions/our-programs/
Required,Required,"Applicants must have a bachelor's degree or its equivalent from an accredited institution. A minimum Grade Point Average (GPA) of 3.0 is required. Application requirements include the submission of GRE General Test scores, three letters of recommendation, a Statement of Purpose, a Personal History Statement, and a current resume or curriculum vitae. International applicants whose native language is not English must also fulfill the English Language Proficiency requirement via the TOEFL or IELTS exam.",Not Required,False,False,True,True,False,False,,,program,Doctor of Philosophy in Agricultural and Resource Economics,https://aczx.eu.org/atoz/
Required,Required,"To be eligible for the Master of Analytics, applicants must have a bachelor’s degree or its equivalent from an accredited institution with a minimum GPA of 3.0. Required prerequisites include Linear Algebra, Calculus, Probability and Statistics, and Computer Programming (Python is preferred). The application requires a Resume or CV, Statement of Purpose, Personal History Statement, official transcripts, and three letters of recommendation. GRE/GMAT scores are not required. International applicants must meet English language proficiency requirements (TOEFL or IELTS).",,True,False,True,True,False,False,,,program,Master of Analytics,https://ieor.berkeley.edu/berkeley-engineering-launches-redesigned-master-of-analytics-website/
Required,Required,"The Graduate Group in Ancient History and Mediterranean Archaeology (AHMA) at the University of California, Berkeley offers an interdisciplinary program leading to the PhD degree. It is composed of 30 faculty members from eight different Berkeley departments: Anthropology, Classics, History, History of Art, Near Eastern Studies, Italian Studies, Rhetoric and Philosophy. Applicants are expected to have a strong foundation in at least one of the fields of study represented in the Graduate Group and to have begun the study of the necessary ancient and modern languages. A minimum GPA of 3.0 is required for admission to the University of California, Berkeley.",Required,True,False,True,False,False,False,,,program,Doctor of Philosophy in Ancient History and Mediterranean Archaeology,https://grad.berkeley.edu/admissions/our-programs/
Required,Required,"The minimum graduate admission requirements are: (1) A bachelor’s degree or recognized equivalent from an accredited institution; (2) A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 (B) on a 4.0 scale; and (3) Enough undergraduate training to do graduate work in your chosen field. In addition to the University’s minimum requirements, the department requires: Three letters of recommendation, Personal Statement, Statement of Purpose, Current CV, and a Writing sample (1 required, 2 maximum).",Required,True,False,True,False,False,False,,,program,Doctor of Philosophy in Anthropology,https://grad.berkeley.edu/admissions/our-programs/
Required,Required,"Applicants for the doctoral program should have a bachelor's degree or its equivalent from an accredited institution. A strong background in mathematics is necessary. We normally require at least 15 semester units of upper-division mathematics, including at least one year of analysis (e.g., MATH 104 and MATH 105) and one semester of linear algebra (e.g., MATH 110).",Not Required,True,False,True,True,False,False,,,program,Doctor of Philosophy in Applied Mathematics,https://grad.berkeley.edu/admissions/our-programs/
Required,Required,"Applicants must hold a bachelor’s degree or its equivalent from an accredited institution and have a minimum grade point average (GPA) of 3.0. Required application materials include unofficial transcripts, three letters of recommendation, a Statement of Purpose, a Personal History Statement, and a resume/CV. The GRE General Test is not required and will not be considered for this program.",,True,False,True,True,False,False,,,program,Doctor of Philosophy in Applied Science and Technology,https://engineering.berkeley.edu/wp-content/uploads/2025/03/2024-Graduate-Brochure-Web_update.pdf
Required,Required,"The minimum graduate admission requirements are: (1) A bachelor’s degree or recognized equivalent from an accredited institution; (2) A satisfactory scholastic average, usually a minimum grade-point average (GPA) of 3.0 (B) on a 4.0 scale; and (3) Enough undergraduate training to do graduate work in your chosen field. Application materials include three letters of recommendation, a portfolio of design work, and a Personal History Statement.",,True,False,True,True,False,False,,,program,Master of Architecture,https://grad.berkeley.edu/admissions/our-programs/
Required,Required,"Admission requirements for the Master of Science (MS) in Architecture include a Statement of Purpose, a Personal History Statement, a Resume or Curriculum Vitae (CV), three letters of recommendation, and official transcripts from all post-secondary institutions attended. Additionally, a writing sample is required for all MS applicants, while a portfolio is considered optional. The GRE is not required for admission. Applicants must have a minimum Grade Point Average (GPA) of 3.0.",Required,True,False,True,True,False,False,,,program,Master of Science in Architecture,https://ced.berkeley.edu/arch/degrees-admissions/master-of-architecture
