Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Science in Aeronautics,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Aeronautics with Specialization in Aviation and Aerospace Sustainability,https://erau.edu/degrees,Optional,Optional,"For admission to this program, applicants are required to have a bachelor’s degree with a minimum GPA of 2.5 from an accredited degree-granting institution. Applicants who already possess a master’s degree need only to have a bachelor’s degree from an accredited degree-granting institution.",,True,False,True,True,False,False,,,program,
Master of Science in Aeronautics with Specialization in Small Uncrewed Aircraft Systems (sUAS) Operations,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Aeronautics with Specialization in Uncrewed and Autonomous Systems,https://erau.edu/degrees/master/aeronautics,Required,Required,"Applicants for the Master of Science in Aeronautics (MSA) program must have a baccalaureate degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Those who possess a baccalaureate degree with a CGPA less than 2.5 may be considered for conditional admission. Applicants should submit the following: 1. A completed graduate application for admission; 2. Official transcripts from all previously attended colleges and universities. Transcripts from any international institutions must be evaluated through a NACES approved agency, such as World Education Services, Inc. or an equivalent agency; 3. A resume outlining work experience. 4. Three letters of recommendation (forms provided). 5. A statement of purpose detailing why the student wants to pursue the MSA, and how this will help them achieve their professional goals.",Not Required,True,False,False,True,False,False,,,program,
Master of Science in Aeronautics with Specialization in Space Operations,https://erau.edu/degrees,Required,Required,"Applicants for the Master of Science in Aeronautics program are required to have a bachelor’s degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Applicants who already possess a master’s degree are required to have a 3.0 CGPA or higher at the graduate level. Applicants with an undergraduate CGPA of less than 2.5, or those with a graduate GPA of less than 3.0, must submit official Graduate Record Exam (GRE) scores of 150 or higher on the verbal section and 150 or higher on the quantitative section. Alternatively, applicants may submit official scores from the Graduate Management Admissions Test (GMAT) of 500 or higher. In addition to the documents required for admission to the university, applicants for the Master of Science in Aeronautics program must also submit a statement of purpose, and a resume. Letters of recommendation are not required, but applicants are welcome to submit them.",,False,False,True,True,False,False,,,program,
Master of Science in Aeronautics with Specialization in Aviation Safety,https://erau.edu/degrees,Required,Required,"To be considered for admission to the Master of Science in Aeronautics program, prospective students should hold a baccalaureate degree from an accredited degree-granting institution. In addition to a completed application package, which should include all of the items listed below, applicants should have a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Required documents include: a completed application, official transcripts from all attended academic institutions, a résumé or curriculum vitae (CV), a 250-500 word statement of purpose addressing your career goals, and two letters of recommendation. Graduate Record Exam (GRE) or Graduate Management Admission Test (GMAT) scores are not required.",Not Required,True,False,False,True,False,False,,,program,
Master of Science in Aeronautics with Specialization in Human Factors,https://commons.erau.edu/cgi/viewcontent.cgi?article=1011&context=db-sgs-newletter,,,,,False,False,False,True,False,False,,,program,
Master of Science in Aeronautics with Specialization in Aviation Maintenance,https://erau.edu/degrees/master/aeronautics,Required,Required,"For admission to the Master of Science in Aeronautics program, students must have a bachelor’s degree with a minimum GPA of 2.5 from an accredited degree-granting institution. Applicants who do not meet this minimum GPA requirement can be considered on an individual basis if they show evidence of potential for success in a graduate program of study. Graduate Record Exam (GRE) or Graduate Management Admissions Test (GMAT) test scores are not required for admission to this program. Prerequisites: Completion of a bachelor's degree. Students are expected to have at least a fundamental understanding of aerodynamics, aircraft performance, propulsion, and structures from their undergraduate program. Students who have not met this prerequisite may be required to take MSA 505.",Not Required,True,False,True,True,False,False,,,program,
Master of Science in Aeronautics with Specialization in Aviation Cybersecurity,https://erau.edu/degrees,Required,Required,"Admission to the Master of Science in Aeronautics (MSA) program requires a bachelor's degree from an accredited degree-granting institution. A cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale is required for full admission into the MSA program. Applicants who have a CGPA of less than 2.5 may be considered for provisional admission. In addition to the documents required for admission to the university, applicants should also submit: A current resume; A Statement of Objectives which will serve as the applicant's writing sample; Three letters of recommendation (optional for students with a 3.0 CGPA or higher); Official GRE scores are not required for admission to the Master of Science in Aeronautics program.",Required,True,False,,False,False,False,,,program,
Master of Science in Aerospace Business Analytics,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Aerospace Engineering,https://erau.edu/degrees,Required,Required,"An essay or statement of purpose (approximately 1,000 words) describing your professional goals and aspirations.
A professional résumé or curriculum vitae (CV).
Official transcripts from all previously attended colleges and universities.
Letters of Recommendation (three are recommended).
Official Graduate Record Exam (GRE) test scores are recommended for all applicants and required for those seeking a graduate assistantship. The GRE institution code is 5190. GRE scores are optional for graduates of ERAU.
For the MSAE program, quantitative reasoning score of 155 or higher and an analytical writing score of 4.0 or higher are preferred.
The GMAT may be accepted in lieu of the GRE.",Not Required,False,True,True,True,False,False,,,program,
"Master of Science in Aerospace Engineering with Concentration in Aerodynamics, Propulsion, Computational Aero and Fluid Dynamics, Transition and Turbulence, Aeroacoustics, Heat Transfer, and Combustion",https://pe.gatech.edu/degrees/aerospace-engineering,Optional,Optional,"In addition to university graduate admission requirements, applicants must have a bachelor’s degree in aerospace engineering, mechanical engineering, or a closely related field from an accredited institution. A cumulative grade point average (CGPA) of 3.0 or higher is required. Applicants with a CGPA below 3.0 may be considered for admission on a case-by-case basis. The Graduate Record Examination (GRE) is not required for admission. Students with degrees in other engineering disciplines, physics, or mathematics may be required to complete prerequisite courses before being fully admitted to the program.",,True,True,True,True,False,False,,,program,
Master of Science in Aerospace Engineering with Concentration in Dynamics and Control,https://www.csulb.edu/college-of-engineering/master-of-science-aerospace-engineering,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Aerospace Engineering with Concentration in Structures and Materials,https://daytonabeach.erau.edu/-/media/files/daytona-beach/college-of-engineering/aerospace-engineering/032818-coe-newsletter-final-electronic.pdf,Required,Required,Applicants for the Master of Science in Aerospace Engineering program must have a bachelor’s degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 3.0 or higher on a 4.0 scale. The Graduate Record Examination (GRE) is recommended for all applicants and required for all applicants seeking a graduate assistantship. The GRE is also required for applicants with a CGPA below 3.0 and for applicants with a degree from a non-ABET accredited program.,Not Required,False,False,,True,False,False,,,program,
Master of Science in Airline Management,https://research.com/advice/is-an-aviation-management-online-degree-worth-it,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Airport and Air Mobility Management,https://erau.edu/degrees,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Airworthiness Engineering,https://erau.edu/degrees,Required,Required,"To be considered for this program, applicants must have a bachelor’s degree from an accredited institution with a minimum cumulative grade point average (CGPA) of 2.5 on a 4.0 scale. Applicants must submit official transcripts from all institutions attended, a résumé or curriculum vitae (CV), a Statement of Objectives (500-1000 words), and the names and contact information for two recommenders.",Not Required,True,False,False,True,False,False,,,program,
Master of Science in Aviation,https://erau.edu/degrees/master/aviation,Required,Required,"Applicants for admission to the Master of Science in Aviation program must have a bachelor's degree from an accredited institution with a minimum grade point average (GPA) of 2.5. Required application documents include official transcripts from all institutions attended, three letters of recommendation, a resume, and a statement of purpose. Graduate Record Exam (GRE) scores are required if the applicant's cumulative undergraduate GPA is below a 3.0.",,False,False,True,True,False,False,,,program,
Master of Business Administration in Aviation Management,https://erau.edu/degrees,Required,Required,Applicants must submit the following items to be considered for admission into the MBAA program: A completed graduate application for admission. A professional résumé. Three letters of recommendation (required from individuals with whom you have had a professional or academic relationship). A statement of objectives (essay). Official transcripts from all previously attended colleges and universities. Official Graduate Management Admissions Test (GMAT) or Graduate Record Exam (GRE) scores.,Not Required,False,False,False,True,False,False,,,program,
Master of Science in Computer Science,https://erau.edu/degrees,Required,Required,"The admission requirements for the Master of Science in Computer Science degree are a bachelor's degree in computer science, software engineering, computer engineering, or electrical engineering with a computer option, from an accredited institution with a cumulative grade point average (CGPA) of 3.0 or higher. Applicants who do not possess a degree in one of the areas mentioned above may be considered for admission if they have an undergraduate degree in a related field such as mathematics, physics, or another engineering discipline with a CGPA of 3.0 or higher. However, these applicants must demonstrate proficiency by successfully completing (with a grade of B or better) the following foundational undergraduate courses: Computer Programming I & II, Data Structures and Algorithms, Operating Systems, Computer Organization and Architecture, and Discrete Mathematics. Some or all of these foundational courses may be satisfied through a diagnostic exam upon approval from the graduate program coordinator.",Not Required,True,False,True,True,False,False,,,program,
Master of Science in Data Science,https://www.youtube.com/watch?v=dCJX6HUn-IY,Required,Optional,A bachelor's degree from an accredited institution with a cumulative grade point average (CGPA) of 3.0 or higher on a 4.0 scale is required. Applicants with a CGPA between 2.5 and 2.99 will be considered on an individual basis. Two letters of recommendation are required. Official transcripts from all previously attended colleges and universities are required. Graduate Record Examination (GRE) scores are not required but are recommended for applicants who do not meet the minimum CGPA requirement.,Not Required,True,True,False,True,False,False,,,program,
Master of Science in Engineering Management,https://engineeringmanagement.org/programs/embry-riddle-aeronautical-university-worldwide-online-mem/,Required,Required,"To be considered for admission to the Master of Science in Engineering Management program, applicants are required to have:

- Earned a bachelor’s degree with a minimum Grade Point Average (GPA) of 2.5 (on a 4.0 scale) from an accredited degree-granting institution.
- An undergraduate degree in engineering or a related discipline. Applicants without an engineering degree or a related discipline will be required to complete prerequisite courses before full admittance into the program.
- A statement of objectives that addresses the applicant’s reasons for wanting to pursue a graduate degree in engineering management and how that degree will assist them in achieving their professional goals. This statement should also include any other relevant information that will help the department make an admission decision.
- A professional resume that summarizes the applicant’s work history and any professional training, licensures, or certificates that have been earned.

Standardized tests (such as the GRE/GMAT) are not required for admission.",Not Required,True,False,True,True,False,False,,,program,
Master of Science in Human Factors,https://www.eaap.net/read/6104/erau-master-of-science-in-human.html,Required,Required,"Applicants for the Master of Science in Human Factors program are expected to have a bachelor’s degree from an accredited institution. Those with a bachelor’s degree in psychology, engineering, or a related discipline are encouraged to apply. Those with an undergraduate degree in another discipline may need to complete prerequisites. All applicants must submit the following:

An application form and application fee.
Official transcripts from all colleges and universities attended.
Three letters of recommendation.
A résumé or curriculum vitae.
A statement of objectives (essay).

GRE (Graduate Record Exam) scores are required. Applicants are expected to have a minimum verbal score of 150, a quantitative score of 150, and an analytical writing score of 3.5. These score minimums will be waived for applicants having a cumulative GPA of 3.0 or higher from their bachelor’s degree institution, and for graduates of any ERAU undergraduate degree program. Applicants who wish to be considered for a Graduate Assistantship position are strongly encouraged to submit GRE scores.",,False,False,,True,False,False,,,program,
