Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Architecture,,,,,Graduate,Fall 2026,,,,Not Required,Required,,,"The application for the Master of Architecture program requires an online application, a Statement of Purpose with a maximum of 750 words, an additional short response of up to 500 words, three letters of recommendation, transcripts from previous institutions, and a nonrefundable $70 application fee. Additionally, Graduate Record Exam (GRE) general test results are required. A portfolio of creative work is also a key component of the application.",Not Required,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,"College of Architecture, Design, and the Arts",,,,,,,,,"The Master of Architecture is a professional degree program for students holding a pre-professional undergraduate degree in architecture or a bachelor’s degree in another field. The curriculum is designed to educate students in the history and theory of architecture, environmental and technical systems, digital fabrication, and professional practice. The core of the program is the design studio, a laboratory for research and synthesis in which the broad concerns of the discipline and profession are tested and applied. The program culminates in a design thesis that demonstrates the student’s ability to use architectural design as a form of critical inquiry.",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,The Master of Architecture is accredited by the National Architectural Accrediting Board (NAAB).,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,"Applicants must have earned at least a bachelor's degree from a regionally accredited college in the United States or a comparable degree from a recognized institution of higher learning abroad. A grade point average (GPA) of 3.0 (A=4.0), or comparable GPA for an international applicant, for the last two years of undergraduate study is a minimum requirement for admission. Please note that proposed programs of study may require a higher GPA than the Graduate College's minimum standard. [1]",,,True,False,False,False,False,False,,True,False,False,False,True,True,True,False,False,,,,,,,,,,,,,"The Master of Arts program in art history is designed to provide the student with a broad knowledge of the major art historical periods, the scholarly and bibliographical resources, and the methodologies of art history. It also offers an opportunity to investigate art historical problems in some depth. [1]",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,,,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,54,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Teaching (History),,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants are considered on an individual basis. In addition to the Graduate College minimum requirements, applicants must meet the following program requirements: Baccalaureate Field Applicants must have either an undergraduate major in history or a minimum of 16 semester hours in history. Grade Point Average At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study. A GPA of 3.50/4.00 is recommended. [3]",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,True,False,False,,,,College of Liberal Arts and Sciences,,,,,,,,,"The UIC Master of Arts in the Teaching of History (MAT) is a program for students who wish to combine advanced historical training with preparation for a teaching career. The program can be taken with or without teacher licensure. The licensure track of the MAT program leads to a Professional Educator License (PEL) in the state of Illinois, with an endorsement to teach social studies in grades 9-12. The program includes courses in historical content, teaching methods, and a student teaching experience. The non-licensure track is designed for current teachers or those who do not need a teaching license.",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,The teacher education programs at the University of Illinois Chicago are accredited by the Illinois State Board of Education (ISBE).,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,105.0,,,,6.5,,,54,,80,,,,,,,,,,,,,Tuition-and-fee waivers occasionally become available,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Art History,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the Graduate College minimum requirements, applicants must meet the following program requirements:

*   Baccalaureate Field: No restrictions.
*   Grade Point Average: At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study.
*   Letters of Recommendation: Three required from faculty members or others familiar with the applicant's training, ability, and experience. [13]
*   Personal Statement: Applicants must submit a short statement of purpose (1–2 pages). [13]
*   Writing Sample: Applicants must submit a sample of their written work (approximately 15 pages). [13]
*   Curriculum Vitae: Applicants must submit a list of their academic and professional achievements (1-3 pages). [13]
*   English Proficiency Requirement for International Applicants: Please refer to the UIC Admissions website for details.",Required,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,"College of Architecture, Design, and the Arts",,,,,,,,"['History of Architecture and Art', 'Black Studies', 'Central and Eastern European Studies', ""Gender and Women's Studies"", 'Museum and Exhibition Studies', 'Violence Studies']","The Master of Arts in Art History offers emphases in the history of architecture and art. This intensive four-semester program offers students an opportunity to explore advanced seminars in art history. [4] MA students may take coursework in ancient, medieval, early modern, and modern art, with a geographic focus in South Asia, Anatolia, Europe and the Americas. [4] Whether you write qualifying papers or a thesis, this program of study is intended for students with a BA in any field who want to pursue work in museums, galleries, education, government advocacy, social justice or any of the other myriad careers where advanced knowledge of the visual and built environment is useful. [4]",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,The University of Illinois Chicago is accredited by the Higher Learning Commission (HLC). [15] Information regarding specific accreditation for the Master of Arts in Art History program is not mentioned on the university's website.,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,54,,95,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Anthropology,,,,,Graduate,Fall 2026,,,,Not Required,Required,,,"Applicants are considered on an individual basis. In addition to the Graduate College minimum requirements, applicants must meet the following program requirements: Baccalaureate Field: No restrictions. Grade Point Average: At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study. Tests Required: GRE not required. Letters of Recommendation: Three letters of recommendation addressing the applicant's academic accomplishments and potential. Personal Statement: Required. A personal statement of academic and professional intent and research interests. [9]",Not Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,"['Black Studies (Interdepartmental Graduate Concentration)', ""Gender and Women's Studies (Interdepartmental Concentration)"", 'Latin American and Latino Studies (Interdepartmental Concentration)', 'Museum and Exhibition Studies', 'Violence Studies (Interdepartmental Graduate Concentration)']","Our faculty ahere to core research interests on a wide range of topics and are specifically focussed on issues related to urbanism, environment and landscapes, health and mobilities in the present and past. The Graduate program provides opportunities for students to expand their interests through Terminal MA and PhD degrees in the three major subfields of Archaeology, Biological Anthropology, and Sociocultural Anthropology. The competitive admissions process is committed to selecting a diverse range of students whose backgrounds and interests will complement the broader research interests of the department. Our two-year, coursework-based MA is designed to provide students with opportunities to pursue career tracks within and beyond Anthropology: Academic – Students will gain a broader knowledge base and research skills in the discipline with the goal of pursuing further graduate education. Cultural Heritage – Students will learn and practice skills in Museum Anthropology or Cultural Resource Management. Bioarchaeology – Students willl gain skills in the assessment of human remains, the diagnosis of ancient diseases, and the identification of faunal remains. Students with interests in NAGPRA are especially encouraged to apply.",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Communication,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants are considered on an individual basis. Complete transcripts of all undergraduate and any graduate work must be submitted. Besides the Graduate College minimum requirements, applicants must meet the following program requirements:

*   Baccalaureate Field: No restrictions. Applicants must have the equivalent of 20 semester hours of study in communication or related programs of social inquiry, such as political science and sociology.
*   Grade Point Average: At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study.
*   Letters of Recommendation: Three required, each along with a completed Rating Form, at least two from academic recommenders. [3, 6]
*   Other Requirements: Students are only admitted for the fall semester. [3, 6]",Optional,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,7,,,54,,95,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,"Master of Arts in Criminology, Law, and Justice",,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the Graduate College minimum requirements, applicants must also meet the following program requirements:

*   Baccalaureate Field: Applicants must have a baccalaureate degree in criminology, law, and justice or a related field from an accredited college or university.
*   Grade Point Average: At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study. [2]
*   Letters of Recommendation: Three are required, preferably from professors familiar with the student's recent work or from supervisors for applicants with professional experience. [2]
*   English Proficiency: International students must meet minimum English proficiency test scores (TOEFL, IELTS, or PTE Academic). [2]",Required,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Sciences,,,,,,,,,"The Department of Criminology, Law, and Justice at UIC is an interdisciplinary Masters, Ph.D. and undergraduate program at Chicago's only urban, public research university. The Department is a thriving academic community of scholars, teachers and students who are dedicated to all forms of academic inquiry under the broad umbrella of criminology, law and society, and the study of justice. [4] The members of our faculty, who are well-published scholars in their fields, mentor students to critically examine various justice concerns while adhering to values of diversity, equity, and inclusion. [4] Please Note: The CLJ Department has temporarily paused admission to the MA and PhD programs for administrative reasons—more information to follow. [1, 5]",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,8,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,54,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in English,,,,,Graduate,Fall 2026,,,,Not Required,Required,,REQUIRED,"In addition to the Graduate College minimum requirements, applicants must meet the following program requirements:

*   Baccalaureate Field: Applicants who intend to specialize in English Studies or English Education must have an undergraduate major in English or the equivalent that includes a balanced program in English and American literature beyond the level of sophomore surveys. Applicants who intend to specialize in Creative Writing may have an undergraduate major or a graduate degree in any field, if they show substantial evidence of ability to complete the work in literature required for the degree in English.
*   Grade Point Average: At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study and for all graduate work.
*   Tests Required: None, except in cases of English proficiency for some non-native speakers of English.
*   Letters of Recommendation: Three required, preferably from individuals acquainted with the applicant's recent academic, professional, or creative work.
*   Statement of Purpose: Required. Domestic applicants must submit a statement of about 500 words presenting their reasons for wanting to take graduate work in English at UIC and the relationship of this advanced training to professional and other goals. International applicants must submit a two- or three-page summary of their educational experience that emphasizes their work in English and American literature and language.
*   Writing sample: All MA and PhD applicants must submit a sample of their written work. [11]",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Sciences,,,,,,,,"['English Studies', 'Creative Writing', 'English Education']","The Graduate Program in English offers a Master of Arts degree in English with three concentrations: one in English Education with and without Illinois teaching licensure, one in English Studies, and one in Creative Writing. [11] A Master's in English from UIC prepares you for a number of careers and vocations within and beyond the academy. [11]",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,54,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in French and Francophone Studies,,,,,Graduate,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"In addition to the Graduate College minimum requirements, applicants must meet the following program requirements: Baccalaureate Field: A substantial background in French literature is essential, as is fluency in written and spoken French. Grade Point Average: At least 3.00/4.00 for the final 60 semester hours (90 quarter hours) of undergraduate study. Letters of Recommendation: Three required from professors or others familiar with the applicant's recent academic work. Letters are accepted in English or French. [4]",Required,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Department of French and Francophone Studies,,,,,,,,"[""Gender and Women's Studies"", 'Black Studies']","The Department of French and Francophone Studies offers work leading to the Master of Arts in French and Francophone Studies. UIC's Master of Arts program in French is dynamic and rigorous, blending the benefits of a close-knit academic community with the opportunities of a large urban setting. [3] Classes are small and encourage discussion; students and professors work closely together. Our M.A. program has particular strengths in literary and cultural studies of 17th-, 18th-, 19th-, and 20th-century France, as well as in Francophone literatures of Quebec and Africa. [3] Other faculty interests include film studies, gender studies, religious studies, poetics, and drama. In addition to exploring a broad range of interpretive approaches and cultivating research skills, M.A. students may take advantage of UIC's wonderful Institute for the Humanities, Chicago's famous Art Institute and its vibrant theaters, the vast collections of the Newberry Library, and the MICEFA exchange program in Paris. [3] Graduates of our M.A. program have achieved much success in public- and private-school teaching as well as in a variety of other language-related careers. They also have an excellent record of admission to top PhD programs around the country. [3]",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Arts in Germanic Studies,,,,,Graduate,Fall 2026,,,,Not Required,Required,Not Required,REQUIRED,"Applicants are considered on an individual basis. The program will accept and review applications for fall and spring semesters. Transcripts for all undergraduate and any graduate work must be uploaded along with all other requirements. In addition to the Graduate College minimum requirements, applicants must meet the following program requirements:

Baccalaureate Field: No restrictions. A substantial background in German literature or culture is expected, as is proficiency in written and spoken German.
Grade Point Average: At least 3.00/4.00 in all German courses and in the final 60 semester hours (90 quarter hours) of undergraduate study.
Tests Required: None.
Letters of Recommendation (in English): Three required from persons familiar with the applicant's academic work.
Personal Statement: Required; 250 words. The statement should address the applicant's purpose and goals.
Other Requirements: Applicants must submit a sample of their academic writing. Applicants must also take part in an interview (face-to-face or via web conferencing) prior to admittance.",Required,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts and Sciences,,,,,,,,"['Black Studies (Interdepartmental Graduate Concentration)', 'Central and Eastern European Studies (Interdepartmental Graduate Concentration)', ""Gender and Women's Studies (Interdepartmental Concentration)"", 'Jewish Studies']","The Department of Germanic Studies is housed in the heart of Chicago in UIC's School of Literatures, Cultural Studies and Linguistics. Our department is particularly attuned to the linkages between German culture, transnational identities, and urban spaces. [9] UIC is proud to be recognized as of one of the five most ethnically and culturally diverse campuses in the United States and amongst those ranked most highly on the Social Mobility Index. [9] In the Germanic Studies department we actively foster dialogues with the diverse cultural and social groups represented in the university and in the greater Chicago area. [9] The Department of Germanic Studies offers the Master of Arts degree and the Doctor of Philosophy degree in Germanic Studies. [6] Doctoral students may specialize in the fields of Film Studies, Jewish Cultural Studies, Black Studies, Central and Eastern European Studies, Gender and Women's Studies, or Literature and Culture. [6]",,https://catalog.uic.edu/gcat/degree-programs/grad-prof-degree-programs/,,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,54,,80,,,,,,,,,,,,,"The program offers opportunities for teaching assistantships, research assistantships, and fellowships. [2, 9]",FALSE,,,FALSE,FALSE,,,
