Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Arts in Africana Studies,,,,,Undergraduate,,,,,Not Required,Required,,,"Required Application Materials:
- Common Application or Coalition Application (including essay)
- Application Fee or Fee Waiver ($80 non-refundable)
- Academic Transcripts (Official transcripts from all secondary schools attended)
- Counselor Recommendation (A letter of recommendation from your high school counselor)
- Teacher Recommendation (One letter of recommendation from a teacher who taught you in an academic subject)
- Mid-Year Report (If you apply Early Decision I, Early Decision II, or Regular Decision and are still in high school, you must submit a Mid-Year Report with your updated grades. This report should be submitted as soon as your first semester/trimester grades are available.)
- Standardized Test Scores (Optional for Fall 2024, Fall 2025, and Fall 2026 applicants; we accept the SAT or ACT if submitted.)
- English Language Testing (Required for most international students, unless an exemption applies.)",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,"$32,660/Semester for full-time students (12-18 points)",,,,,,,"Africana Studies is an interdisciplinary field that investigates the histories, cultures, and intellectual traditions of African peoples and their descendants throughout the world. The department's courses offer a comprehensive examination of African, Afro-American, and Afro-Caribbean societies and cultures. Faculty expertise spans the humanities and social sciences, providing students with a broad and rigorous understanding of the African diaspora. The program is designed to develop students' analytical skills, critical thinking, and capacity for independent research. Graduates are prepared for a wide range of careers in education, public service, law, journalism, and international affairs, as well as for further graduate study.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/africana-studies-ba/africana-studies-ba.pdf,,,"$2,178/Point",,False,,4.0,2.0,,,,,,,,,,,"$32,660/Semester for full-time students (12-18 points)",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in American Studies,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,"To complete your application for admission, you will need to submit the following: * Common Application or Coalition Application * Official high school transcript * Counselor recommendation * Teacher recommendation * Mid-year report * SAT or ACT scores (optional for all schools and colleges for the 2023-2024 and 2024-2025 application cycles) * English Language Testing (if required) * Portfolio or Audition (optional for some arts programs) * Supplemental essay",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,,,,,,,,"The Department of American Studies enables students to explore the history, culture, and society of the United States. Its interdisciplinary approach draws upon methods and theories from the fields of history, literature, art history, music, film, performance studies, anthropology, sociology, political science, and philosophy. The department offers a wide range of courses on such topics as race and ethnicity, gender and sexuality, law and public policy, urban studies, popular culture, visual culture, environmental studies, and transnational American studies. Students acquire an understanding of the complex forces that have shaped the United States and its place in the world.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/american-studies-ba/,,,"$2,631/Credit",,False,,4.0,2.0,,,,,,,,,,,"$31,586/Semester",,,,,,,False,False,,,125.0,,,,7.5,,,70.0,,100.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Anthropology,,,,,Undergraduate,,,,,Not Required,Required,,,"To apply, applicants must submit an application through the Common Application or Coalition Application, an official high school transcript, a school report, a counselor recommendation, and a teacher recommendation. NYU is test-optional for applicants applying for first-year admission, meaning SAT or ACT test scores are not required but may be submitted. English Language Testing is required for international students whose high school education was not conducted in English. A Mid-Year Report and a Final Report are also required.",Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Arts & Science,,,,,,,,"The Department of Anthropology provides a broad introduction to the study of humankind. It covers the major subfields of anthropology: socio-cultural anthropology, archaeology, and biological anthropology, as well as linguistic anthropology. The department’s geographic strengths are in New York City and the Caribbean; Mesoamerica and South America; Western Europe; the Middle East; Southeast Asia; and Sub-Saharan Africa. The undergraduate program includes courses on methods, theory, and specific topics within the subfields, as well as opportunities for fieldwork and study abroad. All students majoring in anthropology are required to take an introductory course, ANTH-UA 1, Introduction to Anthropology, and to take at least one course in each of the four subfields to ensure a broad foundation in the discipline. Anthropology majors are encouraged to develop their interests in consultation with faculty advisers.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-ba/,,,"$2,100/Credit",,False,,4.0,2.0,,,,,,,,,,,"$30,730/Semester",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Arts in Anthropology and Classical Civilization,,,,,Associate,,,,,Not Required,Required,,,"Applicants are required to submit the Common Application or Coalition Application powered by Scoir, an Application Fee or Fee Waiver, Essays (a personal essay and NYU-specific essay questions), Academic Transcript(s), a School Report, a Counselor Recommendation, and Teacher Evaluation(s) (one required, a second is optional). Standardized Test Scores (SAT/ACT) are optional for fall 2024 applicants. English Language Testing is required if applicable.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,,,,,,,,"The joint major in Anthropology and Classical Civilization combines the study of the ancient world through the evidence of texts and material culture with a broader and more comparative perspective on human societies, past and present. Students apply methods and theories from both disciplines to understand ancient societies, while also gaining a strong foundation in contemporary anthropological thought and its application to diverse cultural contexts.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-classical-civilization-ba/,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Arts in Anthropology and Linguistics,,,,,Undergraduate,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,,,,,,,,"The Departments of Anthropology and Linguistics offer a joint major in anthropology and linguistics, leading to a BA degree. The joint major is intended for students interested in language as a cultural, social, cognitive, and biological phenomenon, and in the ways in which human beings use language to create and understand their world. The curriculum provides a strong foundation in both disciplines, emphasizing the interconnections between them. Students are introduced to the theoretical and methodological approaches of anthropology and linguistics, with a particular focus on areas where the two fields intersect, such as linguistic anthropology, sociolinguistics, and cognitive linguistics. The program prepares students for graduate study in anthropology, linguistics, or related interdisciplinary fields, as well as for careers requiring strong analytical, communication, and cross-cultural understanding skills.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/anthropology-linguistics-ba/anthropology-linguistics-ba.pdf,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Arts in Art History,,,,,Undergraduate,,,,,Not Required,Required,,Required,"NYU requires that all applicants for first-year admission use the Common Application, which includes a personal essay, family information, activities, and honors. Other required documents include high school transcript(s), a counselor recommendation and secondary school report (including counselor letter of recommendation) from your high school counselor, and a teacher evaluation from a teacher who taught you in a core academic subject. For applicants for Fall 2024, Fall 2025, and Fall 2026, the submission of SAT or ACT test scores is optional. A Mid-Year Report is required if new grades become available for Early Decision, Early Decision II, or Regular Decision applicants. An application fee or fee waiver is also required. English Language Testing is required for non-native English speakers.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,"$62,094/Year",,,,,,,"The BA in Art History offers students a comprehensive introduction to the history of art from antiquity to the present day and across global geographies. It provides a foundation in art historical methods, preparing students to critically analyze artworks and to understand the historical, social, and theoretical contexts in which art is produced and perceived. Students develop visual literacy and critical thinking skills, becoming proficient in research, writing, and analytical reasoning through engagement with diverse artistic traditions. The curriculum is designed to foster a deep appreciation for the role of art in human culture, equipping students with the intellectual tools for advanced study in the field or for careers in museums, galleries, cultural heritage, publishing, and other arts-related professions.",,https://as.nyu.edu/departments/arthistory/programs/undergraduate/art-history.html,,,"$2,070 per credit",,False,,4.0,2.0,8%,,,,,,,,,,"$62,094/Year",,,,,,,False,False,,,125.0,,,,7.5,,,65.0,,100.0,,,,,,,,,,,,,"Need-based, Merit-based, Global",,,,,,,
,Bachelor of Arts in Art History and Classics,,,,,Associate,,,,,Not Required,Required,Not Required,Required,"Common Application, Application fee or fee waiver, Official high school transcript, Counselor recommendation, Teacher recommendation, Test Scores (Optional for Fall 2024, Spring 2025, Fall 2025, and Spring 2026 applicants), English Language Testing (if required).",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,,,,,,,,"The joint major in Art History and Classics is an interdisciplinary program designed for students who wish to combine a strong background in art history with a thorough knowledge of the languages and cultures of the classical world. It is intended for students who wish to pursue a rigorous course of study that combines work in two related disciplines. It offers students an opportunity to gain an understanding of the visual arts of the ancient world in their broader cultural and historical contexts, and to develop critical skills in the analysis of art, texts, and material culture. The program provides a solid foundation for further study in either art history or classics, as well as for careers in museums, galleries, cultural institutions, and related fields. For additional information about the undergraduate curriculum in Classics, consult the Department of Classics website. For additional information about the undergraduate curriculum in Art History, consult the Department of Art History website.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/classics-art-history-ba/classics-art-history-ba.pdf,,,,,False,,,2.0,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.5,,,65.0,,100.0,,,,,,,,,,,,,,,,,,,,
,Bachelor of Arts in Asian/Pacific/American Studies,,,,,Associate,,,,,Not Required,Required,,,"All applicants for first-year admission must submit the following: Common Application or Coalition Application, Official High School Transcript, Counselor Recommendation, Teacher Recommendation, Application Fee or Fee Waiver, Standardized Test Scores (optional for Fall 2024 and Fall 2025), English Language Testing (if required), Personal Essay.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,,,,,,,,"The Department of Social and Cultural Analysis (SCA) offers an undergraduate major in Asian/Pacific/American Studies that introduces students to the histories, cultures, and societies of Asians and Pacific Islanders in the Americas. As an interdisciplinary field, Asian/Pacific/American Studies critically examines the formation and transformation of Asian/Pacific/American identities, communities, and experiences. The major offers a framework to explore topics such as transnational migration, empire and colonialism, race and ethnicity, gender and sexuality, labor and capital, arts and literature, and social justice. Students develop critical thinking, research, and communication skills to engage with complex social and political issues related to Asian/Pacific/Americans and global connections.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/asian-pacific-american-studies-ba/asian-pacific-american-studies-ba.pdf,,,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Biochemistry,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"Your first-year application requires the following materials to be submitted:
Common Application or Coalition Application
Secondary School Report and Transcript
Counselor Recommendation
Teacher Recommendation
Mid-Year Report (when available)
Standardized Test Scores (see our testing policy)
English Language Testing (if applicable)",Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,"$30,280/Semester or $60,560/Year",,,,,,,"Biochemistry is an interdisciplinary major that combines chemistry and biology. This program is suitable for students interested in the chemical basis of biological phenomena, including areas such as molecular biology, genetics, and cell biology. The B.A. in Biochemistry offers a rigorous course of study in biochemistry with enough flexibility for students to explore other interests or pursue a minor in another area. Students who complete the B.A. in Biochemistry are well-prepared for entry into graduate programs in biochemistry and other health-related fields, as well as medical school or careers in the pharmaceutical and biotechnology industries. The program is offered jointly by the Department of Biology and the Department of Chemistry. Students must declare the major with both departments.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/biochemistry-ba/biochemistry-ba.pdf,,,"$2,525/unit",,False,,4.0,2.0,,,,,,,,,,,"$30,280/Semester or $60,560/Year",,,,,,,False,False,,,125.0,,,,7.5,,,70.0,,100.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Arts in Biology,,,,,Undergraduate,,,,,Not Required,Required,,,"Common Application or Coalition Application, powered by Scoir; Official High School Transcript; Counselor Recommendation and School Report; Teacher Evaluation; Mid-Year Report (if applicable); Test Scores (optional for Fall 2024 and Fall 2025); Optional Arts Portfolio (for certain programs); Optional Supplemental Essay (strongly encouraged).",Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Arts and Science,,,,,,,,"The Department of Biology offers two distinct undergraduate majors leading to either a Bachelor of Arts (BA) or a Bachelor of Science (BS) degree. Although students in both programs take common introductory courses, the two majors differ considerably in their specific requirements, objectives, and pedagogical approaches. The BA in Biology is designed for students who are interested in gaining a broad understanding of the biological sciences within a liberal arts education. This degree is particularly suitable for pre-professional students interested in medicine, dentistry, public health, law, and business, as well as students preparing for careers in science writing, secondary education, or government science policy. It also serves as excellent preparation for graduate study in several fields of biology. Students complete a core curriculum consisting of an introductory sequence in biology, chemistry, organic chemistry, physics, and mathematics. They also complete a selection of advanced electives in areas such as genetics, cell biology, neurobiology, ecology, and evolution. Students are encouraged to participate in research with faculty members and to take advantage of opportunities for study abroad.",,https://bulletins.nyu.edu/undergraduate/arts-science/programs/biology-ba/,,,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Need-based, Merit-based, Federal Pell Grants, Federal Supplemental Educational Opportunity Grants, Federal Work-Study, Federal Perkins Loans, Federal Direct Subsidized and Unsubsidized Loans",,,,,,,
