Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
,,"To be admitted to the university, first-year applicants must submit a completed online application, a non-refundable application fee, and an official high school transcript. An essay is also required as part of the application. Submission of SAT or ACT scores is optional.

To be admitted to the Belk College of Business Upper Division and continue in the Accounting major, students must first be admitted to UNC Charlotte, complete a minimum of 45 semester hours, and have a cumulative GPA of at least 2.5. Students must also complete the following courses with a grade of C or better: ACCT 2121, ACCT 2122; ECON 2101, ECON 2102; MATH 1120 or MATH 1241; STAT 1220, STAT 1221, or STAT 1222; and INFO 2130.",,True,False,False,False,False,,,program,Bachelor of Science in Accounting,https://academics.charlotte.edu/undergraduate-programs/,,
Not Required,Not Required,"Students can declare a minor in Actuarial Mathematics by meeting with an advisor in the Department of Mathematics and Statistics. Students must complete MATH 1241, MATH 1242, and MATH 2241 or equivalents to begin the coursework for the Actuarial Mathematics Minor.",Not Required,True,False,True,False,False,,,program,Minor in Actuarial Mathematics,https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,Undergraduate Certificate in Actuarial Studies,https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Undergraduate Certificate in Advanced Dance Studies,https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,The Minor in Aerospace Studies is offered through the Department of Aerospace Studies (Air Force ROTC) and is open to all UNC Charlotte students. To be a cadet in the Air Force ROTC program you must: Be a U.S. citizen (or be able to obtain it by the time you commission); Be a full-time student at UNC Charlotte or one of our crosstown schools; Be at least 14 years old (17 years old to receive a scholarship); Be in good physical condition; Have good moral character; Attend both the lecture and lab class (LLAB).,Not Required,True,False,True,False,False,,,program,Minor in Aerospace Studies,https://academics.charlotte.edu/undergraduate-programs/,,
Not Required,Not Required,"First-year applicants must meet the UNC System’s minimum course requirements. The application includes one required essay, an application fee, and an official high school transcript. Standardized test scores (SAT/ACT) are optional for applicants through Fall 2024.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Africana Studies,https://academics.charlotte.edu/undergraduate-programs/,,
Not Required,Required,"First-year applicants must submit an online application (the Future 49er Application or the Common App), a non-refundable application fee, an official high school transcript, and an essay. Standardized test scores (SAT or ACT) are optional for most first-year applicants through Fall 2025. Students who do not submit test scores will not be at a disadvantage in the admissions review. Applicants must also meet minimum high school course requirements.",Not Required,True,False,False,False,False,,,program,"Bachelor of Arts in Africana Studies, Health and Environment Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
Not Required,Not Required,"To declare your minor in Africana Studies, you must complete the “Change of Major, Minor, Certificate” online form available on the College of Liberal Arts and Sciences (CLAS) Student Advising webpage.",Not Required,True,False,False,False,False,,,program,Minor in Africana Studies,https://academics.charlotte.edu/undergraduate-programs/,,
Optional,Optional,"Admission to UNC Charlotte is competitive. All applications receive a comprehensive review that assesses your academic preparation and performance in high school coursework, standardized test scores (if you choose to submit), your essay and other supplemental information. All first-year applicants must meet the Minimum Course Requirements (MCR) as established by the UNC Board of Governors.",Not Required,True,True,False,False,False,,,program,"Bachelor of Arts in Africana Studies, Popular Culture and Digital Media Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,"Bachelor of Arts in Africana Studies, Social Justice and the Law Concentration",https://academics.charlotte.edu/undergraduate-programs/,,504 The request timed out. Please try again.
Not Required,Not Required,"To declare a minor in American Studies, please complete the AMST Minor Declaration Form. You will then be contacted by the American Studies Undergraduate Coordinator to discuss your interests and to plan your American Studies coursework.",Not Required,True,False,False,False,False,,,program,Minor in American Studies,https://academics.charlotte.edu/undergraduate-programs/,,
Not Required,Not Required,"To apply for admission to UNC Charlotte as a first-year student, you must submit the following: Online Application, $80 non-refundable application fee, Official high school transcript, Official SAT or ACT scores (see test-optional information). UNC Charlotte uses a holistic review process to evaluate applicants. We consider several factors to determine a student's academic preparation and potential for success. The most important factor in the review process is your high school academic performance. We also review your application based on the following: High school course rigor, High school GPA, SAT/ACT scores (if submitted), Class rank (if provided), Personal essay/statement, Extracurricular activities and work/life experiences.",Not Required,True,False,False,False,False,,,program,"Bachelor of Arts in Anthropology, Applied Anthropology Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,Minor in Anthropology,https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"Admission to the University does not guarantee admission to the professional program of the School of Architecture. Students must apply for admission to the SoA during the spring of their first year. First-year pre-architecture students apply for admission to the upper division in the spring semester of their first year. Admission is based on the student’s academic performance in the first-year curriculum, the results of the School of Architecture’s portfolio and interview review process, and an essay.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Architecture,https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,Minor in Architecture,https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,The Minor in Art requires 18 credit hours. Students may not minor in the same field as their major.,Not Required,True,False,False,False,False,,,program,Minor in Art,https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,"Bachelor of Fine Arts in Art, 3D Interdisciplinary Studies Concentration",https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,"To be considered for admission, applicants must submit an online application with a non-refundable $80 fee, an official high school transcript, and an essay. Submission of official SAT or ACT scores is optional for first-year applicants. Recommendations are not required for an admission decision but are strongly encouraged.",Not Required,True,True,False,False,False,,,program,"Bachelor of Arts in Art, Art History Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
Optional,Required,"General university admission is based on a holistic review process. The university considers the following: High school GPA (weighted), rigor of high school courses, class rank (if available), standardized test scores (if submitted), essay, and extracurricular activities and work experience. 

For admission specifically into the B.F.A. in Art program (after being admitted to the University and completing foundational coursework), the requirements are: successful completion of the Art Foundations program and a formal portfolio review and interview conducted by the faculty of the area of concentration.",Not Required,True,True,False,False,False,,,program,"Bachelor of Fine Arts in Art, Ceramics Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,"Bachelor of Fine Arts in Art, Digital Media Concentration",https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"Admission to the B.F.A. requires a separate application and portfolio review beyond the general application to the University. The application to the B.F.A. is typically made during the spring of the first year. For specific requirements and deadlines, please visit the Department of Art & Art History website. Specific B.F.A. application requirements include a digital portfolio, a written statement, an unofficial transcript, and a faculty recommendation form.",Not Required,True,False,False,False,False,,,program,"Bachelor of Fine Arts in Art, Fibers Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,"Bachelor of Fine Arts in Art, Graphic Design Concentration",https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"To be admitted to UNC Charlotte, first-year applicants must submit a completed application and application fee, official high school transcript, and an essay. Submission of SAT or ACT scores is optional.

For the B.F.A. program specifically, students intending to pursue the degree must submit a portfolio for B.F.A. Candidacy Review. The portfolio review occurs each spring semester. Students are eligible for review when they have completed (or are currently enrolled in) the following Foundation courses with a grade of C or above: ARTF 1201, ARTF 1202, ARTF 1203, ARTF 1204, and ARTF 1205. Students must also have a minimum 2.5 overall GPA and a 3.0 GPA in all art and art history courses.",Not Required,True,False,False,False,False,,,program,"Bachelor of Fine Arts in Art, Illustration Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,"Bachelor of Fine Arts in Art, Painting Concentration",https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"Admission to the B.F.A. program requires a separate application process from admission to the University. Students must first be admitted to the University and to the Department of Art & Art History as a Pre-Art major (PRAA). After completing the Art & Art History foundations courses, students are eligible to apply to the B.F.A. degree by portfolio review. A portfolio review is required for admission to the Photography concentration.",Not Required,True,True,False,False,False,,,program,"Bachelor of Fine Arts in Art, Photography Concentration",https://academics.charlotte.edu/undergraduate-programs/,,
,,,,,,,,,,,error,"Bachelor of Fine Arts in Art, Print Media Concentration",https://academics.charlotte.edu/undergraduate-programs/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
