Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Not Required,Required,"The UCI Department of Anthropology does not offer a standalone Master of Arts in Anthropology. Students are admitted to the Ph.D. program and may earn an M.A. in Anthropology along the way. [5] The department offers a terminal M.A. in Social Sciences with a concentration in Medicine, Science, and Technology Studies (MSTS), but is not currently accepting new applications for this program. [6, 9] Application to the Ph.D. program is done online via Slate, and completed applications must be received by December 1st for fall quarter admission. [5] The department specializes in sociocultural anthropology. [5]",Not Required,True,False,,False,False,False,,,program,Master of Arts in Anthropology,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Decisions are based on the department's evaluation of the applicant's statement of purpose, letters of recommendation, and writing sample. [6] The application requires an Academic Statement of Purpose, a Personal History Statement, three (3) letters of recommendation, and a writing sample. [3]",Required,True,False,,False,False,False,,,program,PhD in Anthropology,https://grad.uci.edu/admissions/degree-programs/,
,,,,False,False,,False,False,False,,,program,Master of Arts in Art History,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"A complete application includes the following materials: A Statement of Purpose describing your intellectual interests and reasons for seeking a PhD, a Personal History statement describing your educational history and accomplishments, a Writing Sample of approximately twenty pages, transcripts from all institutions attended since high school, and three Letters of Recommendation. A minimum GPA of 3.0 is required. GRE scores are not required. [14]",Required,True,False,False,False,False,False,,,program,PhD in Art History,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Applicants for admission to the MFA program must meet the general requirements for admission to graduate study, hold a BA or BFA, and have completed one year of Twentieth-Century Art History (students who have not completed this will be required to do so as part of their graduate studies). In addition, a portfolio of creative work must be submitted by January 15. Applications to the MFA in Art must include the following: 1. A Statement of Purpose. Length: 1200 words. 2. Two (2) letters of recommendation (recommenders must submit letters via online application). 3. A portfolio of 20 images and/or other media samples. Images must include title of the work, size, year, medium, description, and duration of the work, if time-based. 4. One copy of unofficial transcripts from the Undergraduate institution(s) attended by the applicant.",Not Required,True,False,,False,False,False,,,program,Master of Fine Arts in Art,https://grad.uci.edu/admissions/degree-programs/,
Not Required,,"In order to be considered admissible, at minimum, students must meet the following criteria: Current UCI undergraduate student status. Cumulative 3.0 GPA. Cumulative 3.3 GPA in all Asian American Studies coursework. Two Asian American Studies courses: one selected from ASIANAM 50, ASIANAM 51, ASIANAM 52, ASIANAM 53, ASIANAM 54, or ASIANAM 55 and one other lower- or upper-division course in Asian American Studies. [5]",Required,True,False,True,False,False,False,,,program,Master of Arts in Asian American Studies,https://grad.uci.edu/admissions/degree-programs/,
Required,Required,"All entering graduate students are admitted into the Ph.D. program. With the exception of those granted advanced standing because they hold an M.A. in Classics from another institution, entering students may be awarded an M.A. along the way. Required application materials include an academic history, transcripts, three letters of recommendation, a statement of purpose, a personal history statement, a writing sample, and a CV or resume.",Required,True,False,,False,False,False,,,program,Master of Arts in Classics,https://grad.uci.edu/admissions/degree-programs/,
,,"NOTE: Admission to the program is not available at this time. Contact the Department for information. [3, 7, 12, 14]",,True,False,,False,False,False,,,program,PhD in Classics,https://grad.uci.edu/admissions/degree-programs/,
Required,Required,"While a specific 'Master of Arts in Comparative Literature' program page is not available on the UNIVERSITY OF CALIFORNIA, IRVINE website, admission into a graduate program in the humanities generally requires a bachelor's degree from an accredited institution, transcripts from all colleges and universities attended, letters of recommendation, a statement of purpose, and a writing sample. For Comparative Literature, proficiency in at least one language other than English is typically expected. The university does not offer a terminal M.A. degree in this field; students are admitted into the M.A./Ph.D. or Ph.D. program. [4]",Required,True,False,,False,False,False,,,program,Master of Arts in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Applicants must use UCI's online application portal which requires: A Statement of Purpose, A Personal History Statement, A Statement on Foreign Language Competence, A Writing Sample of a minimum of 15 pages, but no more than 20 pages maximum. Scanned and uploaded copies of both the front and back sides of transcripts for all institutions attended since high school. You must have a minimum 3.0 GPA and a Bachelor's Degree in order to be considered for admission. Three letters of recommendation must also be uploaded by your recommenders to the online system by the deadline. [5, 9]",Required,True,False,,False,False,False,,,program,PhD in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/,
Required,Required,"Applicants must have received a Bachelor of Arts or equivalent degree from an accredited college or university. Previous college work is expected to be at 3.0 or higher and should reflect advanced course study. Before submitting your application, you'll need to have: Details of your education history, including schools and dates attended, a copy of your transcripts, a 1-2 page CV detailing your educational, professional and dance-related experiences, the names and contact details of two people who can provide a letter of reference, a personal statement, and video samples of your creative work and your dancing. [1]",Not Required,True,False,,False,False,False,,,program,Master of Fine Arts in Dance,https://grad.uci.edu/admissions/degree-programs/,
,Required,"To apply to the UC Irvine Doctoral program, a completed application and application fee ($135 for U.S. Citizens and lawful U.S. Permanent Residents, and $155 for all other applicants) is required. [4] All graduate applications are submitted electronically and must be supported by appropriate academic transcripts from each college/university attended, three letters of recommendation and two writing samples. [4] Students with a B.A. (minimum GPA of 3.5), M.A., or M.F.A. in Drama and Theatre are eligible for admission to the doctoral program. [3, 5] Students with training in literature (or another area in the humanities) will also be considered, provided they can demonstrate a background in drama or theatre. [3, 5] Experience in one of the creative activities of theatre (acting, directing, playwriting, design, dramaturgy) enhances a student's chances of admission. [3, 5] For international applicants that are required to successfully complete an English language proficiency exam, TOEFL or IELTS scores must be submitted. [4]",Required,True,False,False,False,False,False,,,program,PhD in Drama and Theatre,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Currently, students are not admitted to an M.A. only degree program. In special circumstances, students may be granted an M.A. degree in recognition of progress toward the Ph.D., normally after six quarters of coursework and submission of two approved seminar papers, which will serve as the M.A. examination. [5]",Required,True,False,False,False,False,False,,,program,Master of Arts in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/,
,Required,"In addition to meeting the general requirements for admission to graduate study at UCI, specified by UCI Graduate Division, all students must present the following for review by an Admission Committee composed of East Asian Studies faculty members: Unofficial transcripts from all post-secondary institutions attended; Three letters of recommendation; Personal history statement and statement of purpose; TOEFL or IELTS scores (if applicable); Writing sample. [2]",Required,True,False,,False,False,False,,,program,PhD in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Admission to the Master of English Program is determined by a review of the applicants' prior academic performance, writing sample, three letters of recommendation, statement of purpose, and personal history statement. [8] A bachelor's degree with a minimum 3.0 GPA is a University prerequisite for admission. [8] The application and all supporting documents are required by the January 15th deadline for admission in the Fall Quarter. [8] The program cannot accept applications from students who require an F-1 or J-1 visa. [8]",Required,True,False,,False,False,False,,,program,Master of Arts in English,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"A bachelor's degree with a minimum 3.0 GPA is a University prerequisite for admission, which may be waived in exceptional cases. The application for admission should specify interest in either fiction or poetry and must include three letters of recommendation, unofficial transcripts of all academic work, an autobiographical statement, and samples of writing. [5]",Required,True,False,,False,False,False,,,program,Master of Fine Arts in English,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Admission to the Ph.D. program in English is determined by careful review of the applicants' prior academic performance, writing sample, letters of recommendation, and personal statement. [2] The application and supporting documents (transcripts, writing sample, and three letters of recommendation) are required by the deadline. [3] A minimum undergraduate grade point average of 3.50 in the last two years of undergraduate study is recommended to be competitive. [3]",Required,True,False,,False,False,False,,,program,PhD in English,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"The admissions requirements for the stand-alone M.A. program are:
1) A completed graduate application, including a Personal History Statement, and a Statement of Purpose. [1]
2) Unofficial transcripts for all institutions attended since high school, including GPA (cumulative minimum of 3.0; major 3.3). Please upload to your online application both, the front and back sides of each transcript. [1]
3) Three letters of recommendation from faculty in related fields. The letters should be uploaded to the application electronically. Paper or hardcopies of letters will not be accepted. [1]
4) Writing sample: Five to ten pages in length. This sample should be academic in nature and highlight your research and writing abilities. [1]
5) Foreign Language requirement. Students admitted to the program are required to demonstrate reading knowledge in one European language other than English. [1, 5]",Required,True,False,True,False,False,False,,,program,Master of Arts in European Thought and Culture,https://grad.uci.edu/admissions/degree-programs/,
Required,Required,"The department offers a Ph.D. in History. We do not offer a terminal M.A. degree, but students may be awarded an M.A. degree after fulfilling the requirements for it within the Ph.D. program. Applicants for the graduate program should have a B.A. degree, preferably, but not necessarily, with a major in History. A GPA of 3.5 in history courses is recommended as a minimum for admission. All applicants must submit the online application, a writing sample, a statement of purpose, a personal history statement, three letters of recommendation, and transcripts from all colleges and universities attended. The GRE is not required.",Required,True,False,,False,False,False,,,program,Master of Arts in History,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"The Department of History requires the submission of the following materials in order to complete your application to the MA or PhD program: Transcripts, One copy of TOEFL or IELTS scores (This applies only to International applicants), and three letters of recommendation. All materials must be received by the application deadline, including letters of recommendation. [6] Though it is desirable that an applicant have the equivalent of an undergraduate major in History, the Department also considers students who have previously specialized in other subject areas and who have strong writing and analytical skills. [6]",Required,True,False,,False,False,False,,,program,PhD in History,https://grad.uci.edu/admissions/degree-programs/,
Not Required,,"The following materials make up the Core Graduate Application, and are required for all applicants. 1) UCI ONLINE APPLICATION FOR GRADUATE ADMISSIONS. 2) Transcripts. 3) Three (3) letters of reference are required. [6]",Required,True,False,,False,False,False,,,program,PhD in History and Theory of Music,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"Applicants should possess an undergraduate degree in music or an equivalent level of training and should demonstrate potential for creative and innovative work integrating a wide range of contemporary music and ideas. In addition to meeting all general requirements for admission to graduate study, applicants should normally hold a B.A. in Music or a B.Mus. Supporting materials must include the following: Composition portfolio, Academic writing sample, three letters of recommendation, and Performance audition (video). Applicants are expected to have good general knowledge of music history and music theory and competence in basic musicianship skills.",Required,True,False,,False,False,False,,,program,"PhD in Music: Integrated Composition, Improvisation, and Technology",https://grad.uci.edu/admissions/degree-programs/,
Not Required,Required,"To be admitted to the Philosophy program, students must have done well in their previous academic work and be formally accepted as candidates for the degree by the Department of Philosophy. An applicant must have received a Bachelor's degree or its equivalent from a college or university of acceptable standing. Although there are no formal course requirements for admission, applicants must satisfy the committee on admissions that their preparation in philosophy and allied disciplines is sufficient for undertaking study of philosophy at the graduate level. Applications from those already holding M.A. degrees are welcomed. The application checklist also includes: Unofficial transcripts, a Personal History Statement, two letters of recommendation, a writing sample, and for international applicants, official TOEFL or IELTS scores.",Required,True,False,,False,False,False,,,program,PhD in Philosophy,https://grad.uci.edu/admissions/degree-programs/,
,,,,,,,,,,,,error,Master of Arts in Political Science,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,True,False,,False,False,False,,,institute,PhD in Political Science,https://grad.uci.edu/admissions/degree-programs/,
Not Required,Not Required,The graduate program in the Department of Sociology is designed for Ph.D. students. The university does not accept students for the single purpose of acquiring a master's degree in sociology. [16] Doctoral students may obtain a Master of Arts (M.A.) degree in Sociology during their doctoral studies. [16],Not Required,True,False,,False,False,False,,,program,Master of Arts in Sociology,https://grad.uci.edu/admissions/degree-programs/,
,Required,"Admission is based on application materials and evidence of scholarly potential, including grade point average, statement of purpose, and letters of recommendation. [4] A writing sample is also required. [16] Program course requirements include: three quarters of statistics, two quarters of Proseminar in Sociology, one quarter of Sociology Research Design, two quarters of Sociological Theory (Classical and Contemporary), one advanced sociological methodology course, and nine additional Sociology seminars. [2]",Required,False,False,,False,False,False,,,program,PhD in Sociology,https://grad.uci.edu/admissions/degree-programs/,
,,,,,,,,,,,,error,Master of Arts in Spanish,https://grad.uci.edu/admissions/degree-programs/,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
Optional,Required,"The general application requirements include submitting an online application for a chosen degree program and paying a non-refundable application fee ($135 for U.S. Citizens and lawful U.S. Permanent Residents, and $155 for all other applicants). [12] Applicants must hold a bachelor's degree from a recognized academic institution with a minimum cumulative undergraduate GPA of 3.0. [12] Unofficial transcripts for all post-secondary academic work must be uploaded to the application. [2] Individual graduate programs may require other materials such as a resume/CV, writing samples, or portfolios. [2, 12]",Optional,True,False,False,False,False,False,,,institute,PhD in Spanish,https://grad.uci.edu/admissions/degree-programs/,
,Required,"We look for students who are highly motivated, independent, and who articulate in their statements of purpose a coherent and focused course of study that fits with the expertise of our faculty. We expect applicants to have demonstrated skills in research and writing, as well as a required minimum GPA of 3.0.",Required,True,False,False,False,False,False,,,program,PhD in Visual Studies,https://grad.uci.edu/admissions/degree-programs/,
,Required,"General application tips include starting the application early, the summer before planning to apply, and being aware of program-specific deadlines. The senior year timeline includes requesting three faculty letters of recommendation and finalizing the statement of purpose and personal history statement. [33] Applicants can check the submission status of GRE scores (if required) and electronic letters of recommendation online. [33]",,False,False,True,False,False,False,,,institute,Master of Science in Biomedical Engineering,https://grad.uci.edu/admissions/degree-programs/,
,,,,False,False,,False,False,False,,,institute,PhD in Biomedical Engineering,https://grad.uci.edu/admissions/degree-programs/,
