Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"Admission to the minor is by portfolio review and faculty interview only. To be considered for admission, students must be in good academic standing and have a minimum 2.0 cumulative GPA. No additional materials are required other than the portfolio. Application forms and deadlines are available in the Cinematic Arts Student Services Office, SCA 120. Note: Admission to all Cinematic Arts minors is on a competitive basis.",Not Required,True,False,False,False,False,,,program,3-D Animation in Cinematic Arts Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,True,False,False,False,False,,,program,3-Dimensional Design Minor,https://catalogue.usc.edu/content.php?catoid=11&navoid=3429&p2339=2&print=&expand=1,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Accounting Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Addiction Science Minor,https://catalogue.usc.edu/preview_program.php?catoid=12&poid=16590,,
,,"Open to all USC undergraduates. Students interested in applying for this minor must have a minimum 2.5 USC GPA. Enrollment is limited, and students must apply through the Annenberg School for Communication and Journalism. Students interested in applying for this minor must apply online. Applications for fall admission are due on May 15, and applications for spring admission are due on December 15. Students interested in applying should contact their home department advisor, then schedule an appointment with an Annenberg academic advisor.",,True,False,False,False,False,,,program,Advertising Minor,https://annenberg.usc.edu/academics/minors,,
,,,,True,False,False,,,,,program,African American Studies,https://dornsife.usc.edu/ase/undergraduate/,,
,,,,,,,,,,,error,American Studies and Ethnicity,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"The department is seeking applicants with a strong academic background, a clear sense of purpose, and intellectual maturity. In addition to meeting the university requirements for graduate admission, applicants must submit the following: Official Transcripts from all colleges and universities attended, Statement of Purpose, Three letters of recommendation, Writing Sample (e.g., a term paper, thesis chapter, or professional paper on a topic related to the applicant's research interests. Minimum 15 pages in length.) and Curriculum Vitae (CV). GRE scores are not required for admission to the Anthropology Ph.D. program.",Required,True,True,False,False,False,,,program,Anthropology (Visual Anthropology),https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,True,False,False,False,False,,,program,Asian American Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,A minimum of 20 units is required for the minor. All courses must be taken for a letter grade. All students must have a minimum cumulative GPA of 2.0 in the courses taken for the minor. Courses applied to the minor may not be taken on a pass/no pass basis. All minor coursework must be taken at USC.,,True,False,False,False,False,,,program,Behavioral Economics and Psychology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"To apply for the USC DPT program, you must complete the USC Graduate Application and the Physical Therapist Centralized Application Service (PTCAS) application. These applications are separate and require different materials and deadlines. Required Application Materials include: Official transcripts from all colleges and universities attended; Three letters of recommendation; GRE scores are NOT required for the 2024 application cycle; TOEFL or IELTS scores (for international applicants); Personal Statement; Observation Hours Verification (at least 150 hours of physical therapy observation, volunteer, or work experience, completed in at least two different settings, one of which must be inpatient and one outpatient. All hours must be verified.); USC Graduate Application.",Not Required,True,False,False,False,False,,,program,Biokinesiology and Physical Therapy,https://en.wikipedia.org/wiki/USC_Division_of_Biokinesiology_and_Physical_Therapy,,
,Required,"Applicants must submit materials both to USC and to the department. The Graduate Record Examinations (GRE) general test is required. Additional required documents for graduate admission include a Statement of Purpose, Letters of Recommendation, and Transcripts. Official GRE scores must be submitted directly to USC from ETS, institution code 4852. International applicants must also satisfy English proficiency requirements.",Not Required,False,False,False,False,False,,,program,Biophysics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,Required,"Applications are accepted for fall admission only. All applicants must meet the general admission requirements of the USC Graduate School. In addition to these requirements, applicants must submit: a statement of purpose, a writing sample (15-25 pages), letters of recommendation (3), official transcripts from all post-secondary institutions attended, GRE General Test scores (optional).",Required,True,True,False,False,False,,,program,Central European Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"Applicants must submit either the Common Application or Coalition Application, which includes essay prompts, along with the USC Writing Supplement. Required documents include official high school transcripts, a counselor recommendation, and a teacher recommendation. Standardized test scores (SAT/ACT) are optional for the 2024, 2025, and 2026 application cycles. Additional financial aid documents are required for those applying for financial assistance.",Required,True,True,False,False,False,,,program,Chicano/Latino Studies,https://dornsife.usc.edu/ase/bachelor-of-arts-chicano-latino-studies/,,
Required,Required,"Applicants to the MA in Computational Linguistics program are expected to have a bachelor's degree in linguistics, computer science, or a related field. Students from other backgrounds will be considered if they have completed substantial coursework in linguistics or computer science, as well as a demonstrated interest in the field. Applicants must submit the following materials: Official transcripts from all universities attended, Statement of purpose, Three letters of recommendation, GRE General Test scores (optional), Resume or curriculum vitae, A writing sample (optional), International applicants must also submit TOEFL or IELTS scores. See the USC Graduate Admission website for additional information regarding minimum scores. Specific requirements: A bachelor’s degree from an accredited institution. A minimum undergraduate GPA of 3.0. A strong academic record, particularly in linguistics, computer science, mathematics, or related fields. Background in basic programming and data structures is desirable. Background in formal linguistics (syntax, semantics, phonology) is desirable.",Not Required,True,True,False,False,False,,,program,Computational Linguistics,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=8153&hl=linguistic&returnto=search,,
,,,,True,False,False,False,False,,,program,Computational Neuroscience,https://catalogue.usc.edu/preview_degree_planner.php?catoid=6&poid=5372&print,,
Required,Required,"Applicants for the M.A. in Contemporary Latino and Latin American Studies are expected to have a bachelor’s degree from an accredited institution. Applicants must submit the following:

Online application
Transcripts from all colleges and universities attended
A statement of purpose (1,000–1,500 words). The statement of purpose should explain how the applicant’s academic and professional experiences have prepared them for graduate study in Contemporary Latino and Latin American Studies, and how this program will help them achieve their future goals.
Three letters of recommendation from faculty members or others qualified to evaluate the applicant’s academic and professional potential.
A writing sample (20–25 pages). The writing sample should be an academic paper, preferably one that focuses on topics related to the CLALS program.
GRE General Test scores are not required.
A current résumé or curriculum vitae (CV).

International applicants must submit a score of 90 on the TOEFL or 6.5 on the IELTS. For a list of eligible exemptions, please see the USC Graduate Admissions website: gradadm.usc.edu.",Required,True,False,False,False,False,,,program,Contemporary Latino and Latin American Studies,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=8103,,
Required,Required,"Required Application Materials: Official transcripts from all institutions attended, Résumé/CV, Statement of Purpose, Three letters of recommendation, GRE scores (Optional for Fall 2024 and Spring 2025 applicants), Proof of English proficiency (TOEFL, IELTS, or PTE) for international applicants.",Not Required,False,True,True,False,False,,,program,Data Science Program,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"A complete application includes: Your application, including essays, short answers and activities list. Official high school transcripts. Optional: Standardized Test Scores (SAT/ACT). Letters of Recommendation (not required but recommended).",Required,True,True,True,False,False,,,program,Economics and Data Science,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,True,False,True,False,False,,,program,Economics/Mathematics,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"The Common Application or Coalition Application, USC Writing Supplement, Official High School Transcripts, SAT or ACT scores, Letters of Recommendation (up to 2).",Required,True,False,True,True,True,,,program,Environmental Science and Health,https://dornsife.usc.edu/environmental-studies/environmental-science-and-health-major/,,
Required,Required,"Applicants must complete the USC Undergraduate Application (Common Application or Coalition Application), including the USC Writing Supplement (short answer questions, an essay of about 250 words, and a list of activities and honors). Official transcripts and one letter of recommendation from a counselor or teacher are required. SAT or ACT scores are optional for Fall 2023 and Fall 2024 applicants. Additionally, for the Film & Television Production program, supplemental materials must be submitted through SlideRoom, which include a Creative Introduction (90-second video), a Visual Sample, a Written Sample (maximum 5 pages), and a list of creative work.",Required,True,False,False,False,False,,,program,Film & Television Production,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"Common Application; USC Writing Supplement; Counselor recommendation and school report; Teacher recommendation; High school transcript(s); SAT or ACT scores (optional for 2024, 2025, 2026 application cycles); Mid-year senior year transcript (if available)",Not Required,True,False,False,False,False,,,program,French,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,French and Italian,https://catalogue.usc.edu/content.php?catoid=16&navoid=6200,,
Not Required,Required,"All applicants must apply online through the Common Application. Applicants should submit high school transcripts for all high school work, standardized test scores (if they wish), essays and letters of recommendation. Specific majors may require additional materials.",Not Required,True,True,False,False,False,,,program,Gender and Sexuality Studies,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,False,False,False,False,False,,,program,Geodesign,https://earth.rowan.edu/departments/geography/academics/gis.html,,
Required,Required,"Applicants for the MS and PhD degrees are expected to have a bachelor’s degree in geological sciences or a related field (e.g., biology, chemistry, computer science, engineering, environmental sciences, mathematics, or physics). All applicants are required to submit a statement of purpose, a current resume or curriculum vitae, and three letters of recommendation. The GRE General Test is not required. International applicants must also satisfy the English proficiency requirements specified in the Graduate and Postdoctoral Scholar Programs Bulletin.",Not Required,True,False,False,False,False,,,program,Geological Sciences,https://catalogue.usc.edu/preview_program.php?catoid=14&poid=16822,,
Required,Required,"Online Application, Application Fee, Transcripts, GRE General Test: Not Required, Resume/CV: Required, Statement of Purpose: Required, Letters of Recommendation: Required (3 letters), Writing Sample: Not Required, Portfolio: Optional, English Proficiency: Required for international students (TOEFL, IELTS, PTE).",Not Required,True,False,False,False,False,,,program,Global Geodesign,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,True,False,False,False,False,,,program,Health and Humanity,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7492,,
Not Required,Required,"First-year applicants must submit: Common Application; the USC Writing Supplement, which includes several short answer questions and two short essays; a Counselor Recommendation; a Teacher Recommendation; official High School Transcript; and Mid-Year Grades. Standardized Test Scores (SAT/ACT) are optional for fall 2024 and fall 2025 first-year applicants. A Portfolio or Audition may be required for specific majors.",Required,True,False,False,False,False,,,program,Health and Human Sciences,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"Admission to the USC Rossier School of Education is a highly selective process. The admissions committee considers many factors in evaluating candidates, including academic record, test scores, letters of recommendation, statement of purpose, and professional experience. All applicants are required to possess a bachelor’s degree from an accredited institution. Applicants must also meet the minimum requirements for admission to the USC Graduate School. Required documents include: Application for Admission, Statement of Purpose, Letters of Recommendation, Transcripts, GRE (Graduate Record Examinations) Scores, English Proficiency (for international students), California Basic Educational Skills Test (CBEST), California Subject Examinations for Teachers (CSET), U.S. Citizenship (if applicable).",Not Required,False,False,False,False,False,,,program,History and Social Science Education,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,True,False,False,False,False,,,program,Human Biology,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,Required,Applications are accepted for fall and spring semester admission. See here for a list of application deadlines. All applicants must have a bachelor’s degree from an accredited institution. Applicants must submit official transcripts from all institutions attended. A minimum undergraduate GPA of 3.0 is required. Applicants must also submit a statement of purpose and three letters of recommendation. GRE scores are not required for admission to the Human Security and Geospatial Intelligence program. An interview may be required.,,True,False,True,False,False,,,program,Human Security and Geospatial Intelligence,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Required,Required,"In addition to the requirements of the Graduate School, applicants must submit: The GRE General Test is required. Students who have a graduate degree from a U.S. institution or who are currently enrolled in a PhD program at USC are exempt from the GRE requirement. An average GRE score for admitted students is 155 verbal, 160 quantitative and 3.5 analytical writing. Only scores submitted electronically from ETS will be accepted. USC’s ETS institution code is 4852. Three letters of recommendation are required from faculty or supervisors. A resume is required. A statement of purpose is required. Official transcripts from all universities attended. Applicants whose native language is not English must submit scores for either the TOEFL or IELTS. See the USC Graduate Admission website for minimum score requirements.",,False,False,True,False,False,,,program,Industrial and Systems Engineering,https://catalogue.usc.edu/preview_entity.php?catoid=8&ent_oid=1784,,
Required,Required,Application for Graduate Admission; Transcripts; Letters of Recommendation (3 required); GRE Scores (optional for Fall 2024 and Fall 2025 applications); English Proficiency (TOEFL or IELTS); Resume/CV (Required); Statement of Purpose (Required).,Not Required,True,True,True,False,False,,,program,Intelligence and Cyber Operations,https://tac.usc.edu/academics/cyberops/,,
Required,Required,"Online Application, Official Transcripts, Letters of Recommendation (3 required), Statement of Purpose, GRE General Test (optional for Fall 2024 applicants), English Language Proficiency (international applicants), CV/Resume",Not Required,True,True,False,False,False,,,program,International Relations (Global Business),https://catalogue.usc.edu/preview_entity.php?catoid=12&ent_oid=2520,,
Not Required,Not Required,"Admission to the graduate programs in International Relations and the Global Economy requires a bachelor’s degree, a strong undergraduate record, and three letters of recommendation. The program requires satisfactory scores on the Graduate Record Examinations (GRE) General Test. USC international graduate applicants are also required to submit scores on the Test of English as a Foreign Language (TOEFL) or International English Language System (IELTS) exam.",Not Required,False,False,False,False,False,,,program,International Relations and the Global Economy,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"Common Application; USC Questions; High School Transcripts; Test Scores (SAT or ACT) — Optional for Fall 2024 Applicants; Recommendations; Portfolio, slide room, or audition (if applicable); Financial Aid Application",Not Required,True,True,False,False,False,,,program,Italian,https://dornsife.usc.edu/fren-ital/italian-undergraduate-program/,,
Not Required,Required,"Common Application, USC Writing Supplement, High School Transcript, SAT or ACT scores (if submitted), Letter(s) of Recommendation, School Report, Mid-Year Report (if available)",Required,True,False,False,False,False,,,program,Jewish Studies,https://catalogue.usc.edu/preview_entity.php?catoid=8&ent_oid=1736,,
,Required,"Application to the doctoral program requires a bachelor’s degree, a superior academic record, and a statement of purpose. It also requires submission of a writing sample, three letters of recommendation, and official transcripts from all colleges and universities attended. All international applicants must submit an official Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) score, unless they are exempt from the requirement.",Required,True,True,False,False,False,,,program,Latin American and Iberian Cultures,https://catalogue.usc.edu/content.php?catoid=12&navoid=4130,,
,,All students must complete the USC Core and satisfy a foreign language requirement at USC. See general requirements for undergraduate degrees.,,False,False,False,False,False,,,program,"Latin American and Iberian Cultures, Media and Politics",https://catalogue.usc.edu/preview_program.php?catoid=8&poid=8194,,
,,"Common Application, USC Writing Supplement, Counselor Recommendation, Teacher Recommendation, Transcripts. Standardized Test Scores (SAT/ACT) are not required for fall 2023, fall 2024 and fall 2025 applicants. Students who do not submit scores will not be disadvantaged in the admission process. Scores are required for some merit scholarship programs.",Required,True,True,False,False,False,,,program,"Law, History and Culture",https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7495,,
,Required,"Admission to graduate programs in Materials Science requires a bachelor’s degree in science or engineering. Students applying for admission should submit a complete application as described in the Viterbi Graduate School of Engineering section of this catalogue. All applicants must submit GRE General Test scores, official transcripts of all college work, letters of recommendation, and a statement of purpose. International applicants must also submit TOEFL or IELTS scores. Applications are due December 15 for fall admission and September 15 for spring admission.",,False,False,True,False,False,,,program,Materials Science,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Queers Arts and Culture Minor,https://dornsife.usc.edu/genderstudies/undergraduate-education/,,
,,,,True,False,False,False,False,,,program,"Race, Ethnicity, and Politics Minor",https://catalogue.usc.edu/preview_degree_planner.php?catoid=2&poid=1292&print,,
,Required,"Admission to the doctoral program in Religion requires evidence of superior academic ability and preparation. While most successful applicants will have an M.A. in Religious Studies, candidates with a strong B.A. or with an M.A. in a related field will be considered. For admission to the PhD program, the following are required: completed online application, statement of purpose (1,000–1,500 words), academic writing sample (20–30 pages), official transcripts from all post-secondary institutions attended, three letters of recommendation, official Graduate Record Examinations (GRE) scores (verbal, quantitative, and analytical writing), and international applicants must submit official scores from the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS).",Required,False,False,False,False,False,,,program,Religion,https://catalogue.usc.edu/content.php?catoid=8&navoid=2270,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,"Renaissance, Early Modern, and Reformation Studies Minor",https://catalogue.usc.edu/preview_program.php?catoid=11&poid=10597,,
,,,,True,False,False,False,False,,,program,Russian Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,"Science, Technology, and Society Minor",https://catalogue.usc.edu/preview_degree_planner.php?catoid=2&poid=1325&print,,
,,,,True,False,False,False,False,,,program,Spanish,https://catalogue.usc.edu/preview_entity.php?catoid=14&ent_oid=2942,,
,,,,True,False,False,False,False,,,program,Thematic Approaches to Culture Minor,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
,,,,True,False,False,False,False,,,program,Visual Culture Minor,https://catalogue.usc.edu/preview_program.php?catoid=8&poid=7385&returnto=2401,,
Not Required,Not Required,,Not Required,True,False,False,False,False,,,program,Web Technologies and Applications Minor,https://catalogue.usc.edu/content.php?catoid=14&navoid=5200&print=&expand=1,,
Not Required,Not Required,"Applicants for undergraduate programs at USC, including the Bachelor of Science in Accounting, must submit the Common Application with the USC Writing Supplement, official high school transcripts, a counselor recommendation, a teacher recommendation, and a Mid-Year Report. Standardized test scores (ACT or SAT) are optional for students applying for Fall 2024 and Fall 2025 admission. The USC Marshall School of Business does not require supplemental essays, letters of recommendation, portfolios, or interviews.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Accounting,https://catalogue.usc.edu/content.php?catoid=18&navoid=7464,,
Not Required,Required,"All applicants must submit the Common Application, which includes the Common Application essay and the USC Writing Supplement (additional essays). Official transcripts from all secondary schools attended, and a letter of recommendation from a counselor and/or teacher are required. Standardized test scores (SAT/ACT) are optional for Fall 2024 and Fall 2025 applicants. International students whose native language is not English must also submit TOEFL, IELTS, or PTE Academic scores.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Accounting and Finance,https://catalogue.usc.edu/preview_program.php?catoid=21&poid=30709,,
