QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
#1 Public university in New York State,School of Management,,4.0,2.5,,Fall 2026,,,,,,,,Merit-based and need-based scholarships are available.,4 years,,Bachelor of Science in Accounting,https://www.buffalo.edu/admissions/academics/programs.html
,School of Engineering and Applied Sciences,,,,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Aerospace Engineering,https://www.buffalo.edu/admissions/academics/programs.html
1st public university in New York State,"College of Arts and Sciences, Department of Africana and American Studies",,,2.0,,Fall 2026,August 2025 (projected),"Early Decision: November 2025 (projected), Regular Decision: January 2026 (projected)",,,,,,"Merit-based, Need-based",4 years (typically 120 credit hours),,Bachelor of Arts in African and African American Studies,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,,,,Fall 2026,,,,,,,,,4 years,,Bachelor of Arts in American Studies,https://www.buffalo.edu/admissions/academics/programs.html
"410 in QS World University Rankings 2026. [14, 32, 36]","College of Arts and Sciences. [7, 23, 42]",,4.0,A minimum GPA of 3.0 is generally needed for consideration for admission to UB. [6] The average GPA for admitted students is 3.7. [46],68%. [9],Fall 2026,Applications are accepted on a rolling basis; the Early Action deadline is November 1. [15],The Regular Decision application completion deadline is February 1. [12],"For a full-time resident undergraduate, the tuition is $3,535.00 per semester, plus $1,982.73 in fees, for a total of $5,517.73 per semester. [13]",,$295.00 per credit for a resident undergraduate. [13],"Merit-based scholarships are available, such as the Provost's Scholars Award for $3,000 and the Dean's Scholars Award for $2,000. [20] The Presidential Scholarship is also offered and is one of the most selective and highly valued UB awards. [8]",,"UB offers merit-based scholarships and scholarships for international students. [8, 33]","4 years. [7, 41]","$7,070 per year for in-state students and $26,860 for out-of-state students",Bachelor of Arts in Anthropology,https://www.buffalo.edu/admissions/academics/programs.html
410,School of Architecture and Planning,,,,84.5% (Fall 2024),Fall 2026,,,"In-state: $7,070/Year, Out-of-state: $26,860/Year",,,"Scholarships range from $1,000 to full tuition, with specific awards like the Provost's Scholars Award at $3,000 and the President's Scholars Award providing a full four-year scholarship. [13, 27]",,Merit-based,4 years,,Bachelor of Science in Architecture,https://www.buffalo.edu/admissions/academics/programs.html
410,,,,,,Fall 2026,,,,,,,,,,,Bachelor of Arts in Art History,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,4.0,,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Fine Arts in Art,https://www.buffalo.edu/admissions/academics/programs.html
,College of Arts and Sciences,,4.0,,,Fall 2026,,,,,,,,Merit-based awards are available to undergraduate students in the College of Arts and Sciences. [33],4 years,,Bachelor of Arts in Asian Studies,https://www.buffalo.edu/admissions/academics/programs.html
,Jacobs School of Medicine and Biomedical Sciences,,4.0,2,69%,Fall 2026,2025-08-01,2026-02-01,,,,,,Merit-based,4 years,,Bachelor of Science in Biochemistry,https://www.buffalo.edu/admissions/academics/programs.html
