Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"As a student in this 15-credit hour program, you will study the foundational theories related to student and adult development. Guide students on their academic journey while creating equitable and inclusive environments for all. You will be taught how to distinguish between the characteristics, needs, and experiences of various student populations, and how to develop your own personal approach to advising. [1]",https://education.indiana.edu/academics/graduate-programs/certificate-programs/certificate-in-academic-advising.html,,Graduate Certificate,Academic Advising (Graduate Certificate),https://graduate.indiana.edu/degrees-programs/degrees.html,
Strategic Analysis of Accounting Information,"The Strategic Analysis of Accounting Information major builds on the business fundamentals and global perspectives developed in the Kelley Integrated Core to provide knowledge and skills directly applicable to this field. This major is STEM-designated, reflecting a curriculum focused on analytics, technology, and data-driven decision making. Students pursuing this major will take 12 credit hours of required coursework.",https://kelley.iu.edu/programs/full-time-mba/curriculum/majors-minors/,"The Kelley School of Business, which offers the MBA program, is accredited by the Association to Advance Collegiate Schools of Business (AACSB International). [1, 3]",Master of Business Administration,Accounting (Master of Business Administration),https://graduate.indiana.edu/degrees-programs/degrees.html,
Strategic Analysis of Accounting Information,"With this major, you'll analyze financial reports and develop an understanding of where the numbers come from and how those numbers can improve operating, investing, and financing decisions. [6] This major is STEM-designated by the US government, reflecting the curriculum's focus on analytics, technology, and data-driven decision making. [6]",https://kelley.iu.edu/programs/full-time-mba/academics/majors-minors/accounting/index.html,The Kelley School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB). [7],Master of Business Administration [6],Accounting - Financial Analysis (Master of Business Administration),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Accounting with Data and Analytics (Master of Science),https://graduate.indiana.edu/degrees-programs/degrees.html,Failed to parse JSON response
,"The Ph.D. in Addiction Neuroscience is offered in the Department of Psychology. The program is intended for students interested interested_in the a research-based careers in behavioral neuroscience and psychopharmacology. The graduate training is designed to promote a comprehensive understanding of the neural bases of behavior, with an emphasis on the behavioral neurobiology of drugs of abuse. You will gain expertise in integrative neuroscience and learn to apply current methods of cellular and systems neuroscience to key problems of drug abuse and addiction. You'll be prepared for a career in academia, medical neuroscience research, the pharmaceutical industry, or government research. You'll work closely with a faculty mentor, often in collaboration with other faculty on campus. Your studies will focus on the actions and effects of alcohol and drugs of abuse on brain function and brain development, as well as on brain mechanisms of addictive behavior. Our faculty are experts in: behavior; psychopharmacology and neurochemistry of alcohol and drugs of abuse; genetic determinants of alcohol abuse; mechanisms of alcohol-related behavior; behavioral and neurobiological consequences of developmental exposure to drugs of abuse. [1]",https://science.iupui.edu/psychology/graduate/addiction-neuroscience/index.html,,PhD,Addiction Neuroscience (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
Addictions Track,"This 60-credit hour degree prepares you for a career as an addictions-focused counselor in a variety of community settings. The evidence-based curriculum and practical training spans prevalence, prevention, and treatment of substance use disorders. Through a combination of coursework, laboratory experiences, practica, and internships you'll develop effective counseling skills and gain the qualifications and confidence needed to help others.",https://education.indiana.edu/academics/graduate/masters-programs/counseling-addictions-track.html,"The M.S. Ed in Mental Health Counseling and Counselor Education is accredited by the Masters in Psychology and Counseling Accreditation Council (MPCAC) for the period of August, 2018 through August, 2028. [1]",M.S.Ed.,Addictions Counseling (M.S.Ed.),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,"Adult Gerontology Acute Care Nurse Practitioner (Certificate, MSN)",https://graduate.indiana.edu/degrees-programs/degrees.html,
Adult Gerontology Primary Care Nurse Practitioner,,,,"Certificate, MSN","Adult Gerontology Primary Care Nurse Practitioner (Certificate, MSN)",https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,PhD,Advanced Materials and Manufacturing (Doctorate in Philosophy),https://graduate.indiana.edu/degrees-programs/degrees.html,
,,,,,Aerospace Engineering (PhD),https://graduate.indiana.edu/degrees-programs/degrees.html,
