Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Science in Applied Data Science,https://www.clarkson.edu/academics/graduate/programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Business Administration (MBA),https://www.clarkson.edu/academics/graduate/programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Business Administration in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,Required,Required,"A completed application includes: Online Application Form, Statement of Purpose (One-to-two pages explaining your career goals and how a Clarkson MBA will help you achieve them), Resume (Detailing your work experience), Transcripts (From all institutions of higher learning attended), Letters of Recommendation (Two are required. Three are preferred), Test Scores (GRE/GMAT scores are not required), Online Interview, Application Fee.",,True,False,,True,False,False,,,program,
Master of Science in Healthcare Data Analytics,https://www.clarkson.edu/academics/graduate/programs,Required,Required,"All applicants should possess a bachelor’s degree from an accredited institution. To be considered for admission, a complete application will include the following: Online Application Form; Statement of Purpose; Resume or C.V.; Letters of Recommendation; Official Transcripts; Official test scores for the GRE or GMAT are not required but may be submitted to strengthen your application; For international applicants, an English proficiency test is required (see below for more information).",Not Required,True,True,False,True,False,False,,,program,
Master of Science in Clinical Leadership in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Advanced Certificate in Business,https://www.clarkson.edu/academics/graduate/programs,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Advanced Certificate in Business Fundamentals,https://www.clarkson.edu/academics/graduate/programs,Required,Required,"To apply, you will need: A completed online application. A current resume. Transcripts from all postsecondary institutions attended. One letter of recommendation. A personal statement. NO GRE OR GMAT REQUIRED.",,True,False,True,False,False,False,,,program,
Advanced Certificate in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,Required,Required,"An application for the advanced certificate consists of:

A completed online application.
A current resume.
Official transcripts from all institutions attended.
A statement of purpose.
The application fee.
International applicants must also submit proof of English proficiency.",,True,False,False,False,False,False,,,program,
Advanced Certificate in Human Resource Management,https://www.clarkson.edu/academics/graduate/programs,Required,Required,"To apply, you will need to submit the following: Online application form, Resume, Statement of purpose, Official transcripts from all institutions attended, One letter of recommendation.",,True,False,True,False,False,False,,,program,
Advanced Certificate in Innovation & New Venture Management,https://www.clarkson.edu/academics/graduate/programs,Required,Required,"To apply to a graduate program at Clarkson, you will need the following:

Online application form.
Statement of purpose.
Resume or curriculum vitae (CV).
Letters of recommendation.
Transcripts from all post-secondary institutions attended.
Standardized test scores (if required by your program).
Proof of English proficiency (for international applicants).
Application fee.",,True,False,,False,False,False,,,program,
