Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"Submit an online application
Upload a professional resumé
Submit a 750-1,000 word statement of purpose describing your professional goals and aspirations, your previous academic preparation, and an explanation of how the DBA program fits your professional and personal aspirations.
Submit two letters of recommendation. At least one of the letters must come from a faculty member or other individual qualified to attest to your academic ability. You will submit contact information for the recommenders in the online application and they will receive instructions for submitting their letters electronically.
Submit official transcripts from all institutions of higher education attended.
An earned master’s degree in business or a related field from a regionally accredited institution, or its international equivalent, with a minimum GPA of 3.0
An earned bachelor’s degree from a regionally accredited institution, or its international equivalent, with a minimum GPA of 3.0
Students whose native language is not English must submit official TOEFL or IELTS scores unless they have earned a degree from an accredited United States institution or from an institution in a country where English is the official language. Minimum scores required for TOEFL are 80 (internet-based), 213 (computer-based), or 550 (paper-based). The minimum IELTS score is 6.5.
Students are not required to submit GRE or GMAT scores.",Not Required,True,False,True,False,False,False,,,program,Doctor of Business Administration in Finance,https://www.youtube.com/watch?v=NutgiiaYME8
Required,Required,"Admission to the Doctor of Education in Educational Leadership program is a competitive process. Admission is based upon an applicant's academic record, professional experience, recommendations, and a personal interview with the Doctoral Admissions Committee.
Admission to the Ed.D. program requires:
*   An earned master's degree from a regionally accredited institution with a minimum cumulative GPA of 3.3.
*   Evidence of five or more years of professional experience in an educational leadership role (i.e., teacher, administrator, school leader, or other leadership role).
*   Official transcripts of all undergraduate and graduate work submitted directly to Sacred Heart University.
*   Two letters of recommendation from individuals who can speak to the applicant's leadership potential and/or academic ability.
*   A written statement outlining the applicant's professional goals and interest in the Ed.D. program.
*   A current resume or curriculum vitae.
*   A successful interview with the Doctoral Admissions Committee.
*   Submission of the completed online application and application fee.",Not Required,True,False,,False,False,False,,,program,Doctor of Education in Educational Leadership,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
Required,Required,"A master's degree in a related field from a regionally accredited institution with a minimum 3.0 cumulative GPA
Official transcripts from all institutions attended
Two letters of recommendation (professional or academic)
Current resume
Statement of professional goals and objectives
No GRE required",Not Required,True,False,True,False,False,False,,,program,Doctor of Education in Higher Education Leadership,https://www.sacredheart.edu/majors--programs/higher-education-leadership---edd/
Required,Required,"The Department of Physical Therapy participates in the Physical Therapy Centralized Application Service (PTCAS). All applicants must apply through PTCAS. Applicants are expected to possess a bachelor's degree from an accredited institution. Applicants may be admitted to the DPT program with the understanding that the undergraduate degree will be completed prior to the start of the professional phase of the program. Minimum Cumulative GPA 3.0. Minimum Science GPA 2.75. The following must be submitted to PTCAS: Completed online application to PTCAS. Official transcripts from ALL colleges and universities attended. Two letters of recommendation from professional individuals who can attest to the applicant's academic potential, communication skills, and work ethic. One letter must be from a licensed physical therapist and one from a college professor. A minimum of 50 observation hours supervised by a licensed Physical Therapist. These hours can be paid or volunteer, in a minimum of two different settings. All applicants must submit official GRE scores directly from ETS to PTCAS (Sacred Heart University Code: 0746). The GRE must be taken within five years of the application. A CV or Resume is required from all applicants. A personal statement, one page in length, addressing the following: Why are you interested in pursuing a career in physical therapy? Why have you selected Sacred Heart University's DPT program? Additional requirements apply for international applicants, including TOEFL scores, WES evaluation, and financial certification.",,False,False,True,False,False,False,,,program,Doctor of Physical Therapy,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
Required,Required,"Master of Science in Nursing from an accredited institution. Minimum GPA of 3.2 on a 4.0 scale. Official transcripts from all post-secondary institutions attended. Current, unencumbered RN license from the state in which the student plans to complete clinical hours. Current national certification as an Advanced Practice Registered Nurse (APRN). Evidence of successful completion of a graduate-level statistics course. Two letters of recommendation from professional colleagues/supervisors who can attest to the applicant’s academic and clinical abilities. Current curriculum vitae or résumé. Statement of professional goals. Interview with a faculty member.",,True,False,True,False,False,False,,,program,Family Nurse Practitioner Doctor of Nursing Practice,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
Required,Required,"Applicants for admission to the Ph.D. in Organization Development, Change & Effectiveness program must possess a master's degree from an accredited institution. Applicants must submit the following materials:
*   Online application
*   Official transcripts of all undergraduate and graduate coursework
*   Current resume or curriculum vitae
*   Three letters of recommendation submitted by former professors or supervisors
*   A personal statement of at least 750 words describing professional experiences, reasons for pursuing a Ph.D. in ODCE, and career aspirations following completion of the degree
*   A research statement of 500 words or less addressing a current issue in organization development, change, or effectiveness. The statement should articulate a research question that could be explored in the Ph.D. program.
*   Official scores from the Graduate Record Examination (GRE) or Graduate Management Admissions Test (GMAT) must be submitted unless the applicant has received a master’s degree from Sacred Heart University and maintained a minimum 3.0 cumulative GPA. The GRE/GMAT must have been taken within the last five years.
*   All international students from non-English speaking countries must submit official scores from the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS).",Required,False,False,,False,False,False,,,program,"Ph.D. in Organization Development, Change & Effectiveness",https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
Required,Required,"The Social Work Ph.D. program will accept applications on a rolling basis. Admission requires a master’s degree in social work from a CSWE-accredited program, with a minimum cumulative GPA of 3.0 (on a 4.0 scale). The following documents must be submitted to complete your application: Official transcripts from all universities and colleges attended; Two letters of recommendation from individuals who can speak to your academic abilities and readiness for doctoral study. At least one of these letters must be from an academic source; Resume or Curriculum Vitae (CV); Personal statement detailing your academic and professional goals, research interests, and why you are interested in pursuing a Ph.D. in Social Work at Sacred Heart University (minimum 750 words); Master’s degree writing sample (e.g., thesis, research paper, scholarly paper, journal article, etc.) that demonstrates your capacity for scholarly writing; Graduate Record Examination (GRE) scores are not required; A copy of your current social work license (LCSW preferred); Non-native English speakers must submit a Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) score. A minimum TOEFL score of 80 (internet-based) or IELTS score of 6.5 is required.",Required,True,True,,False,False,False,,,program,Ph.D. in Social Work,https://www.youtube.com/watch?v=bVa2xu274to
Required,Required,"Completed online graduate application (including the non-refundable application fee)
Official transcripts of all college-level work (undergraduate and graduate) sent directly from the issuing institution(s). If accepted, official final transcripts noting degree conferral are required prior to matriculation.
Minimum undergraduate GPA of 3.0 on a 4.0 scale.
Official transcripts verifying a Master of Science in Nursing (MSN) degree with an overall GPA of 3.25 on a 4.0 scale from a nationally accredited program. The Post-Master's DNP requires a non-clinical MSN.
Current, active, unencumbered RN license(s) from the state(s) in which clinical practice will occur and current, active, unencumbered advanced practice registered nurse (APRN) license(s), if applicable.
Professional Resume or Curriculum Vitae
Personal Statement/Essay that speaks to your professional goals and how the DNP will help you achieve them (1-2 pages)
Two letters of recommendation (one from a supervisor/employer and one from an academician is preferred)
Interview with a College of Nursing faculty member
Evidence of completed 500 clinical hours at the graduate level
Copy of BLS/ACLS/PALS certification(s) per specialty",,True,False,,False,False,False,,,program,Post-Master's Doctor of Nursing Practice,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
Required,Required,"Baccalaureate degree from a regionally accredited institution, or international equivalent. Undergraduate cumulative GPA of 3.0 on a 4.0 scale. Completion of prerequisite coursework (Anatomy and Physiology I with lab, Anatomy and Physiology II with lab, Biology with lab, Chemistry with lab, Physics with lab, Statistics, General Psychology, and Medical Terminology). Official transcripts from all universities and colleges attended. Two letters of recommendation from faculty members, supervisors, or athletic training professionals. Resume or curriculum vitae. Personal statement addressing the applicant’s interest in the athletic training profession and desire to attend Sacred Heart University. Official scores from the Graduate Record Examination (GRE) general test are NOT required. Demonstration of 50 hours of observation under the direct supervision of a BOC-certified athletic trainer. The observation hours can be in any setting (e.g., high school, college/university, clinic, professional sport, industrial). These hours must be verified by the supervising athletic trainer(s). International applicants must provide evidence of English language proficiency through official TOEFL or IELTS scores unless they have completed a baccalaureate degree from an accredited institution where English is the language of instruction. Official scores must be submitted directly to the Sacred Heart University Office of Graduate Admissions.",Not Required,True,False,True,False,False,False,,,program,Master of Science in Athletic Training,https://sacredheart.smartcatalogiq.com/en/2022-2023/2022-2023-graduate-catalog/programs-of-study
Required,Required,"To be considered for admission to the Sacred Heart University MA in Clinical Mental Health Counseling program, you must hold a bachelor’s degree from a regionally accredited institution and a minimum 3.0 cumulative GPA. While a background in psychology or a related field is helpful, it is not required for admission. Candidates must provide: Completed Application Form, Resume, Personal Statement, Official Transcripts from all previously attended colleges and universities, Two Letters of Recommendation, Interview.",Not Required,True,False,,False,False,False,,,program,Master of Arts in Clinical Mental Health Counseling,https://www.onlineeducation.com/counseling/schools/sacred-heart-university-ma-clinical-mental-health-counseling
