Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Minor in Biology-Behavior and Society,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Minor in Biomedical Engineering,https://www.clarkson.edu/academics/majors-minors,,,,,True,False,,True,False,False,,,program,
Minor in Biomedical Science and Technology,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Concentration in Biomolecular Engineering,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Biomolecular Science,https://www.unirank.org/guides/university-programs-courses/bachelor-of-biomolecular-science/,Not Required,Required,"To be considered for admission to Clarkson, you must submit the following: Application (Common Application or Clarkson Application), Official High School Transcript, Letter of Recommendation (from a school counselor, teacher or someone who can speak to your academic ability).",Not Required,True,True,,True,False,False,,,program,
Minor in Business,https://www.clarkson.edu/academics/majors-minors/business,,,,,True,False,,False,False,False,,,program,
Bachelor of Science in Business Administration,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Business Analytics,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor's Degree in Business of Biotechnology,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,We require the following items for a complete application: The Common Application or the Clarkson Application; Official High School Transcript; One Letter of Recommendation; Personal Essay.,Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Business Studies,https://www.clarkson.edu/majors-minors/business-administration-major,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Concentration in Business Intelligence and Data Analytics,https://www.clarkson.edu/academics/majors-minors/information-systems,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Chemical Engineering,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Chemistry,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,A completed application using the Common Application or Clarkson Application. An official high school transcript. One letter of recommendation from a school counselor or teacher. Self-reported or official SAT or ACT scores (optional for most applicants). A personal essay (required).,Not Required,True,False,,True,False,False,,,program,
Minor in Chemistry,https://clarkson.edu/sites/default/files/2025-10/Master%2025-26%20UGrad%20Catalog.pdf,Not Required,Not Required,A minimum of 15 credits of chemistry is required in courses numbered CM200 or above. Course selection for the minor is to be approved by the Department Chair.,Not Required,True,False,,True,False,False,,,program,
Bachelor of Science in Civil Engineering,https://www.clarkson.edu/academics/majors-minors/civil-engineering,Not Required,Optional,"A completed Common Application or Clarkson Application; Official high school transcript(s); One letter of recommendation from a school counselor, teacher or advisor.",Not Required,True,True,,True,False,False,,,program,
Minor in Cognitive Neuroscience,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Major in Communication,https://www.youtube.com/watch?v=PKiuuT7LGwQ,Not Required,Required,"Clarkson accepts the Common Application or the Clarkson Application. To complete your application for admission, you will need to submit the following: 1. A completed application; 2. Official high school transcript(s); 3. One letter of recommendation from a school counselor or teacher; 4. Standardized test scores (optional).",Not Required,True,True,,False,False,False,,,program,
Minor in Communication,https://www.clarkson.edu/academics/majors-minors,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Accounting,https://www.clarkson.edu/academics/majors-minors/financial-information-analysis,Not Required,Required,"A completed application — either the Common Application or the Clarkson Application. Official high school transcript(s). Letter of recommendation from a school counselor or a teacher. We suggest you submit one to two letters. Standardized test scores (optional) — SAT I or ACT scores. Clarkson's CEEB code for the SAT is 2084. Our ACT code is 2704. Learn more about our test-optional policy. If you are a non-native English speaker, you are required to demonstrate English proficiency.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Arts in American/United States Studies/Civilization,https://clarkson.edu/sites/default/files/2024-10/ClarksonUniversity2024-2025UndergraduateCatalog.pdf,Optional,Required,"First-year applicants must submit either the Common Application or the Clarkson Application, an official high school transcript, a personal statement, and at least one letter of recommendation. Standardized test scores (SAT/ACT) are optional.",Not Required,True,True,,False,False,False,,,program,
"Bachelor of Arts in Animation, Video Graphics and Special Effects",https://www.youtube.com/watch?v=ENpulER4964,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Anthropology,https://www.clarkson.edu/academics/majors-minors/humanities-social-science,Optional,Required,"A completed application, including an essay or personal statement. Clarkson accepts the Common Application and the Clarkson Application, with no preference for either. Official high school transcript. We need your official transcript from all high schools you have attended. One letter of recommendation from a school counselor or teacher.",Not Required,True,True,,False,False,False,,,program,
Bachelor of Science in Architectural and Facilities Engineering,https://www.clarkson.edu/academics/majors-minors/architectural-facilities-engineering,Not Required,Required,"To be considered for admission, first-year applicants must submit the following: A completed Common Application or Clarkson Application, including the essay and a list of your activities; Official high school transcript; One letter of recommendation from a school counselor or teacher.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Biochemistry and Molecular Biology,https://www.clarkson.edu/academics/majors-minors,Optional,Optional,"To be considered for admission as a first-year student, applicants must submit either the Common Application or the Clarkson Application, an official high school transcript, and one letter of recommendation from a school counselor or teacher. Optional items include a personal essay, a list of extracurricular activities, and standardized test scores (SAT/ACT). An interview is also highly recommended but not required.",Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Biomedical Engineering,https://www.clarkson.edu/academics/majors-minors,Not Required,Required,A complete application for admission includes: The completed application form (either the Common Application or the Clarkson Application). Your official high school transcript. One letter of recommendation from a school counselor or teacher. Test scores are optional.,Not Required,True,True,,True,False,False,,,program,
Bachelor of Science in Biomedical Science and Technology,https://www.clarkson.edu/academics/majors-minors/biomedical-science-technology,,,"The Common Application or Clarkson Application, which includes a personal essay and activities/honors section. An official high school transcript. A letter of recommendation from a teacher or school counselor.",,True,False,,True,False,False,,,program,
Bachelor of Science in Biomolecular Engineering,https://www.clarkson.edu/academics/majors-minors/biomolecular-engineering,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Bachelor of Science in Bioscience and Technology, Interdisciplinary",https://www.clarkson.edu/academics/majors-minors,,Optional,"A completed application (Clarkson accepts the Common Application or the Clarkson Application), an official high school transcript, and one letter of recommendation from a school counselor or teacher. A personal essay is strongly recommended.",,True,True,,True,False,False,,,program,
Bachelor of Science in Business,https://www.clarkson.edu/academics/majors-minors,Optional,Required,"To apply as a first-year student, you will need to submit the following: a completed Common Application or Clarkson Application (no fee for either), an official high school transcript, an essay or personal statement, and one letter of recommendation. Standardized test scores (SAT or ACT) are not required for admission.",Not Required,True,False,,True,False,False,,,program,
Minor in Materials Engineering,https://www.clarkson.edu/academics/majors-minors,Not Required,Not Required,,Not Required,True,False,,True,False,False,,,program,
Bachelor in Business Intelligence and Data Analytics,https://fba.um.edu.mo/programmes/bachelor/bscbia/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Bachelor of Science in Engineering and Management,https://www.clarkson.edu/academics/majors-minors/engineering-management,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
