Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Science in Aeronautics,,,,,Master's,"Fall, Spring, Summer",,,,,,Optional,"All international applicants whose primary language is not English must submit an official score from the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), or Duolingo.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aeronautics,"$24,000 for the entire 30-credit program",,,,,,"['Aviation/Aerospace Education Technology', 'Aviation/Aerospace Management', 'Aviation Safety Management Systems', 'Air Traffic Management', 'Space Studies', 'Unmanned Aircraft Systems', 'Aviation/Aerospace Operations']","The Master of Science in Aeronautics (MSA) is Embry-Riddle's flagship graduate program, offering a technical, professional-oriented, and broad-based aviation/aerospace education. The MSA degree is for students who want to advance their current knowledge and experience in the aviation/aerospace industry, as well as for those who are seeking to transition into the field.

The Master of Science in Aeronautics degree program builds on Embry-Riddle’s strong aviation foundation, providing students with a deep understanding of aviation and aerospace operations, safety, security, and regulations. It is a professionally oriented program designed to meet the demands of the modern aerospace industry.

Students will gain a broad perspective on all facets of aeronautics, including air transportation, aircraft systems, human factors, maintenance management, aviation safety, and more.",,https://erau.edu/degrees,,,800,,,2.0,4.0,2.5,,,,,,,,,,,$800/credit hour,,,,,,,,,,,105.0,112.0,,,6.0,,,,,79,,,,,,,,,,,"Grants range from $500 to $1,500",10%,"Merit-based, Need-based",,,,,,,
,Master of Science in Aeronautics with Specialization in Aviation and Aerospace Sustainability,,,,,Master's,Rolling,,,,Optional,Optional,Not Required,"In addition, applicants for whom English is not the primary language must attain a minimum score on the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS-Academic). A minimum score of 550 (paper-based) or 79 (Internet-based) on the TOEFL is required. The IELTS-Academic test is also accepted with a minimum score of 6.0. Completion of an ELS Language Center's program (level 112) with a grade of B or better is also accepted.","For admission to this program, applicants are required to have a bachelor’s degree with a minimum GPA of 2.5 from an accredited degree-granting institution. Applicants who already possess a master’s degree need only to have a bachelor’s degree from an accredited degree-granting institution.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation / College of Aeronautics,"$33,048/Year",,,,,,Aviation and Aerospace Sustainability,"The Master of Science in Aeronautics (MSA) degree is a broad, yet deep program designed to provide aviation and aerospace professionals with a keen understanding of aviation and aerospace operations, safety, security, systems, quality and management. Offered by the College of Aeronautics, the MSA is a completely online degree that allows students the flexibility to work on their studies anytime, anywhere in the world.

The curriculum provides a strong, technical foundation for those looking to advance their career. Graduates are prepared for leadership and management roles in all segments of aviation and aerospace, including airlines, airports, corporate aviation, government, and the U.S. military. The MSA has been a flagship, online program for Embry-Riddle since 1993 and is the academic pillar of our Worldwide Campus.",,https://erau.edu/degrees,The Master of Science in Aeronautics is accredited by the Aviation Accreditation Board International (AABI).,,"$1,836",True,True,,4.0,2.5,,,,,,,,,,,"$34,526/Year",,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Science in Aeronautics with Specialization in Small Uncrewed Aircraft Systems (sUAS) Operations,,,,,Master,"Rolling admissions for Fall, Spring, and Summer terms",,,,,,Not Required,"Applicants from countries where English is not the primary language must demonstrate English proficiency by taking one of the following exams: TOEFL (Test of English as a Foreign Language), IELTS (International English Language Testing System), Cambridge English Language Assessment, Duolingo. Successful completion of an approved ESL program (ex. ELS Level 112) may also be accepted in lieu of test scores.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation,"$32,724/Year",,,,,,Small Unmanned Aircraft Systems (sUAS) Operation,"The Master of Science in Aeronautics (MSA) degree gives students a technical look into the aviation and aerospace industry. Students gain the specific knowledge and skills needed to elevate their careers, whether that’s in flight, maintenance, safety, education or another related field.

This graduate program is designed for aviation professionals looking to advance their knowledge and for students who have a bachelor’s degree but wish to transition into the aviation industry. Graduates of the M.S. in Aeronautics program are set up for a competitive advantage to advance their careers.

Within the Small Unmanned Aircraft Systems (sUAS) Operation specialization, students will learn about topics critical to the sUAS operation industry including sUAS design, control and navigation, applications, data collection and processing as well as safety and human factors.",,https://erau.edu/degrees,,,1818,,,,4.0,2.5,,,,,,,,,,,"$32,724/Year",,,,,,,,,,,105.0,112.0,,,6.0,,,,,79,,,,,,,,,,,"$5,000 - $13,500",,"Merit-based, Assistantships, Grants",,,,,,,
,Master of Science in Aeronautics with Specialization in Uncrewed and Autonomous Systems,,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,Applicants for whom English is not their primary language must either: Attain a minimum score on the Test of English as a Foreign Language (TOEFL) of 550 (PBT) or 79 (IBT). OR Attain a minimum score on the International English Language Testing System (IELTS) of 6.0. OR Attain a minimum score on the Duolingo English Test of 105. OR Successfully complete an English Language Course (ELS) with a score of 112. OR Earn a baccalaureate or graduate degree from a college or university where English is the primary language of instruction.,"Applicants for the Master of Science in Aeronautics (MSA) program must have a baccalaureate degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Those who possess a baccalaureate degree with a CGPA less than 2.5 may be considered for conditional admission. Applicants should submit the following: 1. A completed graduate application for admission; 2. Official transcripts from all previously attended colleges and universities. Transcripts from any international institutions must be evaluated through a NACES approved agency, such as World Education Services, Inc. or an equivalent agency; 3. A resume outlining work experience. 4. Three letters of recommendation (forms provided). 5. A statement of purpose detailing why the student wants to pursue the MSA, and how this will help them achieve their professional goals.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation,$782 per credit hour (Worldwide/Online Campus),,,,,,Uncrewed and Autonomous Systems,"The Master of Science in Aeronautics (MSA) is a multi-disciplinary program that combines a core of aviation and aerospace courses with a choice of specialization options, enabling you to tailor a degree program that elevates your career. The MSA program is an online program that offers both convenience and quality and has been ranked as one of the best online graduate programs for the past seven years by U.S. News & World Report. Build on your aviation/aerospace foundation as you work toward a career in management with a degree that strategically positions you for growth. The program is ideal for professionals already in an aviation/aerospace career and for those who wish to enter the field. As an MSA graduate, you will have the skills necessary to succeed as a leader in today’s demanding aviation/aerospace industry. The Uncrewed and Autonomous Systems specialization focuses on the operational and safety aspects of uncrewed and autonomous systems, including design, development, policy, and procedures. Explore topics related to uncrewed and autonomous systems, such as command and control, human factors, data links, and payloads.",,https://erau.edu/degrees/master/aeronautics,,,782,False,True,2.0,4.0,2.5,,,,,,,,,,,23460,,,,,,,False,False,,,105.0,112.0,,,6.0,,,,,79,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Master of Science in Aeronautics with Specialization in Space Operations,,,,,Master,"Fall, Spring, Summer",,,,Required,Required,Not Required,"If English is not your primary language, you must either: Attain a minimum score on the Test of English as a Foreign Language (TOEFL), the International English Language Testing System (IELTS) or the Duolingo English Test (DET); Provide a transcript from a school where English is the official language of instruction; or Present a certificate of completion from an approved English as a Second Language (ESL) program.","Applicants for the Master of Science in Aeronautics program are required to have a bachelor’s degree from an accredited degree-granting institution with a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Applicants who already possess a master’s degree are required to have a 3.0 CGPA or higher at the graduate level. Applicants with an undergraduate CGPA of less than 2.5, or those with a graduate GPA of less than 3.0, must submit official Graduate Record Exam (GRE) scores of 150 or higher on the verbal section and 150 or higher on the quantitative section. Alternatively, applicants may submit official scores from the Graduate Management Admissions Test (GMAT) of 500 or higher. In addition to the documents required for admission to the university, applicants for the Master of Science in Aeronautics program must also submit a statement of purpose, and a resume. Letters of recommendation are not required, but applicants are welcome to submit them.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation,"$33,048/Year (based on 18 credits)",,,,,,Space Operations,"The Master of Science in Aeronautics (MSA) has a justly-earned reputation as a broad, technically-oriented professional degree program that has consistently attracted people already established, or seeking to establish, a career in aviation or aerospace. The degree prepares graduates for high-level, leadership positions in government and industry.

The MSA degree is a 30-credit-hour graduate program, offered fully online and at many of our Worldwide Campus locations, that students typically complete in two years. Students are required to take five core courses that cover core aspects of aeronautics, and then select five additional courses from one of several specializations.",,https://erau.edu/degrees,,,"$1,836 per credit hour",True,True,,4.0,2.5,,,,,,,,,,,"$33,048/Year (based on 18 credits)",,,,,,,False,False,,,105.0,,,,6.0,,,,,79,,,,,,,,,,,"$1,000 - $3,000",,"Merit-based, Graduate Assistantships",,,,,,,
,Master of Science in Aeronautics with Specialization in Aviation Safety,,,,,Master,"Fall, Spring, Summer",,,,Required,Required,Optional,"English proficiency is required for applicants whose primary language is not English. For on-campus programs (Daytona Beach, Prescott), accepted tests include TOEFL (minimum 79 iBT), IELTS (minimum 6.0), or Duolingo (minimum 105 for Prescott, case-by-case for Daytona Beach). For the Worldwide & Online program, accepted tests are TOEFL (minimum 79 iBT or 550 paper-based) or IELTS (minimum 6.0).","To be considered for admission to the Master of Science in Aeronautics program, prospective students should hold a baccalaureate degree from an accredited degree-granting institution. In addition to a completed application package, which should include all of the items listed below, applicants should have a cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale. Required documents include: a completed application, official transcripts from all attended academic institutions, a résumé or curriculum vitae (CV), a 250-500 word statement of purpose addressing your career goals, and two letters of recommendation. Graduate Record Exam (GRE) or Graduate Management Admission Test (GMAT) scores are not required.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation,"$32,674/Year",,,,,,Aviation Safety,"The Master of Science in Aeronautics (MSA) degree is a broad-based, flexible program designed for the aviation and aerospace professional. The MSA enhances your knowledge and pursuit of opportunity within the industry, covering topics from airport operations to aircraft design and beyond. In this program, students will gain an advanced understanding of aeronautics and the skills required to be a leader in the aviation industry. Our Aviation Safety specialization provides students with the technical skills required in the areas of accident investigation, safety management and human factors in aviation.",,https://erau.edu/degrees,,,"$1,750 per credit hour",False,True,0.0,4.0,2.5,,,,,,,,,,,"$32,674/Year",,,,,,,False,False,,,105.0,,,,6.0,,,,,79,,,,,,,,,,,"$1,500",,"Merit-based, Alumni-based",,,,,,,
,Master of Science in Aeronautics with Specialization in Human Factors,,,,,Master of Science,"Fall, Spring, Summer",,,,,,Optional,Official scores from an English Language proficiency exam are required for all international applicants whose primary language is not English. Minimum scores required for admission are: TOEFL iBT: 79; IELTS: 6.0; Duolingo: 105; PTE Academic: 53; or completion of ELS Language Center Level 112.,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation,,,,,,,Human Factors,"The MSA Human Factors specialization is a multidisciplinary program that applies knowledge of human performance, limitations, and capabilities to the design of systems. The curriculum offers a broad education in the human factors discipline focusing on the human component in the design, development and operation of complex human-machine systems. The program provides graduates with the knowledge and skills necessary to be successful human factors professionals. Graduates are prepared for doctoral level studies in human factors or for a career as a human factors practitioner in government or industry. Program graduates will be qualified for positions in the military, civil and general aviation sectors of the aviation industry as well as other areas such as medical, automotive and nuclear fields.",,https://commons.erau.edu/cgi/viewcontent.cgi?article=1011&context=db-sgs-newletter,,,1836,False,True,2.0,4.0,,,,,,,,,,,,,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,"Up to $5,000 per year",10%,"Merit-based, Need-based, Affiliation-based",,,,,,,
,Master of Science in Aeronautics with Specialization in Aviation Maintenance,,,,,Master,Multiple start terms,,,,Required,Required,Not Required,"International applicants must demonstrate English proficiency. Embry-Riddle accepts official scores from TOEFL (minimum 79 iBT or 550 PBT), IELTS (minimum 6.0 overall), Duolingo (minimum 105), PTE Academic (minimum 53), or successful completion of ELS Language Centers' Level 112. The requirement may be waived under certain conditions.","For admission to the Master of Science in Aeronautics program, students must have a bachelor’s degree with a minimum GPA of 2.5 from an accredited degree-granting institution. Applicants who do not meet this minimum GPA requirement can be considered on an individual basis if they show evidence of potential for success in a graduate program of study. Graduate Record Exam (GRE) or Graduate Management Admissions Test (GMAT) test scores are not required for admission to this program. Prerequisites: Completion of a bachelor's degree. Students are expected to have at least a fundamental understanding of aerodynamics, aircraft performance, propulsion, and structures from their undergraduate program. Students who have not met this prerequisite may be required to take MSA 505.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aeronautics,14094,,,,,,Aviation Maintenance,"A leader in aviation education, Embry-Riddle's Master of Science in Aeronautics offers an opportunity for students to not only obtain an advanced, competitive edge in the field, but also to choose a specialization that is tailored to their unique interests and career goals. Students in the Aeronautics master's degree program learn in a dynamic, high-tech environment from faculty who are experts in their fields. Embry-Riddle's alumni network and industry partnerships are a valuable resource for students to leverage when seeking mentorship and career advancement opportunities. The Master of Science in Aeronautics is a broad, flexible program that provides students with a solid technical foundation in aeronautics and the ability to customize their curriculum in one of our diverse areas of specialization.",,https://erau.edu/degrees/master/aeronautics,,,$748 per credit hour,True,True,,4.0,2.5,,,,,,,,,,,14094,,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,"Up to $4,800",,"New student, Returning student, Affiliation-based",,,,,,,
,Master of Science in Aeronautics with Specialization in Aviation Cybersecurity,,,,,Master's,"Fall, Spring, Summer",,,,Required,Required,Not Required,"For applicants whose primary language is not English, proficiency must be demonstrated. Accepted tests and recommended minimum scores are: TOEFL iBT 79 (or PBT 550), IELTS 6.0, Duolingo 105, or PTE 53. Completion of ELS Language Centers Level 112 is also accepted. Waivers are available for applicants who meet certain criteria.","Admission to the Master of Science in Aeronautics (MSA) program requires a bachelor's degree from an accredited degree-granting institution. A cumulative grade point average (CGPA) of 2.5 or higher on a 4.0 scale is required for full admission into the MSA program. Applicants who have a CGPA of less than 2.5 may be considered for provisional admission. In addition to the documents required for admission to the university, applicants should also submit: A current resume; A Statement of Objectives which will serve as the applicant's writing sample; Three letters of recommendation (optional for students with a 3.0 CGPA or higher); Official GRE scores are not required for admission to the Master of Science in Aeronautics program.",Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Aviation,"Total Program Tuition: $54,060 (Daytona Beach/Prescott) or $24,600 (Worldwide)",,,,,,Aviation Cybersecurity,"The Master of Science in Aeronautics (MSA) degree is a broad, flexible program that allows you to customize your coursework in an area of specialization. With the MSA, you can combine your existing technical expertise with an advanced aeronautics curriculum to prepare for an aviation/aerospace career in fields such as airline management, aviation safety, education, or airport management. The MSA curriculum is built upon a required core of 3 courses: Air Transportation, Aircraft and Spacecraft Development, and Aeronautical Research. These courses prepare students to investigate and solve problems currently facing the aviation and aerospace industries. MSA students then work with their advisors to customize a curriculum that matches their interests and career goals by choosing from a wide variety of electives and an area of specialization.",,https://erau.edu/degrees,,,"$1,802 per credit hour (Daytona Beach/Prescott) or $820 per credit hour (Worldwide)",,False,,4.0,2.5,,801-1000,,,,,,,,,"$32,436/Year",,,,,,,False,False,,,105.0,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Science in Aerospace Business Analytics,,,,,Master's,Multiple monthly start dates,,,,,,Optional,"Applicants for whom English is not the primary language must demonstrate proficiency in English through one of the following methods: TOEFL (iBT minimum 79, PBT minimum 550), IELTS (minimum 6.0 overall band score), Duolingo (minimum 105), ELS Language Center (completion of ELS Language Center level 112), Cambridge English Language Assessment (minimum 170), or Pearson PTE Academic (minimum 53).",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Business,"$22,860 for the entire program (30 credits * $762/credit)",,,,,,,"The Master of Science in Aerospace Business Analytics degree from Embry-Riddle provides the analytical skills and business acumen necessary to expertly analyze and communicate critical business data to key decision-makers.

Students will develop their quantitative and analytical skills by blending business classes in areas such as finance, economics and statistics with aviation-related courses in subjects such as air transportation management and airline economics.

Embry-Riddle’s unique program emphasizes application over theory by combining the study of aerospace business with data analytics. Students will learn how to approach, analyze and communicate information in order to develop better business practices and results.

Available at Embry-Riddle’s Daytona Beach Campus, this degree is ideal for those who want to use their data and analytical skills to work in the aerospace and aviation sectors. The curriculum is focused on producing expert analysts who possess the creative thinking and problem-solving skills needed to succeed in business.",,https://erau.edu/degrees,The Master of Science in Aerospace Business Analytics is accredited by the Association of Collegiate Business Schools and Programs (ACBSP).,,$762 per credit hour,,,,4.0,2.5,,,,,,,,,,,22860,,,,,,,,,,,105.0,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,"$1,000 - $1,500",,"Merit-based, Need-based",,,,,,,
