Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Required,"Applicants must submit either the Coalition Application or Common Application. The application checklist includes: Application Fee or Fee Waiver, Official High School Transcript, School Profile, Counselor Recommendation, Two Teacher Recommendations from teachers who taught you in academic disciplines, Mid-Year Report, and Columbia-Specific Application Questions. For international students, English Proficiency Test Scores may be required. Standardized test scores (SAT/ACT) are optional for the 2023-2024 and 2024-2025 application cycles.",Required,True,True,True,False,False,,,program,Bachelor of Science in Applied Mathematics,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,
Not Required,Not Required,"Prospective students apply for admission to The Fu Foundation School of Engineering and Applied Science, not to a specific major. Required application components include the Common Application or Coalition Application, Columbia-Specific Application Questions, an official high school transcript, a school profile, a counselor recommendation, and a Mid-Year Report. Applicants to the engineering school are required to have one recommendation from a math or science teacher, in addition to one other teacher recommendation. An application fee or fee waiver is necessary. For the 2023-2024 application cycle, standardized test scores (SAT or ACT) are optional. International applicants for whom English is not their native language may need to provide proof of English proficiency.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Applied Physics,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,
Not Required,Required,"All first-year applicants must submit either the Coalition Application or the Common Application. In addition to the application, the following materials are required: an application fee or fee waiver, an official high school transcript, a school profile, a counselor recommendation, two teacher recommendations from teachers who taught you in academic disciplines, and a Mid-Year Report. All applicants must also answer the Columbia-Specific Application Questions.",Not Required,True,True,True,False,False,,,program,Bachelor of Science in Biomedical Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,
,,,,,,,,,,,error,Bachelor of Science in Chemical Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Required,"To apply as a first-year student, applicants must submit either the Coalition Application or the Common Application. Required components include the application form, answers to Columbia-specific questions, official high school transcripts from all schools attended, a recommendation from a high school counselor along with a school profile, and one recommendation from a teacher in a core academic subject (English, social studies, science, math, or foreign language). A Mid-Year Report is also required. Submission of SAT or ACT scores is optional. Non-native English speakers may need to provide English proficiency test scores. An application fee or a fee waiver must be submitted to complete the application.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Civil Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,
,,,,,,,,,,,error,Bachelor of Science in Computer Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Science in Computer Science,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Science in Earth and Environmental Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Science in Electrical Engineering,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Science in Engineering Management Systems,https://undergrad.admissions.columbia.edu/academics/engineering/majors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
