Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Minor in Biology-Behavior and Society,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,"$58,390/Year",,,,,,,,,https://www.clarkson.edu/academics/majors-minors,,51901,1946,,,,4.0,2.0,,801-850,,,,,,,,,"$58,390/Year",,,,,,,,,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,"$20,000 - $28,000 per year",,Merit-based,,,,,,,
,Minor in Biomedical Engineering,,,,,,,,,,,,,,,,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Wallace H. Coulter School of Engineering,"$61,230/Year",,,,,,,"The minor in biomedical engineering provides students with a fundamental understanding of engineering principles as they apply to human health and disease. Biomedical engineering encompasses a broad range of activities, including the design of medical instruments, artificial organs, and prostheses; the development of new diagnostic and therapeutic techniques; and research into the biomechanics of physiological systems. Students completing the minor will gain exposure to at least three of the following areas: biomechanics, biomaterials, biomedical imaging, medical instrumentation, cellular and tissue engineering, and systems physiology. The minor is flexible, allowing students to tailor their coursework to their interests, and can be easily combined with any undergraduate major.",,https://www.clarkson.edu/academics/majors-minors,,,"$2,041/Credit",,True,,4.0,2.0,,494,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,"$20,000 up to full tuition annually",,Merit-based,,,,,,,
,Minor in Biomedical Science and Technology,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,59182/Year,,,,,,,"The biomedical science and technology minor at Clarkson University allows undergraduate students with interests in healthcare, medicine and human health to acquire knowledge in biomedical sciences and technology that will prepare them for further studies in medical school or graduate programs, or for careers in the medical device, biomedical and biotechnology industries. This minor is open to all majors, but is particularly applicable to students in engineering, chemistry and biology. The minor is offered by the Department of Biomedical Engineering and consists of a minimum of 15 credits. Students must have a GPA of at least 2.0 in the courses used to satisfy the minor requirements. Specific course requirements are determined with the minor adviser.",,https://www.clarkson.edu/academics/majors-minors,,,1973/credit hour,,,,4.0,2.0,,,,,,,,,,,59182/Year,,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,20000 - 34000,,Merit-based,,,,,,,
,Concentration in Biomolecular Engineering,,,,,,,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Wallace H. Coulter School of Engineering,61284,,,,,,Biomolecular Engineering,"The biomolecular engineering concentration allows students interested in the life sciences to apply chemical engineering fundamentals to solve biological problems. Students can focus on topics such as the development of biomaterials, bioprocess design, drug delivery systems and tissue engineering. They may pursue careers in industries related to biotechnology, pharmaceuticals, food and agriculture, and medicine or pursue graduate studies in biomolecular engineering, biomedical engineering, or other life science-related disciplines.",,https://www.clarkson.edu/academics/majors-minors,"The Chemical Engineering, BS program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",45700,"$2,043/Credit Hour",,,,4.0,2.0,,,,,,,,,,,61284,,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,"Up to $30,000 annually",,Merit-based,,,,,,,
,Bachelor of Science in Biomolecular Science,,,,,,,,,,Not Required,Required,Not Required,True,"To be considered for admission to Clarkson, you must submit the following: Application (Common Application or Clarkson Application), Official High School Transcript, Letter of Recommendation (from a school counselor, teacher or someone who can speak to your academic ability).",Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,61044,,,,,,,"This program at Clarkson University focuses on understanding the molecular basis of biological processes and diseases. Students explore topics such as biochemistry, genetics, cell biology, and molecular pharmacology. The curriculum combines theoretical knowledge with hands-on laboratory experience, preparing students for careers in research, biotechnology, pharmaceuticals, and healthcare.",,https://www.unirank.org/guides/university-programs-courses/bachelor-of-biomolecular-science/,,"over $36,000",,,True,,4.0,2.0,,,,,,,,,,,"$61,044/Year",,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,"Up to $30,000+ per year",,Merit-based,,,,,,,
,Minor in Business,,,,,,Fall 2026,,,,,,Not Required,True,,,,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Reh School of Business,61096/Year,,,,,,,"A minor in business will provide you with a solid foundation in the principles of business, including accounting, finance, management, marketing and operations. No matter what your major, a business minor can enhance your career opportunities, give you the option to pursue a Master of Business Administration (MBA) or help you start your own business. With a business minor at Clarkson, you will broaden your career prospects by combining your specialized skills with business knowledge to open up a wider range of job opportunities. You will become a well-rounded professional, gaining a holistic understanding of how businesses operate, improving your decision-making and problem-solving abilities. You will also develop leadership and entrepreneurship skills to manage projects, lead teams and innovate. A business minor can be a valuable stepping stone toward an MBA, providing you with a strong academic foundation, and you will have networking opportunities to connect with business professionals, faculty, and peers, expanding your network. In the business minor, you will learn about Accounting, Finance, Management, Marketing, and Operations Management.",,https://www.clarkson.edu/academics/majors-minors/business,,48095,2037,,False,,4.0,2.0,,,,,,,,,,,61096/Year,,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,"Up to $30,000 per year",,Merit-based,,,,,,,
,Bachelor of Science in Business Administration,,,,,,Fall 2026,,"August 1, 2025","January 15, 2026",,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Reh School of Business,"$61,232/Year",,,,,,,"Business Administration is the broadest and most flexible major in the Reh School of Business, allowing students to combine a foundational business core with coursework from a variety of business fields or other disciplines at Clarkson. Students majoring in Business Administration at Clarkson can choose to declare a concentration in one of the eight business fields, including accounting, digital marketing, economics, entrepreneurship, financial information and analysis, global supply chain management, innovation and entrepreneurship, or human resource management. Many students also pursue a minor or a double major in one of Clarkson’s non-business fields. The Business Administration major is ideal for students with strong communication, problem-solving, and analytical skills and an interest in applying these skills across a variety of business functions.",,https://www.clarkson.edu/academics/majors-minors,Accredited by AACSB International (The Association to Advance Collegiate Schools of Business),,"$2,041/Credit Hour",,,,4.0,2.0,,,,,,,,,,,"$61,232/Year",,,,,,,,,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,"$20,000 to $45,000 annually",98%,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Business Analytics,,,,,,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,Reh School of Business,"$60,576/Year or $30,288/Semester",,,,,,,"Data is everywhere, and businesses are collecting more and more of it every day. But having data isn’t enough. To be useful, data must be interpreted and applied to make better decisions. The Business Analytics program at Clarkson University provides students with the critical skills needed to analyze data, identify trends, and develop strategies that lead to success. From uncovering valuable insights to optimizing business operations, Business Analytics professionals are essential for any organization to thrive in today’s data-driven economy. As a Business Analytics major, you’ll dive into a curriculum that blends quantitative methods, computer science, and business knowledge. You will learn to use analytical tools, develop predictive models, and communicate data-driven insights effectively. This interdisciplinary approach ensures you are well-equipped to tackle complex business challenges and drive strategic decisions across various industries. Real-World Projects: Work on projects that simulate real business challenges, applying your analytical skills to practical problems. Industry Partnerships: Benefit from our strong connections with leading companies, offering internship and career opportunities. Expert Faculty: Learn from professors who are not only experts in their fields but also dedicated mentors committed to your success. State-of-the-Art Tools: Gain hands-on experience with the latest analytics software and technologies used in the industry. Career-Focused Curriculum: Our program is designed to prepare you for high-demand roles in data analytics, business intelligence, consulting, and more.",,https://www.clarkson.edu/academics/majors-minors,Accredited by AACSB International,"Over $48,000","$2,019",,,,4.0,2.0,66%,,,,,,,,,,60576,,,,,,,,,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,"$18,000 to $30,000 annually",99% of students receive financial aid,"Merit-based, Specialty scholarships",,,,,,,
,Bachelor's Degree in Business of Biotechnology,,,,,,Fall 2026,,,,Not Required,Required,Not Required,True,We require the following items for a complete application: The Common Application or the Clarkson Application; Official High School Transcript; One Letter of Recommendation; Personal Essay.,Not Required,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences and Reh School of Business,"$58,360/Year",,,,,,,"The Bachelor of Science degree in Business of Biotechnology provides students with the foundational scientific knowledge (biology, chemistry, and physics) and essential business skills to succeed in the rapidly growing biotechnology industry. Students will acquire a strong understanding of the biotechnology ecosystem, including research and development, intellectual property, regulatory affairs, manufacturing, and commercialization strategies. Graduates will be prepared for a variety of roles in the biotechnology sector, including product development, marketing, sales, business development, regulatory affairs, and project management. This interdisciplinary program integrates coursework from biology, chemistry, business, and liberal arts, ensuring a well-rounded education. Our strong emphasis on experiential learning, including internships, co-ops, and research opportunities, provides students with practical, real-world experience.",,https://www.clarkson.edu/academics/majors-minors,,"over $48,000","$1,946",,True,,4.0,2.0,,751-800,,,,,,,,,,,,,,,,False,False,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,"$15,000 up to $45,000 annually",,Merit-based,,,,,,,
,Bachelor of Science in Business Studies,,,,,BS,Fall 2026,,,,,,Not Required,True,,,,,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,David D. Reh School of Business,"$59,290/Year",,,,,,,"Clarkson University's Bachelor of Science (BS) in Business Administration major prepares students for successful careers in business across various industries and roles. Students gain a strong foundation in core business functions, including accounting, finance, marketing, management and operations. The program emphasizes critical thinking, problem-solving, communication and teamwork, equipping graduates with the skills necessary to adapt to an evolving global business landscape. Students can choose from nine concentrations: Accounting, Business Analytics, Entrepreneurship & Innovation, Financial Information & Analysis, Global Business, Information Systems & Business Processes, Innovation & Supply Chain Management, Marketing and Sustainability in Business. This flexibility allows students to tailor their studies to their interests and career aspirations. With a focus on real-world application, students engage in experiential learning opportunities, such as internships, case competitions and capstone projects, preparing them to make an immediate impact upon graduation.",,https://www.clarkson.edu/majors-minors/business-administration-major,"The Business Programs are accredited by AACSB International, The Association to Advance Collegiate Schools of Business.","over $51,000","$1,976",,,,4.0,2.0,76%,,,,,,,,,,59290/Year,,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,"$15,000 to $40,000 annually",,"Merit-based, Need-based",,,,,,,
