Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGRERequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Bachelor of Science in Bioengineering,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"Our review process is holistic, and we consider many factors. We look for students who have challenged themselves in high school, both in their coursework and through their extracurricular activities, and who will contribute to Northeastern’s diverse community. The application checklist includes: Common Application or Coalition Application, Northeastern University Questions, Official High School Transcript, Secondary School Report, Counselor Recommendation, Teacher Recommendation, Personal Essay (part of Common Application or Coalition Application), Test Scores (optional), English Language Proficiency (if applicable), Financial Aid Application Materials (if applicable), Fine Arts Supplement (optional).",Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,,,,College of Engineering,,,,,,,,"The Bachelor of Science in Bioengineering program combines engineering sciences with biological sciences, preparing graduates to apply engineering principles to problems in biology and medicine. This interdisciplinary curriculum encompasses a broad range of subjects, including biomechanics, biomaterials, cellular and tissue engineering, medical imaging, computational modeling, and instrumentation. Students develop a strong foundation in mathematics, physics, chemistry, and biology, coupled with specialized engineering coursework and hands-on laboratory experiences. The program emphasizes problem-solving, critical thinking, and design, often in collaboration with healthcare institutions and industry partners through Northeastern's renowned co-op program. Graduates are equipped for diverse careers in the biomedical industry, research and development, healthcare, regulatory affairs, or for further graduate studies in bioengineering, medicine, or related fields. The program's objectives are to produce graduates who can solve complex engineering problems in biological and medical systems; design and conduct experiments, analyze and interpret data; apply engineering design to produce solutions that meet specified needs; communicate effectively with a range of audiences; recognize ethical and professional responsibilities in engineering situations; and understand the impact of engineering solutions in a global, economic, environmental, and societal context.",,https://catalog.northeastern.edu/undergraduate/engineering/bioengineering/,"The Bioengineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,,,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.5,,,68.0,,99.0,,,,,,,,,,,,,"Merit-based scholarships, Need-based grants",,,,,,,
,Bachelor of Science in Chemical Engineering,,,,,Undergraduate,,,,,Not Required,Required,,,"To apply as a first-year student, you will need to submit the following:
*   Common Application or Coalition Application
*   Official High School Transcript
*   Secondary School Report and Counselor Recommendation
*   Teacher Evaluation
*   Northeastern Supplement
*   Early Decision Agreement (if you are applying Early Decision I or Early Decision II)
*   English Proficiency Exam (if applicable)
*   SAT/ACT Scores (optional for the 2024–2025 and 2025–2026 application cycles)",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Engineering,"$62,392/Year",,,,,,,"The Bachelor of Science in Chemical Engineering program prepares students to apply chemical engineering principles, methods, and tools to complex, open-ended problems in a wide range of fields. Students gain a fundamental understanding of chemical engineering through study of material and energy balances, thermodynamics, fluid mechanics, heat and mass transfer, and chemical reaction engineering, and apply these principles in a state-of-the-art laboratory and design sequence. The curriculum emphasizes the application of quantitative reasoning, analysis, and synthesis to the design of chemical processes and products. Graduates are prepared for careers in the chemical, energy, environmental, materials, pharmaceutical, and biotechnology industries, and for graduate studies in engineering, science, business, or law.",,https://catalog.northeastern.edu/undergraduate/engineering/chemical/chemical-engineering-bsche/,"The Bachelor of Science in Chemical Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,"$2,080",,True,,4.0,2.0,,,,,,,,,,,"$62,392/Year",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor of Science in Civil Engineering,,,,,Undergraduate,Fall 2026,,August 2025,,Not Required,Required,Not Required,Required,"Application (Common Application or Coalition Application with Scoir, which includes an essay/personal statement), Application Fee ($75 or fee waiver), Official high school transcripts, Counselor Recommendation and Secondary School Report, One Teacher Recommendation, Standardized Test Scores (Optional), English Language Proficiency (if applicable), Midyear Report (if applicable).",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Engineering,"$31,560/semester",,,,,,,"The Civil Engineering undergraduate program leads to a Bachelor of Science (BS) degree. This comprehensive program prepares students for professional practice in the planning, design, and construction of buildings, bridges, and other structures; water resources and environmental facilities; and transportation systems. The program provides the necessary background for students to pursue advanced degrees in civil engineering or related fields. Our Civil Engineering curriculum prepares students to apply knowledge of mathematics, science, and engineering; design and conduct experiments, analyze and interpret data; design a system, component, or process to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability; function on multidisciplinary teams; identify, formulate, and solve engineering problems; understand professional and ethical responsibility; communicate effectively; obtain the broad education necessary to understand the impact of engineering solutions in a global, economic, environmental, and societal context; recognize the need for, and an ability to engage in, life-long learning; and know of contemporary issues.",,https://admissions.northeastern.edu/academics/areas-of-study/,"The undergraduate Civil Engineering program is accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.","$16,000 annually","$2,630 per semester hour",,True,,4.0,2.0,6%,170,,,,,,,,,"$31,560/semester",,,,,,,False,False,,,130.0,,,,7.5,,,68.0,,100.0,,,,,,,,,,,"$10,000 to $28,000 annually",,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Computer Engineering,,,,,Undergraduate,,,,,Not Required,Required,,,"Common Application or Coalition Application with Northeastern Supplement, Official High School Transcript(s), College Report (if applicable), Standardized Test Scores (Optional for Fall 2024, Fall 2025, and Fall 2026), Two Letters of Recommendation from secondary school teachers or a secondary school counselor, Early Decision Agreement (if applicable), English Language Proficiency Test Scores (if applicable).",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,,"Computer engineering is a discipline that bridges electrical engineering and computer science. It combines a broad foundation in computing, science, and mathematics with an understanding of electrical engineering principles. Students learn how to design, build, and operate computer hardware and software systems and how to apply this knowledge to a wide variety of career paths. They acquire core knowledge in areas such as computer architecture, digital system design, embedded systems, software engineering, and computer networks, with opportunities for further specialization through technical electives. Experiential learning is a cornerstone of the Northeastern experience, and computer engineering students have abundant opportunities to participate in co-op, research, and global experiences. These experiences provide students with a competitive edge, preparing them for careers in industry or for graduate studies.",,https://catalog.northeastern.edu/undergraduate/engineering/electrical-computer/computer-engineering-bscompe/,The BS in Computer Engineering is accredited by the Engineering Accreditation Commission of ABET.,,"$2,055/Credit Hour",,True,,4.0,2.0,,,,,,,,,,,"$30,830/Semester",,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Electrical Engineering,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,"To apply to Northeastern, you’ll submit the Common Application or Coalition Application, which includes:
* Application
* Application Fee or Fee Waiver
* Secondary School Transcript(s)
* Counselor Recommendation and School Report
* Teacher Recommendation
* Standardized Testing (Optional for Fall 2024, Fall 2025, and Fall 2026 applicants)
* English Language Proficiency (If Applicable)",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,"Electrical Engineering, Computer Engineering","Electrical engineering is one of the broadest and most fundamental branches of engineering. Electrical engineers design, develop, test, and supervise the deployment of electrical systems and electronic devices. As such, electrical engineering is at the heart of the digital revolution, contributing significantly to modern computing, wireless communications, and the internet. The Department of Electrical and Computer Engineering at Northeastern offers a Bachelor of Science in Electrical Engineering that encompasses the broad range of topics covered by the discipline. Students in this program take a sequence of courses that provide a strong background in mathematics and physics, as well as the fundamental theory and design methods of electrical engineering. These core topics are complemented by courses that allow students to delve more deeply into subdisciplines such as micro- and nano-electronics, electromagnetics, solid-state devices, power engineering, communications, signal processing, and control systems. Students can also elect to pursue concentrations in areas such as computer engineering, electrical engineering, and robotics. All students are encouraged to engage in research and entrepreneurial activities and to consider the global and societal impacts of their work. Students who complete the electrical engineering curriculum will receive a Bachelor of Science in Electrical Engineering.",,https://catalog.northeastern.edu/undergraduate/engineering/electrical-computer/,"The Bachelor of Science in Electrical Engineering program is accredited by the Engineering Accreditation Commission of ABET, www.abet.org.",,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,6.5,,,62.0,,90.0,,,,,,,,,,,,,,,,,,,,
,Bachelor of Science in Environmental Engineering,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"To ensure we can provide an equitable review of all applications, we utilize a holistic review process that evaluates candidates’ academic preparedness, personal qualities, and interest in Northeastern. The information gathered from the materials below helps us consider all aspects of a student’s candidacy.

Required Materials:
* Common Application or Coalition Application
* Secondary School Transcript
* School Report
* Counselor Recommendation
* Teacher Recommendation
* Essay (Personal Statement)
* Application Fee or Fee Waiver
* Official Test Scores (SAT/ACT) - Test-Optional for Fall 2024, Fall 2025, and Fall 2026 applicants.

Optional Materials:
* College of Arts, Media and Design (CAMD) Supplemental Application
* Portfolio
* Resume
* Additional Recommendation
* Supplemental Essay
* Interview",Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,,"The Bachelor of Science in Environmental Engineering prepares students for careers in environmental protection and sustainability. Environmental engineers apply scientific and engineering principles to protect and improve the environment, control air and water pollution, manage solid and hazardous waste, design sustainable water resources systems, and address public health issues. Environmental engineers work on diverse projects in both the public and private sectors, including the design of water and wastewater treatment plants, municipal solid waste management facilities, air pollution control systems, and hazardous waste remediation sites. They also develop strategies for sustainable urban development, environmental impact assessments, and resource recovery.

The program includes a strong foundation in mathematics, physics, chemistry, and biological sciences, followed by core environmental engineering courses. These courses cover topics such as environmental chemistry, fluid mechanics, water and wastewater treatment, air pollution control, solid and hazardous waste management, and hydrology. Students also gain practical experience through laboratory work, design projects, and the university’s cooperative education program (co-op).

The curriculum is designed to meet the requirements for professional engineering licensure and provides a broad background for graduates seeking employment in environmental consulting, government agencies, industry, and research organizations. Graduates are well-prepared for entry-level positions and for continued graduate studies in environmental engineering or related fields.",,https://catalog.northeastern.edu/undergraduate/engineering/civil-environmental/environmental-engineering-bsenve/environmental-engineering-bsenve.pdf,,,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,130.0,,,,7.5,,,68.0,,99.0,,,,,,,,,,,,,Merit-based,,,,,,,
,Bachelor of Science in Industrial Engineering,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,,"Industrial engineering is concerned with the design, improvement, and installation of integrated systems of people, materials, information, equipment, and energy. It draws upon specialized knowledge and skill in the mathematical, physical, and social sciences, together with the principles and methods of engineering analysis and design, to specify, predict, and evaluate the results to be obtained from such systems.
The curriculum is designed to give the student a strong foundation in mathematics, physics, and chemistry, and the general education requirements allow exploration of a variety of areas of human knowledge. The first two years are concerned primarily with the fundamental engineering sciences. In the upper-level courses, the student is introduced to the areas of design and analysis of industrial production and distribution systems, management systems, engineering economy, human factors, quality control, operations research, information systems, and simulation. The courses involve quantitative and qualitative approaches, as well as laboratory experience. These courses are supplemented by electives in the areas of computer science, humanities, and social sciences.",,https://catalog.northeastern.edu/undergraduate/engineering/mechanical-industrial/bsie/,"All undergraduate programs in the Northeastern University College of Engineering are accredited by the Engineering Accreditation Commission of ABET, https://www.abet.org.",,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,130.0,,,,7.5,,,68.0,,99.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Mechanical Engineering,,,,,Undergraduate,Fall 2026,,,,Required,Required,,,"For First-Year applicants to Northeastern University, the application requires: Common Application or Coalition Application, Secondary School Report and Transcript, Counselor Recommendation, Teacher Recommendation, Essay (via Common Application or Coalition Application), and an Activity List or Résumé. SAT/ACT scores are optional for applicants applying for Fall 2024, Fall 2025, and Fall 2026 entry. English Proficiency is required if applicable.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,,,,,,,"Mechanical engineering is one of the broadest and most fundamental engineering disciplines. Mechanical engineers use the principles of motion, energy, and force to design, develop, and manufacture a wide range of products for virtually every industry. Mechanical engineers are involved in all aspects of mechanical device design, analysis, and fabrication, including concept, design, analysis, prototyping, and testing. Examples of products include components for aircraft, automobiles, energy-generation systems, robots, biomechanical devices, and high-tech equipment. Mechanical engineering is a continually evolving discipline that requires the integration of computers, electronics, and controls for the design and operation of electro-mechanical systems. Northeastern’s curriculum for mechanical engineering focuses on the fundamentals of mechanics, thermodynamics, and design while providing students the flexibility to pursue in-depth study in a number of areas, including aerospace, mechatronics, and biomechanics. The program also features extensive laboratory experience and opportunities for co-op experiences and research. In addition, students have the opportunity to participate in a five-year BS/MS program.",,https://catalog.northeastern.edu/undergraduate/engineering/mechanical-industrial/bsme/,The Bachelor of Science in Mechanical Engineering program is accredited by the Engineering Accreditation Commission of ABET.,,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Need-based, Federal, State, Private",,,,,,,
,Bachelor of Arts in Computer Science,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"Common Application or Coalition Application which includes your Personal Essay, School Report and Counselor Recommendation, Teacher Recommendation, Transcripts, SAT or ACT (optional), English Language Proficiency (if applicable), Fine Arts Portfolio (if applicable), Khoury College of Computer Sciences Program Interest Form (if applicable)",Not Required,,True,True,True,False,False,False,False,True,False,False,False,True,True,True,False,False,,,,Khoury College of Computer Sciences,"$30,960 per semester (for full-time, 12-16 semester hours, 2023-2024 academic year)",,,,,,,"The Bachelor of Arts in Computer Science program is designed for students who desire a strong foundation in computer science and also wish to combine it with a substantial amount of study in another area. This program allows students to develop an understanding of the theoretical and practical foundations of computing and to explore another field of interest in depth, creating a powerful combination of skills and knowledge. The BA in Computer Science is a solid preparation for either graduate study in computer science or a career in which the abilities to design and implement computational solutions and to understand their broader context are important. Students who complete the BA in Computer Science will be well positioned to pursue careers in computing or in fields where computing knowledge is a valued asset.",,https://catalog.northeastern.edu/undergraduate/computer-information-science/computer-science/bacs/,,,"$2,580 per semester hour",,False,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,120.0,,,,7.5,,,68.0,,99.0,,,,,,,,,,,,,"Merit scholarships, Need-based institutional grants, Federal Pell Grants, Federal Supplemental Educational Opportunity Grants (FSEOG), Iraq and Afghanistan Service Grants, TEACH Grants, Massachusetts State Scholarship",,,,,,,
,Bachelor of Science in Computer Science,,,,,Undergraduate,,,,,Not Required,Not Required,Not Required,Required,"Required Materials for First-Year Applicants:
*   Common Application or Coalition Application with Northeastern University Questions
*   Official secondary school transcript(s)
*   Secondary school report and counselor recommendation
*   Two teacher recommendations
Optional Materials:
*   Standardized Test Scores (SAT/ACT) – Northeastern is test-optional for students applying for Fall 2024 and beyond.
*   English Language Test Scores (if applicable)
*   Arts and Athletics Portfolios (if applicable)",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,College of Computer and Information Science,"30,900/Semester",,,,,,,"Computer science involves the design and implementation of efficient software and hardware, the development of new ways to use computers, and the scientific study of computational problems. Areas of study include programming languages, operating systems, software engineering, databases, artificial intelligence, networking, scientific computation, computer vision, cybersecurity, and computer architecture. Northeastern’s program, which emphasizes the principles of computation, helps students acquire skills in critical thinking, abstract reasoning, and problem solving. These skills provide a strong foundation for careers in business, industry, and government, as well as for graduate study in computer science.",,https://catalog.northeastern.edu/undergraduate/computer-information-science/computer-science/,,,"2,575/semester hour",,True,,4.0,2.0,,,,,,,,,,,"30,900/Semester",,,,,,,False,False,,,120.0,,,,7.5,,,68.0,,99.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Bachelor of Science in Information Science,,,,,Undergraduate,Fall 2026,,,,Required,Required,Not Required,Not Required,"Submit an application, including a nonrefundable application fee. Submit official transcripts from all colleges and universities attended. Submit an essay that addresses the topic described in the application. Submit a current résumé highlighting professional work experience. Submit a letter of recommendation from an employer or supervisor. Schedule an interview with an admission counselor. Submit official high school transcripts or a GED (Only required if you have less than 12 transferable college credits). Proof of English proficiency for international applicants. Applicants must have a high school diploma or GED, demonstrated academic success in previous college coursework (if applicable), and at least three years of professional work experience.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,College of Professional Studies,,,,,,,,"The Bachelor of Science in Information Technology prepares students for a career in information technology with the knowledge and skills necessary to design, implement, and manage secure and scalable information systems to solve real-world problems. The program focuses on critical areas, including database management, programming, networking, web development, cybersecurity, and cloud computing. Students gain hands-on experience through practical projects and a capstone experience, ensuring they are well-prepared to meet the demands of the evolving IT landscape.",,https://catalog.northeastern.edu/professional-studies/bachelors-postbaccalaureate/lowell-institute-school/information-technology-bs/,,,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"University Scholarship, Dean’s Scholarships, Boston Public Schools Scholarship",,,,,,,
,Applied Physics,,,,,Undergraduate,,,,,Not Required,Required,Not Required,Required,"Submission of either the Common Application or Coalition Application with Scoir, Official Secondary School Transcript(s), Secondary School Report and Counselor Recommendation, Teacher Recommendation, and English Proficiency (if applicable). The Common Application and Coalition Application with Scoir include an essay.",Not Required,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Science,"30,500/Semester",,,,,,,"This interdisciplinary program gives students a rigorous foundation in physics and mathematics combined with practical applications that range from materials science to nanotechnology and quantum computing. Students learn to apply fundamental physical principles to create new technologies, devices, and systems. Graduates are prepared for careers in a wide range of fields including quantum computing, semiconductor manufacturing, and sensor technology, or for graduate studies in applied physics, materials science, or engineering.",,https://catalog.northeastern.edu/undergraduate/science/physics/applied-physics-bs/,,,"2,080/semester hour",,True,,4.0,2.0,,,,,,,,,,,"30,500/Semester",,,,,,,False,False,,,120.0,112.0,,,6.5,,,62.0,,92.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Behavioral Neuroscience,,,,,Undergraduate,Fall 2026,,,,,,Not Required,Required,,,,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,College of Science,30960/Semester or 61920/Year,,,,,,,"The Behavioral Neuroscience program combines biology, psychology, chemistry, and other disciplines to understand the structure and function of the nervous system and its relationship to behavior. Students in this program will study the nervous system at various levels of analysis (molecular, cellular, systems, behavioral, and cognitive) through a combination of coursework and hands-on research experiences. This rigorous, interdisciplinary major prepares students for careers in neuroscience, medicine, and other health professions, as well as for graduate study in neuroscience, psychology, and related fields.",,https://cos.northeastern.edu/nucos-department/behavioral-neuroscience/,,,2064,,True,,4.0,2.0,6.31% (for Fall 2022),139,,,,,,,,,30960/Semester or 61920/Year,,,,,,,False,False,,,115.0,,,,7.0,,,,,90.0,,,,,,,,,,,,,"Merit-based, Need-based",,,,,,,
,Biochemistry,,,,,Undergraduate,,,,,,Not Required,,,"Applications will be reviewed once all materials are received. Required materials include: Official High School Transcript(s), Counselor Recommendation, Teacher Recommendation. Standardized Test Scores (SAT/ACT) are optional for the 2024–2025 application cycle. TOEFL/IELTS/Duolingo English Test Scores are required for international applicants who have not studied in an English-speaking environment. Optional materials include: Supplemental Essay.",,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,College of Science,,,,,,,,"The interdisciplinary biochemistry program is designed for students who desire a strong foundation in chemistry and biology. Biochemistry uses the tools of chemistry to understand biological processes at the molecular and cellular levels. It is one of the most rapidly developing areas in science, providing fundamental information about life processes. The biochemistry curriculum is designed to prepare students for careers in medicine, biotechnology, pharmacology, clinical chemistry, government, and industry, as well as for graduate study in biochemistry, chemistry, and other health sciences. The program is administered jointly by the Department of Chemistry and Chemical Biology and the Department of Biology in the College of Science. Students pursuing this degree will register with a primary affiliation in either the Department of Chemistry and Chemical Biology or the Department of Biology and follow the same curriculum.",,https://catalog.northeastern.edu/undergraduate/science/interdisciplinary/biochemistry-bs/biochemistry-bs.pdf,,,,,True,,4.0,2.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
