Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Not Required,Not Required,"General admission requirements include a completed application, an official high school transcript (or GED scores), and official transcripts from any colleges or universities attended. For students with 0-11 hours of college credit, a cumulative high school GPA of at least 2.0 on a 4.0 scale is required. The university considers multiple factors in admission decisions, including high school records, standardized test scores, extracurricular activities, honors, and personal contact with the student. [2]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Accounting,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,"A completed Application.
An official high school transcript with the grade point average computed on a 4.0 scale. GED students must provide official scores from the General Education Development Test (GED);
Official transcripts from relevant colleges/universities attended. [2]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Art,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,,Not Required,False,False,False,,,,,program,Bachelor of Science in Art - Art Education P-12,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,,,,,,,,institute,Bachelor of Science in Biology,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,"To apply for undergraduate admission at the University of the Cumberlands, you must submit an online application and provide official high school transcripts or GED scores. While a minimum GPA of 2.0 is generally expected for good academic standing, applicants with a lower GPA may be considered for admission on a probationary basis. The university has a test-optional policy, which means that ACT or SAT scores are not mandatory for admission. However, they are recommended for scholarship consideration and for placement in appropriate-level courses.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Biology - Pre-Medical Science,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,False,False,False,,,,,program,Bachelor of Science in Business,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,False,False,False,,,,,program,Bachelor of Science in Chemistry,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,"The Office of Admissions utilizes a holistic review process. The primary factors considered are the applicant's academic record, including rigorous course selection, grade trends, and cumulative unweighted GPA. Secondary factors include information shared through application prompts regarding extracurricular activities, personal strengths, talents, and experiences.",Not Required,True,False,False,False,False,,,program,Bachelor of Arts in Coaching,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,,Not Required,True,False,False,,,,,program,Bachelor of Science in Business Administration,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,"The university uses a holistic review process for admissions. The primary factors considered are the applicant's academic record, including rigorous course selection, grade trends, cumulative unweighted GPA, and satisfactory completion of high school graduation requirements. [1] Secondary factors include information shared by the applicant about their experiences, talents, and strengths outside of the classroom. [1]",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Communication Arts,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,"To be considered for admission to the University of the Cumberlands' on-campus undergraduate programs, applicants should have a high school GPA of at least 2.0. The university also considers recommendations from school counselors and teachers. While not mandatory for all, an interview with an admissions counselor may be requested. The application process is free.",Not Required,True,False,False,False,False,,,program,Bachelor of Science in Criminal Justice,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,,Not Required,True,False,False,,,,,program,Bachelor of Science in Education,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,False,False,False,False,False,,,none,Associate of Arts,https://www.ucumberlands.edu/academics/undergraduate,False,
Not Required,Not Required,,Not Required,True,False,False,,,,,program,Associate of Science,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,,Not Required,True,False,False,,,,,program,Bachelor of Science in Elementary Education P-5,https://www.ucumberlands.edu/academics/undergraduate,,
Not Required,Not Required,All Undergraduate Applicants Must Submit: A completed Application. An official high school transcript with the grade point average computed on a 4.0 scale. GED students must provide official scores from the General Education Development Test (GED); Students with 0-11 hours of college credit must submit an official high school transcript showing a cumulative GPA of at least 2.0 on a 4.0 scale. [2],Not Required,True,True,False,False,False,,,program,Bachelor of Science in English,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,False,False,False,,,,,program,Bachelor of Science in English - Education,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,False,False,False,False,False,,,none,Bachelor of Science in Fitness & Sport Management,https://www.ucumberlands.edu/academics/undergraduate,False,
,,,,,,,,,,,error,Bachelor of Science in General Business,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in History and Political Science,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,False,False,False,,,,,program,Bachelor of Science in Human Services,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,,,,,,,,error,Bachelor of Applied Science in Human Services - Addictions,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
Not Required,Not Required,,Not Required,True,False,False,,,,,program,Bachelor of Science in Information Technology,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,,,,,,,,error,Bachelor of Science in Mathematics,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in Middle School Education,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in Missions and Ministry,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Music,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in Nursing,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
Not Required,Not Required,A specific program for 'Bachelor of Science in Peer Support' was not found on the University of the Cumberlands website. The general admission requirements for undergraduates are a completed application and official transcripts from high school (or GED) and any colleges/universities attended.,Not Required,True,True,False,False,False,,,program,Bachelor of Science in Peer Support,https://www.ucumberlands.edu/academics/undergraduate,,
,,,,,,,,,,,error,Bachelor of Science in Physics,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in Psychology,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,,,,,,,,error,Bachelor of Science in Public Health,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
,,,,False,False,False,False,False,,,none,Bachelor of Science in Social Work,https://www.ucumberlands.edu/academics/undergraduate,False,
,,,,,,,,,,,error,Bachelor of Science in Spanish,https://www.ucumberlands.edu/academics/undergraduate,,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'Resource exhausted. Please try again later. Please refer to https://cloud.google.com/vertex-ai/generative-ai/docs/error-code-429 for more details.', 'status': 'RESOURCE_EXHAUSTED'}}"
