Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
"Accounting, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Accounting, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"All applications must be submitted online by December 15, 2024. Required application materials include: Application Fee ($80), Resume or CV, Personal Statement, Three letters of recommendation, Unofficial transcripts from all undergraduate and graduate institutions you have attended, and TOEFL or PTE scores for international applicants (unless waiver criteria are met). Standardized Test Scores (GMAT or GRE) are optional for the 2024-2025 admissions cycle.",Not Required,True,True,False,True,False,False,,,program,
"Applied Economics, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"We seek students with outstanding academic records and strong quantitative skills. While we admit students from a variety of backgrounds, a typical student will have a strong undergraduate record in economics, mathematics, engineering, or a related field. Some students have also completed master’s degrees, and some have work experience, but neither is required.",Not Required,False,False,False,True,False,False,,,program,
"Artificial Intelligence for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"Required Documents
- Transcripts
- GMAT or GRE scores
- TOEFL scores (if applicable)
- Essays
- Résumé
- Two letters of recommendation",,False,False,,False,False,False,,,program,
"Asset Management/Impact Investing, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The application includes: Background Information, Application Fee, Two Essays, Transcripts, Two Letters of Recommendation, GMAT or GRE Score (a test waiver is available for eligible candidates), English Language Test Score (if applicable), and a one-page Resume.",Not Required,False,False,False,True,False,False,,,program,
"Business Analytics, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Business Economics & Public Policy, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"To be considered for admission, you must submit a completed application, which includes: Background Information, Two Essays, Transcripts (unofficial are accepted for review), Two Letters of Recommendation, GMAT or GRE Score, English Language Test Score (if applicable), Résumé, Application Fee.",Not Required,False,False,True,True,False,False,,,program,
"Business, Energy, Environment and Sustainability, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
"Entrepreneurship and Innovation, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"To be considered for admission, you must submit a completed application, including: Background Information (Self-reported), Application Fee, Essays, One Letter of Recommendation, Transcripts (Self-reported), GMAT or GRE Score, English Language Test Score (if applicable), Resume.",Not Required,False,False,False,False,False,False,,,program,
"Environmental, Social and Governance for Business, MBA",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,"The Wharton MBA application requires background information, an application fee, two essays, unofficial transcripts from all undergraduate and graduate programs, two letters of recommendation, a one-page résumé, and an English language test score for applicants from non-English speaking countries. All applicants must also submit a GMAT or GRE score, though a test waiver may be requested. Interviews are conducted by invitation only.",Not Required,False,False,False,False,False,False,,,program,
"Ethics and Legal Studies, PhD",https://catalog.upenn.edu/graduate/wharton/programs/,Required,Required,Wharton requires that you submit the following items as part of your application: Application Form and Fee; Resume/CV; Essays; Letters of Recommendation; Transcripts; GMAT or GRE; English Language Test (if applicable).,Not Required,False,True,,False,False,False,,,program,
