Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,,,,Masters,Master of Arts in Anthropology,https://grad.uci.edu/admissions/degree-programs/,
"['Social and Cultural Anthropology', 'Anthropologies of Medicine, Science, and Technology (graduate specialization)', 'Feminist Studies (graduate emphasis)', 'Critical Theory (graduate emphasis)', 'Visual Studies (graduate emphasis)', 'Translation Studies (graduate emphasis)']","The Department of Anthropology Ph.D. program at the University of California, Irvine focuses on social and cultural anthropology. [3] Graduate training in anthropology involves a period of long-term, independent fieldwork, generally (though not always) outside the United States, and often conducted in a language other than English. [3] Attentive to our discipline's past and indeed the paradigm of disciplinarity that has structured social inquiry since the early 20th century, our program gives students a breadth of knowledge in traditional anthropology and the traditional subjects of anthropological study. [6] At the same time, we push the boundaries of the discipline and use our ethnographic work to stretch the anthropological imagination. [6] The department provides students with superb training in both theory and method. [3] Areas of teaching emphasis include: the anthropology of modernity and development; political, legal, and economic anthropology; ethnographic method; and the anthropology of science, technology, and medicine. [3] The program involves three years of course work, with the bulk of requirements typically satisfied after the first two. The third year focuses on developing a research proposal and advancing to candidacy. [3] The fourth and often part of the fifth year are for extended anthropological fieldwork, and the sixth year is for writing the dissertation. [3] The department is committed to fostering new and innovative approaches to anthropological inquiry in a pluralistic and intellectually open academic environment. [3, 6]",https://www.anthropology.uci.edu/grad/phd.php,,PhD,PhD in Anthropology,https://grad.uci.edu/admissions/degree-programs/,
,"The Master of Arts program in art history is designed to provide the student with a broad knowledge of the major art historical periods, the scholarly and bibliographical resources, and the methodologies of art history. It also offers an opportunity to investigate art historical problems in some depth. [1] In addition to the regular graduate school application form, applicants to the graduate program in art history are required to submit copies of two research papers that they consider to represent their best work. [1] GRE scores are optional. [1] Applicants for the MA should have a BA major or minor concentration in art history or a related humanities field and a minimum GPA of 3.5. [1] All applicants whose native language is not English, or who have not received a degree from an English-speaking university, must take the Test of English as a Foreign Language (TOEFL); the required minimum score is 100 if Internet-based. [1]",https://www.humanities.uci.edu/arthistory/graduate/ma,,Master of Arts,Master of Arts in Art History,https://grad.uci.edu/admissions/degree-programs/,
,,,,PhD,PhD in Art History,https://grad.uci.edu/admissions/degree-programs/,
"['Critical Theory', 'Curatorial', 'Electronic Art and Design', 'Feminist Studies', 'Asian/American Studies', 'Visual Studies']","The program is designed to provide intensive professional training for independently motivated students wishing to pursue careers in the field of contemporary art. The overall emphasis in the program is on studio production. Experimental and interdisciplinary approaches to art making are emphasized. Students undergo a rigorous course of study combining seminar classes, intensive critique courses, and independent study. [17] The M.F.A. program in Art emphasizes not only the production of works but also critical analysis behind and about art. [16] Throughout the three years in the M.F.A. program, students must take a series of critique seminars. [16] At the end of the second year of study, each M.F.A. candidate's work is reviewed by the entire Art faculty, and at the end of the third year, candidates must mount a thesis exhibition. [16]",https://art.arts.uci.edu/graduate,,M.F.A.,Master of Fine Arts in Art,https://grad.uci.edu/admissions/degree-programs/,
,"The combined Bachelor of Arts and Master of Arts in Asian American Studies is designed for UCI undergraduate students looking to engage in the most critical issues at the forefront of the field. [5] At the conclusion of the program, graduates are trained in interdisciplinary theories and methods for social justice-driven research as well as have developed an understanding of issues facing local, national, and global Asian American communities through first-hand interaction and engagement. [5]",https://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/asianamericanstudies_ma_4-1/,,Master of Arts,Master of Arts in Asian American Studies,https://grad.uci.edu/admissions/degree-programs/,
,,https://www.humanities.uci.edu/classics/,,MA,Master of Arts in Classics,https://grad.uci.edu/admissions/degree-programs/,
,,,,,PhD in Classics,https://grad.uci.edu/admissions/degree-programs/,Failed to parse JSON response
,"The Master of Arts (M.A.) in Comparative Literature combines the objectives of graduate study in foreign languages and literatures with an emphasis on the intercultural and international aspects of literature. The goal of the program is to provide graduate-t-level raining [sic]in subjects common to more than one national literature. Research work in the program is directed toward the analysis of cultural, historical, literary, linguistic, ethical and social concerns in literature, as approached through comparative methods of analysis informed by literary and cultural theory, as well as theories and practices from a variety of disciplines including psychology, sociology, anthropology, history and others. Because of the benefits of reading literature in the original language, the M.A. program requires students to have sufficient proficiency in at least one foreign language to take graduate literature seminars in that language. The M.A. in Comparative Literature is of particular value for students who intend to pursue a doctoral degree in comparative literature or in a foreign language and literature, or who plan to teach literature at the K-12 or community college levels. Some upper-division courses in Comparative and World Literature (CWL) or English (taken as part of the degree program electives) may apply to subject matter preparation for the Single Subject Teaching Credential in English (CWL Emphasis). For information about the Teaching Credential, please consult the Credentials Office in the College of Education.",https://www.humanities.uci.edu/complit/programs/ma_program.php,,Master of Arts,Master of Arts in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/,
,"The Ph.D. program in Comparative Literature at UCI is designed for students whose linguistic background, breadth of interest in literature, and curiosity about the problems of literary scholarship and theory make this program more appropriate to their needs than a Ph.D. in one of the individual national literatures. Students are expected to take courses in at least three national literatures, with one of them potentially being in their native language, all to be studied in their original languages. The program aims to familiarize students with the major contemporary approaches to literary study.",https://www.humanities.uci.edu/complit/,,PhD,PhD in Comparative Literature,https://grad.uci.edu/admissions/degree-programs/,
,"The Master of Fine Arts (M.F.A.) in Dance at the University of California, Irvine is an intensive, interdisciplinary two-year program that integrates studio practice with academic research. [12] Students engage in an educational experience where performance, creative exploration, and scholarly inquiry are deeply interconnected. [12] The program is designed to expand a student's artistic voice and prepare them for a lasting impact across dance, the arts, education, technology, and cultural engagement. [14] Over the two years of study, students take a variety of classroom and studio courses, with attention to connecting the mind and the body, expanding dance literacy and skills, and fostering creativity in new choreographic work. [13] In the second year, students focus on a culminating thesis project, which may take the form of creative projects or written research in a range of areas, including choreography, dance pedagogy, dance media and technology, dance training, dance science, and dance studies. [12, 14] Graduates of the program have entered diverse job markets, securing college and university faculty positions, starting their own dance companies, or pursuing Ph.D. degrees. [13]",https://arts.uci.edu/department/dance/graduate,,MFA,Master of Fine Arts in Dance,https://grad.uci.edu/admissions/degree-programs/,
Graduate Emphasis in Dramaturgy (Elective),"This is a joint program offered by the UCI Department of Drama and the UCSD Department of Theatre and Dance. This program has the largest dedicated doctoral faculty of any Drama program in the nation and one of the lowest teacher-student ratios. The program is designed to encourage students to develop a unique body of research working closely with a small group of faculty at both UCI and UCSD. This ""boutique"" approach calls on each student to explore avenues of research and scholarship that will maximize opportunities for entrance into the highest levels of academia. The program's goal is to prepare students for a successful career at either a research university or a major liberal arts institution, in a variety of possible disciplines ranging from Drama and Theatre, English, and Performance Studies, to Cultural, Gender, and Ethnic Studies. The Drama Department places a high value on collegiality and professionalism, and nurtures these qualities through cooperative work within seminars, independent studies, organized events, teaching opportunities and professional trainings.",https://catalogue.uci.edu/clairetrevorschoolofthearts/departmentofdrama/dramatheatre_phd/,,PhD,PhD in Drama and Theatre,https://grad.uci.edu/admissions/degree-programs/,
,,,,,Master of Arts in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/,
"The Department offers a Ph.D. program in East Asian Studies, with specializations in Chinese, Japanese, and East Asian Cultural Studies.","The graduate program emphasizes rigorous training in language and textual analysis, with equal attention given to the historical, social, and cultural dimensions of literary study. In addition to more traditional vocabularies of criticism and theory, the curriculum encourages exploration of recent challenges to established conceptual and methodological frameworks. The program builds on the foundation of a faculty whose research interests engage major issues in Chinese, Japanese, and Korean literature and culture, while developing connections with the larger community of scholarship at UCI. Because the graduate program is designed to prepare students for both college-level teaching and advanced research, each student will be required to serve, under direct faculty supervision, as a teaching assistant in an appropriate undergraduate course offered through the Department.",https://humanities.uci.edu/eastasian/graduate/east-asian-studies,,PhD,PhD in East Asian Studies,https://grad.uci.edu/admissions/degree-programs/,
,,,,Masters,Master of Arts in English,https://grad.uci.edu/admissions/degree-programs/,
"['Fiction', 'Poetry', 'Creative Nonfiction']","The MFA degree in Creative Writing is a two-year program that provides a combination studio/academic course of study. [1] Students receive critical feedback on their poetry, fiction, and creative nonfiction in writing workshops, scrutinize aspects of genre in special-topics classes, and investigate larger theoretical and historical contexts for creative work in literature, rhetoric, writing, and linguistics courses. [1] The MFA program culminates in a creative thesis comprised of a book-length manuscript of original creative work. [1] Outside of coursework, MFA students have the opportunity to participate in community outreach programs such as KidsU and gain editorial and arts-management experience by working on Grist: A Journal of the Literary Arts. Each year, our Creative Writing Reading Series brings in a full slate of acclaimed poets and writers. In addition, the student-un Chiasmus reading series gives our creative writing community at all levels an opportunity to share new work. The program is fully funded. MFA students work as teaching assistants, writing center tutors, and instructors (of both composition and creative writing) in exchange for a stipend and tuition waiver. [1]",https://www.humanities.uci.edu/english/graduate/mfa.php,,MFA,Master of Fine Arts in English,https://grad.uci.edu/admissions/degree-programs/,
"Emphasis in Critical Theory, Emphasis in Asian American Studies, Emphasis in Chicano/Latino Studies, Emphasis in Feminist Studies, Emphasis in Latin American Studies","The Ph.D. program in English at UCI is renowned for its strength in literary and critical theory. The research and teaching of the faculty cover a wide range of fields, historical periods, and methodological approaches. Students can also pursue interdisciplinary certificates in areas such as Asian American studies, Chicano/Latino Studies, Critical Theory, Gender and Sexuality Studies, Latin American Studies, Medical Humanities, Rhetoric and Composition, and Visual Studies. The program structure allows students to customize their studies around their intellectual interests. Students typically spend the first two years taking a minimum of 15 graduate seminars, fulfilling a foreign language requirement with a reading knowledge of one foreign language, and completing an M.A. paper. [3, 4] The third year is dedicated to preparing for qualifying exams in two or three fields of study, which are designed in consultation with a faculty advisor. [3, 4] Following the successful completion of these exams, students proceed to write a dissertation under the guidance of a three-person committee. [3, 4] The program aims to provide students with a variety of topics, approaches, genres, and theoretical issues in literary history, while also preparing them for an area of specialization. [4]",https://catalogue.uci.edu/schoolofhumanities/departmentofenglish/english_phd/,,PhD,PhD in English,https://grad.uci.edu/admissions/degree-programs/,
,,,,Masters,Master of Arts in European Thought and Culture,https://grad.uci.edu/admissions/degree-programs/,
,"The Department of History at the University of California, Irvine offers a one-year Master's program in History. [13] The program emphasizes graduate training in regional areas, world and transnational history, and thematic specialties. [5] The History Graduate Program encourages students to think across national and regional borders and to have a solid understanding of how the discipline of History contributes to debates about global and local transformation. [5] All students admitted into the M.A. are assigned a faculty advisor who guides them through the program. [13] Students take a total of nine courses over three quarters. [13] The program has a thesis track and an exam track. [5] While it is a one-year program for full-time students, students are allowed up to three years to complete the degree, accommodating part-time enrollment. [5]",https://www.humanities.uci.edu/history/graduate/program,,Master of Arts,Master of Arts in History,https://grad.uci.edu/admissions/degree-programs/,
,,,,PhD,PhD in History,https://grad.uci.edu/admissions/degree-programs/,
