Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Doctor of Philosophy in Aeronautics and Astronautics,,,,,Doctoral,"Fall, Spring, Summer",,,"December 1 (Fall Priority), September 1 (Spring)",Required,Required,Not Required,REQUIRED,"To apply for the Doctor of Philosophy in Aeronautics and Astronautics, applicants must submit the Purdue Graduate School application. Required application materials include: official transcripts from every institution attended, three letters of recommendation, an Academic Statement of Purpose, a Personal History Statement, and a resume. The GRE is not required for admission to the School of Aeronautics and Astronautics.",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,School of Aeronautics and Astronautics,28794,"$28,794/Year (Non-resident) or $9,992/Year (Resident)",,,,,,Aerodynamics; Aerospace Systems; Astrodynamics and Space Applications; Autonomy and Control; Propulsion; Structures and Materials,"The Doctor of Philosophy degree is the highest degree offered by the School of Aeronautics and Astronautics. It is awarded to students who have demonstrated proficiency in their field of study and the ability to conduct independent research that results in an original and significant contribution to knowledge in the field. To earn a PhD, a student must complete a rigorous program of coursework, pass the qualifying and comprehensive examinations, and successfully defend a dissertation that makes a significant contribution to the field.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,948.30,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,77,,,,,,,,,,,,,"Assistantships (Research and Teaching), Fellowships",,,,,,,
,Doctor of Philosophy in Agricultural and Biological Engineering,,,,,Doctoral,"Fall, Spring, Summer",,,"Fall: December 15 (Priority), May 1 (Final); Spring: October 1; Summer: May 1",Required,Required,Not Required,REQUIRED,"A 3.25/4.00 grade point average or higher is required. A degree from an ABET-accredited engineering program or its equivalent is required. For the PhD program, an MS degree is usually required; however, students with an exceptional record can apply for a direct PhD. International applicants must provide English proficiency scores (TOEFL or IELTS). The application requires three letters of recommendation, a statement of purpose, a diversity essay, and a resume. The GRE is not required.",Not Required,,True,False,False,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture and College of Engineering,"$29,284/Year","$29,284/Year",,,,,,Ecological Sciences and Engineering,"Our Agricultural and Biological Engineering graduate program is ranked #1 in the country by US News and World Report. Our graduate program allows you to customize your coursework and research to fit your career goals and interests. Research is conducted in areas such as machine systems, fluid power, sensors and control, hydrology and water quality, ecological engineering, food processing, bioprocessing, renewable energy, and biological engineering. Many of our students are co-advised by faculty in other departments such as Mechanical Engineering, Electrical and Computer Engineering, Civil Engineering, Environmental and Ecological Engineering, Chemical Engineering, Agronomy, Horticulture, Food Science, Forestry and Natural Resources, and Earth and Atmospheric Sciences. Our graduate students are fully funded on research assistantships, teaching assistantships, or fellowships. Our PhD graduates go on to work in industry, academia, and government.",,https://www.purdue.edu/academics/ogsps/admissions/gradrequirements/westlafayette/agricultural-and-biological-engineering/,,,$947.85,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Research Assistantships, Teaching Assistantships, and Fellowships",,,,,,,
,Doctor of Philosophy in Agricultural Economics,,,,,Doctoral,"Fall, Spring",,"September 1, 2025","January 1, 2026",Required,Required,GRE,REQUIRED,"Applicants must have a minimum undergraduate GPA of 3.0 on a 4.0 scale. The program requires the submission of official transcripts from all post-secondary institutions attended, three letters of recommendation, and Graduate Record Examination (GRE) general test scores. International applicants must also provide proof of English proficiency through TOEFL or IELTS scores. Required documents include an Academic Statement of Purpose, a Personal History Statement, and a Resume or Curriculum Vitae.",,,False,False,True,False,True,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture,"$28,804/Year","$28,804/Year",,,,,,,"The Ph.D. program in Agricultural Economics at Purdue University is designed to produce economists with high-level skills in economic theory and quantitative analysis who can address problems in agriculture and the environment. Graduates of the program are well prepared for careers in research, teaching, and policy analysis.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,$948.30,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Research Assistantships, Teaching Assistantships, and Fellowships",,,,,,,
,Doctor of Philosophy in Agricultural Sciences Education and Communication,,,,,Doctoral,"Fall, Spring, Summer",,August 2025,January 1,Required,Required,Not Required,REQUIRED,"Applicants to the PhD program must have a minimum undergraduate GPA of 3.0 on a 4.0 scale and a master's degree. Application requirements include official transcripts from every institution of higher education attended, three letters of recommendation, a statement of purpose, a personal history statement, a writing sample (scholarly writing sample such as a thesis or journal article), and a resume. International students whose native language is not English must also provide proof of English proficiency (TOEFL or IELTS).",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture,"$28,804/Year","$28,804/Year",,,,,,,"The Department of Agricultural Sciences Education and Communication (ASEC) offers graduate programs leading to the Master of Science (MS) and Doctor of Philosophy (PhD) degrees. The mission of the graduate program in Agricultural Sciences Education and Communication is to prepare students to be effective educators, researchers, and leaders in the fields of agricultural education, communication, and leadership. The Ph.D. program is designed to develop the students’ ability to perform independent research and to prepare them for positions in academia, industry, or government. Students will develop a deep understanding of the research process and will be able to apply research methods to solve complex problems in agricultural sciences education and communication.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,$948.30,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,Full tuition waiver plus stipend,,Assistantships (Research/Teaching) and Fellowships,,,,,,,
,Doctor of Philosophy in Agronomy,,,,,Doctoral,"Fall, Spring, Summer",,,"Fall: March 1 (International), May 1 (Domestic)",Required,Required,Not Required,REQUIRED,Applicants should have a minimum of a 3.0 undergraduate GPA (on a 4.0 scale). Evidence of academic potential and ability is required as demonstrated by the applicant's official transcripts and letters of recommendation. International applicants must submit scores for the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS). The GRE is not required for the Agronomy Graduate Program.,,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture,"$9,992/Year (Resident), $28,794/Year (Non-Resident)","$9,992/Year (Resident), $28,794/Year (Non-Resident)",,,,,,Ecological Sciences and Engineering,"The Department of Agronomy offers graduate programs leading to the Master of Science (MS) and Doctor of Philosophy (PhD) degrees. Our program provides students with the opportunity to conduct research in various fields including crop science, soil science, and atmospheric science. The goal of our graduate program is to prepare students for careers in research, teaching, extension, and industry by providing them with a strong foundation in their chosen field and the skills necessary to conduct independent research.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,"$329.05 (Resident), $948.30 (Non-Resident)",True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Fellowships, Graduate Research Assistantships, Graduate Teaching Assistantships",,,,,,,
,Doctor of Philosophy in American Studies,,,,,Doctoral,Fall,,,January 1,Required,Required,Not Required,REQUIRED,"Applicants to the Doctor of Philosophy in American Studies must submit an Academic Statement of Purpose, a Personal History Statement, a Resume/CV, and a Writing Sample. Three letters of recommendation and official transcripts from all institutions attended are also required. The Graduate Record Examination (GRE) is not required for admission to this program. International applicants must provide proof of English proficiency.",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts,28802,"$9,992/Year (Resident); $28,802/Year (Non-Resident)",,,,,,,"The American Studies Program at Purdue University is one of the oldest in the country, but our approach is decidedly contemporary. At Purdue, American Studies is an interdisciplinary program that draws on more than 100 faculty from across the university. Our graduate students are challenged to cross boundaries and make connections as they examine the American experience in a global context. We offer a MA and a PhD, as well as a graduate certificate. Students in the PhD program work with a primary and secondary research cluster, focusing on areas such as Transnationalism, Migration, and Ethno-racial Identities; Science, Technology, and Environment; Human Rights, Social Justice, and Social Movements; and Cultural Production and Performance.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,948.30,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Fellowships, Teaching Assistantships, and Research Assistantships",,,,,,,
,Doctor of Philosophy in Animal Science,,,,,Doctoral,"Fall, Spring, Summer",,"August 1, 2025",January 1,Required,Required,Not Required,REQUIRED,"Applicants to the PhD in Animal Sciences must meet the following requirements: a minimum undergraduate cumulative GPA of 3.0/4.0 or equivalent. Required application materials include official transcripts from every institution attended, three letters of recommendation, a statement of purpose, and a resume/CV. International applicants must also provide evidence of English proficiency (TOEFL, IELTS, or Duolingo scores). The Graduate Record Examination (GRE) is not required for admission into the Purdue Animal Sciences Graduate Program.",,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture,"$28,794/Year","$28,794/Year",,,,,,,"The Department of Animal Sciences graduate program offers programs leading to the Master of Science (M.S.) and Doctor of Philosophy (Ph.D.) degrees. Programs are designed to prepare students for careers in research, teaching, extension, or management. Research programs are available in the following areas: Animal Breeding and Genetics, Animal Health and Food Safety, Ethology and Welfare, Meat Science and Muscle Biology, Monogastric Nutrition, Physiology, and Ruminant Nutrition.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,$948.30,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Graduate Research Assistantships, Teaching Assistantships, and Fellowships",,,,,,,
,Doctor of Philosophy in Animal Science with a Concentration in Cancer Research,,,,,Doctoral,"Fall, Spring, Summer",,August 2025,"January 1, 2026",Required,Required,Not Required,REQUIRED,"The PhD program in Animal Sciences requires applicants to submit an Academic Statement of Purpose, a Personal History Statement, a Resume or CV, and three letters of recommendation. Official transcripts from all post-secondary institutions attended are also required. International applicants must provide proof of English proficiency (TOEFL/IELTS/Duolingo). A cumulative GPA of 3.0 or higher is generally expected. Applicants must identify a potential faculty advisor within the department for the concentration in Cancer Research.",Not Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Agriculture,"$28,802/Year","$9,992/Year (Resident); $28,802/Year (Non-Resident)",,,,,,,,,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,$948.30,True,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Graduate Assistantships (Research/Teaching), Fellowships",,,,,,,
,Doctor of Philosophy in Anthropology,,,,,Doctoral,Fall,,,December 1,Required,Required,Not Required,REQUIRED,"Applicants must submit a Graduate School Application, pay the application fee, and provide transcripts from every institution of higher education attended. Additional requirements include three letters of recommendation, a Statement of Purpose, a Diversity Essay, a Resume (CV), and a Writing Sample. International applicants must also submit English proficiency scores. The GRE is NOT required for admission to the graduate program.",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts,"$28,794/Year","$28,794/Year",,,,,,Ecological and Environmental Anthropology; Health and Well-being; Power and Social Justice,"The Department of Anthropology at Purdue University is a holistic department with a focus on preparing students for professional careers in academic and non-academic settings. The graduate program is designed around three main focal areas: Ecological and Environmental Anthropology, Health and Well-being, and Power and Social Justice. Research in the department spans the subfields of socio-cultural, biological, archaeological, and linguistic anthropology. The PhD program is designed to provide students with the theoretical and methodological skills necessary to conduct independent research and to pursue careers in academia, government, or the private sector.",,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,$948.30,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Fellowships, Teaching Assistantships, Research Assistantships",,,,,,,
,Doctor of Philosophy in Anthropology with a Concentration in Gerontology,,,,,Doctoral,"Fall, Spring",,,December 1,Required,Required,Not Required,REQUIRED,"To apply for the PhD in Anthropology, applicants must submit an online application through the Purdue Graduate School. Required materials include transcripts from all institutions of higher education attended, three letters of recommendation, a Statement of Purpose, a Personal History Statement, a current resume, and a writing sample. International applicants must also provide proof of English proficiency (TOEFL or IELTS). The Gerontology concentration is a dual-title program or concentration available to students admitted to the Anthropology PhD program through the Center on Aging and the Life Course (CALC).",Required,,True,False,True,False,False,False,,True,False,False,False,True,True,False,False,False,,,,College of Liberal Arts,"$14,401.35/semester","$28,802.70/year",,,,,,Gerontology,The Department of Anthropology and the Center on Aging and the Life Course offer a dual-title PhD in Anthropology and Gerontology. This program provides doctoral students with a strong background in anthropology and a comprehensive understanding of aging and its impact on individuals and society. It is designed to prepare students for careers in research and teaching in gerontology and related fields.,,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global.",,,$929.05,True,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,58.0,,80,,,,,,,,,,,,,"Fellowships, Assistantships (TA/RA)",,,,,,,
