Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,error
Required,Required,A completed online application. A $50 application fee (waived for Clarkson alumni). A statement of purpose. A resume. Three letters of recommendation. Official transcripts. Standardized test scores (optional).,,True,True,True,True,False,False,,,program,Master of Science in Applied Data Science,https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Arts in Bioethics,https://www.bioethicsdirectors.net/graduate-bioethics-education-programs-results/entry/1591/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"To apply, you will need to submit the following:

An online application.
A current resume.
A statement of purpose.
Three letters of recommendation.
Transcripts from all colleges and universities attended.
GRE General Test: Not required.",,True,False,True,True,False,False,,,program,"Master of Science in Bioscience and Biotechnology, Interdisciplinary",https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Science in Business of Energy,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Business Administration,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,"Master of Business Administration, Online",https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Business Administration in Business Analytics,https://www.clarkson.edu/news-events/clarkson-university-introduces-new-business-analytics-mba-program,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"In addition to the general application requirements, the following are required for this program: A statement of purpose is required. A resume is required. Three letters of recommendation are required. The GRE is not required. Prerequisite coursework should include differential equations and courses in transport phenomena, thermodynamics and reaction kinetics.",,True,False,False,True,False,False,,,program,Master of Science in Chemical Engineering,https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Science in Chemistry,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Civil and Environmental Engineering,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"To be considered for admission, applicants should have a bachelor's degree from a regionally accredited college or university. In addition to general graduate admission requirements, students must also have two years of relevant healthcare experience to be considered.",Not Required,True,False,,False,False,False,,,program,Master of Science in Clinical Leadership in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,
Required,Required,"A completed online application. A bachelor's degree (or equivalent) in computer science, computer engineering or a related field from an accredited college or university. An undergraduate GPA of at least 3.0 out of 4.0 is required. Transcripts from all colleges and universities attended. A résumé or curriculum vitae. A statement of purpose. Three letters of recommendation. GRE General Test Scores: The GRE is waived for MS applicants with a GPA of 3.0 or higher. TOEFL, IELTS, or Duolingo scores are required for all students who have not completed a degree in a country where English is the native language.",,False,False,False,True,False,False,,,program,Master of Science in Computer Science,https://www.clarkson.edu/academics/graduate/programs,
Required,Required,"The following application materials are required: a completed online application, statement of purpose, resume or curriculum vitae, two letters of recommendation, and official transcripts from all institutions attended. Clarkson does not require the GRE/GMAT for admission into our graduate programs.",Not Required,True,False,False,False,False,False,,,program,Master of Science in Construction Engineering Management,https://www.clarkson.edu/academics/graduate/programs,
,Required,"A completed graduate application includes an online application form, a statement of purpose, letters of recommendation, and official transcripts from all institutions attended. GRE/GMAT scores are not required for this program. Admission to the M.S. degree program is granted to students who have a bachelor’s degree in electrical and/or computer engineering or a related science or engineering field.",,True,False,False,True,False,False,,,program,Master of Science in Electrical and Computer Engineering,https://www.clarkson.edu/academics/graduate/programs,
Required,Required,A bachelor's degree in a relevant discipline is required. The following are required for an application to be considered complete. Please submit all materials through our online application portal.,Not Required,False,True,,True,False,False,,,program,"Master of Science in Electrical and Computer Engineering, Power Engineering Concentration",https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Science in Electrical Engineering,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Electrical Engineering for Working Professionals,https://ece.vt.edu/grad.html,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Engineering Management,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Engineering Science,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"To be considered for admission, you will need to submit a graduate application and the following:

A Statement of Purpose: This statement should explain your reasons for wanting to pursue this degree and your research interests.
Your Résumé: Please provide a current copy of your résumé.
Three Letters of Recommendation: These letters should be from individuals who can speak to your academic and professional qualifications.
Official Transcripts: Official transcripts from all post-secondary institutions attended should be sent to the Office of Graduate Admissions.
Standardized Test Scores: The GRE is not required for admission to this program.",,True,False,,False,False,False,,,program,Master of Science in Environmental Policy,https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Science in Environmental Science and Engineering,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"In addition to the general application requirements, applicants must submit the following: A bachelor's degree from an accredited institution. Test Scores: The GMAT/GRE requirement is waived for all MBA applicants with a 3.3 GPA or higher, OR 3.0 GPA or higher AND two or more years of professional work experience. If you do not meet the waiver requirements, your application will be reviewed holistically. Contact us to learn more. Letters of Recommendation: Two letters are required. At least one must be from a faculty member who is familiar with your academic work. The other may be from an employer or another faculty member. If you have significant work experience, two letters of recommendation may be from a professional setting. Resume. Statement of purpose.",Not Required,False,False,False,True,False,False,,,program,Master of Business Administration in Global Supply Chain Management,https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Science in Healthcare Data Analytics,https://publichealth.uams.edu/future-students/academics/masters/academics-masters-mshcda/,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,A completed online application form. A bachelor's degree from an accredited college or university. Official transcripts from all institutions attended. A current résumé. A statement of purpose. Three letters of recommendation. Standardized test scores (GMAT or GRE). GMAT/GRE waivers are available. International students must meet English proficiency requirements.,Not Required,False,False,False,False,False,False,,,program,Master of Business Administration in Healthcare Management,https://www.youtube.com/watch?v=trfBkDwNIyk,
,,,,,,,,,,,,error,Master of Science in High School Education,https://www.clarkson.edu/news-events/clarkson-university-transfer-16-teaching-programs-siena-college,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,,error,Master of Science in Industrial Management,https://www.clarkson.edu/academics/graduate/programs,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Required,Required,"Completed application form, statement of purpose, résumé, three letters of recommendation and official transcripts. A bachelor's degree in engineering or science from an accredited institution is required, with an undergraduate GPA of 3.0 on a 4.0 scale. GRE General test scores are optional for applicants with a BS degree from an ABET-accredited program in the U.S. and recommended for all others.",Not Required,False,False,False,True,False,False,,,program,Master of Science in Materials Science and Engineering,https://www.clarkson.edu/academics/graduate/programs,
Required,Required,"A completed online application. A bachelor's degree from an accredited institution. Transcripts of all post-secondary education. A resume or C.V. A statement of purpose. Two letters of recommendation. GRE is optional. For international applicants, a test of English proficiency is required.",Not Required,True,True,False,True,False,False,,,program,Master of Science in Mathematics,https://www.clarkson.edu/academics/graduate/programs,
Required,Required,"Students are admitted who hold a bachelor of science in mechanical engineering or a closely related field from an accredited college or university. General admission requirements for the Graduate School include a completed online application, a one- to two-page statement of purpose, a current resume or CV, two letters of recommendation, and transcripts from all postsecondary institutions attended. The Graduate Record Examination (GRE) is not required for admission to master's programs.",Not Required,True,False,,True,False,False,,,program,Master of Science in Mechanical Engineering,https://www.clarkson.edu/academics/graduate/programs,
,,,,,,,,,,,,error,Master of Science in Mechanical Engineering for Working Professionals,https://www.clarkson.edu/academics/majors-minors/mechanical-engineering-ms,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
