QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,Daniel Guggenheim School of Aerospace Engineering,,,2,,Fall 2026,August 2025,,,,,,,,4 years. [1],,Bachelor of Science in Aerospace Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
114,Daniel Guggenheim School of Aerospace Engineering,,4.0,2,,Fall 2026,,,,,,,,"Scholarships, Grants, Loans, Work-Study",Variable,,Aerospace Engineering (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,4.0,,,Fall 2026,,,,,,,,,,,African Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,Ivan Allen College of Liberal Arts,,4.0,,,Fall 2026,,,,,,,,"Merit-based, Need-based",15-18 credit hours,,Air Force Leadership Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,Ivan Allen College of Liberal Arts and the College of Engineering,,4.0,2.0,,Fall 2026,,,,,,,,,,,Applications of Artificial Intelligence and Machine Learning (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"The Bachelor of Science in Applied Languages and Intercultural Studies (ALIS) is offered through the School of Modern Languages, a part of the Ivan Allen College of Liberal Arts.",,4.0,,,Fall 2026,,,"For the 2024-2025 academic year, the estimated cost of attendance for an in-state undergraduate student living on campus is approximately $32,934 and for an out-of-state student is approximately $54,626. These figures include tuition, mandatory fees, housing, and meals. A specific tuition rate for the Bachelor of Science in Applied Languages and Intercultural Studies program is not detailed separately.",,,,,"Georgia Tech offers various forms of financial aid, including scholarships which are considered gift aid and do not need to be repaid. These can be awarded by governments, the university, and private organizations, and may include merit-based and need-based opportunities.","The Bachelor of Science in Applied Languages and Intercultural Studies requires the completion of 122 credit hours. [3, 8] This typically corresponds to a four-year program of study. [5]","For the 2024-2025 academic year, the estimated cost of attendance for an in-state undergraduate student living on campus is approximately $32,934 and for an out-of-state student is approximately $54,626. These figures include tuition, mandatory fees, housing, and meals. A specific tuition rate for the Bachelor of Science in Applied Languages and Intercultural Studies program is not detailed separately.",Bachelor of Science in Applied Languages and Intercultural Studies,https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Physics, College of Sciences",,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Applied Physics,https://www.gatech.edu/academics/bachelors-degree-programs
,School of Architecture,,,2.0,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Architecture,https://www.gatech.edu/academics/bachelors-degree-programs
,School of Architecture,,4.0,,,Fall 2026,,,"$5,127.50/Semester (In-State); $16,047.50/Semester (Out-of-State)",,"$427 (In-State); $1,337 (Out-of-State)",,,"Georgia Tech offers various scholarships, including those based on merit and specific academic programs. The Office of Scholarships and Financial Aid administers aid from federal and state governments, as well as funds from the Georgia Tech Foundation.",15 credit hours,"$5,127.50/Semester (In-State); $16,047.50/Semester (Out-of-State)",Architecture (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,"School of Arts, Entertainment, and Creative Technologies, College of Design",,4.0,2,"For the Fall 2025 (Class of 2029) admissions cycle, the overall acceptance rate was approximately 12.7%. The acceptance rate for Georgia residents was about 30%, and for non-Georgia residents, it was around 9%.",Fall 2026,"August 1, 2025","The Early Action 1 deadline for Georgia residents is October 15, 2025. The Early Action 2 deadline for non-Georgia residents is November 3, 2025. The Regular Decision deadline is January 5, 2026. [4]",,,,"Georgia Tech offers various scholarships, such as the Georgia Tech Val-Sal Scholarship, which ranges from $2,500 to $5,000 for eligible Georgia residents. [24] Another is a $5,000 non-renewable scholarship for students involved in FIRST Robotics. [18]",,"Merit-based, Need-based, 'Stamps President's Scholars Program', 'Gold Scholars Program', 'G. Wayne Clough Georgia Tech Promise Program'",Four years. [11],"$12,852 per year for in-state and $33,964 per year for out-of-state students (2020-2021). [8]","Bachelor of Science in Arts, Entertainment, and Creative Technologies",https://www.gatech.edu/academics/bachelors-degree-programs
,College of Sciences,,4.0,2,,Fall 2026,"August 1, 2025","January 5, 2026",,,,,,"Merit-based, need-based, institutional, geographic, and affinity group scholarships. Georgia residents may be eligible for HOPE and Zell Miller scholarships. [3, 5]",15 credit hours,"For a full-time undergraduate student on the Atlanta Campus (as of Spring 2025), the cost per semester is $5,256 for Georgia residents and $16,469 for non-residents. There is no separate tuition for a minor program.",Astrobiology (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,"School of Physics, College of Sciences",,4.0,3.0,16.5%,Fall 2026,"August 1, 2025","January 5, 2026","For the 2024-2025 academic year, the estimated undergraduate tuition and fees are $12,058 for Georgia residents and $34,484 for out-of-state students. [9] The total cost of attendance for 2024-2025, including housing and other expenses, is estimated to be $29,666 for in-state and $52,092 for out-of-state students living on campus. [9]",,"Undergraduate tuition at Georgia Tech is typically a flat fee per semester for a full-time course load, rather than a per-credit-hour charge. [30]","The Letson Scholarship Award offers a $1,800 stipend, and the Letson Summer Internship Award provides a $5,400 stipend. [4] The Goizueta Foundation Fellowship for Ph.D. students offers a $4,000 annual stipend. [5] The Georgia Tech Val-Sal Scholarship for Georgia residents offers between $2,500 and $5,000 annually.",,The School of Physics offers research-based scholarships. [4] Georgia Tech also offers merit-based scholarships such as the HOPE and Zell Miller scholarships for residents.,4 years,,Bachelor of Science in Astrophysics,https://www.gatech.edu/academics/bachelors-degree-programs
81,College of Sciences,,4.0,2,17% (First-Year),Fall 2026,August 2025 (Estimated),"January 15 (Regular Decision, Estimated)","In-State: $11,764/year, Out-of-State: $32,876/year",,,,,Need-based and merit-based,15 credit hours,"In-State: $11,764/year, Out-of-State: $32,876/year",Astrophysics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Earth and Atmospheric Sciences,,4.0,2,,Fall 2026,,,,,,,,,,,Bachelor of Science in Atmospheric and Oceanic Sciences,https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Chemistry and Biochemistry, College of Sciences",,4.0,2,,Fall 2026,,,,,,,,,4 years (based on 120 credit hours),,Bachelor of Science in Biochemistry,https://www.gatech.edu/academics/bachelors-degree-programs
,School of Biological Sciences,,4.0,,,Fall 2026,,,,,,,,,4 years,,Bachelor of Science in Biology,https://www.gatech.edu/academics/bachelors-degree-programs
,Wallace H. Coulter Department of Biomedical Engineering,,4.0,3.3,,Fall 2026,,,,,,,,Merit-based and need-based scholarships are available.,4 years,,Bachelor of Science in Biomedical Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Literature, Media, and Communication",,4.0,,,Fall 2026,,,,,,,,"Scholarships, Grants, Loans, Work-Study",15 credit hours,,Black Media Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Business Administration,https://www.gatech.edu/academics/bachelors-degree-programs
,Scheller College of Business and Ivan Allen College of Liberal Arts,,4.0,,,Fall 2026,,,,,,,,,15 Credit Hours,,Business of Sports and Entertainment (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Chemical and Biomolecular Engineering,,4.0,2.0,,Fall 2026,August 2025,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Chemical and Biomolecular Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Chemistry and Biochemistry, College of Sciences",,4.0,2,,Fall 2026,,,,,,,,"Merit-based, need-based, athletic, and scholarships for specific majors or demographics",4 years,,Bachelor of Science in Chemistry,https://www.gatech.edu/academics/bachelors-degree-programs
114,School of Modern Languages,,4.0,,12.7%,Fall 2026,August 1,"January 5, 2026",,13423,"For the 2024-25 school year, the undergraduate cost per credit hour for in-state students is $427 and for out-of-state students is significantly higher, though a specific figure is not consistently provided across sources. Graduate tuition per credit hour is $601 for in-state and $1,276 for out-of-state students.",,,"Merit-based, Need-based, HOPE and Zell Miller Scholarships (for Georgia residents), Stamps President's Scholarship, Gold Scholarship, Provost Scholarship",15 credit hours,,Chinese (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Civil and Environmental Engineering,,4.0,3.3,,Fall 2026,,,,,,,,"Merit-based, Need-based, Athletic, Community Service, First-Generation, Military, Identity-based",4 years,,Bachelor of Science in Civil Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Classical Studies (Minor),https://iac.gatech.edu/academics/undergraduate/minors
,College of Computing,,,,,Fall 2026,,,,,,,,,15 credit hours,,Computational Data Analysis (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"College of Computing, School of Literature, Media, and Communication, and School of Music",,4.0,3.3,,Fall 2026,,,,,,,,"Merit-based, Need-based",4 years,,Bachelor of Science in Computational Media,https://www.gatech.edu/academics/bachelors-degree-programs
,Established by the School of Psychology in collaboration with the College of Computing and with support from the Schools of Physics and Mathematics.,,4.0,,,Fall 2026,August 1,,,,,,,,15 Credit Hours,,Computation and Cognition (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Computer Engineering,https://www.gatech.edu/academics/bachelors-degree-programs
97,College of Computing,,4.0,2.0,17%,Fall 2026,"August 1, 2025 (based on Fall 2025 cycle; official Fall 2026 date not yet released)","October 15, 2025 (Early Action 1 for Georgia students), November 1, 2025 (Early Action 2 for non-Georgia students), January 1, 2026 (Regular Decision) (based on Fall 2025 cycle; official Fall 2026 dates not yet released)","In-State: $11,764/year, Out-of-State: $32,876/year (for the 2024-2025 academic year). [6]",,"In-State: $342, Out-of-State: $1,114 (for the 2024-2025 academic year). [7]",,,"Merit-based scholarships (including the Stamps President's Scholars Program, Gold Scholars Program, and Provost Scholarship), Need-based scholarships, Institutional scholarships, and external scholarships. [8]","Four years (standard plan), Five years (co-operative plan). [5]","In-State: $10,258/year, Out-of-State: $31,370/year (for the 2024-2025 academic year). [6]",Bachelor of Science in Computer Science,https://www.gatech.edu/academics/bachelors-degree-programs
