Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"Applicants must have a minimum 3.0 undergraduate grade point average (on a 4.0 scale). The African American Studies Department welcomes applications from students who have a bachelor’s degree from an accredited institution. No specific undergraduate major is required for admission to the master’s degree program, but a strong background in the social sciences and humanities is preferred. Required application materials include three letters of recommendation, a statement of purpose, a resume or CV, and a writing sample.",Required,True,False,True,False,False,False,,,program,Master of Arts in African American Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Required,Required,"Applicants must meet the Graduate School’s minimum requirements, including a bachelor's degree from an accredited institution and a minimum undergraduate grade point average (GPA) of 3.00 on a 4.00 scale. International applicants must meet the Graduate School's English proficiency requirements. Required application materials include a Statement of Purpose (Reasons for Graduate Study), a CV or Resume, three letters of recommendation, and a writing sample (15-25 pages). GRE scores are not required.",Required,True,False,True,False,False,False,,,program,Master of Arts in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Required,Required,"Applications are accepted for fall admission only. All materials must be received by the December 15 deadline. Admission to the Ph.D. program requires a bachelor's or master’s degree in African languages and/or literature, or in a related field. Applicants must have a minimum grade point average (GPA) of 3.0 on a 4.0 scale (on the last 60 hours of graduate or undergraduate work). Requirements include a CV/Resume, Statement of Purpose, Writing Sample, and three letters of recommendation. International students must also meet Graduate School English proficiency requirements.",Required,True,False,True,False,False,False,,,program,PhD in African Cultural Studies,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Required,Required,"Applicants must have a bachelor's degree from an accredited institution with a minimum undergraduate grade point average (GPA) of 3.00 on a 4.00 scale. Prerequisite coursework includes two semesters of calculus, one semester of introductory statistics, and one semester of intermediate microeconomics theory. Required application materials include a statement of purpose, a resume or CV, three letters of recommendation, and transcripts from all post-secondary institutions attended. International students must also meet the Graduate School's English proficiency requirements.",,True,True,True,True,False,False,,,program,Master of Science in Agricultural and Applied Economics,https://www.texim-europe.com/product/embedded-computing-solutions/embedded-pc-boards/mini-itx-motherboard/detail/emb-bt4-a10-1900-ms-aae
Required,Required,Applicants to the Professional Option must meet the admission requirements of the UW–Madison Graduate School and have: A background in economics or another field with a strong quantitative emphasis; At least two semesters of calculus (equivalent to MATH 221 and MATH 222); One semester of statistics (equivalent to STAT 301 or STAT 371); Intermediate microeconomic theory (equivalent to A A E 311 or ECON 301); Intermediate macroeconomic theory (equivalent to ECON 302).,,True,False,True,True,False,False,,,program,Master of Science in Agricultural and Applied Economics: Professional Option,https://aae.wisc.edu/2024/08/12/mspo-graduates-shine-on-the-job-market/
Required,Required,"Applicants to the Ph.D. program in Agricultural and Applied Economics should have a strong background in economic theory and quantitative methods. Prerequisites for the PhD program include: 3 semesters of calculus, 1 semester of linear algebra, and 2 semesters of intermediate economic theory (micro and macro). Candidates must submit an online application through the UW–Madison Graduate School, which includes transcripts, three letters of recommendation, a CV or resume, and a statement of purpose (Reasons for Graduate Study). International students must meet the Graduate School's English proficiency requirements.",Optional,True,True,True,True,False,False,,,program,PhD in Agricultural and Applied Economics,https://aae.wisc.edu/
Required,Required,"The admission requirements for the Agroecology program include the following: A bachelor's degree from an accredited institution. A minimum undergraduate GPA of 3.0 (on a 4.0 scale). Three letters of recommendation from people who can comment on your potential for graduate study. A statement of purpose (up to two pages, double-spaced) describing your interest in agroecology, your personal and professional goals, and your relevant experience. A current resume or CV. If applicable, an official score report for the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), or Duolingo English Test (DET). Applicants must also have a secure funding source (either an assistantship or fellowship) and have identified a faculty member who has agreed to serve as their advisor before an admissions decision can be finalized.",,True,False,True,True,False,False,,,program,Master of Science in Agroecology,https://agroecology.wisc.edu/people/students/
Required,Required,"Applicants must meet the Graduate School's minimum requirements, which include a 3.00 GPA (on a 4.00 scale) on the last 60 semester hours of undergraduate coursework. The Department of Agronomy requires a statement of purpose (2-page maximum), a resume/CV, three letters of recommendation, and official transcripts. International applicants must provide English proficiency test scores. The GRE is not required.",,True,False,True,True,False,False,,,program,Master of Science in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Required,Required,Minimum criteria for consideration include: an undergraduate grade-point average (GPA) of 3.0 or higher on a 4.0 scale; TOEFL or IELTS scores for international applicants; three letters of recommendation; reasons for graduate study (statement of purpose); and a resume/CV. The Graduate Record Examination (GRE) is not required.,,True,False,True,True,False,False,,,program,PhD in Agronomy,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
Required,Required,"Applicants must have a bachelor's degree from an accredited institution. Admission requirements include a minimum undergraduate GPA of 3.0, three letters of recommendation, a resume or CV, and a statement of purpose. International students must provide proof of English proficiency (TOEFL or IELTS). The GRE is not required for admission to this program.",,True,False,True,True,False,False,,,program,Master of Science in Animal and Dairy Sciences,The official website for the University of Wisconsin–Madison is [wisc.edu](https://www.wisc.edu).
