Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,"To apply for the Doctor of Philosophy in Aeronautics and Astronautics, applicants must submit the Purdue Graduate School application. Required application materials include: official transcripts from every institution attended, three letters of recommendation, an Academic Statement of Purpose, a Personal History Statement, and a resume. The GRE is not required for admission to the School of Aeronautics and Astronautics.",,True,False,True,True,False,False,,,program,Doctor of Philosophy in Aeronautics and Astronautics,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"A 3.25/4.00 grade point average or higher is required. A degree from an ABET-accredited engineering program or its equivalent is required. For the PhD program, an MS degree is usually required; however, students with an exceptional record can apply for a direct PhD. International applicants must provide English proficiency scores (TOEFL or IELTS). The application requires three letters of recommendation, a statement of purpose, a diversity essay, and a resume. The GRE is not required.",Not Required,True,False,True,True,False,False,,,program,Doctor of Philosophy in Agricultural and Biological Engineering,https://www.purdue.edu/academics/ogsps/admissions/gradrequirements/westlafayette/agricultural-and-biological-engineering/
Required,Required,"Applicants must have a minimum undergraduate GPA of 3.0 on a 4.0 scale. The program requires the submission of official transcripts from all post-secondary institutions attended, three letters of recommendation, and Graduate Record Examination (GRE) general test scores. International applicants must also provide proof of English proficiency through TOEFL or IELTS scores. Required documents include an Academic Statement of Purpose, a Personal History Statement, and a Resume or Curriculum Vitae.",,False,False,True,True,False,False,,,program,Doctor of Philosophy in Agricultural Economics,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"Applicants to the PhD program must have a minimum undergraduate GPA of 3.0 on a 4.0 scale and a master's degree. Application requirements include official transcripts from every institution of higher education attended, three letters of recommendation, a statement of purpose, a personal history statement, a writing sample (scholarly writing sample such as a thesis or journal article), and a resume. International students whose native language is not English must also provide proof of English proficiency (TOEFL or IELTS).",Required,True,False,True,True,False,False,,,program,Doctor of Philosophy in Agricultural Sciences Education and Communication,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,Applicants should have a minimum of a 3.0 undergraduate GPA (on a 4.0 scale). Evidence of academic potential and ability is required as demonstrated by the applicant's official transcripts and letters of recommendation. International applicants must submit scores for the Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS). The GRE is not required for the Agronomy Graduate Program.,,True,False,True,True,False,False,,,program,Doctor of Philosophy in Agronomy,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"Applicants to the Doctor of Philosophy in American Studies must submit an Academic Statement of Purpose, a Personal History Statement, a Resume/CV, and a Writing Sample. Three letters of recommendation and official transcripts from all institutions attended are also required. The Graduate Record Examination (GRE) is not required for admission to this program. International applicants must provide proof of English proficiency.",Required,True,False,True,False,False,False,,,program,Doctor of Philosophy in American Studies,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"Applicants to the PhD in Animal Sciences must meet the following requirements: a minimum undergraduate cumulative GPA of 3.0/4.0 or equivalent. Required application materials include official transcripts from every institution attended, three letters of recommendation, a statement of purpose, and a resume/CV. International applicants must also provide evidence of English proficiency (TOEFL, IELTS, or Duolingo scores). The Graduate Record Examination (GRE) is not required for admission into the Purdue Animal Sciences Graduate Program.",,True,False,True,True,False,False,,,program,Doctor of Philosophy in Animal Science,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"The PhD program in Animal Sciences requires applicants to submit an Academic Statement of Purpose, a Personal History Statement, a Resume or CV, and three letters of recommendation. Official transcripts from all post-secondary institutions attended are also required. International applicants must provide proof of English proficiency (TOEFL/IELTS/Duolingo). A cumulative GPA of 3.0 or higher is generally expected. Applicants must identify a potential faculty advisor within the department for the concentration in Cancer Research.",Not Required,True,False,True,True,False,False,,,program,Doctor of Philosophy in Animal Science with a Concentration in Cancer Research,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"Applicants must submit a Graduate School Application, pay the application fee, and provide transcripts from every institution of higher education attended. Additional requirements include three letters of recommendation, a Statement of Purpose, a Diversity Essay, a Resume (CV), and a Writing Sample. International applicants must also submit English proficiency scores. The GRE is NOT required for admission to the graduate program.",Required,True,False,True,False,False,False,,,program,Doctor of Philosophy in Anthropology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
Required,Required,"To apply for the PhD in Anthropology, applicants must submit an online application through the Purdue Graduate School. Required materials include transcripts from all institutions of higher education attended, three letters of recommendation, a Statement of Purpose, a Personal History Statement, a current resume, and a writing sample. International applicants must also provide proof of English proficiency (TOEFL or IELTS). The Gerontology concentration is a dual-title program or concentration available to students admitted to the Anthropology PhD program through the Center on Aging and the Life Course (CALC).",Required,True,False,True,False,False,False,,,program,Doctor of Philosophy in Anthropology with a Concentration in Gerontology,"The official website for Purdue University is [purdue.edu](https://www.purdue.edu).

On this site, you can find information regarding:
*   Admissions: Requirements and applications for undergraduate and graduate programs.
*   Academics: Details on the university's various colleges, majors, and research initiatives.
*   Campus Life: Resources for current students, including housing, activities, and athletics.
*   Purdue System: Links to other campuses like Purdue University Indianapolis and Purdue Global."
