Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Science in Applied Data Science,,,,,Master of Science,"Fall, Spring",,,,Required,Required,Optional,International applicants must submit TOEFL or IELTS scores.,A completed online application. A $50 application fee (waived for Clarkson alumni). A statement of purpose. A resume. Three letters of recommendation. Official transcripts. Standardized test scores (optional).,,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,"$15,786/Semester",,,,,,,"Data is everywhere. So are data scientists. The U.S. Bureau of Labor Statistics projects a 35 percent growth in data science jobs over the next decade. The Master of Science in Applied Data Science program at Clarkson University can help you launch or advance your career in this rapidly growing field. In this program, you will develop a deep understanding of the analytical and computational tools used to extract insights from large datasets. Through our flexible curriculum, you can tailor your studies to your interests and career goals. You'll work with faculty who are leaders in their fields, gain hands-on experience through project-based courses and research, and be prepared to take on data challenges in a variety of industries, from finance and healthcare to technology and engineering.",,https://www.clarkson.edu/academics/graduate/programs,,,1754,True,True,,4.0,3.0,,,,,,,,,,,"$15,786/Semester",,,,,,,False,False,,,,,,,6.5,,,,,80.0,,,,,,,,,,,,20-40%,"Merit-based, Need-based, Assistantships",,,,,,,
,Master of Arts in Bioethics,,,,,,"Fall, Spring",,,,,,Not Required,"For international applicants whose native language is not English, an English Proficiency Test Score is required. Clarkson accepts TOEFL (minimum 80 internet-based), IELTS (minimum 6.5), Duolingo English Test (minimum 115), and Pearson PTE academic test (minimum 56).",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Lewis School of Health Sciences,"$31,608/Year",,,,,,"Clinical Ethics, Research Ethics, Global Health Ethics","The Clarkson University Bioethics Program, a partnership with the Icahn School of Medicine at Mount Sinai, is a flexible course of study that provides students with a strong foundation in the history, philosophy, legal, social, and cultural contexts of bioethics. Students have the opportunity to focus their study with a concentration in either clinical ethics, research ethics, or global health ethics.",,https://www.bioethicsdirectors.net/graduate-bioethics-education-programs-results/entry/1591/,,,1756,,,,4.0,3.0,,,,,,,,,,,"$31,608/Year",,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,"starting at $6,000 per year",Up to 20%,Merit-based,,,,,,,
,"Master of Science in Bioscience and Biotechnology, Interdisciplinary",,,,,Master's,"Fall, Spring",,,,Required,Required,Not Required,"International students are required to take the Test of English as a Foreign Language (TOEFL) or the International English Language Testing System (IELTS). A minimum TOEFL score of 80 (Internet-based) or a minimum IELTS score of 6.5 is required. Students who have completed all of their primary and secondary education, and their undergraduate degree, in an English-speaking country are exempt from the English language proficiency requirement. We also accept PTE with a minimum score of 56 and Duolingo with a minimum score of 115.","To apply, you will need to submit the following:

An online application.
A current resume.
A statement of purpose.
Three letters of recommendation.
Transcripts from all colleges and universities attended.
GRE General Test: Not required.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,"$21,072/Semester or $42,144/Year",,,,,,,"The interdisciplinary Master of Science (M.S.) in Bioscience and Biotechnology program at Clarkson University provides a broad foundation in basic science and biotechnology while focusing on a particular specialty area. You'll gain advanced skills and knowledge through a mix of coursework and intensive, hands-on research in faculty laboratories. Graduate with real-world experience and preparation for your career. Our program is perfect for students who are looking for: Research-focused careers in academia or industry. Professional careers in medicine, veterinary medicine and other health-related fields. Through our program, you will develop skills in: Modern research methods. Experimental design. Data analysis and interpretation. Oral and written communication. Our alumni have a track record of success in Ph.D. programs, medical schools and other health profession schools, as well as in the biotechnology, biopharmaceutical and environmental industries. The MS in bioscience and biotechnology is also available as a BS/MS program for current Clarkson undergraduates.",,https://www.clarkson.edu/academics/graduate/programs,,,1756,True,True,1.0,4.0,3.0,,751-800,,,,,,,,,"$21,072/Semester or $42,144/Year",,,,,,,False,False,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,20 to 40 percent,"Merit-based scholarships, Assistantships",,,,,,,
,Master of Science in Business of Energy,,,,,,"Fall, Spring, Summer",,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,David D. Reh School of Business,51420,,,,,,,"The M.S. in Business of Energy is an interdisciplinary program jointly offered by Clarkson's Reh School of Business and the Institute for a Sustainable Environment (ISE). The program is focused on the management and business aspects of the energy sector, including energy markets, policy, economics and finance, and prepares students for a variety of leadership roles. The curriculum is designed to provide students with a strong foundation in business fundamentals as well as specialized knowledge in energy-related topics. Graduates of the program will be well-equipped to pursue careers in a variety of industries, including energy companies, utilities, consulting firms, financial institutions and government agencies. Key areas of study in the M.S. in Business of Energy program include energy markets, energy economics, energy finance, energy analytics, energy law and policy, energy operations, and energy entrepreneurship and innovation. The curriculum is designed to be flexible, allowing students to tailor their coursework to their specific interests and career goals. Students will have the opportunity to work on real-world projects and case studies, gaining hands-on experience in the energy industry. The program will also host a speaker series, providing students with the chance to learn from and network with industry leaders. The Reh School of Business also offers an online MBA with a concentration in the business of energy and a graduate certificate in the business of energy. This program is STEM-designated.",,https://www.grad.miami.edu/graduate-education/a-z-listing-graduate-programs/index.html,,,1714,,,,4.0,3.0,,#491-500 band,,,,,,,,,51420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merit-based,,,,,,,
,Master of Business Administration,,,,,,"Fall, Spring, Summer",,,,,,Optional,"All international applicants whose native language is not English must submit scores from the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), Pearson Test of English (PTE) or Duolingo English Test. The minimum acceptable score on the TOEFL is 80 (Internet-based). The minimum acceptable score on the IELTS is 6.5. The minimum acceptable score on the PTE is 56. The minimum acceptable score on the Duolingo is 115. The English proficiency test requirement is waived for applicants who have completed a degree at an institution where English is the language of instruction.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Reh School of Business,"$51,608 for the full program",,,,,,"['Business Analytics', 'Environmental Management', 'Finance', 'Global Supply Chain Management', 'Healthcare Management', 'Innovation and New Venture Management', 'Marketing', 'Management Information Systems']","Our Master of Business Administration (MBA) is an internationally-recognized degree designed to develop the skills required for careers in business and management. The David D. Reh School of Business is among the top 5 percent of business schools in the world to have earned the prestigious AACSB-International accreditation. Clarkson’s MBA program has been recognized in several prominent national rankings. U.S. News & World Report ranked our MBA program in the top 100 in the nation. This 38-credit hour program will provide you with strong ethical decision-making principles and expertise in a STEM-focused and globally-minded business world. As a result, you will emerge with an edge in today’s demanding and dynamic marketplace. All MBA candidates at Clarkson take a required core curriculum, with courses in areas such as financial and managerial accounting, operations and supply chain management and information systems. After completing your required core courses, you will be able to pursue a variety of different concentrations. This allows you to combine your management knowledge with your industry-specific interests to create a more direct path to your career goals.",,https://www.clarkson.edu/academics/graduate/programs,The David D. Reh School of Business is among the top 5 percent of business schools in the world to have earned the prestigious AACSB-International accreditation.,,"$1,698",,,,,,,,,,,,,,,,"$51,608 for the full program",,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,Merit-based,,,,,,,
,"Master of Business Administration, Online",,,,,,"Fall, Spring, Summer",,,,,,Not Required,"International applicants whose native language is not English must provide proof of English proficiency. Accepted tests and minimum scores are: TOEFL (80 iBT / 550 PBT), IELTS (6.5), PTE Academic (56), Duolingo (115), or successful completion of ELS Language Centers Level 112.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Reh School of Business,71540,,,,,,"['Business Analytics', 'Environmental Management', 'Global Supply Chain Management', 'Healthcare Management', 'Leadership', 'Marketing', 'Project Management', 'Quality Management', 'No Concentration - General']","The Clarkson University Online Master of Business Administration (MBA) is an innovative program that transforms students into business leaders. The Clarkson MBA is ranked among the top 100 in the nation by U.S. News & World Report. Our flexible program allows you to set your own pace to completion. You can take one to five courses per semester, creating a work-life balance that suits you. The program offers a leadership development component unique to Clarkson. As an online student, you are a full member of the Clarkson community and have access to career services and a network of over 40,000 alumni. Clarkson's online MBA is an exceptional program by every measure.",,https://www.clarkson.edu/academics/graduate/programs,The Clarkson University Reh School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB). Fewer than five percent of business schools worldwide have this distinction.,,"$1,460/credit",,,,4.0,3.0,,,,,,,,,,,71540,,,,,,,,,,,115.0,112.0,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,"Merit-based, Endowed/Restricted, External",,,,,,,
,Master of Business Administration in Business Analytics,,,,,,"Fall, Spring, Summer",,"October 1, 2025","August 15, 2026",,,Optional,"If your native language is not English, you must submit official results of the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), Pearson Test of English (PTE) or Duolingo English Test.",,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,David D. Reh School of Business,48284/Year,,,,,,Business Analytics,"This program will prepare students to collect, process, and analyze data to make well-informed business decisions. Data analytics jobs are booming as the amount of data generated by businesses continues to grow. Clarkson's MBA in Business Analytics is designed to give students a comprehensive understanding of business and the skills to succeed in this growing field.",,https://www.clarkson.edu/news-events/clarkson-university-introduces-new-business-analytics-mba-program,The David D. Reh School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB).,,1610,,,,4.0,3.0,,,,,,,,,,,48284/Year,,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,15% to 60%,Merit-based,,,,,,,
,Master of Science in Chemical Engineering,,,,,,"Fall, Spring",,,,Required,Required,Optional,"Students for whom English is not their native language must submit scores from the Test of English as a Foreign Language (TOEFL), the International English Language Testing System (IELTS), or the Duolingo English Test. Minimum scores are TOEFL: 80 iBT, IELTS: 6.5, Duolingo: 115.","In addition to the general application requirements, the following are required for this program: A statement of purpose is required. A resume is required. Three letters of recommendation are required. The GRE is not required. Prerequisite coursework should include differential equations and courses in transport phenomena, thermodynamics and reaction kinetics.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Wallace H. Coulter School of Engineering,31572/Year,,,,,,"['Advanced Materials', 'Biotechnology', 'Energy and the Environment', 'Complex Fluids']","The graduate program in chemical engineering at Clarkson University provides students with a targeted, advanced education in the principles of chemical engineering. As a student in our program, you will expand on your undergraduate education by taking core chemical engineering classes. You can choose to concentrate your elective coursework and research in four main areas: Advanced Materials, Biotechnology, Energy and the Environment, and Complex Fluids. Graduates of this program are prepared to enter a Ph.D. program or for careers in a wide range of fields, including chemical engineering, industrial and engineering chemistry, materials science, polymers, pharmaceuticals and more.",,https://www.clarkson.edu/academics/graduate/programs,,,1754,False,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,115.0,,,,6.5,,,,,80.0,,,,,,,,,,,"up to $10,000",,"Merit-based scholarships, Assistantships",,,,,,,
,Master of Science in Chemistry,,,,,,"Fall, Spring",,,January 15 (priority deadline for funding for Fall admission); October 15 (priority deadline for funding for Spring admission),,,Not Required,All international applicants whose native language is not English are required to submit proof of English language proficiency. We accept the following tests: TOEFL (Test of English as a Foreign Language): Minimum score of 80 on the iBT (internet-based test) or 550 on the PBT (paper-based test). IELTS (International English Language Testing System): Minimum score of 6.5. PTE (Pearson Test of English): Minimum score of 56. Duolingo English Test: Minimum score of 115.,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Arts & Sciences,"$16,281/Semester",,,,,,,"Our graduate program in chemistry offers both MS and PhD degrees. You will learn to perform cutting-edge research in a wide variety of areas, including analytical, inorganic, organic and physical chemistry. You can also explore interdisciplinary areas like materials science, environmental science and engineering, and biomolecular science. Coursework and research are tailored to your interests. Our master's program can be completed in two years or less. It culminates with a final written thesis, which is defended in an oral presentation to a committee of faculty.",,https://www.clarkson.edu/academics/graduate/programs,,,1809,,,0.0,4.0,3.0,,,,,,,,,,,"$16,281/Semester",,,,,,,,,,,115.0,,,,6.5,,,56.0,,80.0,,,,,,,,,,,,,"Teaching assistantships, Research assistantships",,,,,,,
,Master of Science in Civil and Environmental Engineering,,,,,Master's,"Fall, Spring, Summer",,,,,,Optional,"If your native language is not English, you must submit TOEFL or IELTS scores.",,,,,,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,Wallace H. Coulter School of Engineering,,,,,,,"['Structural and Geotechnical Engineering Focus Area', 'Environmental and Water Resources Engineering Focus Area', 'Construction Engineering Management Focus Area']","The Master of Science (MS) in Civil & Environmental Engineering is a 30-credit-hour program that deepens your understanding of the design and management of civil infrastructure and the environment. You can complete the degree entirely on campus, entirely online or through a combination of on-campus and online course offerings. A thesis is optional. Civil and environmental engineering is a broad field with many career opportunities. This degree prepares students to be leaders in consulting, industry and government agencies. Our faculty's areas of expertise and active research include: Water resources, Environmental engineering, Geotechnical engineering, Structural engineering. The curriculum is flexible to accommodate your interests. You'll work with your academic advisor to create a study plan with a set of courses to best meet your educational goals.",,https://www.clarkson.edu/academics/graduate/programs,,,1801,,,,4.0,3.0,,,,,,,,,,,32418,,,,,,,,,,,,,,,6.5,,,,,80.0,,,,,,,,,,,"$5,000 to $15,000 per year",,Merit-based,,,,,,,
