Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url,IsRecommendationSystemOpted,error
Optional,Required,"To apply for freshman admission to Baylor, applicants must complete an online application and submit the following required credentials: an official high school transcript, a required short answer response, and either ACT/SAT scores or apply through the Test Optional policy. Optional application items include an additional short answer response, a résumé, and letters of recommendation.",Not Required,True,False,False,False,False,,,program,Bachelor of Business Administration in Accounting,https://admissions.web.baylor.edu/about-baylor/majors-minors,,
Not Required,Not Required,"The Department of Journalism, Public Relations and New Media offers an 18-semester hour minor in Advertising. The minor requires the following courses: JOU 2303 Advertising in a Market Economy, JOU 3374 Advertising Media, JOU 3375 Advertising Copywriting, JOU 3388 Advertising Management, JOU 4376 Advertising Campaigns, and JOU 4386 Creative Strategy.",Not Required,True,False,False,False,False,,,program,Minor in Advertising,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/journalism-public-relations-new-media/journalism-public-relations-new-media.pdf,,
Optional,,"To apply as a first-year student, you will need to submit: A completed online application (either the Baylor Online Application or the Common Application), an official high school transcript, and a required personal essay. Standardized test scores (ACT/SAT) are optional for the 2024-2025 application cycle. While not required, letters of recommendation and a resume are highly recommended.",Not Required,True,False,True,False,False,,,program,Bachelor of Science in Aerospace Engineering,https://www.youtube.com/watch?v=Lm1eZwUu4_I,,
,,,,,,,,,,,error,Minor in Aerospace Studies,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/aerospace-studies/aerospace-studies-minor/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Not Required,Not Required,Any student may declare a minor in American Sign Language by using the 'request to change major/minor' form through BearWeb.,Not Required,True,False,False,False,False,,,program,Minor in American Sign Language,https://csd.robbins.baylor.edu/undergraduate/american-sign-language-minor,,
,,,,,,,,,,,error,Bachelor of Arts in American Studies,https://admissions.web.baylor.edu/about-baylor/majors-minors,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Bachelor of Arts in Anthropology,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/anthropology/anthropology-general-anthropology-concentration-bs/anthropology-general-anthropology-concentration-bs.pdf,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Optional,Not Required,"To apply, prospective students must submit: a completed online application through GoBaylor, ApplyTexas, or the Common App; an official high school transcript; a required essay; and a non-refundable $50 application fee. In addition, the following are optional but strongly recommended: a résumé and two letters of recommendation. Baylor has a test-optional admissions policy, so applicants are not required to submit ACT or SAT scores.",Not Required,True,True,False,False,False,,,program,Bachelor of Science in Anthropology,https://catalog.baylor.edu/undergraduate/college-arts-sciences/academic-departments/anthropology/anthropology-general-anthropology-concentration-bs/anthropology-general-anthropology-concentration-bs.pdf,,
,,,,,,,,,,,error,Bachelor of Science in Apparel Design & Product Development,https://hsd.robbins.baylor.edu/apparel/apparel-design-product-development,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
,,,,,,,,,,,error,Minor in Apparel Merchandising,https://catalog.baylor.edu/undergraduate/robbins-college-health-human-sciences/human-sciences-design/apparel-merchandising/,,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
