Program name,Program Page url,Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,error
Master of Accounting,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Aerospace Engineering,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",Required,Required,"All applicants to the Aerospace Engineering graduate program must submit the Rackham Graduate School online application. The following materials are required to be submitted with your application by the deadline:

- Application Fee
- Transcripts: We require you to upload one scanned official transcript from each undergraduate and graduate institution you have attended.
- Three letters of recommendation are required.
- A Statement of Purpose is required (approximately 500 words). This should be a concise, well-written statement about your academic and research background, your career goals, and how Michigan’s graduate program will help you meet your career and educational objectives.
- A Personal Statement is required (approximately 500 words).
- A resume or curriculum vitae (CV) is required.
- The GRE test is not required and will not be considered in the admission review.",Not Required,True,False,,True,False,False,,,program,
Master of Arts in American Culture,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Science in Applied and Interdisciplinary Mathematics,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Arts in Applied Economics,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Applied Science in Applied Geosciences,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",Required,Required,"In addition to the Rackham Graduate School’s requirements, the following materials are required for admission to this program: Transcripts from all previous undergraduate and graduate institutions, three letters of recommendation, CV or resume, a statement of purpose describing your interest in the program and research experiences, and an English proficiency test score for non-native English speakers.",Optional,True,False,False,True,False,False,,,program,
Master of Science in Applied Physics,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",Required,Required,A complete application to the Applied Physics Graduate Program consists of the following: The Rackham Graduate School online application; The application fee; Transcripts from all previous undergraduate and graduate institutions; Three letters of recommendation; Academic Statement of Purpose; Personal Statement; Resume or Curriculum Vitae (CV); GRE Scores (Optional); TOEFL or MELAB scores (for non-native English speakers).,,False,True,,True,False,False,,,program,
Master of Arts in Arabic Studies,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",,,,,,,,,,,,,error,"Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 12."
Master of Architecture,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",Required,Required,"All applicants to the Master of Architecture program must complete the Rackham Graduate School Application. The application requires an Academic Statement of Purpose and a Personal Statement. Three letters of recommendation are required. Applicants must submit transcripts from all attended post-secondary institutions. A portfolio of creative work is also required, along with a resume or curriculum vitae (CV). Non-native English speakers must submit English proficiency scores. Submission of GRE scores is optional.",Not Required,True,True,False,True,False,False,,,program,
Master of Fine Arts in Art and Design,"The official university website for the University of Michigan is umich.edu.

The University of Michigan is a public research university with its flagship campus in Ann Arbor, Michigan. It also has regional campuses in Dearborn and Flint. The university offers a wide range of undergraduate and graduate programs across its various schools and colleges. You can find information about admissions, academics, news, and events on their official website.",Required,Required,"To be considered for admission, applicants must submit the following: Stamps School of Art & Design Graduate Application, Rackham Graduate School Application, Transcripts, Letters of Recommendation (3), Statement of Purpose, Artist's Statement, Portfolio, CV / Resume, English Proficiency Scores (if required). Standardized test scores (such as the GRE) are not required and will not be considered in the admission review.",Not Required,True,False,,False,False,False,,,program,
