Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore
,Master of Science in Information Technology,,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,"Applicants whose native language is not English must demonstrate English proficiency. This requirement can be met by holding a bachelor’s degree from a U.S. institution or a university in which English is the official language of instruction, or by submitting a satisfactory score on one of the following tests: TOEFL (79 iBT), IELTS (6.5), PTE Academic (53), Duolingo English Test (105), or by successfully completing WUST’s ESL 700 level.",Completed Application Form with Application Fee. A Bachelor’s Degree or its equivalent from an accredited college or university. Official transcripts from all previously attended post-secondary institutions. Resume. Statement of Purpose. English Language Proficiency: Applicants whose native language is not English must demonstrate English proficiency. A minimum undergraduate GPA of 3.0 is desirable. Students with a Bachelor’s degree in a field other than Computer Science or Information Technology may need to complete a set of prerequisite courses to be successful in the MSIT program.,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,36000,,,,,,,"The Master of Science in Information Technology (MSIT) program at WUST prepares students for a career in the IT industry. The program provides the knowledge and skills necessary to lead in the rapidly evolving field of information technology. Students will gain a deep understanding of core IT concepts, including software development, database management, computer networks, and cybersecurity. The MSIT program is designed for both experienced IT professionals seeking to advance their careers and for individuals with non-IT backgrounds who wish to transition into the IT field. The curriculum combines theoretical foundations with practical, hands-on experience, ensuring that graduates are well-equipped to meet the challenges of the modern workplace.
Program Objectives:
- Develop a comprehensive understanding of core IT principles and practices.
- Gain expertise in specialized areas of information technology through a selection of elective courses.
- Apply theoretical knowledge to solve real-world problems through hands-on projects and case studies.
- Enhance leadership and communication skills for effective management of IT projects and teams.
- Prepare for leadership roles in the IT industry, such as IT manager, project manager, or technology consultant.",,https://www.wust.edu/graduate-program,,,1000,,True,,4.0,3.0,,,,,,,,,,,36000,,,,,,,False,False,,,105,,,,6.5,,,53.0,,79,,,,,,,,,,,1000 to 10000,,"Merit-based, Need-based",,,,,,,
,Master of Science in Information Technology with a Concentration in IT Systems & Management,,,,,Master,"Fall, Spring, Summer",,,,Required,Required,Not Required,"Applicants whose native language is not English must demonstrate English proficiency. WUST accepts the following to meet this requirement: Minimum TOEFL score of 79 (iBT) / 550 (PBT), Minimum IELTS score of 6.0, Minimum Duolingo score of 105, Completion of ELS level 112, Transcripts from a university or college in which English is the principal language of instruction, or a Transcript showing completion of an ESL program from an accredited institution that WUST has an articulation agreement with.","Completed Application for Admission Form; A bachelor’s degree from an accredited institution. Official transcripts from all post-secondary institutions attended. Transcripts not in English must be accompanied by a certified English translation; Proof of English proficiency is required for all applicants; A statement of purpose describing your academic and professional background, your career goals, and how the WUST MSIT degree will help you achieve your goals; Resume or curriculum vitae (CV); Copy of government-issued photo identification; A non-refundable application fee of $100.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Technology,28800,,,,,,IT Systems & Management,"The Master of Science in Information Technology (MSIT) with a concentration in IT Systems & Management program provides students with the advanced knowledge and skills necessary for the management of the complex IT systems used in business and industry. The program curriculum is designed to equip students with a deep technical foundation in areas such as IT systems, computer networks, and database management, coupled with advanced knowledge of managerial concepts such as project management, strategic planning, and quality assurance. Upon graduation, students will be able to take on leadership roles in the management, administration, and implementation of IT solutions in a wide range of organizations.",,https://www.wust.edu/graduate-program,,,800,False,True,0.0,4.0,2.5,,,,,,,,,,,28800,,,,,,,False,False,,,105,112.0,,,6.0,,,,,79,,,,,,,,,,,"$500 to $6,000 annually",,"Presidential Scholarship, Dean's Scholarship, Academic Excellence Scholarship, International Student Scholarship, Military Scholarship",,,,,,,
,Master of Science in Information Technology with a Concentration in Data Management & Analytics,,,,,Master of Science,"Fall, Spring, Summer",,,,,,Not Required,"International applicants must meet WUST’s English proficiency requirements. You can demonstrate English proficiency by submitting one of the following: An official TOEFL iBT score of 79, An official IELTS score of 6.5, An official PTE score of 53, An official Duolingo score of 105, A transcript from a U.S. institution showing completion of an English composition course with a grade of B or better, Proof that you have successfully completed a degree from a U.S. institution, Proof that your native language is English, or Proof that the language of instruction at your undergraduate institution was English.","Completed Application Form
Application Fee
A Bachelor's degree or its equivalent from an accredited college or university
Official transcripts from all post-secondary institutions attended
Any additional requirements specified for the chosen program of study
Proof of English Proficiency for International Students
Proof of Financial Support",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Technology,27000,,,,,,Data Management & Analytics,"The concentration in Data Management & Analytics is designed to provide an in-depth understanding and hands-on experience in the growing field of Big Data. The concentration focuses on providing the breadth of skills in data management, data mining, data visualization, and cloud computing. The concentration offers courses such as Database Systems, Data Warehousing, Data Mining, Cloud Computing, Data Visualization, and Applied Data Science. Students in the concentration gain knowledge and skills to successfully design, develop, and manage large-scale data systems to support business intelligence and data analytics. Students are prepared for careers such as data analysts, data scientists, database developers, and data administrators.",,https://www.wust.edu/graduate-program,,,750,False,True,,4.0,3.0,,,,,,,,,,,27000,,,,,,,False,False,,,105,,,,6.5,,,53.0,,79,,,,,,,,,,,"$500 - $2,000",up to 60%,"Presidential Scholarship, Dean's Scholarship, WUST Grant, Referral Scholarship",,,,,,,
,Master of Science in Information Technology with a Concentration in Software Design & Management,,,,,Master of Science,"Spring, Summer, Fall",,,,Required,Required,Not Required,Applicants whose native language is not English must demonstrate English proficiency through one of the following methods: An official TOEFL score of 79 (iBT) / 550 (pBT) or higher; An official IELTS score of 6.0 or higher; An official PTE Academic score of 53 or higher; An official Duolingo score of 105 or higher; An ELS language center’s level 112 of completion certificate; A transcript indicating a degree was earned from an institution in which English is the primary language of instruction.,"A completed online Application Form; Application Fee ($50 for US applicants, $100 for international applicants); A Bachelor’s degree from an institution of higher education that is accredited by a US accrediting agency recognized by the US Department of Education, or an equivalent foreign institution; Official transcripts from all post-secondary institutions attended; A Statement of Purpose describing your academic and professional accomplishments and goals; A current resume; Proof of English Language Proficiency for international students whose native language is not English. Acceptable proofs are: TOEFL (minimum score of 80), IELTS (minimum score of 6.5), PTE (minimum score of 53), Duolingo (minimum score of 105), or a transcript from a US institution showing completion of an English composition course with a grade of B or better, or a degree earned from a US institution; GRE/GMAT scores (Optional).",,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,Department of Information Technology,27000,,,,,,Software Design & Management,"The Software Design and Management (SDM) concentration is designed to provide students with a comprehensive understanding of the principles and practices of software design and management. This program focuses on developing the skills necessary to lead and manage software development projects, from initial concept to final deployment. Students will learn about software architecture, design patterns, project management methodologies, and quality assurance techniques. The curriculum covers a wide range of topics, including object-oriented design, agile development, software testing, and user experience (UX) design. Graduates of this program will be well-prepared for careers as software architects, project managers, development leads, and other leadership roles in the software development industry.",,https://www.wust.edu/graduate-program,,,750,False,True,,4.0,2.5,,,,,,,,,,,27000,,,,,,,False,False,,,105,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,,up to 25%,"Presidential Scholarship, Dean's Scholarship, WUST Scholarship, Military Scholarship",,,,,,,
,Master of Science in Cybersecurity,,,,,Master of Science,"Fall, Spring, Summer",,,,Required,Required,Optional,"All applicants whose native language is not English and who have not received a degree from an institution in the United States, an English-speaking country, or a country where English is the official language of instruction, must demonstrate English language proficiency. Please provide an official score report of the Test of English as a Foreign Language (TOEFL), International English Language Testing System (IELTS), Pearson Test of English (PTE), or Duolingo English Test.","Completed online application form. A bachelor’s degree from an accredited institution. Applicants with a degree in computer science, cybersecurity, or a related field are preferred. Official transcripts from all post-secondary institutions attended. Minimum GPA of 2.75 on a 4.0 scale. Proof of English proficiency for international students (TOEFL, IELTS, etc.). Resume or Curriculum Vitae (CV). Statement of Purpose: A 500-word essay detailing your academic and professional goals and how the MSCS program at WUST will help you achieve them. Two letters of recommendation (optional but recommended). Application fee.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Technology,30600,,,,,,,"The Master of Science in Cybersecurity degree program is designed to provide students with the knowledge and skills of cybersecurity. The program will prepare them for professional careers in the cybersecurity industry and government sectors that require highly-skilled cybersecurity professionals. Students will learn the fundamental concepts of cybersecurity, such as cryptography, network security, and computer forensics. Students will also learn how to protect computer systems and networks from cyber-attacks. The program curriculum is designed to provide students with the necessary knowledge and skills to be successful in the cybersecurity field.",,https://www.wust.edu/graduate-program,,,850,,True,2.0,4.0,2.5,,,,,,,,,,,30600,,,,,,,False,False,,,105,,,,6.5,,,53.0,,79,,,,,,,,,,,"up to $10,000",up to 60%,Merit-based,,,,,,,
,Master of Business Administration,,,,,,"Fall, Spring, Summer",,,,Required,Required,Optional,"WUST requires all applicants whose native language is not English to demonstrate English proficiency. Proof of English proficiency can be demonstrated by ONE of the following: 1. Earned a bachelor's or master's degree from a recognized institution in the United States, United Kingdom, Ireland, Australia, New Zealand, or Canada (except Quebec), where English is the primary language of instruction. 2. A minimum score of TOEFL (79 iBT/ 550 PBT), IELTS (6.0), PTE Academic (53), or Duolingo (105). 3. Successful completion of ELS Language Centers Level 112.","A completed online application and a $100 non-refundable application fee. Official transcripts from all post-secondary institutions attended. A bachelor’s degree from an accredited institution with a minimum GPA of 2.5 on a 4.0 scale. Statement of Purpose. Resume or curriculum vitae (CV). A copy of a government-issued photo ID. For international students, additional requirements may apply, including proof of English proficiency.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,27000,,,,,,,,,https://www.lamar.edu/business/management-marketing-and-general-business/master-of-business-administration/,,,750,False,True,2.0,4.0,3.0,,,,,,,,,,,27000,,,,,,,False,False,,,105,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,"Amounts range from $2,000 to $5,000",,"Merit-based, Need-based",,,,,,,
,Master of Business Administration with a Concentration in Leadership and Management,,,,,MBA,"Fall, Spring, Summer",,,,Required,Required,Not Required,Applicants whose native language is not English must demonstrate English proficiency. WUST recognizes the following ways to demonstrate English proficiency: Holding a bachelor’s or master’s degree from a university in which English is the official language of instruction; A minimum TOEFL score of 79 on the iBT (internet-based test) or 550 on the PBT (paper-based test); A minimum IELTS score of 6.0; A minimum Duolingo score of 105; A minimum Pearson Test of English (PTE) Academic score of 53; Successfully completing an English as a Second Language (ESL) program at an accredited institution in the U.S.,"To be admitted to the MBA degree program, the applicant must:

Hold a bachelor’s degree from an institution accredited by an agency recognized by the U.S. Department of Education.

Have a minimum undergraduate Grade Point Average (GPA) of 2.5 on a 4.0 scale. Applicants with a GPA less than 2.5 may be considered for admission on a probationary basis. The student must earn a 3.0 GPA in the first nine credit hours to be removed from academic probation.

Complete an online application form.

Submit a Statement of Purpose.

Submit a resume.

Receive a positive recommendation from the WUST Admission Committee after an interview and a review of the applicant’s documents.",,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,26100,,,,,,Leadership and Management,"The Master of Business Administration (MBA) program at WUST is designed to provide students with the knowledge and skills necessary to become successful leaders and managers in today’s global business environment. The program provides a comprehensive curriculum that integrates various business disciplines, including accounting, finance, marketing, operations, and strategy, to provide a holistic understanding of the business world.

The MBA program at WUST emphasizes the development of critical thinking, problem-solving, and leadership skills. Students will learn how to analyze complex business situations, make strategic decisions, and lead teams effectively. The program also provides opportunities for students to apply their knowledge and skills through real-world case studies, simulations, and projects.

One of the unique features of the MBA program at WUST is its focus on global business. The program provides students with a deep understanding of the challenges and opportunities of conducting business in a globalized world. The curriculum includes courses that cover international business, cross-cultural management, and global marketing, among others. Students will also have the opportunity to interact with a diverse student body from different parts of the world, which will enrich their learning experience.",,https://www.wust.edu/graduate-program,,,725,False,True,,4.0,2.5,,,,,,,,,,,26100,,,,,,,False,False,,,105,,,,6.0,,,53.0,,79,,,,,,,,,,,"Up to $3,000",,"Merit-based, Need-based",,,,,,,
,Master of Business Administration with a Concentration in Accounting & Finance,,,,,MBA,"Spring, Summer, Fall",,,,Required,Required,Not Required,Applicants whose native language is not English must demonstrate English language proficiency. WUST accepts the following to satisfy this requirement: A minimum TOEFL score of 79 (IBT) / 550 (PBT); A minimum IELTS score of 6.0; A minimum PTE Academic score of 53; A minimum Duolingo English Test score of 105; Earned an undergraduate or graduate degree from an accredited institution in the U.S.; Earned an undergraduate or graduate degree from an institution in which English is the official language of instruction.,"The applicant must have earned a Bachelor’s degree or its equivalent from an institution of higher education. Prospective students are required to complete an application form and submit it to the Office of Admissions. The following documents are required for an application to be considered for admission: Application form; A non-refundable application fee of $100; Official transcripts from all post-secondary institutions attended; Statement of Purpose (SOP); Resume; A copy of a government-issued photo ID. For applicants whose native language is not English, a proof of English proficiency is required. WUST accepts TOEFL or IELTS test scores.",Not Required,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Business,30375,,,,,,Accounting & Finance,"The Master of Business Administration (MBA) program at WUST prepares students for leadership roles in the global business environment. Our curriculum emphasizes strategic thinking, critical analysis, and the application of business principles to real-world challenges. Students will gain a comprehensive understanding of core business functions, including finance, marketing, operations, and management, while also having the opportunity to specialize in a specific area of interest. Through a blend of rigorous coursework, case studies, and experiential learning opportunities, our MBA program equips graduates with the skills and knowledge needed to succeed in a dynamic and competitive marketplace. Our MBA degree program will help our students to: Develop a comprehensive understanding of business principles and practices. Cultivate critical thinking, problem-solving, and decision-making skills. Enhance their leadership and communication abilities. Build a strong professional network. Advance their careers in a variety of industries.",,https://www.wust.edu/mba,The Master of Business Administration (MBA) degree programs at WUST are accredited by the International Accreditation Council for Business Education (IACBE).,,675,False,False,,4.0,3.0,,,,,,,,,,,30375,,,,,,,False,False,,,105,,,,6.0,,,53.0,,79,,,,,,,,,,,"$2,000 - $10,000",up to 100%,"Merit-based, Need-based",,,,,,,
,Master of Business Administration with a Concentration in Information Technology,,,,,,"Fall, Spring, Summer",,,,Required,Required,Not Required,"International applicants must meet the English language proficiency requirements. Accepted tests and minimum scores include: TOEFL iBT 79, IELTS 6.0, PTE 53, Duolingo 105, or completion of ELS Level 112. Applicants may be exempt if they hold a degree from an institution where English is the primary language of instruction.","Complete WUST’s Graduate Admission Application Form; Bachelor’s degree from a college or university accredited by an accrediting agency recognized by the U.S. Department of Education; Official transcripts from all institutions attended; A current résumé; A personal statement that describes the applicant’s academic and professional accomplishments, goals, and how the degree from WUST will help to achieve their goals; Proof of English proficiency for all applicants whose native language is not English; GRE/GMAT scores (This is optional for applicants with a cumulative GPA of 3.0 or higher); Copy of a government-issued photo ID; A $100 non-refundable application fee.",,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Business,27000,,,,,,Information Technology,"The Master of Business Administration (MBA) program at Washington University of Science and Technology provides a robust foundation in core business disciplines, including accounting, finance, management, and marketing. Designed for aspiring business leaders, the program emphasizes practical skills and strategic thinking to navigate the complexities of the global business environment. Through a blend of rigorous coursework, case studies, and collaborative projects, students develop the analytical and leadership abilities necessary to drive innovation and achieve organizational success. The curriculum is structured to be flexible, catering to both full-time students and working professionals, and offers various concentrations to allow for specialized career paths. Our faculty, composed of experienced academics and industry practitioners, is dedicated to mentoring students and fostering an environment of intellectual curiosity and professional growth. Graduates of the WUST MBA program are equipped with the knowledge and network to excel in a variety of industries and leadership roles.",,https://www.jcu.edu.au/courses/master-of-information-technology-master-of-business-administration,The Master of Business Administration and the Bachelor of Science in Business Administration programs at Washington University of Science and Technology are accredited by the Accreditation Council for Business Schools and Programs (ACBSP).,,750,False,False,,4.0,3.0,,,,,,,,,,,27000,,,,,,,False,False,,,105,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,1000,up to 100%,"Merit-based, Alumni Scholarship",,,,,,,
,Master of Business Administration with a Concentration in Health Care Management,,,,,Masters,"Fall, Spring, Summer",,,,Required,Required,Not Required,"Applicants whose native language is not English must demonstrate English proficiency. WUST accepts the following: A minimum Test of English as a Foreign Language (TOEFL) score of 79 (internet-based), 213 (computer-based), or 550 (paper-based); A minimum International English Language Testing System (IELTS) score of 6.0; A minimum Pearson Test of English (PTE) Academic score of 53; A minimum Duolingo English Test score of 105; ELS Educational Services Level 112; or other proof such as a diploma from an institution where English is the language of instruction.","To be considered for admission to a WUST graduate program, applicants must have earned a bachelor’s degree from an institution of higher education accredited by an agency recognized by the U.S. Department of Education, or the equivalent for international students. All applicants must submit the following: An application for graduate admission; A bachelor’s degree from an accredited institution; Official transcripts from all post-secondary institutions attended; A current resume; A statement of purpose; Two letters of recommendation (Optional for MBA, MSIT, and MSCS programs); Evidence of English Proficiency (for international students); GRE/GMAT scores (Optional for all applicants); A nonrefundable application fee of $100.",,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,School of Business,27000,,,,,,Health Care Management,"The Master of Business Administration (MBA) degree is an internationally recognized credential for a successful career in business and management. WUST’s MBA program is a 36-credit program that prepares students with the knowledge, skills, and values to become business leaders. The program emphasizes global and cross-cultural decision-making to address business challenges and opportunities. Students are exposed to a comprehensive business curriculum that addresses all functional business areas within a technology-driven global context. The program also stresses professional communication, ethics, leadership and teamwork.
The MBA with a Concentration in Health Care Management provides a unique opportunity to combine the comprehensive MBA curriculum with a focus on business challenges and opportunities within the health care industry. Students in the Health Care Management concentration explore the-structure, history, policy, economics, finance and strategy of the US health care delivery system. Students will develop skills in data analytics and evidence-based decision making as they critically evaluate new business models, payment structures and incentives in health care. In addition, they will explore the role of technology and innovation in improving health care quality and efficiency. A key emphasis of the program is to provide students with the business knowledge and problem-solving skills to manage effectively within the complexity of the US health care system.",,https://www.wust.edu/graduate-program,WUST is accredited by the Accrediting Commission of Career Schools and Colleges (ACCSC).,,750,True,False,2.0,4.0,3.0,,,,,,,,,,,27000,,,,,,,False,False,,,105,112.0,,,6.0,,,53.0,,79,,,,,,,,,,,"up to $10,000",,Merit-based,,,,,,,
