Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired
,Master of Arts in Analytical Political Economy,,,,,Graduate,Fall 2026,,,,,,GRE,REQUIRED,,,,True,True,True,False,True,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Analytical Political Economy,,,,,Graduate,Fall 2026,,,,Required,Required,GRE,REQUIRED,Applicants are required to complete a supplemental questionnaire. [1] You can download a preview of this questionnaire from the Economics Department's website. [1] Applicants must submit an original writing sample demonstrating academic and research capabilities. [1] Unofficial transcripts required with application submission; official transcripts required upon admission. [1] 3 Letters of Recommendation Required. [1] Undergraduate GPA calculated on 4.0 scale required. [1],Required,,False,False,True,False,True,False,,True,False,False,False,False,True,False,False,False,,,,"The Graduate School, Departments of Economics and Political Science",,,,,,,,,"The Master of Science in Analytical Political Economy (MAPE) is a one-year, 30-credit program of study. Students take courses in political science, economics, and other fields that provide them with a rigorous, quantitative approach to the analysis of political and economic institutions and behavior. [12]",,https://gradschool.duke.edu/academics/programs-and-degrees/,"Duke University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award baccalaureate, masters, doctorate, and professional degrees. [10]",,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,20-30%,"Merit-based, Need-based",FALSE,,,FALSE,FALSE,,,
,PhD in Analytical Political Economy,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Required Documents and Information include: Transcripts, Letters of recommendation, Statement of purpose, Life Experiences Statement, Resume, GRE scores, English language proficiency test scores (if English is not your first language), GPA, Supplemental application requirements.",Not Required,,False,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,Trinity College of Arts & Sciences,The Graduate School covers the tuition and fees for a Ph.D. student's first five years. [10],The Graduate School covers the tuition and fees for a Ph.D. student's first five years. [10],,,,,,,,,https://gradschool.duke.edu/academics/programs-degrees/political-science/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,"Departmental fellowships and assistantships, Summer Research Fellowships (SRFs), departmental Dissertation Support Awards (DSAs), and Graduate School fellowships. [8, 14]",FALSE,,,FALSE,FALSE,,,
,"PhD in Art, Art History and Visual Studies",,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"The application for the Ph.D. in Art, Art History & Visual Studies requires unofficial transcripts with the application, with official transcripts needed upon admission. [2] Three letters of recommendation are also necessary. [3] A 10-page writing sample must be submitted with the online application. [2, 3] An undergraduate GPA calculated on a 4.0 scale is required. [2] For applicants whose first language is not English, TOEFL, IELTS, or Duolingo English Test scores are required, though a waiver may apply for some. [2]",Required,,False,True,True,False,False,False,,True,False,False,False,False,True,False,False,False,,,,The Graduate School,"For Ph.D. students in this program, The Graduate School provides payment of tuition and fees for the first five years of study. [9]",,,,,,,," The Department of Art, Art History and Visual Studies offers an interdisciplinary program of graduate study leading to the Ph.D. (No M.A. is offered. Please find more information on the Digital Art History/Computational Media M.A. tracks). We invite applications from dedicated students interested in careers in research, criticism, teaching, and museum work. Admission is highly competitive and limited to an average of four new students per year. [2]",,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,90,,,,,,,,,,,,,"Fellowships, Assistantships in teaching and research, Appointments in training programs. [12]",FALSE,,,FALSE,FALSE,,,
,Master of Arts in Bioethics & Science Policy,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"In addition to a bachelor's degree from an accredited university, applicants must submit unofficial transcripts with the application (with official transcripts required upon admission), three letters of recommendation, a Statement of Purpose, and a résumé. [1] Applicants must also answer supplemental questions, including describing and analyzing an issue in bioethics, tech ethics, or science policy (up to 1200 words) and outlining their career goals and how the program will help achieve them (up to 600 words). [1, 10]",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Biology,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants must hold a US bachelor's degree or its equivalent from a regionally accredited institution. The general required documents and information for an application to the Duke University Graduate School include transcripts, three letters of recommendation, a statement of purpose, a life experiences statement, and a resume. [2] Some programs may have supplemental application requirements. [2]",Not Required,,False,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,The Graduate School,"All PhD students in Biology receive full funding which includes tuition, a stipend, and fee support for a minimum of five years.",The Graduate School expects that PhD students will receive payment of tuition for the majority of the time they are registered and working toward their degree.,,,,,,"['Cell and molecular biology', 'Ecology', 'Evolutionary biology', 'Functional organismal biology']"," The graduate program in biology at Duke is diverse and integrative, and we offer a broad and interdisciplinary training opportunities in a wide range of research areas.",,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,"Fellowships, Research Assistantship, Teaching Assistantship",FALSE,,,FALSE,FALSE,,,
,Master of Science in Biomedical Engineering,,,,,Graduate,Fall 2026,,,,,Required,Optional,REQUIRED,"Applicants to the MS BMEN program must meet the following criteria: Academic Background: A bachelor's degree in biomedical engineering or a related field (e.g., electrical engineering, mechanical engineering, biology or physics). Students with non-engineering backgrounds may need to complete prerequisite courses. GPA: A minimum GPA of 3.00 or better on a 4.00 scale. [1]",,,True,False,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,"The Master of Science (MS) in Biomedical Engineering at Duke University provides world-class graduate training that equips students with the skills to succeed in industry, academia, or professional careers. The program offers a flexible, interdisciplinary curriculum tailored to individual goals. Students engage in cutting-edge research and innovation in a collaborative environment that bridges engineering, biology, and medicine. Core to the program is the opportunity for students to work closely with renowned faculty on research projects in state-of-the-art facilities. The program is designed for completion in 1.5-2 years and culminates in a thesis, providing a strong foundation for future research or advanced professional roles.",,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Biomedical Engineering,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"Applicants must hold a US bachelor's degree or its equivalent from a regionally accredited institution. General application materials include transcripts, three letters of recommendation, a statement of purpose, and a resume/CV. [2, 5] The PhD in Biomedical Engineering program requires the completion of 30 credits of coursework (including a life science and advanced mathematics course), participation in three seminars, two semesters of a teaching assistantship, and the completion and defense of a thesis. The program also requires training in the responsible conduct of research.",Optional,,False,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Biocomputational and Systems Biology', 'Biomaterials and Tissue Engineering', 'Biomechanics and Mechanobiology', 'Biomedical Imaging and Medical Physics', 'Biomedical Micro/Nanosystems', 'Electrophysiology and Neural Engineering']","The PhD in Biomedical Engineering at Duke University provides students with a deep and rigorous training in multidisciplinary research. Guided by our world-class faculty, students engage in cutting-edge research to solve some of the most pressing challenges in medicine and human health. The program is designed to develop independent and creative researchers who will become the next generation of leaders in academia, industry, and government. Research and education in the department are organized into six broad, interdisciplinary research areas: Biocomputational and Systems Biology, Biomaterials and Tissue Engineering, Biomechanics and Mechanobiology, Biomedical Imaging and Medical Physics, Biomedical Micro/Nanosystems, and Electrophysiology and Neural Engineering. Our program's close affiliation with the Duke University School of Medicine—located just a 5-minute walk away—provides a living laboratory where students and faculty can see the immediate impact of their work.",,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,PhD in Biophysics,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"Applicants must hold either a US bachelor's degree or its equivalent from a regionally accredited institution. If the degree was granted by an institution outside of the US, the institution must be accredited by the governing educational body of the country (such as the ministry of education).",,,False,True,True,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
,Master of Science in Biostatistics,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,125.0,,,,7.0,,,,,90,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,
