Resume,StatementOfPurpose,Requirements,WritingSample,IsAnalyticalNotRequired,IsAnalyticalOptional,IsRecommendationSystemOpted,IsStemProgram,IsACTRequired,IsSATRequired,MinimumACTScore,MinimumSATScore,extraction_level,Program name,Program Page url
Required,Required,Completed Application Form with Application Fee. A Bachelor’s Degree or its equivalent from an accredited college or university. Official transcripts from all previously attended post-secondary institutions. Resume. Statement of Purpose. English Language Proficiency: Applicants whose native language is not English must demonstrate English proficiency. A minimum undergraduate GPA of 3.0 is desirable. Students with a Bachelor’s degree in a field other than Computer Science or Information Technology may need to complete a set of prerequisite courses to be successful in the MSIT program.,,True,False,,True,False,False,,,program,Master of Science in Information Technology,https://www.wust.edu/graduate-program
Required,Required,"Completed Application for Admission Form; A bachelor’s degree from an accredited institution. Official transcripts from all post-secondary institutions attended. Transcripts not in English must be accompanied by a certified English translation; Proof of English proficiency is required for all applicants; A statement of purpose describing your academic and professional background, your career goals, and how the WUST MSIT degree will help you achieve your goals; Resume or curriculum vitae (CV); Copy of government-issued photo identification; A non-refundable application fee of $100.",,True,False,False,True,False,False,,,program,Master of Science in Information Technology with a Concentration in IT Systems & Management,https://www.wust.edu/graduate-program
,,"Completed Application Form
Application Fee
A Bachelor's degree or its equivalent from an accredited college or university
Official transcripts from all post-secondary institutions attended
Any additional requirements specified for the chosen program of study
Proof of English Proficiency for International Students
Proof of Financial Support",,True,False,False,True,False,False,,,program,Master of Science in Information Technology with a Concentration in Data Management & Analytics,https://www.wust.edu/graduate-program
Required,Required,"A completed online Application Form; Application Fee ($50 for US applicants, $100 for international applicants); A Bachelor’s degree from an institution of higher education that is accredited by a US accrediting agency recognized by the US Department of Education, or an equivalent foreign institution; Official transcripts from all post-secondary institutions attended; A Statement of Purpose describing your academic and professional accomplishments and goals; A current resume; Proof of English Language Proficiency for international students whose native language is not English. Acceptable proofs are: TOEFL (minimum score of 80), IELTS (minimum score of 6.5), PTE (minimum score of 53), Duolingo (minimum score of 105), or a transcript from a US institution showing completion of an English composition course with a grade of B or better, or a degree earned from a US institution; GRE/GMAT scores (Optional).",,False,True,False,True,False,False,,,program,Master of Science in Information Technology with a Concentration in Software Design & Management,https://www.wust.edu/graduate-program
Required,Required,"Completed online application form. A bachelor’s degree from an accredited institution. Applicants with a degree in computer science, cybersecurity, or a related field are preferred. Official transcripts from all post-secondary institutions attended. Minimum GPA of 2.75 on a 4.0 scale. Proof of English proficiency for international students (TOEFL, IELTS, etc.). Resume or Curriculum Vitae (CV). Statement of Purpose: A 500-word essay detailing your academic and professional goals and how the MSCS program at WUST will help you achieve them. Two letters of recommendation (optional but recommended). Application fee.",Not Required,True,False,,True,False,False,,,program,Master of Science in Cybersecurity,https://www.wust.edu/graduate-program
Required,Required,"A completed online application and a $100 non-refundable application fee. Official transcripts from all post-secondary institutions attended. A bachelor’s degree from an accredited institution with a minimum GPA of 2.5 on a 4.0 scale. Statement of Purpose. Resume or curriculum vitae (CV). A copy of a government-issued photo ID. For international students, additional requirements may apply, including proof of English proficiency.",Not Required,True,False,False,True,False,False,,,program,Master of Business Administration,https://www.lamar.edu/business/management-marketing-and-general-business/master-of-business-administration/
Required,Required,"To be admitted to the MBA degree program, the applicant must:

Hold a bachelor’s degree from an institution accredited by an agency recognized by the U.S. Department of Education.

Have a minimum undergraduate Grade Point Average (GPA) of 2.5 on a 4.0 scale. Applicants with a GPA less than 2.5 may be considered for admission on a probationary basis. The student must earn a 3.0 GPA in the first nine credit hours to be removed from academic probation.

Complete an online application form.

Submit a Statement of Purpose.

Submit a resume.

Receive a positive recommendation from the WUST Admission Committee after an interview and a review of the applicant’s documents.",,True,False,False,True,False,False,,,program,Master of Business Administration with a Concentration in Leadership and Management,https://www.wust.edu/graduate-program
Required,Required,"The applicant must have earned a Bachelor’s degree or its equivalent from an institution of higher education. Prospective students are required to complete an application form and submit it to the Office of Admissions. The following documents are required for an application to be considered for admission: Application form; A non-refundable application fee of $100; Official transcripts from all post-secondary institutions attended; Statement of Purpose (SOP); Resume; A copy of a government-issued photo ID. For applicants whose native language is not English, a proof of English proficiency is required. WUST accepts TOEFL or IELTS test scores.",Not Required,True,False,False,False,False,False,,,program,Master of Business Administration with a Concentration in Accounting & Finance,https://www.wust.edu/mba
Required,Required,"Complete WUST’s Graduate Admission Application Form; Bachelor’s degree from a college or university accredited by an accrediting agency recognized by the U.S. Department of Education; Official transcripts from all institutions attended; A current résumé; A personal statement that describes the applicant’s academic and professional accomplishments, goals, and how the degree from WUST will help to achieve their goals; Proof of English proficiency for all applicants whose native language is not English; GRE/GMAT scores (This is optional for applicants with a cumulative GPA of 3.0 or higher); Copy of a government-issued photo ID; A $100 non-refundable application fee.",,False,True,False,False,False,False,,,program,Master of Business Administration with a Concentration in Information Technology,https://www.jcu.edu.au/courses/master-of-information-technology-master-of-business-administration
Required,Required,"To be considered for admission to a WUST graduate program, applicants must have earned a bachelor’s degree from an institution of higher education accredited by an agency recognized by the U.S. Department of Education, or the equivalent for international students. All applicants must submit the following: An application for graduate admission; A bachelor’s degree from an accredited institution; Official transcripts from all post-secondary institutions attended; A current resume; A statement of purpose; Two letters of recommendation (Optional for MBA, MSIT, and MSCS programs); Evidence of English Proficiency (for international students); GRE/GMAT scores (Optional for all applicants); A nonrefundable application fee of $100.",,True,True,True,False,False,False,,,program,Master of Business Administration with a Concentration in Health Care Management,https://www.wust.edu/graduate-program
