Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,level
,"The Master of Science in Applied Data Science program at Clarkson is an interdisciplinary program for students with a background in science, mathematics, business or engineering who are seeking to become data scientists. The program provides a strong foundation in data analytics, with courses on topics like machine learning, artificial intelligence, big data and data visualization. Students learn how to apply these techniques to real-world problems in their chosen field. The M.S. in Applied Data Science program at Clarkson University is available in-person or online, allowing students the flexibility to continue working or pursuing other opportunities while they study. The program can be completed on either a full- or part-time basis. This program is STEM designated.",https://www.clarkson.edu/graduate/master-science-applied-data-science,,Master's Degrees,Master of Science in Applied Data Science,https://www.clarkson.edu/academics/graduate/programs,
"['Business Analytics', 'Environmental Management', 'Healthcare Management', 'Marketing', 'Supply Chain Management', 'Innovation & New Venture Management', 'Finance', 'Global Supply Chain Management', 'General MBA']","A Clarkson MBA develops graduates to become leaders and innovators in a fast-paced, technologically driven global marketplace. Students are challenged by a rigorous curriculum that emphasizes strategic thinking, ethical decision-making, and teamwork. In a Clarkson MBA classroom, students solve real-world problems for real companies, participate in national and international business competitions, and travel abroad on global business trips. The Clarkson MBA is offered on-campus at our Capital Region Campus in Schenectady, NY, and online. Students can choose to study on-campus or online, full-time or part-time. Our on-campus and online programs have the same curriculum and instructors. Our curriculum consists of nine core classes (27 credit hours) and three elective courses (9 credit hours). The core curriculum provides comprehensive coverage of key business functions. This includes the foundations of teamwork and leadership, as well as the analytical skills necessary for business problem-solving and innovation. It also instills the importance of social, ethical and environmental responsibility in today’s business world. Electives can be used to earn a concentration or to customize the program to best meet your needs.",https://www.clarkson.edu/academics/business/graduate/master-business-administration-mba,Accredited by the Association to Advance Collegiate Schools of Business (AACSB International).,Master's,Master of Business Administration (MBA),https://www.clarkson.edu/academics/graduate/programs,
Healthcare Management,"As the healthcare industry continues its rapid expansion, so does the demand for well-trained leaders who can improve the business of delivering patient care. Our AACSB-accredited Master of Business Administration in Healthcare Management program provides the crucial business management knowledge and healthcare industry expertise to effectively and efficiently lead a wide variety of healthcare-related organizations. You can select an online or on-campus MBA. The program culminates with a required capstone experience project for a healthcare organization. This hybrid program requires two weekend residencies per year at our Capital Region Campus in Schenectady, New York. You can also meet all requirements for the Lean Six Sigma Green Belt Certification.",https://www.clarkson.edu/academics/graduate/master-business-administration-mba/healthcare-management,AACSB accredited,MBA,Master of Business Administration in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Healthcare Data Analytics program is a 36-credit-hour, fully online program for working professionals. The program’s curriculum provides a powerful combination of data analytics skills set in the context of the business of healthcare. Students will learn how to access, manage, analyze and transform data into actionable information that leads to improved patient care, enhanced efficiency and better outcomes. The program will equip students to use data to inform healthcare policy, management and clinical decision-making. Students will use the latest healthcare IT tools, programming languages and analytical software to understand and create data-driven insights. They will have access to a rich selection of industry datasets, case studies and projects.",https://www.clarkson.edu/academics/graduate/healthcare-data-analytics-ms,,Master's,Master of Science in Healthcare Data Analytics,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Clinical Leadership in Healthcare Management is a 36-credit hour graduate degree that provides students with the business and leadership acumen for a management or leadership role in a clinical healthcare setting. The program is designed to transform the clinical expert into the clinical leader. The curriculum provides a foundation in leadership and the core functional business areas of healthcare management: finance, marketing, data analytics, human resources, quality, etc. The coursework is applied to the clinical setting, and the unique combination of leadership and management gives the clinical expert the skills and knowledge to effectively and efficiently lead the clinical team. The program is offered 100% online in 8-week terms, five times per year. You can begin at any one of five entry points. It can be completed on a part-time basis over two years or in one year on a full-time basis, depending on the number of courses taken per term.",https://www.clarkson.edu/graduate/master-science-clinical-leadership-healthcare-management,,Master of Science,Master of Science in Clinical Leadership in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,
,"The Advanced Certificate in Business is a 15-credit program designed for working professionals who wish to pursue graduate business study but may not be ready to commit to a full master's program. The certificate provides foundational knowledge in key areas of business, including accounting, finance, marketing and management. The certificate also serves as a gateway to the Clarkson MBA. All 15 credits from the Advanced Certificate in Business may be applied to the Clarkson MBA or MBA in Healthcare Management degree programs upon acceptance. The Advanced Certificate in Business is offered online and can be completed in as little as nine months. Students can start in either the fall or spring semesters.",https://www.clarkson.edu/academics/graduate/advanced-certificate-business,"Clarkson's Reh School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB), an honor that is shared by only 5% of business schools worldwide.",Certificate,Advanced Certificate in Business,https://www.clarkson.edu/academics/graduate/programs,
"Management, Data Analytics","The Advanced Certificate in Business Fundamentals offers a solid foundation in the functional areas of business, including accounting, finance, marketing and operations. The certificate allows for a focus area in either management or data analytics. Students who complete the Advanced Certificate in Business Fundamentals can seamlessly apply their credits to the online MBA program.",https://www.clarkson.edu/academics/graduate/programs/advanced-certificate-business-fundamentals,All of our graduate business programs are accredited by the AACSB (Association to Advance Collegiate Schools of Business).,Certificate,Advanced Certificate in Business Fundamentals,https://www.clarkson.edu/academics/graduate/programs,
,"Our 15-credit-hour Advanced Certificate in Healthcare Management is a non-degree program that gives you a solid foundation in business principles through a healthcare lens. You'll gain a high-level overview of critical areas in healthcare management, including leadership, finance, data analytics and supply chain management. If you're looking for a shorter commitment than a master's degree or want to test the waters before diving into a longer program, this is the perfect option. Should you decide to pursue the Clarkson MBA in Healthcare Management, all 15 credits from your certificate program can be directly applied to your degree. Most students earn their certificate in just one year, making it a quick and effective way to fast-track your career.",https://www.clarkson.edu/academics/graduate/advanced-certificate-healthcare-management,"As the business school of a nationally-ranked research university, we are proud to have our school and programs accredited by the Association to Advance Collegiate Schools of Business (AACSB International).",Certificate,Advanced Certificate in Healthcare Management,https://www.clarkson.edu/academics/graduate/programs,
,"The Advanced Certificate in Human Resource Management (HRM) from Clarkson University will provide you with the fundamental principles of strategic HRM. Courses cover recruitment, training, compensation, employee relations, labor relations, legal issues, and more. The curriculum is aligned with the Society for Human Resource Management (SHRM) HR Curriculum Guidebook and Templates. Students in the program can take the SHRM Certified Professional exam as the capstone of their studies.",https://www.clarkson.edu/academics/graduate/human-resource-management-advanced-certificate,The Reh School of Business at Clarkson University is accredited by the Association to Advance Collegiate Schools of Business (AACSB International).,Certificate,Advanced Certificate in Human Resource Management,https://www.clarkson.edu/academics/graduate/programs,
,"The Advanced Certificate in Innovation & New Venture Management provides the foundational knowledge and practical business skills necessary to build a new enterprise. Today’s global economy rewards those who can identify market needs and quickly bring products and services to market. The program’s flexible curriculum is designed for those looking to start their own businesses or who want to become valuable assets at an established company. You will learn the best practices and techniques in product innovation, opportunity recognition, lean startups, strategic marketing and financing new ventures. The Reh School of Business is among the top 5 percent of business schools in the world to earn the prestigious AACSB International accreditation. The program is available to be taken completely online, in-person or a combination of both.",https://www.clarkson.edu/graduate/innovation-new-venture-management-advanced-certificate,The Reh School of Business is among the top 5 percent of business schools in the world to earn the prestigious AACSB International accreditation.,Certificate,Advanced Certificate in Innovation & New Venture Management,https://www.clarkson.edu/academics/graduate/programs,
,"A five-course, 15-credit-hour program, our Advanced Certificate in Management & Leadership provides graduates with skills in managing data for informed decision-making, in addition to leading, communicating and negotiating. The program is specifically designed to fit the schedules of working professionals. All five courses are offered online. Students also have the option of taking some or all courses in-person at our Capital Region Campus in Schenectady, New York. You can transfer up to three credits to the program, and all 15 credits can be applied to either our MBA or MS in Healthcare Management degree if you decide to pursue a master's.",https://www.clarkson.edu/graduate/advanced-certificate-management-leadership,"Clarkson’s Reh School of Business is accredited by the Association to Advance Collegiate Schools of Business (AACSB), a distinction that only 5 percent of business schools worldwide have earned.",,Advanced Certificate in Management & Leadership,https://www.clarkson.edu/academics/graduate/programs,
,"Supply chain management (SCM) is the active management of the flow of goods and services. It includes all processes that transform raw materials into final products, from the point of origin to the point of consumption. Clarkson's nine-credit advanced certificate in SCM provides a solid foundation for those looking to advance or begin their career in this fast-growing field. Our curriculum covers the fundamentals of SCM, such as lean enterprise, operations management and logistics, as well as sustainability, technology management, and project management. The program addresses key SCM areas including: Development and management of a global supply chain. Use of analytics, technology and sustainable practices. Sourcing, procurement, and operations and logistics management.",https://www.clarkson.edu/graduate/supply-chain-management-certificate,,,Advanced Certificate in Supply Chain Management,https://www.clarkson.edu/academics/graduate/programs,
Business Analytics,Clarkson’s Master of Business Administration (MBA) program can make all the difference to your career. Our David D. Reh School of Business is among the top 5 percent of business schools in the world to have earned AACSB accreditation in business and accounting. This means you will graduate with a degree that is highly respected by employers around the globe. Our on-campus MBA program is STEM-designated. Students in this program can specialize in an area such as business analytics or supply chain management and pursue Curricular Practical Training (CPT) to gain valuable on-the-job experience. We are also listed by U.S. News & World Report as one of the best online MBA programs in the nation.,https://www.clarkson.edu/academics/graduate/mba,Our David D. Reh School of Business is among the top 5 percent of business schools in the world to have earned AACSB accreditation in business and accounting.,MBA,Master of Business Administration in Business Analytics,https://www.clarkson.edu/academics/graduate/programs,
